,Rate,Gdp,Import,Export
2021-12-17,115.81055,14491.835616438428,7794291556.587188,
2021-12-18,115.7104,14492.446575342537,7801457766.53134,
2021-12-19,115.7104,14493.057534246647,7808623976.475492,
2021-12-20,115.791262,14493.668493150757,7815790186.419643,
2021-12-21,115.20569,14494.279452054867,7822956396.363795,
2021-12-22,117.421875,14494.890410958977,7830122606.307947,
2021-12-23,117.267981,14495.501369863086,7837288816.252099,
2021-12-24,117.221768,14496.112328767196,7844455026.196251,
2021-12-25,117.377534,14496.723287671306,7851621236.140403,
2021-12-26,117.377534,14497.334246575416,7858787446.084555,
2021-12-27,117.153329,14497.945205479526,7865953656.028707,
2021-12-28,117.75398,14498.556164383635,7873119865.972858,
2021-12-29,117.68489,14499.167123287745,7880286075.91701,
2021-12-30,117.219385,14499.778082191855,7887452285.861162,
2021-12-31,117.753292,14500.389041095965,7894618495.805314,
2022-01-01,117.979297,14501.0,7901784705.74946,
2022-01-02,117.979297,14508.52602739726,7903976119.114675,
2022-01-03,117.911208,14516.05205479452,7906167532.479889,
2022-01-04,117.780252,14523.57808219178,7908358945.845103,
2022-01-05,118.407933,14531.10410958904,7910550359.210318,
2022-01-06,119.095539,14538.6301369863,7912741772.575532,
2022-01-07,118.617595,14546.15616438356,7914933185.940746,
2022-01-08,119.298209,14553.68219178082,7917124599.305961,
2022-01-09,118.735616,14561.20821917808,7919316012.671175,
2022-01-10,118.555286,14568.734246575339,7921507426.036389,
2022-01-11,119.555933,14576.260273972599,7923698839.401604,
2022-01-12,119.657597,14583.786301369859,7925890252.766818,
2022-01-13,120.165188,14591.312328767119,7928081666.132032,
2022-01-14,119.846732,14598.838356164379,7930273079.497247,
2022-01-15,119.987889,14606.364383561639,7932464492.862461,
2022-01-16,119.987889,14613.890410958898,7934655906.227675,
2022-01-17,119.902923,14621.416438356158,7936847319.59289,
2022-01-18,119.68207,14628.942465753418,7939038732.958104,
2022-01-19,119.435052,14636.468493150678,7941230146.3233185,
2022-01-20,119.57156,14643.994520547938,7943421559.688533,
2022-01-21,118.684636,14651.520547945198,7945612973.053747,
