,Rate,Gdp,Import,Export
2021-12-17,120.855126,19139.8356164383,8991588806.852982,6997126633.023159
2021-12-18,120.749546,19142.84657534241,8994374648.227608,7001085094.869168
2021-12-19,120.749546,19145.85753424652,8997160489.602234,7005043556.715178
2021-12-20,120.83608,19148.86849315063,8999946330.976858,7009002018.561187
2021-12-21,120.848019,19151.879452054738,9002732172.351482,7012960480.407196
2021-12-22,121.025662,19154.890410958847,9005518013.726109,7016918942.253205
2021-12-23,120.697045,19157.901369862957,9008303855.100735,7020877404.099215
2021-12-24,120.626588,19160.912328767066,9011089696.475359,7024835865.945224
2021-12-25,120.492072,19163.923287671176,9013875537.849983,7028794327.791233
2021-12-26,120.492072,19166.934246575285,9016661379.22461,7032752789.637242
2021-12-27,120.270114,19169.945205479395,9019447220.599236,7036711251.483252
2021-12-28,120.21743,19172.956164383504,9022233061.97386,7040669713.329261
2021-12-29,120.195526,19175.967123287614,9025018903.348484,7044628175.17527
2021-12-30,120.559121,19178.978082191723,9027804744.72311,7048586637.021279
2021-12-31,120.754344,19181.989041095832,9030590586.097736,7052545098.867289
2022-01-01,121.277018,19185.0,9033376427.47253,7056503560.71336
2022-01-02,121.277018,19196.51506849315,9036902519.234283,7062098169.842082
2022-01-03,121.207092,19208.0301369863,9040428610.996037,7067692778.970804
2022-01-04,120.565484,19219.54520547945,9043954702.75779,7073287388.099526
2022-01-05,119.507864,19231.060273972602,9047480794.519543,7078881997.228249
2022-01-06,120.969385,19242.575342465752,9051006886.281296,7084476606.356971
2022-01-07,121.272304,19254.090410958903,9054532978.043049,7090071215.485693
2022-01-08,121.570547,19265.605479452053,9058059069.804802,7095665824.614415
2022-01-09,121.505981,19277.120547945204,9061585161.566555,7101260433.743137
2022-01-10,121.321443,19288.635616438354,9065111253.328308,7106855042.87186
2022-01-11,121.772559,19300.150684931505,9068637345.090061,7112449652.000582
2022-01-12,121.727177,19311.665753424655,9072163436.851814,7118044261.129304
2022-01-13,122.138318,19323.180821917806,9075689528.613567,7123638870.258026
2022-01-14,122.245991,19334.695890410956,9079215620.37532,7129233479.386748
2022-01-15,121.410807,19346.210958904107,9082741712.137074,7134828088.5154705
2022-01-16,121.410807,19357.726027397257,9086267803.898827,7140422697.644193
2022-01-17,121.328549,19369.241095890407,9089793895.66058,7146017306.772915
2022-01-18,122.422804,19380.756164383558,9093319987.422333,7151611915.901637
2022-01-19,121.815561,19392.27123287671,9096846079.184086,7157206525.030359
2022-01-20,122.070997,19403.78630136986,9100372170.945839,7162801134.159081
2022-01-21,121.227066,19415.30136986301,9103898262.707592,7168395743.287804
2022-01-22,121.672901,19426.81643835616,9107424354.469345,7173990352.416526
2022-01-23,121.672901,19438.33150684931,9110950446.231098,7179584961.545248
2022-01-24,121.589338,19449.84657534246,9114476537.992851,7185179570.67397
2022-01-25,121.247947,19461.36164383561,9118002629.754604,7190774179.802692
2022-01-26,120.930475,19472.87671232876,9121528721.516357,7196368788.931415
2022-01-27,120.747715,19484.391780821912,9125054813.27811,7201963398.060137
2022-01-28,120.976398,19495.906849315063,9128580905.039864,7207558007.188859
2022-01-29,120.676402,19507.421917808213,9132106996.801617,7213152616.317581
2022-01-30,120.676402,19518.936986301364,9135633088.56337,7218747225.446303
2022-01-31,120.777481,19530.452054794514,9139159180.325123,7224341834.575026
2022-02-01,121.198644,19541.967123287664,9142685272.086876,7229936443.703748
2022-02-02,121.607439,19553.482191780815,9146211363.848629,7235531052.83247
2022-02-03,121.571237,19564.997260273965,9149737455.610382,7241125661.961192
2022-02-04,121.783616,19576.512328767116,9153263547.372135,7246720271.089914
2022-02-05,122.17024,19588.027397260266,9156789639.133888,7252314880.2186365
2022-02-06,122.17024,19599.542465753417,9160315730.895641,7257909489.347359
2022-02-07,122.206483,19611.057534246567,9163841822.657394,7263504098.476081
2022-02-08,121.619294,19622.572602739718,9167367914.419147,7269098707.604803
2022-02-09,121.253917,19634.087671232868,9170894006.1809,7274693316.733525
2022-02-10,121.258768,19645.60273972602,9174420097.942654,7280287925.862247
2022-02-11,120.781116,19657.11780821917,9177946189.704407,7285882534.99097
2022-02-12,121.556565,19668.63287671232,9181472281.46616,7291477144.119692
2022-02-13,121.441034,19680.14794520547,9184998373.227913,7297071753.248414
2022-02-14,121.486411,19691.66301369862,9188524464.989666,7302666362.377136
2022-02-15,121.258178,19703.17808219177,9192050556.75142,7308260971.505858
2022-02-16,121.619791,19714.69315068492,9195576648.513172,7313855580.634581
2022-02-17,121.514269,19726.208219178072,9199102740.274925,7319450189.763303
2022-02-18,121.354292,19737.723287671222,9202628832.036678,7325044798.892025
2022-02-19,121.54654,19749.238356164373,9206154923.798431,7330639408.020747
2022-02-20,121.54654,19760.753424657523,9209681015.560184,7336234017.149469
2022-02-21,121.52276,19772.268493150674,9213207107.321938,7341828626.278192
2022-02-22,120.982233,19783.783561643824,9216733199.08369,7347423235.406914
2022-02-23,121.392127,19795.298630136975,9220259290.845444,7353017844.535636
2022-02-24,121.158941,19806.813698630125,9223785382.607197,7358612453.664358
2022-02-25,121.4791,19818.328767123276,9227311474.36895,7364207062.79308
2022-02-26,121.744863,19829.843835616426,9230837566.130703,7369801671.9218025
2022-02-27,121.379899,19841.358904109577,9234363657.892456,7375396281.050525
2022-02-28,120.256648,19852.873972602727,9237889749.65421,7380990890.179247
2022-03-01,121.28941,19864.389041095877,9241415841.415962,7386585499.307969
2022-03-02,120.976352,19875.904109589028,9244941933.177715,7392180108.436691
2022-03-03,122.451875,19887.41917808218,9248468024.939468,7397774717.565413
2022-03-04,122.31932,19898.93424657533,9251994116.701221,7403369326.694136
2022-03-05,123.557487,19910.44931506848,9255520208.462975,7408963935.822858
2022-03-06,123.557487,19921.96438356163,9259046300.224728,7414558544.95158
2022-03-07,122.469458,19933.47945205478,9262572391.98648,7420153154.080302
2022-03-08,125.416962,19944.99452054793,9266098483.748234,7425747763.209024
2022-03-09,125.09248,19956.50958904108,9269624575.509987,7431342372.337747
2022-03-10,125.367285,19968.02465753423,9273150667.27174,7436936981.466469
2022-03-11,122.994839,19979.539726027382,9276676759.033493,7442531590.595191
2022-03-12,123.360852,19991.054794520533,9280202850.795246,7448126199.723913
2022-03-13,123.360852,20002.569863013683,9283728942.557,7453720808.852635
2022-03-14,123.397276,20014.084931506834,9287255034.318752,7459315417.981358
2022-03-15,123.399324,20025.599999999984,9290781126.080505,7464910027.11008
2022-03-16,123.022185,20037.115068493134,9294307217.842258,7470504636.238802
2022-03-17,123.049929,20048.630136986285,9297833309.604012,7476099245.367524
2022-03-18,124.103577,20060.145205479435,9301359401.365765,7481693854.496246
2022-03-19,123.071356,20071.660273972586,9304885493.127518,7487288463.624969
2022-03-20,123.071356,20083.175342465736,9308411584.88927,7492883072.753691
2022-03-21,122.901574,20094.690410958887,9311937676.651024,7498477681.882413
2022-03-22,122.115012,20106.205479452037,9315463768.412777,7504072291.011135
2022-03-23,122.410333,20117.720547945188,9318989860.17453,7509666900.139857
2022-03-24,122.619472,20129.23561643834,9322515951.936283,7515261509.2685795
2022-03-25,122.489403,20140.75068493149,9326042043.698036,7520856118.397302
2022-03-26,121.973038,20152.26575342464,9329568135.45979,7526450727.526024
2022-03-27,122.024163,20163.78082191779,9333094227.221542,7532045336.654746
2022-03-28,122.119134,20175.29589041094,9336620318.983295,7537639945.783468
2022-03-29,123.139107,20186.81095890409,9340146410.745049,7543234554.91219
2022-03-30,122.816882,20198.32602739724,9343672502.506802,7548829164.040913
2022-03-31,121.27251,20209.84109589039,9347198594.268555,7554423773.169635
2022-04-01,121.041113,20221.356164383542,9350724686.030308,7560018382.298357
2022-04-02,121.61379,20232.871232876692,9354250777.79206,7565612991.427079
2022-04-03,121.614154,20244.386301369843,9357776869.553814,7571207600.555801
2022-04-04,121.5782,20255.901369862993,9361302961.315567,7576802209.684524
2022-04-05,119.516339,20267.416438356144,9364829053.07732,7582396818.813246
2022-04-06,121.542061,20278.931506849294,9368355144.839073,7587991427.941968
2022-04-07,121.345729,20290.446575342445,9371881236.600826,7593586037.07069
2022-04-08,121.425774,20301.961643835595,9375407328.36258,7599180646.199412
2022-04-09,121.269795,20313.476712328746,9378933420.124332,7604775255.328135
2022-04-10,121.269795,20324.991780821896,9382459511.886086,7610369864.456857
2022-04-11,121.375644,20336.506849315047,9385985603.647839,7615964473.585579
2022-04-12,121.104026,20348.021917808197,9389511695.409592,7621559082.714301
2022-04-13,120.838988,20359.536986301347,9393037787.171345,7627153691.843023
2022-04-14,121.019478,20371.052054794498,9396563878.933098,7632748300.9717455
2022-04-15,120.918422,20382.56712328765,9400089970.69485,7638342910.100468
2022-04-16,121.28367,20394.0821917808,9403616062.456604,7643937519.22919
2022-04-17,121.28367,20405.59726027395,9407142154.218357,7649532128.357912
2022-04-18,121.028206,20417.1123287671,9410668245.98011,7655126737.486634
2022-04-20,123.421673,20440.1424657534,9417720429.503616,7666315955.744079
2022-04-21,120.269168,20451.65753424655,9421246521.26537,7671910564.872801
2022-04-22,120.23814,20463.1726027397,9424772613.027122,7677505174.001523
2022-04-23,119.985247,20474.687671232852,9428298704.788876,7683099783.130245
2022-04-24,120.220983,20486.202739726003,9431824796.550629,7688694392.258967
2022-04-25,120.278195,20497.717808219153,9435350888.312382,7694289001.38769
2022-04-26,119.406977,20509.232876712304,9438876980.074135,7699883610.516412
2022-04-27,118.650185,20520.747945205454,9442403071.835888,7705478219.645134
2022-04-28,119.482625,20532.263013698604,9445929163.597641,7711072828.773856
2022-04-29,121.467871,20543.778082191755,9449455255.359394,7716667437.902578
2022-04-30,121.000003,20555.293150684905,9452981347.121147,7722262047.031301
2022-05-01,121.000003,20566.808219178056,9456507438.8829,7727856656.160023
2022-05-02,120.824768,20578.323287671206,9460033530.644653,7733451265.288745
2022-05-03,120.388218,20589.838356164357,9463559622.406406,7739045874.417467
2022-05-04,120.75799,20601.353424657507,9467085714.16816,7744640483.546189
2022-05-05,121.940658,20612.868493150658,9470611805.929913,7750235092.6749115
2022-05-06,120.37218,20624.38356164381,9474137897.691666,7755829701.803634
2022-05-07,120.248447,20635.89863013696,9477663989.453419,7761424310.932356
2022-05-08,120.248447,20647.41369863011,9481190081.215172,7767018920.061078
2022-05-09,120.005698,20658.92876712326,9484716172.976925,7772613529.1898
2022-05-10,120.509634,20670.44383561641,9488242264.738678,7778208138.318522
2022-05-11,120.438358,20681.95890410956,9491768356.500431,7783802747.447245
2022-05-12,120.534543,20693.47397260271,9495294448.262184,7789397356.575967
2022-05-13,120.658362,20704.98904109586,9498820540.023937,7794991965.704689
2022-05-14,120.608353,20716.504109589012,9502346631.78569,7800586574.833411
2022-05-15,120.608353,20728.019178082162,9505872723.547443,7806181183.962133
2022-05-16,120.488529,20739.534246575313,9509398815.309196,7811775793.090856
2022-05-17,120.773883,20751.049315068463,9512924907.07095,7817370402.219578
2022-05-18,120.627518,20762.564383561614,9516450998.832703,7822965011.3483
2022-05-19,120.520591,20774.079452054764,9519977090.594456,7828559620.477022
2022-05-20,120.00172,20785.594520547915,9523503182.356209,7834154229.605744
2022-05-21,119.993598,20797.109589041065,9527029274.117962,7839748838.734467
2022-05-22,119.993598,20808.624657534216,9530555365.879715,7845343447.863189
2022-05-23,120.091814,20820.139726027366,9534081457.641468,7850938056.991911
2022-05-24,121.344834,20831.654794520517,9537607549.403221,7856532666.120633
2022-05-25,121.036417,20843.169863013667,9541133641.164974,7862127275.249355
2022-05-26,120.752621,20854.684931506818,9544659732.926727,7867721884.3780775
2022-05-27,120.823872,20866.199999999968,9548185824.68848,7873316493.5068
2022-05-28,121.255821,20877.71506849312,9551711916.450233,7878911102.635522
