,Rate,Gdp,Import,Export
2021-12-17,157.243849,224070.95890410856,45914626623.04128,68100434756.45421
2021-12-18,156.234309,224180.16164383458,45921341292.8277,68175447468.31054
2021-12-19,156.234309,224289.3643835606,45928055962.61411,68250460180.16687
2021-12-20,156.356723,224398.56712328663,45934770632.40053,68325472892.0232
2021-12-21,157.151695,224507.76986301265,45941485302.18694,68400485603.87953
2021-12-22,157.226361,224616.97260273868,45948199971.97336,68475498315.73586
2021-12-23,157.513077,224726.1753424647,45954914641.75977,68550511027.59219
2021-12-24,157.34763,224835.37808219073,45961629311.54619,68625523739.448524
2021-12-25,157.439775,224944.58082191675,45968343981.3326,68700536451.304855
2021-12-26,157.439775,225053.78356164278,45975058651.11902,68775549163.1612
2021-12-27,157.150852,225162.9863013688,45981773320.90543,68850561875.01752
2021-12-28,157.456504,225272.18904109483,45988487990.69185,68925574586.87384
2021-12-29,157.246837,225381.39178082085,45995202660.478264,69000587298.73018
2021-12-30,157.685625,225490.59452054687,46001917330.26468,69075600010.58652
2021-12-31,157.446885,225599.7972602729,46008632000.051094,69150612722.44284
2022-01-01,157.842186,225709.0,46015346669.8381,69225625434.2999
2022-01-02,157.842186,225769.49315068492,46025392767.3936,69198774196.74394
2022-01-03,157.751981,225829.98630136985,46035438864.949104,69171922959.18799
2022-01-04,157.246985,225890.47945205477,46045484962.50461,69145071721.63203
2022-01-05,157.149869,225950.9726027397,46055531060.06011,69118220484.07608
2022-01-06,157.382508,226011.46575342462,46065577157.615616,69091369246.52013
2022-01-07,157.413903,226071.95890410955,46075623255.17112,69064518008.96417
2022-01-08,158.498846,226132.45205479447,46085669352.72662,69037666771.40822
2022-01-09,158.498846,226192.9452054794,46095715450.28213,69010815533.85226
2022-01-10,158.258125,226253.43835616432,46105761547.83763,68983964296.29631
2022-01-11,158.271043,226313.93150684924,46115807645.393135,68957113058.74036
2022-01-12,158.274228,226374.42465753417,46125853742.94864,68930261821.1844
2022-01-13,159.020752,226434.9178082191,46135899840.50414,68903410583.62845
2022-01-14,160.127476,226495.41095890402,46145945938.05965,68876559346.0725
2022-01-15,159.79506,226555.90410958894,46155992035.61515,68849708108.51654
2022-01-16,159.78106,226616.39726027386,46166038133.170654,68822856870.96059
2022-01-17,159.673512,226676.8904109588,46176084230.72616,68796005633.40463
2022-01-18,159.306448,226737.3835616437,46186130328.28166,68769154395.84868
2022-01-19,158.327392,226797.87671232864,46196176425.837166,68742303158.29272
2022-01-20,158.747066,226858.36986301356,46206222523.39267,68715451920.73677
2022-01-21,158.499683,226918.8630136985,46216268620.94817,68688600683.18082
2022-01-22,158.832898,226979.3561643834,46226314718.50368,68661749445.62486
2022-01-23,158.832898,227039.84931506834,46236360816.05918,68634898208.06891
2022-01-24,158.724856,227100.34246575326,46246406913.614685,68608046970.512955
2022-01-25,158.184273,227160.83561643818,46256453011.17019,68581195732.957
