,Rate,Gdp,Import,Export
2021-12-17,637.752325,140055.6849315064,26057352138.749054,49444370093.38224
2021-12-18,638.337406,140214.77260273928,26081031277.04594,49489425436.12853
2021-12-19,638.337406,140373.86027397215,26104710415.342827,49534480778.874825
2021-12-20,638.67552,140532.94794520503,26128389553.639713,49579536121.62112
2021-12-21,638.882903,140692.0356164379,26152068691.9366,49624591464.36741
2021-12-22,638.367939,140851.12328767078,26175747830.233486,49669646807.1137
2021-12-23,640.193457,141010.21095890366,26199426968.530373,49714702149.85999
2021-12-24,639.093983,141169.29863013653,26223106106.82726,49759757492.606285
2021-12-25,639.942633,141328.3863013694,26246785245.124146,49804812835.35258
2021-12-26,639.942633,141487.47397260228,26270464383.421032,49849868178.09887
2021-12-27,638.768453,141646.56164383516,26294143521.71792,49894923520.84516
2021-12-28,638.639401,141805.64931506803,26317822660.014805,49939978863.59145
2021-12-29,636.808505,141964.7369863009,26341501798.31169,49985034206.337746
2021-12-30,638.910843,142123.82465753378,26365180936.608578,50030089549.08404
2021-12-31,623.402853,142282.91232876666,26388860074.905464,50075144891.83033
2022-01-01,626.101357,142442.0,26412539213.2023,50120200234.5765
2022-01-02,626.101357,142352.4712328767,26401028855.826305,50084146386.23323
2022-01-03,625.742892,142262.9424657534,26389518498.45031,50048092537.88996
2022-01-04,626.583882,142173.41369863012,26378008141.074314,50012038689.54669
2022-01-05,624.689461,142083.88493150682,26366497783.69832,49975984841.20342
2022-01-06,625.353428,141994.35616438353,26354987426.322323,49939930992.86015
2022-01-07,623.24964,141904.82739726023,26343477068.946327,49903877144.516884
2022-01-08,625.947599,141815.29863013694,26331966711.57033,49867823296.173615
2022-01-09,625.947599,141725.76986301364,26320456354.194336,49831769447.830345
2022-01-10,624.457709,141636.24109589035,26308945996.81834,49795715599.487076
2022-01-11,623.553202,141546.71232876705,26297435639.442345,49759661751.14381
2022-01-12,608.034216,141457.18356164376,26285925282.06635,49723607902.80054
2022-01-13,606.404086,141367.65479452047,26274414924.690353,49687554054.45727
