,Rate,Gdp,Import,Export
2021-12-17,557.922979,19282.42465753456,9827284216.365126,10119174717.854836
2021-12-18,557.435576,19297.863013698945,9838008202.479414,10133861691.792763
2021-12-19,557.435576,19313.30136986333,9848732188.593702,10148548665.73069
2021-12-20,557.835056,19328.739726027714,9859456174.70799,10163235639.668617
2021-12-21,555.298905,19344.1780821921,9870180160.822279,10177922613.606544
2021-12-22,555.97663,19359.616438356483,9880904146.936567,10192609587.544472
2021-12-23,556.38054,19375.054794520867,9891628133.050856,10207296561.482399
2021-12-24,560.323696,19390.49315068525,9902352119.165144,10221983535.420326
2021-12-25,542.036945,19405.931506849636,9913076105.279432,10236670509.358253
2021-12-26,542.036945,19421.36986301402,9923800091.39372,10251357483.29618
2021-12-27,541.041607,19436.808219178405,9934524077.508009,10266044457.234108
2021-12-28,558.242072,19452.24657534279,9945248063.622297,10280731431.172035
2021-12-29,558.160724,19467.684931507174,9955972049.736586,10295418405.109962
2021-12-30,556.465125,19483.12328767156,9966696035.850874,10310105379.04789
2021-12-31,543.636609,19498.561643835943,9977420021.965162,10324792352.985817
2022-01-01,546.096265,19514.0,9988144008.07951,10339479326.9237
2022-01-02,546.096265,19526.52602739726,10000545500.239717,10351475469.301931
2022-01-03,545.784178,19539.05205479452,10012946992.399925,10363471611.680162
2022-01-04,544.254209,19551.57808219178,10025348484.560133,10375467754.058393
2022-01-05,544.404583,19564.10410958904,10037749976.72034,10387463896.436625
2022-01-06,546.72359,19576.6301369863,10050151468.880548,10399460038.814856
2022-01-07,545.682912,19589.15616438356,10062552961.040756,10411456181.193087
2022-01-08,549.665372,19601.68219178082,10074954453.200964,10423452323.571318
2022-01-09,546.921932,19614.20821917808,10087355945.361172,10435448465.949549
2022-01-10,546.038374,19626.73424657534,10099757437.52138,10447444608.32778
2022-01-11,547.958181,19639.2602739726,10112158929.681587,10459440750.70601
2022-01-12,547.544818,19651.78630136986,10124560421.841795,10471436893.084242
2022-01-13,550.900999,19664.31232876712,10136961914.002003,10483433035.462473
2022-01-14,553.324964,19676.83835616438,10149363406.16221,10495429177.840704
2022-01-15,548.978433,19689.36438356164,10161764898.322418,10507425320.218935
2022-01-16,548.978433,19701.8904109589,10174166390.482626,10519421462.597166
2022-01-17,548.607989,19714.41643835616,10186567882.642834,10531417604.975397
2022-01-18,549.773171,19726.94246575342,10198969374.803041,10543413747.353628
2022-01-19,545.134481,19739.468493150678,10211370866.96325,10555409889.73186
2022-01-20,546.167726,19751.994520547938,10223772359.123457,10567406032.11009
2022-01-21,544.432551,19764.520547945198,10236173851.283665,10579402174.488321
2022-01-22,546.953541,19777.046575342458,10248575343.443872,10591398316.866552
2022-01-23,546.953541,19789.572602739718,10260976835.60408,10603394459.244783
2022-01-24,546.580929,19802.098630136978,10273378327.764288,10615390601.623014
2022-01-25,545.259039,19814.624657534237,10285779819.924496,10627386744.001245
2022-01-26,545.045968,19827.150684931497,10298181312.084703,10639382886.379477
2022-01-27,541.954726,19839.676712328757,10310582804.244911,10651379028.757708
2022-01-28,537.81436,19852.202739726017,10322984296.405119,10663375171.135939
2022-01-29,538.118636,19864.728767123277,10335385788.565327,10675371313.51417
2022-01-30,538.118636,19877.254794520537,10347787280.725534,10687367455.8924
2022-01-31,537.55076,19889.780821917797,10360188772.885742,10699363598.270632
2022-02-01,539.790837,19902.306849315057,10372590265.04595,10711359740.648863
2022-02-02,544.676494,19914.832876712317,10384991757.206158,10723355883.027094
2022-02-03,545.530051,19927.358904109577,10397393249.366365,10735352025.405325
2022-02-04,552.810171,19939.884931506836,10409794741.526573,10747348167.783556
2022-02-05,551.440508,19952.410958904096,10422196233.68678,10759344310.161787
2022-02-06,551.440508,19964.936986301356,10434597725.846989,10771340452.540018
2022-02-07,551.606865,19977.463013698616,10446999218.007196,10783336594.91825
2022-02-08,550.644097,19989.989041095876,10459400710.167404,10795332737.29648
2022-02-09,548.211808,20002.515068493136,10471802202.327612,10807328879.674711
