,Rate,Gdp,Import,Export
2021-12-17,2.038586,3264.6164383562145,2774586905.1809683,2825994089.6745167
2021-12-18,2.023419,3265.5753424658037,2776130150.608381,2827779856.47979
2021-12-19,2.023419,3266.534246575393,2777673396.0357933,2829565623.2850637
2021-12-20,2.024491,3267.493150684982,2779216641.463206,2831351390.0903373
2021-12-21,2.031087,3268.4520547945713,2780759886.8906183,2833137156.895611
2021-12-22,2.032861,3269.4109589041605,2782303132.318031,2834922923.7008843
2021-12-23,2.040967,3270.3698630137496,2783846377.7454433,2836708690.506158
2021-12-24,2.039129,3271.328767123339,2785389623.172856,2838494457.3114314
2021-12-25,2.04127,3272.287671232928,2786932868.6002684,2840280224.116705
2021-12-26,2.04127,3273.246575342517,2788476114.027681,2842065990.9219785
2021-12-27,2.037524,3274.2054794521064,2790019359.4550934,2843851757.727252
2021-12-28,2.039106,3275.1643835616956,2791562604.882506,2845637524.5325255
2021-12-29,2.034686,3276.1232876712847,2793105850.3099184,2847423291.337799
2021-12-30,2.042264,3277.082191780874,2794649095.737331,2849209058.1430726
2021-12-31,2.038607,3278.041095890463,2796192341.1647434,2850994824.948346
2022-01-01,2.046862,3279.0,2797735586.59218,2852780591.75361
2022-01-02,2.046862,3280.013698630137,2798212822.9892106,2853603923.242233
2022-01-03,2.045692,3281.0273972602736,2798690059.3862414,2854427254.7308555
2022-01-04,2.035648,3282.0410958904104,2799167295.7832723,2855250586.219478
2022-01-05,2.031775,3283.054794520547,2799644532.180303,2856073917.708101
2022-01-06,2.037352,3284.068493150684,2800121768.577334,2856897249.1967235
2022-01-07,2.033439,3285.0821917808207,2800599004.9743648,2857720580.685346
2022-01-08,2.045673,3286.0958904109575,2801076241.3713956,2858543912.173969
2022-01-09,2.045673,3287.1095890410943,2801553477.7684264,2859367243.6625915
2022-01-10,2.040804,3288.123287671231,2802030714.1654572,2860190575.151214
2022-01-11,2.039926,3289.136986301368,2802507950.562488,2861013906.639837
2022-01-12,2.047803,3290.1506849315047,2802985186.959519,2861837238.1284595
2022-01-13,2.059485,3291.1643835616414,2803462423.3565497,2862660569.617082
2022-01-14,2.064323,3292.1780821917782,2803939659.7535806,2863483901.105705
2022-01-15,2.0549,3293.191780821915,2804416896.1506114,2864307232.5943274
2022-01-16,2.0549,3294.205479452052,2804894132.547642,2865130564.08295
2022-01-17,2.053517,3295.2191780821886,2805371368.944673,2865953895.571573
2022-01-18,2.055269,3296.2328767123254,2805848605.341704,2866777227.0601954
2022-01-19,2.038367,3297.246575342462,2806325841.7387347,2867600558.548818
2022-01-20,2.044932,3298.260273972599,2806803078.1357656,2868423890.037441
2022-01-21,2.035148,3299.2739726027357,2807280314.5327964,2869247221.5260634
2022-01-22,2.036383,3300.2876712328725,2807757550.929827,2870070553.014686
2022-01-23,2.036383,3301.3013698630093,2808234787.326858,2870893884.503309
2022-01-24,2.034997,3302.315068493146,2808712023.723889,2871717215.9919314
2022-01-25,2.032707,3303.328767123283,2809189260.1209197,2872540547.480554
2022-01-26,2.028696,3304.3424657534197,2809666496.5179505,2873363878.969177
2022-01-27,2.01631,3305.3561643835565,2810143732.9149814,2874187210.4577994
2022-01-28,2.006062,3306.3698630136932,2810620969.312012,2875010541.946422
2022-01-29,2.007178,3307.38356164383,2811098205.709043,2875833873.435045
2022-01-30,2.007178,3308.397260273967,2811575442.106074,2876657204.9236674
2022-01-31,2.006743,3309.4109589041036,2812052678.5031047,2877480536.41229
2022-02-01,2.023699,3310.4246575342404,2812529914.9001355,2878303867.900913
2022-02-02,2.030174,3311.438356164377,2813007151.2971663,2879127199.3895354
2022-02-03,2.034176,3312.452054794514,2813484387.694197,2879950530.878158
2022-02-04,2.062275,3313.4657534246508,2813961624.091228,2880773862.3667808
2022-02-05,2.061474,3314.4794520547875,2814438860.488259,2881597193.8554034
2022-02-06,2.061474,3315.4931506849243,2814916096.8852897,2882420525.344026
2022-02-07,2.062098,3316.506849315061,2815393333.2823205,2883243856.8326488
2022-02-08,2.059794,3317.520547945198,2815870569.6793513,2884067188.3212714
2022-02-09,2.054838,3318.5342465753347,2816347806.076382,2884890519.809894
2022-02-10,2.055781,3319.5479452054715,2816825042.473413,2885713851.2985168
2022-02-11,2.052257,3320.5616438356083,2817302278.870444,2886537182.7871394
2022-02-12,2.043175,3321.575342465745,2817779515.2674747,2887360514.275762
2022-02-13,2.043175,3322.589041095882,2818256751.6645055,2888183845.7643847
2022-02-14,2.043939,3323.6027397260186,2818733988.0615363,2889007177.2530074
2022-02-15,2.03624,3324.6164383561554,2819211224.458567,2889830508.74163
2022-02-16,2.044264,3325.630136986292,2819688460.855598,2890653840.2302527
2022-02-17,2.048474,3326.643835616429,2820165697.252629,2891477171.7188754
2022-02-18,2.045007,3327.657534246566,2820642933.6496596,2892300503.207498
2022-02-19,2.038317,3328.6712328767026,2821120170.0466905,2893123834.6961207
2022-02-20,2.038317,3329.6849315068393,2821597406.4437213,2893947166.1847434
2022-02-21,2.037923,3330.698630136976,2822074642.840752,2894770497.673366
2022-02-22,2.037185,3331.712328767113,2822551879.237783,2895593829.1619887
2022-02-23,2.04029,3332.7260273972497,2823029115.634814,2896417160.6506114
2022-02-24,2.030829,3333.7397260273865,2823506352.0318446,2897240492.139234
2022-02-25,2.014672,3334.7534246575233,2823983588.4288754,2898063823.6278567
2022-02-26,2.029356,3335.76712328766,2824460824.8259063,2898887155.1164794
2022-02-27,2.029356,3336.780821917797,2824938061.222937,2899710486.605102
2022-02-28,2.010576,3337.7945205479336,2825415297.619968,2900533818.0937247
2022-03-01,2.017094,3338.8082191780704,2825892534.016999,2901357149.5823474
2022-03-02,2.002837,3339.821917808207,2826369770.4140296,2902180481.07097
2022-03-03,1.998589,3340.835616438344,2826847006.8110604,2903003812.5595927
2022-03-04,1.984556,3341.849315068481,2827324243.2080913,2903827144.0482154
2022-03-05,1.970857,3342.8630136986176,2827801479.605122,2904650475.536838
2022-03-06,1.970857,3343.8767123287544,2828278716.002153,2905473807.0254607
2022-03-07,1.953502,3344.890410958891,2828755952.3991838,2906297138.5140834
2022-03-08,1.953969,3345.904109589028,2829233188.7962146,2907120470.002706
2022-03-09,1.963708,3346.9178082191647,2829710425.1932454,2907943801.4913287
