,Rate,Gdp,Import,Export
2021-12-17,1.581627,1722599.9863013458,340651948249.8107,462875013527.59607
2021-12-18,1.577277,1722790.720547921,340813699639.0447,463082663222.0344
2021-12-19,1.577277,1722981.4547944963,340975451028.2786,463290312916.4728
2021-12-20,1.579708,1723172.1890410716,341137202417.5126,463497962610.91113
2021-12-21,1.586287,1723362.9232876468,341298953806.7465,463705612305.3495
2021-12-22,1.578864,1723553.6575342221,341460705195.98047,463913261999.78784
2021-12-23,1.574305,1723744.3917807974,341622456585.2144,464120911694.2262
2021-12-24,1.565056,1723935.1260273727,341784207974.44836,464328561388.66455
2021-12-25,1.57165,1724125.860273948,341945959363.6823,464536211083.1029
2021-12-26,1.57165,1724316.5945205232,342107710752.91626,464743860777.54126
2021-12-27,1.565283,1724507.3287670985,342269462142.1502,464951510471.9796
2021-12-28,1.565375,1724698.0630136738,342431213531.38416,465159160166.41797
2021-12-29,1.564735,1724888.797260249,342592964920.6181,465366809860.8563
2021-12-30,1.561507,1725079.5315068243,342754716309.85205,465574459555.2947
2021-12-31,1.561071,1725270.2657533996,342916467699.086,465782109249.73303
2022-01-01,1.564485,1725461.0,343078219088.328,465989758944.171
2022-01-02,1.564485,1725507.5753424657,343200013412.94165,465941862102.6369
2022-01-03,1.561771,1725554.1506849313,343321807737.5553,465893965261.1028
2022-01-04,1.571186,1725600.726027397,343443602062.16895,465846068419.56866
2022-01-05,1.560143,1725647.3013698626,343565396386.7826,465798171578.03455
2022-01-06,1.56898,1725693.8767123283,343687190711.39624,465750274736.5004
2022-01-07,1.574561,1725740.452054794,343808985036.0099,465702377894.9663
2022-01-08,1.582288,1725787.0273972596,343930779360.62354,465654481053.4322
2022-01-09,1.582629,1725833.6027397253,344052573685.2372,465606584211.8981
2022-01-10,1.575614,1725880.178082191,344174368009.8508,465558687370.36395
2022-01-11,1.576829,1725926.7534246566,344296162334.4645,465510790528.82983
2022-01-12,1.575847,1725973.3287671222,344417956659.0781,465462893687.2957
2022-01-13,1.571633,1726019.904109588,344539750983.6918,465414996845.7616
2022-01-14,1.577587,1726066.4794520536,344661545308.3054,465367100004.2275
2022-01-15,1.584031,1726113.0547945192,344783339632.91907,465319203162.69336
2022-01-16,1.582516,1726159.6301369849,344905133957.5327,465271306321.15924
2022-01-17,1.582087,1726206.2054794505,345026928282.14636,465223409479.6251
2022-01-18,1.581432,1726252.7808219162,345148722606.76,465175512638.091
2022-01-19,1.575167,1726299.3561643818,345270516931.37366,465127615796.5569
2022-01-20,1.566598,1726345.9315068475,345392311255.9873,465079718955.02277
2022-01-21,1.57269,1726392.5068493132,345514105580.60095,465031822113.48865
2022-01-22,1.579236,1726439.0821917788,345635899905.2146,464983925271.9545
2022-01-23,1.579236,1726485.6575342445,345757694229.82825,464936028430.4204
