,Rate,Gdp,Import,Export
2021-12-17,1.132608,13063.383561644008,5361358904.109621,5339292576.831715
2021-12-18,1.131608,13068.22465753442,5363621643.835649,5345033896.88523
2021-12-19,1.131608,13073.065753424831,5365884383.561676,5350775216.9387455
2021-12-20,1.132394,13077.906849315243,5368147123.2877035,5356516536.99226
2021-12-21,1.127261,13082.747945205654,5370409863.013731,5362257857.045774
2021-12-22,1.128838,13087.589041096066,5372672602.7397585,5367999177.09929
2021-12-23,1.129792,13092.430136986477,5374935342.465786,5373740497.152805
2021-12-24,1.13311,13097.271232876888,5377198082.191813,5379481817.20632
2021-12-25,1.134074,13102.1123287673,5379460821.917841,5385223137.259834
2021-12-26,1.134074,13106.953424657711,5381723561.643868,5390964457.31335
2021-12-27,1.131993,13111.794520548123,5383986301.369896,5396705777.366865
2021-12-28,1.133474,13116.635616438534,5386249041.095923,5402447097.42038
2021-12-29,1.133352,13121.476712328946,5388511780.821951,5408188417.473894
2021-12-30,1.130176,13126.317808219357,5390774520.547978,5413929737.52741
2021-12-31,1.132525,13131.158904109769,5393037260.274006,5419671057.580925
2022-01-01,1.137387,13136.0,5395300000.0,5425412377.63439
2022-01-02,1.137387,13139.29315068493,5396726027.397261,5427015717.29123
2022-01-03,1.136737,13142.586301369862,5398152054.794521,5428619056.948071
2022-01-04,1.135481,13145.879452054793,5399578082.191782,5430222396.604911
2022-01-05,1.128303,13149.172602739724,5401004109.589043,5431825736.261751
2022-01-06,1.131863,13152.465753424654,5402430136.986303,5433429075.9185915
2022-01-07,1.129753,13155.758904109585,5403856164.383564,5435032415.575432
2022-01-08,1.13622,13159.052054794516,5405282191.780825,5436635755.232272
2022-01-09,1.130549,13162.345205479447,5406708219.178085,5438239094.889112
2022-01-10,1.128832,13165.638356164378,5408134246.575346,5439842434.545953
2022-01-11,1.133042,13168.931506849309,5409560273.972607,5441445774.202793
2022-01-12,1.134246,13172.22465753424,5410986301.369867,5443049113.859633
2022-01-13,1.143982,13175.51780821917,5412412328.767128,5444652453.516474
2022-01-14,1.146262,13178.810958904101,5413838356.164389,5446255793.173314
2022-01-15,1.141292,13182.104109589032,5415264383.561649,5447859132.830154
2022-01-16,1.141292,13185.397260273963,5416690410.95891,5449462472.486995
2022-01-17,1.140524,13188.690410958894,5418116438.356171,5451065812.143835
2022-01-18,1.141706,13191.983561643825,5419542465.753431,5452669151.800675
2022-01-19,1.132365,13195.276712328756,5420968493.150692,5454272491.457516
2022-01-20,1.136178,13198.569863013687,5422394520.547953,5455875831.114356
2022-01-21,1.130533,13201.863013698618,5423820547.945213,5457479170.771196
2022-01-22,1.13478,13205.156164383548,5425246575.342474,5459082510.428037
2022-01-23,1.13478,13208.44931506848,5426672602.739735,5460685850.084877
2022-01-24,1.134009,13211.74246575341,5428098630.136995,5462289189.741717
2022-01-25,1.132362,13215.035616438341,5429524657.534256,5463892529.398558
2022-01-26,1.130137,13218.328767123272,5430950684.931517,5465495869.055398
2022-01-27,1.123338,13221.621917808203,5432376712.328777,5467099208.712238
2022-01-28,1.113945,13224.915068493134,5433802739.726038,5468702548.369079
2022-01-29,1.114079,13228.208219178065,5435228767.123299,5470305888.025919
2022-01-30,1.114079,13231.501369862995,5436654794.520559,5471909227.682759
2022-01-31,1.112908,13234.794520547926,5438080821.91782,5473512567.3396
2022-02-01,1.117547,13238.087671232857,5439506849.315081,5475115906.99644
2022-02-02,1.127711,13241.380821917788,5440932876.712341,5476719246.65328
2022-02-03,1.129448,13244.673972602719,5442358904.109602,5478322586.310121
2022-02-04,1.144259,13247.96712328765,5443784931.506863,5479925925.966961
2022-02-05,1.14534,13251.26027397258,5445210958.904123,5481529265.623801
2022-02-06,1.14534,13254.553424657512,5446636986.301384,5483132605.280642
2022-02-07,1.145686,13257.846575342443,5448063013.698645,5484735944.937482
2022-02-08,1.143956,13261.139726027373,5449489041.095905,5486339284.594322
2022-02-09,1.141403,13264.432876712304,5450915068.493166,5487942624.251163
2022-02-10,1.141822,13267.726027397235,5452341095.890427,5489545963.908003
2022-02-11,1.139999,13271.019178082166,5453767123.287687,5491149303.564843
2022-02-12,1.135104,13274.312328767097,5455193150.684948,5492752643.2216835
2022-02-13,1.13951,13277.605479452028,5456619178.082209,5494355982.878524
2022-02-14,1.139935,13280.898630136959,5458045205.479469,5495959322.535364
2022-02-15,1.131548,13284.19178082189,5459471232.87673,5497562662.192204
2022-02-16,1.135414,13287.48493150682,5460897260.273991,5499166001.849045
2022-02-17,1.138133,13290.778082191751,5462323287.671251,5500769341.505885
2022-02-18,1.135313,13294.071232876682,5463749315.068512,5502372681.162725
2022-02-19,1.132281,13297.364383561613,5465175342.465773,5503976020.819566
2022-02-20,1.132281,13300.657534246544,5466601369.863033,5505579360.476406
2022-02-21,1.132062,13303.950684931475,5468027397.260294,5507182700.133246
2022-02-22,1.131547,13307.243835616406,5469453424.657555,5508786039.790087
2022-02-23,1.133137,13310.536986301337,5470879452.054815,5510389379.446927
2022-02-24,1.128012,13313.830136986267,5472305479.452076,5511992719.103767
2022-02-25,1.119458,13317.123287671198,5473731506.849337,5513596058.760608
2022-02-26,1.124704,13320.41643835613,5475157534.246597,5515199398.417448
2022-02-27,1.11896,13323.70958904106,5476583561.643858,5516802738.074288
2022-02-28,1.108605,13327.002739725991,5478009589.041119,5518406077.731129
2022-03-01,1.120903,13330.295890410922,5479435616.438379,5520009417.387969
2022-03-02,1.112219,13333.589041095853,5480861643.83564,5521612757.044809
2022-03-03,1.109863,13336.882191780784,5482287671.232901,5523216096.70165
2022-03-04,1.104475,13340.175342465714,5483713698.630161,5524819436.35849
2022-03-05,1.100071,13343.468493150645,5485139726.027422,5526422776.01533
2022-03-06,1.100071,13346.761643835576,5486565753.424683,5528026115.672171
2022-03-07,1.090383,13350.054794520507,5487991780.821943,5529629455.329011
2022-03-08,1.083412,13353.347945205438,5489417808.219204,5531232794.985851
2022-03-09,1.088978,13356.641095890369,5490843835.616465,5532836134.642692
2022-03-10,1.104663,13359.9342465753,5492269863.013725,5534439474.299532
2022-03-11,1.098231,13363.22739726023,5493695890.410986,5536042813.956372
2022-03-12,1.089372,13366.520547945162,5495121917.808247,5537646153.613213
2022-03-13,1.089372,13369.813698630092,5496547945.205507,5539249493.270053
