,Rate,Gdp,Import,Export
2021-12-17,97.222163,458395.4109589022,95124138212.77963,59623649294.3907
2021-12-18,97.138946,458515.78356164193,95193004191.08755,59653172577.96486
2021-12-19,97.138946,458636.15616438165,95261870169.39548,59682695861.53902
2021-12-20,97.208559,458756.5287671214,95330736147.7034,59712219145.113174
2021-12-21,96.714252,458876.9013698611,95399602126.01132,59741742428.68733
2021-12-22,96.852527,458997.2739726008,95468468104.31924,59771265712.26149
2021-12-23,96.932634,459117.64657534054,95537334082.62717,59800788995.83565
2021-12-24,97.214736,459238.01917808026,95606200060.93509,59830312279.409805
2021-12-25,97.211085,459358.39178082,95675066039.24301,59859835562.98396
2021-12-26,97.211085,459478.7643835597,95743932017.55093,59889358846.55812
2021-12-27,97.032723,459599.1369862994,95812797995.85886,59918882130.13228
2021-12-28,97.235226,459719.50958903914,95881663974.16678,59948405413.706436
2021-12-29,97.234671,459839.88219177886,95950529952.4747,59977928697.280594
2021-12-30,96.959945,459960.2547945186,96019395930.78262,60007451980.85475
2021-12-31,97.165423,460080.6273972583,96088261909.09055,60036975264.42891
2022-01-01,97.495932,460201.0,96157127887.3964,60066498548.0042
2022-01-02,97.495932,460177.25479452056,96107307853.65898,60063260630.1529
2022-01-03,97.440215,460153.5095890411,96057487819.92157,60060022712.3016
2022-01-04,97.417737,460129.7643835617,96007667786.18416,60056784794.450294
2022-01-05,96.804052,460106.01917808224,95957847752.44675,60053546876.59899
2022-01-06,97.088581,460082.2739726028,95908027718.70934,60050308958.74769
2022-01-07,97.132717,460058.52876712335,95858207684.97192,60047071040.896385
2022-01-08,97.642373,460034.7835616439,95808387651.23451,60043833123.04508
2022-01-09,97.157178,460011.03835616447,95758567617.4971,60040595205.19378
2022-01-10,97.00962,459987.29315068503,95708747583.75969,60037357287.342476
2022-01-11,97.416303,459963.5479452056,95658927550.02228,60034119369.49117
2022-01-12,97.513867,459939.80273972615,95609107516.28487,60030881451.63987
2022-01-13,98.352107,459916.0575342467,95559287482.54745,60027643533.78857
2022-01-14,98.547798,459892.31232876726,95509467448.81004,60024405615.93726
2022-01-15,98.05542,459868.5671232878,95459647415.07263,60021167698.08596
2022-01-16,98.05542,459844.8219178084,95409827381.33522,60017929780.23466
2022-01-17,97.989419,459821.07671232894,95360007347.59781,60014691862.383354
2022-01-18,98.156493,459797.3315068495,95310187313.8604,60011453944.53205
2022-01-19,97.351301,459773.58630137006,95260367280.12299,60008216026.68075
2022-01-20,97.681679,459749.8410958906,95210547246.38557,60004978108.829445
2022-01-21,97.199752,459726.0958904112,95160727212.64816,60001740190.97814
2022-01-22,97.522573,459702.35068493173,95110907178.91075,59998502273.12684
2022-01-23,97.522573,459678.6054794523,95061087145.17334,59995264355.275536
2022-01-24,97.456236,459654.86027397285,95011267111.43593,59992026437.42423
2022-01-25,97.356605,459631.1150684934,94961447077.69852,59988788519.57293
2022-01-26,97.161436,459607.36986301397,94911627043.9611,59985550601.72163
2022-01-27,96.576848,459583.6246575345,94861807010.2237,59982312683.87032
2022-01-28,95.770097,459559.8794520551,94811986976.48628,59979074766.01902
2022-01-29,95.745705,459536.13424657565,94762166942.74887,59975836848.16772
2022-01-30,95.745705,459512.3890410962,94712346909.01146,59972598930.316414
2022-01-31,95.64123,459488.64383561676,94662526875.27405,59969361012.46511
2022-02-01,96.08327,459464.8986301373,94612706841.53664,59966123094.61381
2022-02-02,96.955847,459441.1534246579,94562886807.79922,59962885176.762505
2022-02-03,97.106493,459417.40821917844,94513066774.06181,59959647258.9112
2022-02-04,98.381118,459393.663013699,94463246740.3244,59956409341.0599
2022-02-05,98.39098,459369.91780821956,94413426706.58699,59953171423.208595
2022-02-06,98.39098,459346.1726027401,94363606672.84958,59949933505.35729
2022-02-07,98.420764,459322.4273972607,94313786639.11217,59946695587.50599
2022-02-08,98.351658,459298.68219178123,94263966605.37476,59943457669.654686
2022-02-09,98.134297,459274.9369863018,94214146571.63734,59940219751.80338
2022-02-10,98.169431,459251.19178082235,94164326537.89993,59936981833.95208
2022-02-11,98.011922,459227.4465753429,94114506504.16252,59933743916.10078
2022-02-12,97.588863,459203.70136986347,94064686470.42511,59930505998.24947
2022-02-13,97.967634,459179.956164384,94014866436.6877,59927268080.39817
2022-02-14,98.00424,459156.2109589046,93965046402.95029,59924030162.54687
2022-02-15,97.285679,459132.46575342515,93915226369.21288,59920792244.695564
2022-02-16,97.611684,459108.7205479457,93865406335.47546,59917554326.84426
2022-02-17,97.851837,459084.97534246626,93815586301.73805,59914316408.99296
2022-02-18,97.604226,459061.2301369868,93765766268.00064,59911078491.141655
2022-02-19,97.485026,459037.4849315074,93715946234.26323,59907840573.29035
2022-02-20,97.485026,459013.73972602794,93666126200.52582,59904602655.43905
2022-02-21,97.466167,458989.9945205485,93616306166.7884,59901364737.587746
2022-02-22,97.286537,458966.24931506906,93566486133.051,59898126819.73644
2022-02-23,97.419314,458942.5041095896,93516666099.31358,59894888901.88514
2022-02-24,96.973171,458918.7589041102,93466846065.57617,59891650984.03384
2022-02-25,96.238496,458895.01369863073,93417026031.83876,59888413066.18253
2022-02-26,96.696917,458871.2684931513,93367205998.10135,59885175148.33123
2022-02-27,96.203049,458847.52328767185,93317385964.36394,59881937230.47993
2022-02-28,95.312784,458823.7780821924,93267565930.62653,59878699312.628624
2022-03-01,96.376932,458800.03287671297,93217745896.88911,59875461394.77732
2022-03-02,95.619636,458776.2876712335,93167925863.1517,59872223476.92602
2022-03-03,95.477283,458752.5424657541,93118105829.41429,59868985559.074715
2022-03-04,95.010788,458728.79726027464,93068285795.67688,59865747641.22341
2022-03-05,94.761717,458705.0520547952,93018465761.93947,59862509723.37211
2022-03-06,94.761717,458681.30684931576,92968645728.20206,59859271805.520805
2022-03-07,93.92726,458657.5616438363,92918825694.46465,59856033887.6695
2022-03-08,93.142983,458633.8164383569,92869005660.72723,59852795969.8182
2022-03-09,93.628744,458610.07123287744,92819185626.98982,59849558051.966896
2022-03-10,95.027363,458586.326027398,92769365593.25241,59846320134.11559
2022-03-11,94.478707,458562.58082191856,92719545559.515,59843082216.26429
2022-03-12,93.741183,458538.8356164391,92669725525.77759,59839844298.41299
2022-03-13,93.741183,458515.0904109597,92619905492.04018,59836606380.56168
2022-03-14,93.76885,458491.34520548023,92570085458.30276,59833368462.71038
2022-03-15,94.119659,458467.6000000008,92520265424.56535,59830130544.85908
2022-03-16,94.159903,458443.85479452135,92470445390.82794,59826892627.007774
2022-03-17,94.733246,458420.1095890419,92420625357.09053,59823654709.15647
2022-03-18,95.549759,458396.36438356247,92370805323.35312,59820416791.30517
2022-03-19,95.406348,458372.619178083,92320985289.6157,59817178873.453865
2022-03-20,95.406348,458348.8739726036,92271165255.8783,59813940955.60256
2022-03-21,95.275171,458325.12876712414,92221345222.14088,59810703037.75126
2022-03-22,94.648521,458301.3835616447,92171525188.40347,59807465119.899956
2022-03-23,94.804009,458277.63835616526,92121705154.66606,59804227202.04865
2022-03-24,94.55963,458253.8931506858,92071885120.92865,59800989284.19735
2022-03-25,95.064473,458230.1479452064,92022065087.19124,59797751366.34605
2022-03-26,94.817974,458206.40273972694,91972245053.45383,59794513448.49474
2022-03-27,95.050164,458182.6575342475,91922425019.71642,59791275530.64344
2022-03-28,94.778015,458158.91232876806,91872604985.979,59788037612.79214
2022-03-29,95.473449,458135.1671232886,91822784952.2416,59784799694.940834
2022-03-30,96.160266,458111.4219178092,91772964918.50418,59781561777.08953
2022-03-31,95.462915,458087.67671232973,91723144884.76677,59778323859.23823
2022-04-01,95.286255,458063.9315068503,91673324851.02936,59775085941.386925
2022-04-02,95.438622,458040.18630137085,91623504817.29195,59771848023.53562
2022-04-03,95.438907,458016.4410958914,91573684783.55453,59768610105.68432
2022-04-04,94.591801,457992.69589041197,91523864749.81712,59765372187.833015
2022-04-05,93.974744,457968.9506849325,91474044716.07971,59762134269.98171
2022-04-06,94.081942,457945.2054794531,91424224682.3423,59758896352.13041
2022-04-07,94.035381,457921.46027397364,91374404648.60489,59755658434.279106
2022-04-08,93.940102,457897.7150684942,91324584614.86748,59752420516.4278
2022-04-09,93.875858,457873.96986301476,91274764581.13007,59749182598.5765
2022-04-10,93.875858,457850.2246575353,91224944547.39265,59745944680.7252
2022-04-11,93.959701,457826.4794520559,91175124513.65524,59742706762.87389
2022-04-12,93.903864,457802.73424657644,91125304479.91783,59739468845.02259
2022-04-13,93.323162,457778.989041097,91075484446.18042,59736230927.17129
2022-04-14,93.352782,457755.24383561756,91025664412.44301,59732993009.319984
2022-04-15,93.351661,457731.4986301381,90975844378.7056,59729755091.46868
2022-04-16,94.204232,457707.7534246587,90926024344.96819,59726517173.61738
2022-04-17,94.204232,457684.00821917923,90876204311.23077,59723279255.766075
2022-04-18,94.144796,457660.2630136998,90826384277.49336,59720041337.91477
2022-04-20,93.106009,457612.7726027409,90726744210.01854,59713565502.212166
2022-04-21,93.588607,457589.02739726147,90676924176.28113,59710327584.36086
2022-04-22,93.94792,457565.282191782,90627104142.54372,59707089666.50956
2022-04-23,93.062916,457541.5369863026,90577284108.8063,59703851748.65826
2022-04-24,93.369194,457517.79178082314,90527464075.0689,59700613830.80695
2022-04-25,93.413627,457494.0465753437,90477644041.33148,59697375912.95565
2022-04-26,92.381699,457470.30136986426,90427824007.59407,59694137995.10435
2022-04-27,92.102466,457446.5561643848,90378003973.85666,59690900077.253044
2022-04-28,91.28464,457422.8109589054,90328183940.11925,59687662159.40174
2022-04-29,90.831117,457399.06575342594,90278363906.38184,59684424241.55044
2022-04-30,91.383694,457375.3205479465,90228543872.64442,59681186323.699135
2022-05-01,91.383694,457351.57534246705,90178723838.90701,59677948405.84783
2022-05-02,91.25143,457327.8301369876,90128903805.1696,59674710487.99653
2022-05-03,91.226903,457304.0849315082,90079083771.43219,59671472570.145226
2022-05-04,90.885862,457280.33972602873,90029263737.69478,59668234652.29392
2022-05-05,92.171896,457256.5945205493,89979443703.95737,59664996734.44262
2022-05-06,91.240883,457232.84931506985,89929623670.21996,59661758816.59132
2022-05-07,91.175476,457209.1041095904,89879803636.48254,59658520898.74001
2022-05-08,91.175476,457185.35890411097,89829983602.74513,59655282980.88871
2022-05-09,90.991217,457161.6136986315,89780163569.00772,59652045063.03741
2022-05-10,91.640693,457137.8684931521,89730343535.27031,59648807145.186104
2022-05-11,91.262374,457114.12328767264,89680523501.5329,59645569227.3348
2022-05-12,91.122238,457090.3780821932,89630703467.79549,59642331309.4835
2022-05-13,89.988774,457066.63287671376,89580883434.05807,59639093391.632195
2022-05-14,90.225946,457042.8876712343,89531063400.32066,59635855473.78089
2022-05-15,90.225946,457019.1424657549,89481243366.58325,59632617555.92959
2022-05-16,90.136766,456995.39726027544,89431423332.84584,59629379638.078285
2022-05-17,91.492447,456971.652054796,89381603299.10843,59626141720.22698
2022-05-18,92.303902,456947.90684931655,89331783265.37102,59622903802.37568
2022-05-19,91.685693,456924.1616438371,89281963231.6336,59619665884.524376
2022-05-20,92.659087,456900.4164383577,89232143197.8962,59616427966.67307
2022-05-21,92.470084,456876.67123287823,89182323164.15878,59613190048.82177
2022-05-22,92.470084,456852.9260273988,89132503130.42137,59609952130.97047
2022-05-23,92.53855,456829.18082191935,89082683096.68396,59606714213.11916
2022-05-24,93.953931,456805.4356164399,89032863062.94655,59603476295.26786
2022-05-25,94.365147,456781.69041096047,88983043029.20914,59600238377.41656
2022-05-26,94.095715,456757.945205481,88933222995.47173,59597000459.565254
2022-05-27,94.456946,456734.2000000016,88883402961.73431,59593762541.71395
2022-05-28,94.272713,456710.45479452214,88833582927.9969,59590524623.86265
2022-05-29,94.272713,456686.7095890427,88783762894.25949,59587286706.011345
2022-05-30,94.215529,456662.96438356326,88733942860.52208,59584048788.16004
2022-05-31,95.904312,456639.2191780838,88684122826.78467,59580810870.30874
2022-06-01,95.597906,456615.4739726044,88634302793.04726,59577572952.457436
2022-06-02,94.873536,456591.72876712494,88584482759.30984,59574335034.60613
2022-06-03,95.768294,456567.9835616455,88534662725.57243,59571097116.75483
2022-06-04,95.478718,456544.23835616605,88484842691.83502,59567859198.90353
2022-06-05,95.63058,456520.4931506866,88435022658.09761,59564621281.05222
2022-06-06,95.681878,456496.7479452072,88385202624.3602,59561383363.20092
2022-06-07,98.056124,456473.00273972773,88335382590.62279,59558145445.34962
2022-06-08,98.933006,456449.2575342483,88285562556.88538,59554907527.498314
2022-06-09,99.548785,456425.51232876885,88235742523.14796,59551669609.64701
2022-06-10,98.736846,456401.7671232894,88185922489.41055,59548431691.79571
2022-06-11,97.842649,456378.02191780997,88136102455.67314,59545193773.944405
2022-06-12,98.501259,456354.2767123305,88086282421.93573,59541955856.0931
2022-06-13,98.216145,456330.5315068511,88036462388.19832,59538717938.2418
2022-06-14,98.277699,456306.78630137164,87986642354.4609,59535480020.390495
2022-06-15,96.961356,456283.0410958922,87936822320.7235,59532242102.53919
2022-06-16,97.171189,456259.29589041276,87887002286.98608,59529004184.68789
2022-06-17,98.025918,456235.5506849333,87837182253.24867,59525766266.836586
2022-06-18,97.531454,456211.8054794539,87787362219.51126,59522528348.98528
2022-06-19,97.752082,456188.06027397444,87737542185.77385,59519290431.13398
2022-06-20,97.708379,456164.315068495,87687722152.03644,59516052513.28268
2022-06-21,97.825539,456140.56986301555,87637902118.29903,59512814595.43137
2022-06-22,97.894736,456116.8246575361,87588082084.56161,59509576677.58007
2022-06-23,98.240253,456093.07945205667,87538262050.8242,59506338759.72877
2022-06-24,97.808749,456069.33424657723,87488442017.08679,59503100841.877464
2022-06-25,98.04127,456045.5890410978,87438621983.34938,59499862924.02616
2022-06-26,98.04127,456021.84383561835,87388801949.61197,59496625006.17486
2022-06-27,98.186948,455998.0986301389,87338981915.87456,59493387088.323555
2022-06-28,98.410652,455974.35342465946,87289161882.13715,59490149170.47225
2022-06-29,98.393451,455950.60821918,87239341848.39973,59486911252.62095
2022-06-30,97.514667,455926.8630137006,87189521814.66232,59483673334.769646
2022-07-01,97.901501,455903.11780822114,87139701780.92491,59480435416.91834
2022-07-02,97.45538,455879.3726027417,87089881747.1875,59477197499.06704
2022-07-03,97.45538,455855.62739726226,87040061713.45009,59473959581.21574
2022-07-04,97.592151,455831.8821917828,86990241679.71268,59470721663.36443
2022-07-05,97.468605,455808.1369863034,86940421645.97527,59467483745.51313
2022-07-06,95.987554,455784.39178082393,86890601612.23785,59464245827.66183
2022-07-07,95.186376,455760.6465753445,86840781578.50044,59461007909.810524
2022-07-08,94.993446,455736.90136986505,86790961544.76303,59457769991.95922
2022-07-09,94.817858,455713.1561643856,86741141511.02562,59454532074.10792
2022-07-10,94.738261,455689.41095890617,86691321477.28821,59451294156.256615
2022-07-11,94.738261,455665.6657534267,86641501443.5508,59448056238.40531
2022-07-12,94.445786,455641.9205479473,86591681409.81339,59444818320.55401
2022-07-13,94.402606,455618.17534246785,86541861376.07597,59441580402.702705
2022-07-14,94.185925,455594.4301369884,86492041342.33856,59438342484.8514
2022-07-15,94.07697,455570.68493150896,86442221308.60115,59435104567.0001
2022-07-16,94.799811,455546.9397260295,86392401274.86374,59431866649.148796
2022-07-17,94.614445,455523.1945205501,86342581241.12633,59428628731.29749
2022-07-18,94.698378,455499.44931507064,86292761207.38892,59425390813.44619
2022-07-19,95.277967,455475.7041095912,86242941173.6515,59422152895.59489
2022-07-20,96.160589,455451.95890411176,86193121139.9141,59418914977.74358
2022-07-21,95.612281,455428.2136986323,86143301106.17668,59415677059.89228
2022-07-22,96.429803,455404.4684931529,86093481072.43927,59412439142.04098
2022-07-23,96.547986,455380.72328767343,86043661038.70186,59409201224.189674
2022-07-24,96.068791,455356.978082194,85993841004.96445,59405963306.33837
2022-07-25,95.979617,455333.23287671455,85944020971.22704,59402725388.48707
2022-07-26,96.493592,455309.4876712351,85894200937.48962,59399487470.635765
2022-07-27,96.032055,455285.74246575567,85844380903.75221,59396249552.78446
2022-07-28,96.575113,455261.9972602762,85794560870.0148,59393011634.93316
2022-07-29,96.566292,455238.2520547968,85744740836.27739,59389773717.081856
2022-07-30,96.954497,455214.50684931735,85694920802.53998,59386535799.23055
2022-07-31,96.954497,455190.7616438379,85645100768.80257,59383297881.37925
2022-08-01,96.953051,455167.01643835846,85595280735.06516,59380059963.52795
2022-08-02,97.244107,455143.271232879,85545460701.32774,59376822045.67664
2022-08-03,96.168414,455119.5260273996,85495640667.59033,59373584127.82534
2022-08-04,96.151207,455095.78082192014,85445820633.85292,59370346209.97404
2022-08-05,97.201818,455072.0356164407,85396000600.11551,59367108292.122734
2022-08-06,96.434685,455048.29041096126,85346180566.3781,59363870374.27143
2022-08-07,96.879288,455024.5452054818,85296360532.64069,59360632456.42013
2022-08-08,96.746326,455000.8000000024,85246540498.90327,59357394538.568825
2022-08-09,96.530626,454977.05479452293,85196720465.16586,59354156620.71752
2022-08-10,96.69088,454953.3095890435,85146900431.42845,59350918702.86622
2022-08-11,97.862945,454929.56438356405,85097080397.69104,59347680785.014915
2022-08-12,97.96689,454905.8191780846,85047260363.95363,59344442867.16361
2022-08-13,97.495672,454882.07397260517,84997440330.21622,59341204949.31231
2022-08-14,97.495672,454858.3287671257,84947620296.4788,59337967031.461006
2022-08-15,97.473146,454834.5835616463,84897800262.7414,59334729113.6097
2022-08-16,96.559798,454810.83835616685,84847980229.00398,59331491195.7584
2022-08-17,96.609919,454787.0931506874,84798160195.26657,59328253277.9071
2022-08-18,96.772388,454763.34794520796,84748340161.52916,59325015360.05579
2022-08-19,95.833493,454739.6027397285,84698520127.79175,59321777442.20449
2022-08-20,95.43106,454715.8575342491,84648700094.05434,59318539524.35319
2022-08-21,95.558406,454692.11232876964,84598880060.31693,59315301606.501884
2022-08-22,95.494157,454668.3671232902,84549060026.57951,59312063688.65058
2022-08-23,94.36196,454644.62191781076,84499239992.8421,59308825770.79928
2022-08-24,94.671026,454620.8767123313,84449419959.10469,59305587852.947975
2022-08-25,94.627004,454597.1315068519,84399599925.36728,59302349935.09667
2022-08-26,94.636519,454573.38630137243,84349779891.62987,59299112017.24537
2022-08-27,94.756658,454549.641095893,84299959857.89246,59295874099.394066
2022-08-28,95.160293,454525.89589041355,84250139824.15504,59292636181.54276
2022-08-29,94.919593,454502.1506849341,84200319790.41763,59289398263.69146
2022-08-30,95.181093,454478.40547945467,84150499756.68022,59286160345.84016
2022-08-31,95.148413,454454.6602739752,84100679722.94281,59282922427.98885
2022-09-01,95.322543,454430.9150684958,84050859689.2054,59279684510.13755
2022-09-02,94.643656,454407.16986301634,84001039655.46799,59276446592.28625
2022-09-03,94.630097,454383.4246575369,83951219621.73058,59273208674.434944
2022-09-04,94.630097,454359.67945205746,83901399587.99316,59269970756.58364
2022-09-05,94.30569,454335.934246578,83851579554.25575,59266732838.73234
2022-09-06,94.558824,454312.1890410986,83801759520.51834,59263494920.881035
2022-09-07,94.005852,454288.44383561914,83751939486.78093,59260257003.02973
2022-09-08,95.018775,454264.6986301397,83702119453.04352,59257019085.17843
2022-09-09,95.20309,454240.95342466026,83652299419.3061,59253781167.327126
