,Rate,Gdp,Import,Export
2021-12-17,2.286931,6216.6438356164235,,
2021-12-18,2.284913,6219.334246575328,,
2021-12-19,2.284913,6222.024657534232,,
2021-12-20,2.28652,6224.715068493136,,
2021-12-21,2.276118,6227.40547945204,,
2021-12-22,2.279283,6230.095890410944,,
2021-12-23,2.281177,6232.786301369848,,
2021-12-24,2.287834,6235.476712328752,,
2021-12-25,2.289772,6238.167123287656,,
2021-12-26,2.289772,6240.85753424656,,
2021-12-27,2.285571,6243.547945205464,,
2021-12-28,2.288585,6246.238356164368,,
2021-12-29,2.288305,6248.928767123272,,
2021-12-30,2.281953,6251.619178082176,,
2021-12-31,2.286649,6254.3095890410805,,
2022-01-01,2.296476,6257.0,,
2022-01-02,2.296476,6258.271232876712,,
2022-01-03,2.295164,6259.542465753424,,
2022-01-04,2.29259,6260.813698630136,,
2022-01-05,2.27822,6262.084931506848,,
2022-01-06,2.285326,6263.35616438356,,
2022-01-07,2.281177,6264.627397260272,,
2022-01-08,2.294251,6265.898630136984,,
2022-01-09,2.2828,6267.169863013696,,
2022-01-10,2.279333,6268.441095890408,,
2022-01-11,2.287794,6269.71232876712,,
2022-01-12,2.290099,6270.983561643832,,
2022-01-13,2.309712,6272.254794520544,,
2022-01-14,2.314324,6273.526027397256,,
2022-01-15,2.30441,6274.797260273968,,
2022-01-16,2.30441,6276.06849315068,,
2022-01-17,2.302859,6277.339726027392,,
2022-01-18,2.305258,6278.610958904104,,
2022-01-19,2.28631,6279.882191780816,,
2022-01-20,2.294002,6281.153424657528,,
2022-01-21,2.28267,6282.42465753424,,
2022-01-22,2.291195,6283.695890410952,,
2022-01-23,2.291195,6284.967123287664,,
2022-01-24,2.289636,6286.2383561643765,,
2022-01-25,2.286362,6287.5095890410885,,
2022-01-26,2.281831,6288.7808219178005,,
2022-01-27,2.268088,6290.0520547945125,,
2022-01-28,2.249163,6291.3232876712245,,
2022-01-29,2.249543,6292.594520547937,,
2022-01-30,2.249543,6293.865753424649,,
2022-01-31,2.247109,6295.136986301361,,
2022-02-01,2.256526,6296.408219178073,,
2022-02-02,2.27703,6297.679452054785,,
2022-02-03,2.280538,6298.950684931497,,
2022-02-04,2.310429,6300.221917808209,,
2022-02-05,2.31241,6301.493150684921,,
2022-02-06,2.31241,6302.764383561633,,
2022-02-07,2.31311,6304.035616438345,,
2022-02-08,2.309704,6305.306849315057,,
2022-02-09,2.304683,6306.578082191769,,
2022-02-10,2.305512,6307.849315068481,,
2022-02-11,2.301738,6309.120547945193,,
2022-02-12,2.291824,6310.391780821905,,
2022-02-13,2.30072,6311.663013698617,,
2022-02-14,2.301579,6312.934246575329,,
2022-02-15,2.284704,6314.205479452041,,
2022-02-16,2.292403,6315.476712328753,,
2022-02-17,2.298059,6316.747945205465,,
2022-02-18,2.292261,6318.019178082177,,
2022-02-19,2.286287,6319.290410958889,,
2022-02-20,2.286287,6320.561643835601,,
2022-02-21,2.285844,6321.832876712313,,
2022-02-22,2.284732,6323.104109589025,,
2022-02-23,2.287907,6324.375342465737,,
2022-02-24,2.277508,6325.646575342449,,
2022-02-25,2.260113,6326.917808219161,,
2022-02-26,2.270927,6328.189041095873,,
2022-02-27,2.259329,6329.460273972585,,
2022-02-28,2.238421,6330.731506849297,,
2022-03-01,2.263225,6332.002739726009,,
2022-03-02,2.245636,6333.273972602721,,
2022-03-03,2.240923,6334.545205479433,,
