,Rate,Gdp,Import,Export
2021-12-17,85.128182,2858.890410958973,1724539019.9503586,789212269.2435145
2021-12-18,85.055692,2859.564383561713,1725638704.2140846,789354265.1285753
2021-12-19,85.055692,2860.238356164453,1726738388.4778106,789496261.0136361
2021-12-20,85.116647,2860.912328767193,1727838072.7415366,789638256.8986969
2021-12-21,85.55762,2861.5863013699327,1728937757.0052626,789780252.7837577
2021-12-22,85.299765,2862.2602739726726,1730037441.2689886,789922248.6688185
2021-12-23,85.336376,2862.9342465754125,1731137125.5327146,790064244.5538793
2021-12-24,85.214114,2863.6082191781525,1732236809.7964406,790206240.43894
2021-12-25,85.058035,2864.2821917808924,1733336494.0601666,790348236.3240008
2021-12-26,85.058035,2864.9561643836323,1734436178.3238926,790490232.2090616
2021-12-27,84.901972,2865.6301369863722,1735535862.5876186,790632228.0941224
2021-12-28,84.949397,2866.304109589112,1736635546.8513446,790774223.9791832
2021-12-29,84.620942,2866.978082191852,1737735231.1150706,790916219.864244
2021-12-30,84.465996,2867.652054794592,1738834915.3787966,791058215.7493048
2021-12-31,84.241565,2868.326027397332,1739934599.6425226,791200211.6343656
2022-01-01,84.571125,2869.0,1741034283.90625,791342207.519415
2022-01-02,84.571125,2869.1479452054796,1740667986.8138256,791551875.7537292
2022-01-03,84.522793,2869.295890410959,1740301689.7214012,791761543.9880434
2022-01-04,84.395701,2869.4438356164387,1739935392.6289768,791971212.2223576
2022-01-05,83.992725,2869.5917808219183,1739569095.5365524,792180880.4566718
2022-01-06,84.104918,2869.739726027398,1739202798.444128,792390548.690986
2022-01-07,84.087577,2869.8876712328774,1738836501.3517036,792600216.9253002
2022-01-08,84.430594,2870.035616438357,1738470204.2592793,792809885.1596144
2022-01-09,84.011049,2870.1835616438366,1738103907.1668549,793019553.3939286
2022-01-10,83.875329,2870.331506849316,1737737610.0744305,793229221.6282429
2022-01-11,83.931852,2870.4794520547957,1737371312.982006,793438889.862557
2022-01-12,83.81593,2870.6273972602753,1737005015.8895817,793648558.0968713
2022-01-13,84.649675,2870.775342465755,1736638718.7971573,793858226.3311855
2022-01-14,84.614542,2870.9232876712344,1736272421.704733,794067894.5654997
2022-01-15,84.586877,2871.071232876714,1735906124.6123085,794277562.7998139
2022-01-16,84.586877,2871.2191780821936,1735539827.519884,794487231.0341281
2022-01-17,84.529942,2871.367123287673,1735173530.4274597,794696899.2684423
2022-01-18,84.760212,2871.5150684931527,1734807233.3350353,794906567.5027565
2022-01-19,84.447885,2871.6630136986323,1734440936.242611,795116235.7370707
2022-01-20,84.474833,2871.810958904112,1734074639.1501865,795325903.9713849
2022-01-21,84.232215,2871.9589041095915,1733708342.0577621,795535572.2056991
2022-01-22,84.420901,2872.106849315071,1733342044.9653378,795745240.4400133
2022-01-23,84.420901,2872.2547945205506,1732975747.8729134,795954908.6743275
2022-01-24,84.363476,2872.40273972603,1732609450.780489,796164576.9086417
2022-01-25,84.417583,2872.5506849315097,1732243153.6880646,796374245.1429559
2022-01-26,84.461575,2872.6986301369893,1731876856.5956402,796583913.3772701
2022-01-27,84.078112,2872.846575342469,1731510559.5032158,796793581.6115843
2022-01-28,83.68476,2872.9945205479485,1731144262.4107914,797003249.8458985
2022-01-29,83.658666,2873.142465753428,1730777965.318367,797212918.0802127
2022-01-30,83.658666,2873.2904109589076,1730411668.2259426,797422586.3145269
2022-01-31,83.567381,2873.438356164387,1730045371.1335182,797632254.5488411
2022-02-01,83.481908,2873.5863013698668,1729679074.0410938,797841922.7831553
2022-02-02,84.301133,2873.7342465753463,1729312776.9486694,798051591.0174695
2022-02-03,84.431368,2873.882191780826,1728946479.856245,798261259.2517837
2022-02-04,85.577975,2874.0301369863055,1728580182.7638206,798470927.4860979
2022-02-05,85.562618,2874.178082191785,1728213885.6713963,798680595.7204121
2022-02-06,85.562618,2874.3260273972646,1727847588.5789719,798890263.9547263
2022-02-07,85.588519,2874.473972602744,1727481291.4865475,799099932.1890405
2022-02-08,85.392518,2874.6219178082238,1727114994.394123,799309600.4233547
2022-02-09,85.27668,2874.7698630137033,1726748697.3016987,799519268.657669
2022-02-10,85.417992,2874.917808219183,1726382400.2092743,799728936.8919832
2022-02-11,85.364331,2875.0657534246625,1726016103.11685,799938605.1262974
2022-02-12,85.428783,2875.213698630142,1725649806.0244255,800148273.3606116
2022-02-13,85.75283,2875.3616438356216,1725283508.932001,800357941.5949258
2022-02-14,85.784872,2875.509589041101,1724917211.8395767,800567609.82924
2022-02-15,85.369566,2875.657534246581,1724550914.7471523,800777278.0635542
2022-02-16,85.630639,2875.8054794520604,1724184617.654728,800986946.2978684
2022-02-17,85.325778,2875.95342465754,1723818320.5623035,801196614.5321826
2022-02-18,85.122788,2876.1013698630195,1723452023.4698792,801406282.7664968
2022-02-19,84.555585,2876.249315068499,1723085726.3774548,801615951.000811
2022-02-20,84.555585,2876.3972602739786,1722719429.2850304,801825619.2351252
2022-02-21,84.539227,2876.545205479458,1722353132.192606,802035287.4694394
2022-02-22,84.421148,2876.693150684938,1721986835.1001816,802244955.7037536
2022-02-23,84.697688,2876.8410958904174,1721620538.0077572,802454623.9380678
2022-02-24,84.130016,2876.989041095897,1721254240.9153328,802664292.172382
2022-02-25,84.651816,2877.1369863013765,1720887943.8229084,802873960.4066962
2022-02-26,84.665272,2877.284931506856,1720521646.730484,803083628.6410104
2022-02-27,84.231727,2877.4328767123357,1720155349.6380596,803293296.8753246
2022-02-28,83.452246,2877.5808219178152,1719789052.5456352,803502965.1096388
2022-03-01,84.558923,2877.728767123295,1719422755.4532108,803712633.343953
2022-03-02,84.194371,2877.8767123287744,1719056458.3607864,803922301.5782672
2022-03-03,84.084941,2878.024657534254,1718690161.268362,804131969.8125814
2022-03-04,83.931757,2878.1726027397335,1718323864.1759377,804341638.0468956
2022-03-05,83.803407,2878.320547945213,1717957567.0835133,804551306.2812098
2022-03-06,83.803407,2878.4684931506927,1717591269.9910889,804760974.515524
2022-03-07,83.065447,2878.6164383561722,1717224972.8986645,804970642.7498382
2022-03-08,83.336815,2878.764383561652,1716858675.80624,805180310.9841524
2022-03-09,83.656467,2878.9123287671314,1716492378.7138157,805389979.2184666
2022-03-10,84.8539,2879.060273972611,1716126081.6213913,805599647.4527808
2022-03-11,83.762101,2879.2082191780905,1715759784.528967,805809315.687095
2022-03-12,83.169361,2879.35616438357,1715393487.4365425,806018983.9214092
2022-03-13,83.169361,2879.5041095890497,1715027190.344118,806228652.1557235
2022-03-14,83.193908,2879.6520547945292,1714660893.2516937,806438320.3900377
2022-03-15,83.674512,2879.800000000009,1714294596.1592693,806647988.6243519
2022-03-16,83.773387,2879.9479452054884,1713928299.066845,806857656.8586661
2022-03-17,83.922452,2880.095890410968,1713562001.9744205,807067325.0929803
2022-03-18,84.148161,2880.2438356164475,1713195704.8819962,807276993.3272945
2022-03-19,84.169218,2880.391780821927,1712829407.7895718,807486661.5616087
2022-03-20,84.169218,2880.5397260274067,1712463110.6971474,807696329.7959229
2022-03-21,84.053491,2880.6876712328863,1712096813.604723,807905998.0302371
