,Rate,Gdp,Import,Export
2021-12-17,7.809263,44179.90410958935,15348834154.392153,14556003555.276634
2021-12-18,7.802578,44189.843835616746,15356673363.202097,14564464014.707886
2021-12-19,7.802578,44199.783561644144,15364512572.012041,14572924474.139137
2021-12-20,7.80817,44209.72328767154,15372351780.821985,14581384933.570389
2021-12-21,7.783798,44219.66301369894,15380190989.63193,14589845393.00164
2021-12-22,7.783633,44229.60273972634,15388030198.441874,14598305852.432892
2021-12-23,7.80137,44239.54246575374,15395869407.251818,14606766311.864143
2021-12-24,7.812797,44249.482191781135,15403708616.061762,14615226771.295395
2021-12-25,7.830595,44259.42191780853,15411547824.871706,14623687230.726646
2021-12-26,7.830595,44269.36164383593,15419387033.68165,14632147690.157898
2021-12-27,7.816228,44279.30136986333,15427226242.491594,14640608149.58915
2021-12-28,7.825694,44289.24109589073,15435065451.301538,14649068609.020401
2021-12-29,7.814256,44299.180821918126,15442904660.111483,14657529068.451653
2021-12-30,7.792112,44309.120547945524,15450743868.921427,14665989527.882904
2021-12-31,7.820151,44319.06027397292,15458583077.73137,14674449987.314156
2022-01-01,7.842413,44329.0,15466422286.5412,14682910446.7451
2022-01-02,7.842413,44332.109589041094,15462291192.078144,14675293500.548716
2022-01-03,7.837932,44335.21917808219,15458160097.615088,14667676554.352331
2022-01-04,7.840278,44338.32876712328,15454029003.15203,14660059608.155947
2022-01-05,7.77975,44341.43835616438,15449897908.688974,14652442661.959562
2022-01-06,7.815511,44344.54794520547,15445766814.225918,14644825715.763178
2022-01-07,7.789835,44347.657534246566,15441635719.762861,14637208769.566793
2022-01-08,7.82317,44350.76712328766,15437504625.299805,14629591823.370409
2022-01-09,7.784124,44353.876712328754,15433373530.836748,14621974877.174025
2022-01-10,7.771548,44356.98630136985,15429242436.373692,14614357930.97764
2022-01-11,7.812537,44360.09589041094,15425111341.910635,14606740984.781256
2022-01-12,7.809048,44363.20547945204,15420980247.447578,14599124038.584871
2022-01-13,7.876008,44366.31506849313,15416849152.984522,14591507092.388487
2022-01-14,7.903,44369.424657534226,15412718058.521465,14583890146.192102
2022-01-15,7.857795,44372.53424657532,15408586964.058409,14576273199.995718
2022-01-16,7.857795,44375.643835616414,15404455869.595352,14568656253.799334
2022-01-17,7.852506,44378.75342465751,15400324775.132296,14561039307.60295
2022-01-18,7.872278,44381.8630136986,15396193680.669239,14553422361.406565
2022-01-19,7.795988,44384.9726027397,15392062586.206182,14545805415.21018
2022-01-20,7.833799,44388.08219178079,15387931491.743126,14538188469.013796
2022-01-21,7.783932,44391.191780821886,15383800397.28007,14530571522.817411
2022-01-22,7.824176,44394.30136986298,15379669302.817013,14522954576.621027
2022-01-23,7.824176,44397.410958904075,15375538208.353956,14515337630.424643
2022-01-24,7.818854,44400.52054794517,15371407113.8909,14507720684.228258
2022-01-25,7.807799,44403.63013698626,15367276019.427843,14500103738.031874
2022-01-26,7.780754,44406.73972602736,15363144924.964787,14492486791.83549
2022-01-27,7.745242,44409.84931506845,15359013830.50173,14484869845.639105
2022-01-28,7.669337,44412.958904109546,15354882736.038673,14477252899.44272
2022-01-29,7.670904,44416.06849315064,15350751641.575617,14469635953.246336
2022-01-30,7.670904,44419.178082191735,15346620547.11256,14462019007.049952
2022-01-31,7.662602,44422.28767123283,15342489452.649504,14454402060.853567
2022-02-01,7.705689,44425.39726027392,15338358358.186447,14446785114.657183
2022-02-02,7.764331,44428.50684931502,15334227263.72339,14439168168.460798
2022-02-03,7.776326,44431.61643835611,15330096169.260334,14431551222.264414
2022-02-04,7.889909,44434.726027397206,15325965074.797277,14423934276.06803
2022-02-05,7.885203,44437.8356164383,15321833980.33422,14416317329.871645
2022-02-06,7.885203,44440.945205479395,15317702885.871164,14408700383.67526
2022-02-07,7.88759,44444.05479452049,15313571791.408108,14401083437.478876
2022-02-08,7.875846,44447.16438356158,15309440696.945051,14393466491.282492
2022-02-09,7.847271,44450.27397260268,15305309602.481995,14385849545.086107
2022-02-10,7.861547,44453.38356164377,15301178508.018938,14378232598.889723
2022-02-11,7.837495,44456.493150684866,15297047413.555882,14370615652.693338
2022-02-12,7.815034,44459.60273972596,15292916319.092825,14362998706.496954
2022-02-13,7.845367,44462.712328767055,15288785224.629768,14355381760.30057
2022-02-14,7.848298,44465.82191780815,15284654130.166712,14347764814.104185
2022-02-15,7.779477,44468.93150684924,15280523035.703655,14340147867.9078
2022-02-16,7.816726,44472.04109589034,15276391941.240599,14332530921.711416
2022-02-17,7.824776,44475.15068493143,15272260846.777542,14324913975.515032
2022-02-18,7.8164,44478.260273972526,15268129752.314486,14317297029.318647
2022-02-19,7.795917,44481.36986301362,15263998657.851429,14309680083.122263
2022-02-20,7.795917,44484.479452054715,15259867563.388372,14302063136.925879
2022-02-21,7.794409,44487.58904109581,15255736468.925316,14294446190.729494
2022-02-22,7.790705,44490.6986301369,15251605374.46226,14286829244.53311
