,Rate,Gdp,Import,Export
2021-12-17,1.9572,24499.575342465185,15087057571.846369,11766763811.426489
2021-12-18,1.955499,24501.9369863008,15093698960.291035,11771480052.220003
2021-12-19,1.955499,24504.298630136414,15100340348.7357,11776196293.013517
2021-12-20,1.9569,24506.66027397203,15106981737.180367,11780912533.807032
2021-12-21,1.956232,24509.021917807644,15113623125.625032,11785628774.600546
2021-12-22,1.956416,24511.38356164326,15120264514.069698,11790345015.39406
2021-12-23,1.955296,24513.745205478874,15126905902.514364,11795061256.187574
2021-12-24,1.957065,24516.10684931449,15133547290.95903,11799777496.981089
2021-12-25,1.958029,24518.468493150103,15140188679.403696,11804493737.774603
2021-12-26,1.958029,24520.830136985718,15146830067.848362,11809209978.568117
2021-12-27,1.954437,24523.191780821333,15153471456.293028,11813926219.361631
2021-12-28,1.959242,24525.553424656948,15160112844.737694,11818642460.155146
2021-12-29,1.95592,24527.915068492563,15166754233.18236,11823358700.94866
2021-12-30,1.955926,24530.276712328177,15173395621.627026,11828074941.742174
2021-12-31,1.9557,24532.638356163792,15180037010.071692,11832791182.535688
2022-01-01,1.965137,24535.0,15186678398.5165,11837507423.3291
2022-01-02,1.965137,24543.375342465755,15187166982.50635,11838297284.29731
2022-01-03,1.964014,24551.75068493151,15187655566.496199,11839087145.26552
2022-01-04,1.955668,24560.126027397266,15188144150.486048,11839877006.23373
2022-01-05,1.95705,24568.50136986302,15188632734.475897,11840666867.20194
2022-01-06,1.955879,24576.876712328776,15189121318.465746,11841456728.17015
2022-01-07,1.953139,24585.25205479453,15189609902.455595,11842246589.138361
2022-01-08,1.965899,24593.627397260287,15190098486.445444,11843036450.106571
2022-01-09,1.956087,24602.002739726042,15190587070.435293,11843826311.074781
2022-01-10,1.953116,24610.378082191797,15191075654.425142,11844616172.042992
2022-01-11,1.957198,24618.753424657552,15191564238.414991,11845406033.011202
2022-01-12,1.956393,24627.128767123308,15192052822.40484,11846195893.979412
2022-01-13,1.969156,24635.504109589063,15192541406.39469,11846985754.947622
2022-01-14,1.955774,24643.879452054818,15193029990.384539,11847775615.915833
2022-01-15,1.949156,24652.254794520573,15193518574.374388,11848565476.884043
2022-01-16,1.949156,24660.63013698633,15194007158.364237,11849355337.852253
2022-01-17,1.947844,24669.005479452084,15194495742.354086,11850145198.820463
2022-01-18,1.956354,24677.38082191784,15194984326.343935,11850935059.788673
2022-01-19,1.944881,24685.756164383594,15195472910.333784,11851724920.756884
2022-01-20,1.959976,24694.13150684935,15195961494.323633,11852514781.725094
2022-01-21,1.94986,24702.506849315105,15196450078.313482,11853304642.693304
2022-01-22,1.958904,24710.88219178086,15196938662.303331,11854094503.661514
2022-01-23,1.958904,24719.257534246615,15197427246.29318,11854884364.629725
2022-01-24,1.957571,24727.63287671237,15197915830.28303,11855674225.597935
2022-01-25,1.95926,24736.008219178126,15198404414.272879,11856464086.566145
2022-01-26,1.960927,24744.38356164388,15198892998.262728,11857253947.534355
2022-01-27,1.947918,24752.758904109636,15199381582.252577,11858043808.502565
2022-01-28,1.952404,24761.13424657539,15199870166.242426,11858833669.470776
2022-01-29,1.957198,24769.509589041147,15200358750.232275,11859623530.438986
2022-01-30,1.957198,24777.884931506902,15200847334.222124,11860413391.407196
2022-01-31,1.955142,24786.260273972657,15201335918.211973,11861203252.375406
2022-02-01,1.9587,24794.635616438412,15201824502.201822,11861993113.343616
2022-02-02,1.9565,24803.010958904168,15202313086.191671,11862782974.311827
2022-02-03,1.959566,24811.386301369923,15202801670.18152,11863572835.280037
2022-02-04,1.983995,24819.761643835678,15203290254.17137,11864362696.248247
2022-02-05,1.95145,24828.136986301433,15203778838.161219,11865152557.216457
2022-02-06,1.95145,24836.51232876719,15204267422.151068,11865942418.184668
2022-02-07,1.952041,24844.887671232944,15204756006.140917,11866732279.152878
2022-02-08,1.955157,24853.2630136987,15205244590.130766,11867522140.121088
2022-02-09,1.953747,24861.638356164454,15205733174.120615,11868312001.089298
2022-02-10,1.953191,24870.01369863021,15206221758.110464,11869101862.057508
