,Rate,Gdp,Import,Export
2021-12-17,13.277994,20256.438356164108,8558379750.909388,8976505021.35603
2021-12-18,13.266453,20260.74246575315,8557735843.37422,8979739007.583939
2021-12-19,13.266453,20265.04657534219,8557091935.839052,8982972993.811852
2021-12-20,13.275842,20269.35068493123,8556448028.3038845,8986206980.03976
2021-12-21,13.262693,20273.65479452027,8555804120.768717,8989440966.267673
2021-12-22,13.234266,20277.95890410931,8555160213.233549,8992674952.495583
2021-12-23,13.260779,20282.26301369835,8554516305.698381,8995908938.723495
2021-12-24,13.229609,20286.56712328739,8553872398.163214,8999142924.951405
2021-12-25,13.179002,20290.87123287643,8553228490.628046,9002376911.179317
2021-12-26,13.179002,20295.17534246547,8552584583.092878,9005610897.407227
2021-12-27,13.154822,20299.47945205451,8551940675.557711,9008844883.63514
2021-12-28,13.209327,20303.78356164355,8551296768.022543,9012078869.863049
2021-12-29,13.163205,20308.08767123259,8550652860.487375,9015312856.090961
2021-12-30,13.249402,20312.391780821632,8550008952.952208,9018546842.31887
2021-12-31,13.308236,20316.695890410672,8549365045.41704,9021780828.546783
2022-01-01,13.373034,20321.0,8548721137.88168,9025014814.77475
2022-01-02,13.373034,20318.50684931507,8544739702.937853,9018188537.229633
2022-01-03,13.365391,20316.013698630137,8540758267.994026,9011362259.684517
2022-01-04,13.352907,20313.520547945205,8536776833.0501995,9004535982.1394
2022-01-05,13.259366,20311.027397260274,8532795398.106373,8997709704.594284
2022-01-06,13.347765,20308.534246575342,8528813963.162546,8990883427.049168
2022-01-07,13.213809,20306.04109589041,8524832528.2187195,8984057149.504051
2022-01-08,13.250871,20303.54794520548,8520851093.274893,8977230871.958935
2022-01-09,13.184734,20301.054794520547,8516869658.331066,8970404594.413818
2022-01-10,13.16471,20298.561643835616,8512888223.387239,8963578316.868702
2022-01-11,13.19071,20296.068493150684,8508906788.443413,8956752039.323586
2022-01-12,13.188928,20293.575342465752,8504925353.499586,8949925761.77847
2022-01-13,13.270977,20291.08219178082,8500943918.555759,8943099484.233353
2022-01-14,13.220766,20288.58904109589,8496962483.611933,8936273206.688236
2022-01-15,13.14858,20286.095890410958,8492981048.668106,8929446929.14312
2022-01-16,13.14858,20283.602739726026,8488999613.724279,8922620651.598003
2022-01-17,13.139729,20281.109589041094,8485018178.780453,8915794374.052887
2022-01-18,13.191535,20278.616438356163,8481036743.836626,8908968096.50777
2022-01-19,13.110782,20276.12328767123,8477055308.892799,8902141818.962654
2022-01-20,13.142511,20273.6301369863,8473073873.948973,8895315541.417538
2022-01-21,13.002258,20271.136986301368,8469092439.005146,8888489263.872421
2022-01-22,13.036371,20268.643835616436,8465111004.061319,8881662986.327305
2022-01-23,13.036371,20266.150684931505,8461129569.117493,8874836708.782188
2022-01-24,13.027504,20263.657534246573,8457148134.173666,8868010431.237072
2022-01-25,13.060933,20261.16438356164,8453166699.229839,8861184153.691956
2022-01-26,13.064741,20258.67123287671,8449185264.286013,8854357876.14684
2022-01-27,12.919128,20256.17808219178,8445203829.342186,8847531598.601723
2022-01-28,12.900376,20253.684931506847,8441222394.398359,8840705321.056606
2022-01-29,13.046548,20251.191780821915,8437240959.454533,8833879043.51149
2022-01-30,13.046548,20248.698630136983,8433259524.510706,8827052765.966373
2022-01-31,13.032312,20246.20547945205,8429278089.566879,8820226488.421257
2022-02-01,13.055928,20243.71232876712,8425296654.623053,8813400210.87614
2022-02-02,13.022247,20241.21917808219,8421315219.679226,8806573933.331024
2022-02-03,13.042597,20238.726027397257,8417333784.735399,8799747655.785908
2022-02-04,13.244291,20236.232876712325,8413352349.791573,8792921378.240791
2022-02-05,13.232602,20233.739726027394,8409370914.847746,8786095100.695675
2022-02-06,13.232602,20231.246575342462,8405389479.903919,8779268823.150558
2022-02-07,13.236608,20228.75342465753,8401408044.960093,8772442545.605442
2022-02-08,13.278731,20226.2602739726,8397426610.016266,8765616268.060326
2022-02-09,13.249307,20223.767123287667,8393445175.072439,8758789990.51521
2022-02-10,13.185323,20221.273972602736,8389463740.1286125,8751963712.970093
2022-02-11,13.088652,20218.780821917804,8385482305.184786,8745137435.424976
2022-02-12,13.070862,20216.287671232873,8381500870.240959,8738311157.87986
2022-02-13,13.120212,20213.79452054794,8377519435.2971325,8731484880.334743
2022-02-14,13.125114,20211.30136986301,8373538000.353306,8724658602.789627
2022-02-15,13.058965,20208.808219178078,8369556565.409479,8717832325.24451
2022-02-16,13.065008,20206.315068493146,8365575130.465652,8711006047.699394
2022-02-17,13.074583,20203.821917808214,8361593695.521826,8704179770.154278
2022-02-18,13.012104,20201.328767123283,8357612260.577999,8697353492.609161
2022-02-19,13.000104,20198.83561643835,8353630825.634172,8690527215.064045
2022-02-20,13.000104,20196.34246575342,8349649390.690346,8683700937.518929
2022-02-21,12.997589,20193.849315068488,8345667955.746519,8676874659.973812
2022-02-22,13.028848,20191.356164383556,8341686520.802692,8670048382.428696
2022-02-23,13.039383,20188.863013698625,8337705085.858866,8663222104.88358
2022-02-24,12.957767,20186.369863013693,8333723650.915039,8656395827.338463
2022-02-25,12.993286,20183.87671232876,8329742215.971212,8649569549.793346
2022-02-26,13.047676,20181.38356164383,8325760781.027386,8642743272.24823
2022-02-27,12.981036,20178.8904109589,8321779346.083559,8635916994.703114
2022-02-28,12.86091,20176.397260273967,8317797911.139732,8629090717.157997
2022-03-01,13.065045,20173.904109589035,8313816476.195906,8622264439.61288
2022-03-02,12.954966,20171.410958904104,8309835041.252079,8615438162.067764
2022-03-03,13.050289,20168.917808219172,8305853606.308252,8608611884.522648
2022-03-04,12.827441,20166.42465753424,8301872171.364426,8601785606.977531
2022-03-05,12.858277,20163.93150684931,8297890736.420599,8594959329.432415
2022-03-06,12.858277,20161.438356164377,8293909301.476772,8588133051.887299
2022-03-07,12.745049,20158.945205479446,8289927866.532946,8581306774.342182
2022-03-08,12.686074,20156.452054794514,8285946431.589119,8574480496.797066
2022-03-09,12.737263,20153.958904109582,8281964996.645292,8567654219.251949
2022-03-10,12.844845,20151.46575342465,8277983561.701466,8560827941.706833
2022-03-11,12.748491,20148.97260273972,8274002126.757639,8554001664.161716
2022-03-12,12.614407,20146.479452054788,8270020691.813812,8547175386.6166
2022-03-13,12.614407,20143.986301369856,8266039256.869986,8540349109.071484
2022-03-14,12.61813,20141.493150684924,8262057821.926159,8533522831.526367
2022-03-15,12.722087,20138.999999999993,8258076386.982332,8526696553.981251
2022-03-16,12.757089,20136.50684931506,8254094952.038506,8519870276.436134
2022-03-17,12.767893,20134.01369863013,8250113517.094679,8513043998.891018
2022-03-18,12.833725,20131.520547945198,8246132082.150852,8506217721.3459015
2022-03-19,12.807335,20129.027397260266,8242150647.207026,8499391443.800785
2022-03-20,12.807335,20126.534246575335,8238169212.263199,8492565166.255669
