,Rate,Gdp,Import,Export
2021-12-17,6.454507,1940292.876712291,371826489594.99084,377819261111.2265
2021-12-18,6.43751,1941063.284931469,372003555825.3803,377997469263.8455
2021-12-19,6.401591,1941833.693150647,372180622055.7698,378175677416.46454
2021-12-20,6.404945,1942604.101369825,372357688286.15924,378353885569.08356
2021-12-21,6.479961,1943374.509589003,372534754516.5487,378532093721.7026
2021-12-22,6.488101,1944144.917808181,372711820746.9382,378710301874.3216
2021-12-23,6.411355,1944915.3260273589,372888886977.32764,378888510026.9406
2021-12-24,6.427812,1945685.7342465369,373065953207.7171,379066718179.55963
2021-12-25,6.435513,1946456.1424657148,373243019438.10657,379244926332.17865
2021-12-26,6.435513,1947226.5506848928,373420085668.49603,379423134484.79767
2021-12-27,6.421029,1947996.9589040708,373597151898.8855,379601342637.4167
2021-12-28,6.370888,1948767.3671232488,373774218129.27496,379779550790.0357
2021-12-29,6.361151,1949537.7753424267,373951284359.6644,379957758942.6547
2021-12-30,6.471928,1950308.1835616047,374128350590.0539,380135967095.27374
2021-12-31,6.308411,1951078.5917807827,374305416820.44336,380314175247.89276
2022-01-01,6.335383,1951849.0,374482483050.831,380492383400.51
2022-01-02,6.335383,1952504.5835616437,374398804695.15405,380516217945.19763
2022-01-03,6.361083,1953160.1671232875,374315126339.4771,380540052489.88525
2022-01-04,6.424531,1953815.7506849312,374231447983.8002,380563887034.5729
2022-01-05,6.408442,1954471.334246575,374147769628.1232,380587721579.2605
2022-01-06,6.46046,1955126.9178082186,374064091272.4463,380611556123.9481
2022-01-07,6.420925,1955782.5013698624,373980412916.76935,380635390668.63574
2022-01-08,6.403228,1956438.084931506,373896734561.0924,380659225213.32336
2022-01-09,6.403228,1957093.6684931498,373813056205.41547,380683059758.011
2022-01-10,6.388889,1957749.2520547935,373729377849.7385,380706894302.6986
2022-01-11,6.418934,1958404.8356164373,373645699494.0616,380730728847.3862
2022-01-12,6.334032,1959060.419178081,373562021138.38464,380754563392.07385
2022-01-13,6.332001,1959716.0027397247,373478342782.7077,380778397936.7615
2022-01-14,6.3392,1960371.5863013684,373394664427.03076,380802232481.4491
2022-01-15,6.318708,1961027.1698630122,373310986071.3538,380826067026.1367
2022-01-16,6.318708,1961682.7534246559,373227307715.6769,380849901570.82434
2022-01-17,6.314452,1962338.3369862996,373143629359.99994,380873736115.51196
2022-01-18,6.299377,1962993.9205479433,373059951004.323,380897570660.1996
2022-01-19,6.302508,1963649.504109587,372976272648.64606,380921405204.8872
2022-01-20,6.179447,1964305.0876712308,372892594292.9691,380945239749.5748
2022-01-21,6.126015,1964960.6712328745,372808915937.2922,380969074294.26245
2022-01-22,6.192763,1965616.2547945182,372725237581.61523,380992908838.9501
2022-01-23,6.192763,1966271.838356162,372641559225.9383,381016743383.6377
2022-01-24,6.190077,1966927.4219178057,372557880870.26135,381040577928.3253
2022-01-25,6.21314,1967583.0054794494,372474202514.5844,381064412473.01294
2022-01-26,6.153043,1968238.5890410931,372390524158.9075,381088247017.70056
2022-01-27,6.102475,1968894.1726027369,372306845803.2305,381112081562.3882
2022-01-28,6.025763,1969549.7561643806,372223167447.5536,381135916107.0758
2022-01-29,5.984316,1970205.3397260243,372139489091.87665,381159750651.7634
2022-01-30,5.984316,1970860.923287668,372055810736.1997,381183585196.45105
2022-01-31,5.982221,1971516.5068493118,371972132380.52277,381207419741.1387
2022-02-01,5.990497,1972172.0904109555,371888454024.8458,381231254285.8263
2022-02-02,5.937849,1972827.6739725992,371804775669.1689,381255088830.5139
2022-02-03,5.94583,1973483.257534243,371721097313.49194,381278923375.20154
2022-02-04,6.052928,1974138.8410958867,371637418957.815,381302757919.88916
2022-02-05,6.100846,1974794.4246575304,371553740602.13806,381326592464.5768
2022-02-06,6.100846,1975450.008219174,371470062246.4611,381350427009.2644
2022-02-07,6.102631,1976105.5917808178,371386383890.7842,381374261553.952
2022-02-08,6.022803,1976761.1753424616,371302705535.10724,381398096098.63965
2022-02-09,6.003632,1977416.7589041053,371219027179.4303,381421930643.3273
2022-02-10,5.979057,1978072.342465749,371135348823.75336,381445765188.0149
2022-02-11,5.985029,1978727.9260273927,371051670468.0764,381469599732.7025
2022-02-12,5.962297,1979383.5095890365,370967992112.3995,381493434277.39014
2022-02-13,5.962951,1980039.0931506802,370884313756.72253,381517268822.07776
2022-02-14,5.964638,1980694.676712324,370800635401.0456,381541103366.7654
2022-02-15,5.898393,1981350.2602739676,370716957045.36865,381564937911.453
2022-02-16,5.858844,1982005.8438356114,370633278689.6917,381588772456.1406
2022-02-17,5.845528,1982661.427397255,370549600334.0148,381612607000.82825
2022-02-18,5.875511,1983317.0109588988,370465921978.3378,381636441545.51587
2022-02-19,5.818633,1983972.5945205425,370382243622.6609,381660276090.2035
