,Rate,Gdp,Import,Export
2021-12-17,1.546089,16572.027397260495,10076505053.892382,14272930525.553665
2021-12-18,1.544738,16579.35890410981,10078500959.824358,14281743495.432173
2021-12-19,1.544738,16586.690410959127,10080496865.756334,14290556465.31068
2021-12-20,1.545818,16594.021917808444,10082492771.68831,14299369435.189188
2021-12-21,1.541737,16601.35342465776,10084488677.620287,14308182405.067696
2021-12-22,1.540062,16608.684931507072,10086484583.552263,14316995374.946203
2021-12-23,1.541784,16616.01643835639,10088480489.48424,14325808344.82471
2021-12-24,1.539979,16623.347945205707,10090476395.416216,14334621314.703218
2021-12-25,1.537627,16630.67945205502,10092472301.348192,14343434284.581726
2021-12-26,1.537627,16638.010958904335,10094468207.280169,14352247254.460234
2021-12-27,1.534806,16645.342465753653,10096464113.212145,14361060224.338741
2021-12-28,1.537594,16652.67397260297,10098460019.144121,14369873194.217249
2021-12-29,1.53405,16660.005479452284,10100455925.076097,14378686164.095757
2021-12-30,1.530523,16667.336986301598,10102451831.008074,14387499133.974264
2021-12-31,1.532146,16674.668493150915,10104447736.94005,14396312103.852772
2022-01-01,1.535298,16682.0,10106443642.8719,14405125073.7314
2022-01-02,1.535298,16677.652054794522,10103634860.145054,14397365792.57005
2022-01-03,1.534421,16673.304109589044,10100826077.418207,14389606511.408699
2022-01-04,1.532853,16668.956164383566,10098017294.69136,14381847230.247349
2022-01-05,1.53183,16664.608219178088,10095208511.964514,14374087949.085999
2022-01-06,1.533884,16660.26027397261,10092399729.237667,14366328667.924648
2022-01-07,1.536404,16655.912328767132,10089590946.51082,14358569386.763298
2022-01-08,1.544276,16651.564383561654,10086782163.783974,14350810105.601948
2022-01-09,1.536602,16647.216438356176,10083973381.057127,14343050824.440598
2022-01-10,1.53439,16642.868493150698,10081164598.33028,14335291543.279247
2022-01-11,1.535487,16638.52054794522,10078355815.603434,14327532262.117897
2022-01-12,1.534896,16634.17260273974,10075547032.876587,14319772980.956547
2022-01-13,1.545728,16629.824657534264,10072738250.14974,14312013699.795197
2022-01-14,1.542043,16625.476712328786,10069929467.422894,14304254418.633846
2022-01-15,1.535848,16621.128767123308,10067120684.696047,14296495137.472496
2022-01-16,1.535848,16616.78082191783,10064311901.9692,14288735856.311146
2022-01-17,1.534814,16612.43287671235,10061503119.242353,14280976575.149796
2022-01-18,1.539012,16608.084931506874,10058694336.515507,14273217293.988445
2022-01-19,1.528151,16603.736986301396,10055885553.78866,14265458012.827095
2022-01-20,1.532207,16599.389041095917,10053076771.061813,14257698731.665745
2022-01-21,1.522033,16595.04109589044,10050267988.334967,14249939450.504395
2022-01-22,1.526909,16590.69315068496,10047459205.60812,14242180169.343044
2022-01-23,1.526909,16586.345205479483,10044650422.881273,14234420888.181694
2022-01-24,1.525871,16581.997260274005,10041841640.154427,14226661607.020344
2022-01-25,1.523941,16577.649315068527,10039032857.42758,14218902325.858994
2022-01-26,1.51985,16573.30136986305,10036224074.700733,14211143044.697643
2022-01-27,1.510266,16568.95342465757,10033415291.973886,14203383763.536293
2022-01-28,1.50635,16564.605479452093,10030606509.24704,14195624482.374943
2022-01-29,1.512118,16560.257534246615,10027797726.520193,14187865201.213593
2022-01-30,1.512118,16555.909589041137,10024988943.793346,14180105920.052242
2022-01-31,1.510468,16551.56164383566,10022180161.0665,14172346638.890892
2022-02-01,1.514326,16547.21369863018,10019371378.339653,14164587357.729542
2022-02-02,1.521555,16542.865753424703,10016562595.612806,14156828076.568192
2022-02-03,1.523932,16538.517808219225,10013753812.88596,14149068795.406841
2022-02-04,1.542903,16534.169863013747,10010945030.159113,14141309514.245491
2022-02-05,1.539828,16529.82191780827,10008136247.432266,14133550233.08414
2022-02-06,1.539828,16525.47397260279,10005327464.70542,14125790951.92279
2022-02-07,1.540294,16521.126027397313,10002518681.978573,14118031670.76144
2022-02-08,1.538444,16516.778082191835,9999709899.251726,14110272389.60009
2022-02-09,1.53529,16512.430136986357,9996901116.52488,14102513108.43874
2022-02-10,1.532754,16508.08219178088,9994092333.798033,14094753827.27739
2022-02-11,1.529406,16503.7342465754,9991283551.071186,14086994546.11604
2022-02-12,1.525992,16499.386301369923,9988474768.34434,14079235264.954689
2022-02-13,1.531713,16495.038356164445,9985665985.617493,14071475983.793339
2022-02-14,1.532285,16490.690410958967,9982857202.890646,14063716702.631989
2022-02-15,1.525103,16486.34246575349,9980048420.1638,14055957421.470638
2022-02-16,1.527862,16481.99452054801,9977239637.436953,14048198140.309288
2022-02-17,1.529855,16477.646575342533,9974430854.710106,14040438859.147938
2022-02-18,1.525716,16473.298630137055,9971622071.98326,14032679577.986588
2022-02-19,1.521401,16468.950684931577,9968813289.256413,14024920296.825237
2022-02-20,1.521401,16464.6027397261,9966004506.529566,14017161015.663887
2022-02-21,1.521106,16460.25479452062,9963195723.80272,14009401734.502537
2022-02-22,1.523541,16455.906849315143,9960386941.075872,14001642453.341187
2022-02-23,1.525205,16451.558904109665,9957578158.349026,13993883172.179836
2022-02-24,1.517212,16447.210958904187,9954769375.622179,13986123891.018486
2022-02-25,1.515318,16442.86301369871,9951960592.895332,13978364609.857136
2022-02-26,1.523538,16438.51506849323,9949151810.168486,13970605328.695786
2022-02-27,1.515723,16434.167123287752,9946343027.441639,13962846047.534435
2022-02-28,1.501697,16429.819178082274,9943534244.714792,13955086766.373085
2022-03-01,1.521957,16425.471232876796,9940725461.987946,13947327485.211735
2022-03-02,1.508522,16421.12328767132,9937916679.261099,13939568204.050385
2022-03-03,1.504928,16416.77534246584,9935107896.534252,13931808922.889034
2022-03-04,1.499736,16412.427397260362,9932299113.807405,13924049641.727684
2022-03-05,1.495759,16408.079452054884,9929490331.080559,13916290360.566334
2022-03-06,1.495759,16403.731506849406,9926681548.353712,13908531079.404984
2022-03-07,1.482588,16399.38356164393,9923872765.626865,13900771798.243633
2022-03-08,1.475197,16395.03561643845,9921063982.900019,13893012517.082283
2022-03-09,1.484568,16390.687671232972,9918255200.173172,13885253235.920933
2022-03-10,1.504057,16386.339726027494,9915446417.446325,13877493954.759583
2022-03-11,1.49301,16381.991780822016,9912637634.719479,13869734673.598232
2022-03-12,1.481092,16377.643835616538,9909828851.992632,13861975392.436882
2022-03-13,1.481092,16373.29589041106,9907020069.265785,13854216111.275532
2022-03-14,1.481529,16368.947945205582,9904211286.538939,13846456830.114182
2022-03-15,1.493082,16364.600000000104,9901402503.812092,13838697548.952831
2022-03-16,1.495452,16360.252054794626,9898593721.085245,13830938267.791481
2022-03-17,1.498099,16355.904109589148,9895784938.358398,13823178986.63013
2022-03-18,1.504889,16351.55616438367,9892976155.631552,13815419705.46878
2022-03-19,1.50106,16347.208219178192,9890167372.904705,13807660424.30743
2022-03-20,1.50106,16342.860273972714,9887358590.177858,13799901143.14608
2022-03-21,1.498996,16338.512328767236,9884549807.451012,13792141861.98473
2022-03-22,1.492365,16334.164383561758,9881741024.724165,13784382580.82338
2022-03-23,1.493058,16329.81643835628,9878932241.997318,13776623299.66203
2022-03-24,1.490006,16325.468493150802,9876123459.270472,13768864018.500679
2022-03-25,1.495954,16321.120547945324,9873314676.543625,13761104737.339329
2022-03-26,1.490257,16316.772602739846,9870505893.816778,13753345456.177979
