,Rate,Gdp,Import,Export
2021-12-17,1.955853,90462.47945205428,61824459188.62053,62788683972.60208
2021-12-18,1.955883,90479.58082191729,61857990350.433716,62819151041.09523
2021-12-19,1.953866,90496.6821917803,61891521512.2469,62849618109.58838
2021-12-20,1.956916,90513.78356164331,61925052674.06009,62880085178.08153
2021-12-21,1.955875,90530.88493150633,61958583835.873276,62910552246.57468
2021-12-22,1.956633,90547.98630136934,61992114997.68646,62941019315.067825
2021-12-23,1.957333,90565.08767123235,62025646159.49965,62971486383.560974
2021-12-24,1.956978,90582.18904109536,62059177321.312836,63001953452.05412
2021-12-25,1.95937,90599.29041095838,62092708483.12602,63032420520.54727
2021-12-26,1.95937,90616.39178082139,62126239644.93921,63062887589.04042
2021-12-27,1.955775,90633.4931506844,62159770806.752396,63093354657.53357
2021-12-28,1.957007,90650.59452054741,62193301968.56558,63123821726.02672
2021-12-29,1.952824,90667.69589041042,62226833130.37877,63154288794.51987
2021-12-30,1.955957,90684.79726027344,62260364292.191956,63184755863.013016
2021-12-31,1.955499,90701.89863013645,62293895454.00514,63215222931.506165
2022-01-01,1.953969,90719.0,62327426615.8175,63245690000.0
2022-01-02,1.953969,90751.09589041096,62318770011.151726,63246153643.83562
2022-01-03,1.952851,90783.19178082192,62310113406.485954,63246617287.671234
2022-01-04,1.957468,90815.28767123287,62301456801.82018,63247080931.50685
2022-01-05,1.957186,90847.38356164383,62292800197.15441,63247544575.34247
2022-01-06,1.956327,90879.47945205479,62284143592.48864,63248008219.178085
2022-01-07,1.956213,90911.57534246575,62275486987.82287,63248471863.0137
2022-01-08,1.959478,90943.6712328767,62266830383.1571,63248935506.84932
2022-01-09,1.959529,90975.76712328766,62258173778.491325,63249399150.68494
2022-01-10,1.954762,91007.86301369862,62249517173.825554,63249862794.52055
2022-01-11,1.956287,91039.95890410958,62240860569.15978,63250326438.35617
2022-01-12,1.955899,91072.05479452053,62232203964.49401,63250790082.19179
2022-01-13,1.956259,91104.15068493149,62223547359.82824,63251253726.027405
2022-01-14,1.955859,91136.24657534245,62214890755.16247,63251717369.86302
2022-01-15,1.9555,91168.3424657534,62206234150.4967,63252181013.69864
2022-01-16,1.9555,91200.43835616436,62197577545.830925,63252644657.534256
2022-01-17,1.954184,91232.53424657532,62188920941.16515,63253108301.36987
2022-01-18,1.95677,91264.63013698628,62180264336.49938,63253571945.20549
2022-01-19,1.954948,91296.72602739724,62171607731.83361,63254035589.04111
2022-01-20,1.95732,91328.82191780819,62162951127.16784,63254499232.876724
2022-01-21,1.954448,91360.91780821915,62154294522.50207,63254962876.71234
2022-01-22,1.956072,91393.01369863011,62145637917.836296,63255426520.54796
2022-01-23,1.956072,91425.10958904107,62136981313.170525,63255890164.383575
2022-01-24,1.954742,91457.20547945202,62128324708.50475,63256353808.21919
2022-01-25,1.955746,91489.30136986298,62119668103.83898,63256817452.05481
2022-01-26,1.955515,91521.39726027394,62111011499.17321,63257281095.89043
2022-01-27,1.953353,91553.4931506849,62102354894.50744,63257744739.72604
2022-01-28,1.956136,91585.58904109585,62093698289.84167,63258208383.56166
2022-01-29,1.956242,91617.68493150681,62085041685.175896,63258672027.39728
2022-01-30,1.956242,91649.78082191777,62076385080.510124,63259135671.232895
2022-01-31,1.954812,91681.87671232873,62067728475.84435,63259599315.06851
2022-02-01,1.958437,91713.97260273968,62059071871.17858,63260062958.90413
2022-02-02,1.95666,91746.06849315064,62050415266.51281,63260526602.739746
2022-02-03,1.956029,91778.1643835616,62041758661.84704,63260990246.57536
2022-02-04,1.958514,91810.26027397256,62033102057.18127,63261453890.41098
2022-02-05,1.958351,91842.35616438351,62024445452.515495,63261917534.2466
2022-02-06,1.958351,91874.45205479447,62015788847.849724,63262381178.082214
2022-02-07,1.958944,91906.54794520543,62007132243.18395,63262844821.91783
2022-02-08,1.956192,91938.64383561639,61998475638.51818,63263308465.75345
2022-02-09,1.957067,91970.73972602734,61989819033.85241,63263772109.589066
2022-02-10,1.95358,92002.8356164383,61981162429.18664,63264235753.42468
2022-02-11,1.95382,92034.93150684926,61972505824.52087,63264699397.2603
2022-02-12,1.948366,92067.02739726022,61963849219.855095,63265163041.09592
2022-02-13,1.948435,92099.12328767117,61955192615.18932,63265626684.93153
2022-02-14,1.949163,92131.21917808213,61946536010.52355,63266090328.76715
2022-02-15,1.957848,92163.31506849309,61937879405.85778,63266553972.60277
2022-02-16,1.954404,92195.41095890405,61929222801.19201,63267017616.438385
2022-02-17,1.955651,92227.506849315,61920566196.52624,63267481260.274
2022-02-18,1.953642,92259.60273972596,61911909591.860466,63267944904.10962
2022-02-19,1.953174,92291.69863013692,61903252987.194695,63268408547.94524
2022-02-20,1.953174,92323.79452054788,61894596382.52892,63268872191.78085
2022-02-21,1.952797,92355.89041095883,61885939777.86315,63269335835.61647
2022-02-22,1.958826,92387.98630136979,61877283173.19738,63269799479.45209
2022-02-23,1.955277,92420.08219178075,61868626568.53161,63270263123.287704
2022-02-24,1.952636,92452.1780821917,61859969963.86584,63270726767.12332
2022-02-25,1.956462,92484.27397260266,61851313359.200066,63271190410.95894
2022-02-26,1.958561,92516.36986301362,61842656754.534294,63271654054.794556
2022-02-27,1.958693,92548.46575342458,61834000149.86852,63272117698.63017
2022-02-28,1.940579,92580.56164383554,61825343545.20275,63272581342.46579
2022-03-01,1.952735,92612.6575342465,61816686940.53698,63273044986.30141
2022-03-02,1.95511,92644.75342465745,61808030335.87121,63273508630.137024
2022-03-03,1.955573,92676.84931506841,61799373731.20544,63273972273.97264
2022-03-04,1.952888,92708.94520547937,61790717126.539665,63274435917.80826
2022-03-05,1.960555,92741.04109589032,61782060521.87389,63274899561.643875
2022-03-06,1.961165,92773.13698630128,61773403917.20812,63275363205.47949
2022-03-07,1.943896,92805.23287671224,61764747312.54235,63275826849.31511
2022-03-08,1.952622,92837.3287671232,61756090707.87658,63276290493.15073
2022-03-09,1.95768,92869.42465753415,61747434103.21081,63276754136.98634
2022-03-10,1.952851,92901.52054794511,61738777498.54504,63277217780.82196
2022-03-11,1.953842,92933.61643835607,61730120893.879265,63277681424.65758
2022-03-12,1.95067,92965.71232876703,61721464289.21349,63278145068.493195
2022-03-13,1.95067,92997.80821917798,61712807684.54772,63278608712.32881
2022-03-14,1.951245,93029.90410958894,61704151079.88195,63279072356.16443
2022-03-15,1.956001,93061.9999999999,61695494475.21618,63279536000.000046
2022-03-16,1.953766,93094.09589041086,61686837870.55041,63279999643.83566
2022-03-17,1.955699,93126.19178082181,61678181265.884636,63280463287.67128
2022-03-18,1.956343,93158.28767123277,61669524661.218864,63280926931.5069
2022-03-19,1.960128,93190.38356164373,61660868056.55309,63281390575.342514
2022-03-20,1.960128,93222.47945205469,61652211451.88732,63281854219.17813
2022-03-21,1.957433,93254.57534246564,61643554847.22155,63282317863.01375
2022-03-22,1.951896,93286.6712328766,61634898242.55578,63282781506.849365
2022-03-23,1.955174,93318.76712328756,61626241637.89001,63283245150.68498
2022-03-24,1.955336,93350.86301369852,61617585033.224236,63283708794.5206
2022-03-25,1.956954,93382.95890410947,61608928428.558464,63284172438.35622
2022-03-26,1.953398,93415.05479452043,61600271823.89269,63284636082.19183
2022-03-27,1.955669,93447.15068493139,61591615219.22692,63285099726.02745
2022-03-28,1.961176,93479.24657534235,61582958614.56115,63285563369.86307
2022-03-29,1.950299,93511.3424657533,61574302009.89538,63286027013.698685
2022-03-30,1.956442,93543.43835616426,61565645405.22961,63286490657.5343
