,Rate,Gdp,Import,Export
2021-12-17,2257.760376,3898.7397260274574,774539321.7029172,332367555.3067057
2021-12-18,2255.817887,3900.2904109589645,774863291.1814822,332452171.82955235
2021-12-19,2255.817887,3901.8410958904715,775187260.6600472,332536788.352399
2021-12-20,2257.394317,3903.3917808219785,775511230.1386122,332621404.87524563
2021-12-21,2247.53122,3904.9424657534855,775835199.6171771,332706021.39809227
2021-12-22,2260.364877,3906.4931506849925,776159169.0957421,332790637.9209389
2021-12-23,2252.624614,3908.0438356164996,776483138.5743071,332875254.44378555
2021-12-24,2267.334862,3909.5945205480066,776807108.0528721,332959870.9666322
2021-12-25,2270.34552,3911.1452054795136,777131077.531437,333044487.4894788
2021-12-26,2270.34552,3912.6958904110206,777455047.010002,333129104.01232547
2021-12-27,2266.179925,3914.2465753425276,777779016.488567,333213720.5351721
2021-12-28,2267.309184,3915.7972602740347,778102985.967132,333298337.05801874
2021-12-29,2260.18392,3917.3479452055417,778426955.445697,333382953.5808654
2021-12-30,2254.190476,3918.8986301370487,778750924.9242619,333467570.103712
2021-12-31,2267.320632,3920.4493150685557,779074894.4028269,333552186.62655866
2022-01-01,2278.270857,3922.0,779398863.881402,333636803.1494
2022-01-02,2278.270857,3922.8876712328765,779024714.4060904,333758973.0536503
2022-01-03,2276.968855,3923.775342465753,778650564.9307787,333881142.95790064
2022-01-04,2265.012481,3924.6630136986296,778276415.4554671,334003312.86215097
2022-01-05,2263.171262,3925.550684931506,777902265.9801555,334125482.7664013
2022-01-06,2270.451318,3926.4383561643826,777528116.5048438,334247652.6706516
2022-01-07,2267.284533,3927.326027397259,777153967.0295322,334369822.57490194
2022-01-08,2280.860133,3928.2136986301357,776779817.5542206,334491992.47915226
2022-01-09,2255.466643,3929.101369863012,776405668.0789089,334614162.3834026
2022-01-10,2252.219728,3929.9890410958888,776031518.6035973,334736332.2876529
2022-01-11,2276.217297,3930.8767123287653,775657369.1282856,334858502.19190323
2022-01-12,2263.11097,3931.764383561642,775283219.652974,334980672.09615356
2022-01-13,2296.897615,3932.6520547945183,774909070.1776624,335102842.0004039
2022-01-14,2287.015031,3933.539726027395,774534920.7023507,335225011.9046542
2022-01-15,2292.926006,3934.4273972602714,774160771.2270391,335347181.8089045
