,Rate,Gdp,Import,Export
2021-12-17,4614.107405,39713.02739726113,29367894339.69885,25278288518.555782
2021-12-18,4610.219074,39721.35890411045,29374208147.19031,25292860082.731167
2021-12-19,4610.219074,39729.69041095977,29380521954.681774,25307431646.90655
2021-12-20,4613.440828,39738.021917809085,29386835762.173237,25322003211.081936
2021-12-21,4608.266341,39746.3534246584,29393149569.6647,25336574775.25732
2021-12-22,4600.892427,39754.68493150772,29399463377.156162,25351146339.432705
2021-12-23,4602.944707,39763.01643835704,29405777184.647625,25365717903.60809
2021-12-24,4613.946921,39771.347945206355,29412090992.139088,25380289467.783474
2021-12-25,4621.208187,39779.67945205567,29418404799.63055,25394861031.95886
2021-12-26,4621.208187,39788.01095890499,29424718607.122013,25409432596.134243
2021-12-27,4612.729303,39796.34246575431,29431032414.613476,25424004160.309628
2021-12-28,4615.027474,39804.673972603625,29437346222.10494,25438575724.485012
2021-12-29,4616.091819,39813.00547945294,29443660029.5964,25453147288.660397
2021-12-30,4602.027889,39821.33698630226,29449973837.087864,25467718852.83578
2021-12-31,4608.237063,39829.66849315158,29456287644.579327,25482290417.011166
2022-01-01,4628.182274,39838.0,29462601452.0712,25496861981.1864
2022-01-02,4628.182274,39847.49589041096,29459958412.494072,25503041931.990963
2022-01-03,4625.537065,39856.99178082192,29457315372.916943,25509221882.795525
2022-01-04,4616.756633,39866.48767123288,29454672333.339813,25515401833.600086
2022-01-05,4599.712629,39875.983561643836,29452029293.762684,25521581784.404648
2022-01-06,4612.190398,39885.479452054795,29449386254.185555,25527761735.20921
2022-01-07,4603.480504,39894.975342465754,29446743214.608425,25533941686.01377
2022-01-08,4629.89083,39904.47123287671,29444100175.031296,25540121636.818333
2022-01-09,4607.105935,39913.96712328767,29441457135.454166,25546301587.622894
2022-01-10,4600.473656,39923.46301369863,29438814095.877037,25552481538.427456
2022-01-11,4618.165843,39932.95890410959,29436171056.299908,25558661489.232018
2022-01-12,4635.848754,39942.45479452055,29433528016.72278,25564841440.03658
2022-01-13,4662.444949,39951.95068493151,29430884977.14565,25571021390.84114
2022-01-14,4669.726507,39961.44657534247,29428241937.56852,25577201341.645702
2022-01-15,4652.06586,39970.942465753425,29425598897.99139,25583381292.450264
2022-01-16,4652.06586,39980.438356164384,29422955858.41426,25589561243.254826
2022-01-17,4648.933731,39989.93424657534,29420312818.83713,25595741194.059387
2022-01-18,4660.54884,39999.4301369863,29417669779.260002,25601921144.86395
2022-01-19,4614.487513,40008.92602739726,29415026739.682873,25608101095.66851
2022-01-20,4626.089678,40018.42191780822,29412383700.105743,25614281046.473072
2022-01-21,4602.679279,40027.91780821918,29409740660.528614,25620460997.277634
2022-01-22,4617.313621,40037.41369863014,29407097620.951485,25626640948.082195
2022-01-23,4617.313621,40046.9095890411,29404454581.374355,25632820898.886757
2022-01-24,4614.172464,40056.405479452056,29401811541.797226,25639000849.69132
2022-01-25,4605.430895,40065.901369863015,29399168502.220097,25645180800.49588
2022-01-26,4597.056997,40075.397260273974,29396525462.642967,25651360751.30044
2022-01-27,4563.377858,40084.89315068493,29393882423.065838,25657540702.105003
2022-01-28,4526.455306,40094.38904109589,29391239383.48871,25663720652.909565
2022-01-29,4528.836164,40103.88493150685,29388596343.91158,25669900603.714127
2022-01-30,4528.836164,40113.38082191781,29385953304.33445,25676080554.51869
2022-01-31,4525.206939,40122.87671232877,29383310264.75732,25682260505.32325
2022-02-01,4539.874322,40132.37260273973,29380667225.18019,25688440456.12781
2022-02-02,4583.535331,40141.86849315069,29378024185.60306,25694620406.932373
2022-02-03,4592.436761,40151.364383561646,29375381146.025932,25700800357.736935
2022-02-04,4656.60434,40160.860273972605,29372738106.448803,25706980308.541496
2022-02-05,4654.203393,40170.356164383564,29370095066.871674,25713160259.346058
2022-02-06,4654.203393,40179.85205479452,29367452027.294544,25719340210.15062
2022-02-07,4655.612051,40189.34794520548,29364808987.717415,25725520160.95518
2022-02-08,4654.489134,40198.84383561644,29362165948.140285,25731700111.759743
2022-02-09,4643.331045,40208.3397260274,29359522908.563156,25737880062.564304
2022-02-10,4647.702923,40217.83561643836,29356879868.986027,25744060013.368866
2022-02-11,4639.736948,40227.33150684932,29354236829.408897,25750239964.173428
2022-02-12,4613.530145,40236.82739726028,29351593789.831768,25756419914.97799
