,Rate,Gdp,Import,Export
2021-12-17,4565.866144,344518.0136986339,95573161384.85265,72588712979.12848
2021-12-18,4547.829642,344592.27945205854,95629065287.91742,72650642329.48546
2021-12-19,4547.829642,344666.5452054832,95684969190.9822,72712571679.84244
2021-12-20,4551.088791,344740.8109589079,95740873094.04697,72774501030.19942
2021-12-21,4520.860955,344815.07671233255,95796776997.11174,72836430380.5564
2021-12-22,4518.358743,344889.3424657572,95852680900.17651,72898359730.91338
2021-12-23,4535.470301,344963.6082191819,95908584803.24129,72960289081.27036
2021-12-24,4528.248252,345037.87397260655,95964488706.30606,73022218431.62733
2021-12-25,4526.515556,345112.1397260312,96020392609.37083,73084147781.98431
2021-12-26,4526.515556,345186.4054794559,96076296512.43561,73146077132.3413
2021-12-27,4518.210374,345260.67123288056,96132200415.50038,73208006482.69827
2021-12-28,4526.498185,345334.9369863052,96188104318.56516,73269935833.05525
2021-12-29,4530.630551,345409.2027397299,96244008221.62993,73331865183.41223
2021-12-30,4581.330308,345483.46849315456,96299912124.6947,73393794533.76921
2021-12-31,4608.237189,345557.73424657923,96355816027.75948,73455723884.12619
2022-01-01,4622.871406,345632.0,96411719930.8215,73517653234.4828
2022-01-02,4622.871406,345688.602739726,96373941108.65639,73504381349.29341
2022-01-03,4620.229495,345745.20547945204,96336162286.49127,73491109464.10402
2022-01-04,4595.702584,345801.80821917806,96298383464.32616,73477837578.91463
2022-01-05,4605.694613,345858.4109589041,96260604642.16104,73464565693.72523
2022-01-06,4558.633995,345915.0136986301,96222825819.99593,73451293808.53584
2022-01-07,4555.660348,345971.6164383561,96185046997.83081,73438021923.34645
2022-01-08,4602.099727,346028.21917808213,96147268175.6657,73424750038.15706
2022-01-09,4561.399923,346084.82191780815,96109489353.50058,73411478152.96767
2022-01-10,4550.545523,346141.42465753417,96071710531.33546,73398206267.77827
2022-01-11,4589.878568,346198.0273972602,96033931709.17035,73384934382.58888
2022-01-12,4539.85567,346254.6301369862,95996152887.00523,73371662497.39949
2022-01-13,4552.800041,346311.2328767122,95958374064.84012,73358390612.2101
2022-01-14,4548.388862,346367.83561643824,95920595242.675,73345118727.0207
2022-01-15,4574.435901,346424.43835616426,95882816420.50989,73331846841.83131
2022-01-16,4574.435901,346481.0410958903,95845037598.34477,73318574956.64192
2022-01-17,4571.356861,346537.6438356163,95807258776.17966,73305303071.45253
2022-01-18,4575.210883,346594.2465753423,95769479954.01454,73292031186.26314
2022-01-19,4570.674908,346650.84931506834,95731701131.84943,73278759301.07375
2022-01-20,4537.555739,346707.45205479435,95693922309.68431,73265487415.88435
2022-01-21,4493.603223,346764.0547945204,95656143487.5192,73252215530.69496
2022-01-22,4488.504932,346820.6575342464,95618364665.35408,73238943645.50557
2022-01-23,4488.504932,346877.2602739724,95580585843.18896,73225671760.31618
2022-01-24,4485.451752,346933.8630136984,95542807021.02385,73212399875.12679
2022-01-25,4501.083997,346990.46575342445,95505028198.85873,73199127989.9374
2022-01-26,4484.773481,347047.06849315047,95467249376.69362,73185856104.748
2022-01-27,4414.540257,347103.6712328765,95429470554.5285,73172584219.55861
2022-01-28,4416.691902,347160.2739726025,95391691732.36339,73159312334.36922
2022-01-29,4412.347585,347216.8767123285,95353912910.19827,73146040449.17982
2022-01-30,4412.347585,347273.47945205454,95316134088.03316,73132768563.99043
2022-01-31,4411.390677,347330.08219178056,95278355265.86804,73119496678.80104
2022-02-01,4433.047311,347386.6849315066,95240576443.70293,73106224793.61165
2022-02-02,4424.369233,347443.2876712326,95202797621.53781,73092952908.42226
2022-02-03,4444.208445,347499.8904109586,95165018799.3727,73079681023.23286
2022-02-04,4529.582563,347556.49315068463,95127239977.20758,73066409138.04347
2022-02-05,4530.022215,347613.09589041065,95089461155.04247,73053137252.85408
2022-02-06,4530.022215,347669.69863013667,95051682332.87735,73039865367.66469
