,Rate,Gdp,Import,Export
2021-12-17,492.995821,1225.0547945205294,476558283.30814976,164482514.1761207
2021-12-18,491.526285,1224.9178082191595,476726592.41700065,164585803.51907727
2021-12-19,491.526285,1224.7808219177896,476894901.52585155,164689092.86203384
2021-12-20,491.786599,1224.6438356164197,477063210.63470244,164792382.20499045
2021-12-21,492.432037,1224.5068493150497,477231519.74355334,164895671.54794705
2021-12-22,493.452532,1224.3698630136798,477399828.85240424,164998960.89090362
2021-12-23,493.063313,1224.23287671231,477568137.96125513,165102250.2338602
2021-12-24,492.511131,1224.09589041094,477736447.070106,165205539.5768168
2021-12-25,493.732153,1223.95890410957,477904756.1789569,165308828.9197734
2021-12-26,493.732153,1223.8219178082002,478073065.2878078,165412118.26272997
2021-12-27,492.826247,1223.6849315068303,478241374.3966587,165515407.60568655
2021-12-28,492.363884,1223.5479452054603,478409683.5055096,165618696.94864315
2021-12-29,492.201003,1223.4109589040904,478577992.6143605,165721986.29159975
2021-12-30,492.696359,1223.2739726027205,478746301.7232114,165825275.63455632
2021-12-31,492.385045,1223.1369863013506,478914610.8320623,165928564.9775129
2022-01-01,494.516161,1223.0,479082919.940909,166031854.320468
2022-01-02,494.516161,1223.3068493150686,479154989.11901194,165983697.3030072
2022-01-03,494.233482,1223.6136986301372,479227058.29711485,165935540.28554636
2022-01-04,493.225047,1223.9205479452057,479299127.47521776,165887383.26808554
2022-01-05,492.197722,1224.2273972602743,479371196.65332067,165839226.25062472
2022-01-06,491.435095,1224.5342465753429,479443265.8314236,165791069.2331639
2022-01-07,490.625119,1224.8410958904115,479515335.0095265,165742912.21570307
2022-01-08,492.533762,1225.14794520548,479587404.1876294,165694755.19824225
2022-01-09,492.533762,1225.4547945205486,479659473.3657323,165646598.18078142
2022-01-10,491.355972,1225.7616438356172,479731542.5438352,165598441.1633206
2022-01-11,493.551127,1226.0684931506858,479803611.72193813,165550284.14585978
2022-01-12,493.184419,1226.3753424657543,479875680.90004104,165502127.12839895
2022-01-13,493.585789,1226.682191780823,479947750.07814395,165453970.11093813
2022-01-14,492.376102,1226.9890410958915,480019819.25624686,165405813.0934773
2022-01-15,491.606349,1227.29589041096,480091888.4343498,165357656.0760165
2022-01-16,491.606349,1227.6027397260286,480163957.6124527,165309499.05855566
2022-01-17,491.275404,1227.9095890410972,480236026.7905556,165261342.04109484
2022-01-18,491.694535,1228.2164383561658,480308095.9686585,165213185.02363402
2022-01-19,491.393318,1228.5232876712344,480380165.1467614,165165028.0061732
2022-01-20,493.279622,1228.830136986303,480452234.3248643,165116870.98871237
2022-01-21,490.503876,1229.1369863013715,480524303.50296724,165068713.97125155
2022-01-22,492.419307,1229.44383561644,480596372.68107015,165020556.95379072
2022-01-23,492.419307,1229.7506849315087,480668441.85917306,164972399.9363299
2022-01-24,492.084197,1230.0575342465772,480740511.03727597,164924242.91886908
2022-01-25,492.978003,1230.3643835616458,480812580.2153789,164876085.90140826
2022-01-26,493.159458,1230.6712328767144,480884649.3934818,164827928.88394743
2022-01-27,490.00838,1230.978082191783,480956718.5715847,164779771.8664866
2022-01-28,492.20991,1231.2849315068515,481028787.7496876,164731614.8490258
2022-01-29,491.90125,1231.59178082192,481100856.9277905,164683457.83156496
2022-01-30,491.90125,1231.8986301369887,481172926.10589343,164635300.81410414
2022-01-31,491.793902,1232.2054794520573,481244995.28399634,164587143.79664332
2022-02-01,493.839188,1232.5123287671258,481317064.46209925,164538986.7791825
2022-02-02,493.815644,1232.8191780821944,481389133.64020216,164490829.76172167
2022-02-03,494.788701,1233.126027397263,481461202.8183051,164442672.74426085
2022-02-04,496.011393,1233.4328767123316,481533271.996408,164394515.72680002
2022-02-05,492.498697,1233.7397260274001,481605341.1745109,164346358.7093392
2022-02-06,492.498697,1234.0465753424687,481677410.3526138,164298201.69187838
2022-02-07,492.64707,1234.3534246575373,481749479.5307167,164250044.67441756
2022-02-08,492.165954,1234.6602739726059,481821548.7088196,164201887.65695673
2022-02-09,490.981068,1234.9671232876744,481893617.88692254,164153730.6394959
2022-02-10,492.005292,1235.273972602743,481965687.06502545,164105573.6220351
2022-02-11,489.33814,1235.5808219178116,482037756.24312836,164057416.60457426
2022-02-12,490.351119,1235.8876712328802,482109825.42123127,164009259.58711344
2022-02-13,490.351119,1236.1945205479487,482181894.5993342,163961102.56965262
2022-02-14,490.534109,1236.5013698630173,482253963.7774371,163912945.5521918
2022-02-15,488.686494,1236.808219178086,482326032.95554,163864788.53473097
2022-02-16,490.611601,1237.1150684931545,482398102.1336429,163816631.51727015
2022-02-17,492.532347,1237.421917808223,482470171.3117458,163768474.49980932
