,Rate,Gdp,Import,Export
2021-12-17,722.805925,69059.06849314952,27365063190.08146,29154599037.734364
2021-12-18,722.17767,69070.79726027281,27379020957.88868,29170445413.779232
2021-12-19,722.17767,69082.52602739609,27392978725.6959,29186291789.8241
2021-12-20,722.69521,69094.25479451937,27406936493.50312,29202138165.86897
2021-12-21,719.410422,69105.98356164266,27420894261.31034,29217984541.913837
2021-12-22,720.325887,69117.71232876595,27434852029.11756,29233830917.958706
2021-12-23,723.162549,69129.44109588923,27448809796.92478,29249677294.003574
2021-12-24,728.216461,69141.1698630125,27462767564.732002,29265523670.048443
2021-12-25,728.818589,69152.8986301358,27476725332.539223,29281370046.09331
2021-12-26,728.818589,69164.62739725909,27490683100.346443,29297216422.13818
2021-12-27,727.481364,69176.35616438236,27504640868.153664,29313062798.18305
2021-12-28,728.448453,69188.08493150564,27518598635.960884,29328909174.227917
2021-12-29,727.520232,69199.81369862893,27532556403.768105,29344755550.272785
2021-12-30,725.528088,69211.54246575222,27546514171.575325,29360601926.317654
2021-12-31,727.031848,69223.2712328755,27560471939.382545,29376448302.362522
2022-01-01,730.147918,69235.0,27574429707.1895,29392294678.4072
2022-01-02,730.147918,69282.32602739726,27578405425.020992,29404049941.33948
2022-01-03,729.730648,69329.65205479451,27582381142.852486,29415805204.271763
2022-01-04,728.929669,69376.97808219177,27586356860.68398,29427560467.204044
2022-01-05,724.331581,69424.30410958902,27590332578.515472,29439315730.136326
2022-01-06,726.619533,69471.63013698628,27594308296.346966,29451070993.068607
2022-01-07,725.516704,69518.95616438353,27598284014.17846,29462826256.00089
2022-01-08,729.677389,69566.28219178079,27602259732.009953,29474581518.93317
2022-01-09,726.035489,69613.60821917804,27606235449.841446,29486336781.86545
2022-01-10,724.93282,69660.9342465753,27610211167.67294,29498092044.797733
2022-01-11,727.638096,69708.26027397256,27614186885.504433,29509847307.730015
2022-01-12,727.885903,69755.58630136981,27618162603.335926,29521602570.662296
2022-01-13,733.026462,69802.91232876707,27622138321.16742,29533357833.594578
2022-01-14,731.048068,69850.23835616432,27626114038.998913,29545113096.52686
2022-01-15,726.821384,69897.56438356158,27630089756.830406,29556868359.45914
2022-01-16,726.821384,69944.89041095883,27634065474.6619,29568623622.391422
2022-01-17,726.332163,69992.21643835609,27638041192.493393,29580378885.323704
2022-01-18,724.614168,70039.54246575334,27642016910.324886,29592134148.255985
2022-01-19,718.520374,70086.8684931506,27645992628.15638,29603889411.188267
2022-01-20,720.347918,70134.19452054786,27649968345.987873,29615644674.12055
2022-01-21,716.941612,70181.52054794511,27653944063.819366,29627399937.05283
2022-01-22,720.270105,70228.84657534237,27657919781.65086,29639155199.98511
2022-01-23,720.270105,70276.17260273962,27661895499.482353,29650910462.917393
2022-01-24,719.780162,70323.49863013688,27665871217.313847,29662665725.849674
2022-01-25,718.755499,70370.82465753413,27669846935.14534,29674420988.781956
2022-01-26,719.762552,70418.15068493139,27673822652.976833,29686176251.714237
2022-01-27,718.730836,70465.47671232864,27677798370.808327,29697931514.64652
2022-01-28,712.729181,70512.8027397259,27681774088.63982,29709686777.5788
2022-01-29,713.95916,70560.12876712315,27685749806.471313,29721442040.51108
2022-01-30,713.95916,70607.45479452041,27689725524.302807,29733197303.443363
2022-01-31,713.208921,70654.78082191767,27693701242.1343,29744952566.375645
2022-02-01,716.921361,70702.10684931492,27697676959.965794,29756707829.307926
2022-02-02,723.463751,70749.43287671218,27701652677.797287,29768463092.240208
2022-02-03,724.578199,70796.75890410943,27705628395.62878,29780218355.17249
2022-02-04,735.77478,70844.08493150669,27709604113.460274,29791973618.10477
2022-02-05,736.962463,70891.41095890394,27713579831.291767,29803728881.037052
2022-02-06,736.962463,70938.7369863012,27717555549.12326,29815484143.969334
2022-02-07,737.185551,70986.06301369845,27721531266.954754,29827239406.901615
2022-02-08,736.7443,71033.38904109571,27725506984.786247,29838994669.833897
2022-02-09,734.479831,71080.71506849297,27729482702.61774,29850749932.76618
2022-02-10,733.980989,71128.04109589022,27733458420.449234,29862505195.69846
2022-02-11,732.812557,71175.36712328748,27737434138.280727,29874260458.63074
2022-02-12,729.644273,71222.69315068473,27741409856.11222,29886015721.563023
2022-02-13,732.476239,71270.01917808199,27745385573.943714,29897770984.495304
2022-02-14,732.749932,71317.34520547924,27749361291.775208,29909526247.427586
2022-02-15,725.637006,71364.6712328765,27753337009.6067,29921281510.359867
2022-02-16,725.850469,71411.99726027375,27757312727.438194,29933036773.29215
2022-02-17,727.615303,71459.32328767101,27761288445.269688,29944792036.22443
2022-02-18,725.507396,71506.64931506827,27765264163.10118,29956547299.15671
2022-02-19,724.432611,71553.97534246552,27769239880.932674,29968302562.088993
2022-02-20,724.432611,71601.30136986278,27773215598.764168,29980057825.021275
2022-02-21,724.292465,71648.62739726003,27777191316.59566,29991813087.953556
2022-02-22,723.121369,71695.95342465729,27781167034.427155,30003568350.885838
2022-02-23,724.135377,71743.27945205454,27785142752.258648,30015323613.81812
2022-02-24,721.386704,71790.6054794518,27789118470.09014,30027078876.7504
2022-02-25,717.048002,71837.93150684905,27793094187.921635,30038834139.682682
2022-02-26,721.13807,71885.25753424631,27797069905.753128,30050589402.614964
2022-02-27,717.454941,71932.58356164357,27801045623.58462,30062344665.547245
2022-02-28,710.815605,71979.90958904082,27805021341.416115,30074099928.479527
2022-03-01,718.702895,72027.23561643808,27808997059.24761,30085855191.411808
2022-03-02,714.224607,72074.56164383533,27812972777.0791,30097610454.34409
2022-03-03,712.73559,72121.88767123259,27816948494.910595,30109365717.27637
2022-03-04,709.234111,72169.21369862984,27820924212.74209,30121120980.208652
2022-03-05,707.799587,72216.5397260271,27824899930.57358,30132876243.140934
2022-03-06,707.799587,72263.86575342435,27828875648.405075,30144631506.073215
2022-03-07,701.566808,72311.19178082161,27832851366.23657,30156386769.005497
2022-03-08,698.940558,72358.51780821886,27836827084.06806,30168142031.93778
2022-03-09,701.371334,72405.84383561612,27840802801.899555,30179897294.87006
2022-03-10,717.270935,72453.16986301338,27844778519.73105,30191652557.80234
2022-03-11,713.123987,72500.49589041063,27848754237.562542,30203407820.734623
2022-03-12,707.344796,72547.82191780789,27852729955.394035,30215163083.666904
2022-03-13,707.344796,72595.14794520514,27856705673.22553,30226918346.599186
2022-03-14,707.553563,72642.4739726024,27860681391.057022,30238673609.531467
2022-03-15,708.24243,72689.79999999965,27864657108.888515,30250428872.46375
2022-03-16,705.053422,72737.12602739691,27868632826.72001,30262184135.39603
2022-03-17,704.399595,72784.45205479416,27872608544.551502,30273939398.328312
2022-03-18,710.495445,72831.77808219142,27876584262.382996,30285694661.260593
2022-03-19,709.912533,72879.10410958868,27880559980.21449,30297449924.192875
2022-03-20,709.912533,72926.43013698593,27884535698.045982,30309205187.125156
2022-03-21,708.936452,72973.75616438319,27888511415.877476,30320960450.057438
2022-03-22,709.080298,73021.08219178044,27892487133.70897,30332715712.98972
2022-03-23,711.69468,73068.4082191777,27896462851.540462,30344470975.922
2022-03-24,712.589816,73115.73424657495,27900438569.371956,30356226238.854282
2022-03-25,718.675228,73163.06027397221,27904414287.20345,30367981501.786564
2022-03-26,716.821392,73210.38630136946,27908390005.034943,30379736764.718845
