,Rate,Gdp,Import,Export
2021-12-17,7.520799,71169.38356164363,46356328704.73226,41596951532.42823
2021-12-18,7.51728,71175.42465753404,46385208518.98556,41617605914.50975
2021-12-19,7.51728,71181.46575342445,46414088333.23885,41638260296.59127
2021-12-20,7.521257,71187.50684931486,46442968147.49215,41658914678.67279
2021-12-21,7.515357,71193.54794520527,46471847961.745445,41679569060.75431
2021-12-22,7.513894,71199.58904109568,46500727775.99874,41700223442.83583
2021-12-23,7.525609,71205.63013698609,46529607590.25204,41720877824.91735
2021-12-24,7.516408,71211.6712328765,46558487404.50533,41741532206.99887
2021-12-25,7.526053,71217.71232876691,46587367218.75863,41762186589.08039
2021-12-26,7.526053,71223.75342465732,46616247033.011925,41782840971.16191
2021-12-27,7.512245,71229.79452054773,46645126847.26522,41803495353.24343
2021-12-28,7.502277,71235.83561643814,46674006661.51852,41824149735.32495
2021-12-29,7.517321,71241.87671232855,46702886475.77181,41844804117.40647
2021-12-30,7.520526,71247.91780821896,46731766290.02511,41865458499.48799
2021-12-31,7.520829,71253.95890410937,46760646104.278404,41886112881.56951
2022-01-01,7.516973,71260.0,46789525918.5315,41906767263.65
2022-01-02,7.516973,71296.04383561644,46787964881.932175,41915418392.858955
2022-01-03,7.512718,71332.08767123288,46786403845.33285,41924069522.06791
2022-01-04,7.518155,71368.13150684931,46784842808.73352,41932720651.27686
2022-01-05,7.515985,71404.17534246575,46783281772.13419,41941371780.48582
2022-01-06,7.519478,71440.21917808219,46781720735.53487,41950022909.69477
2022-01-07,7.521806,71476.26301369863,46780159698.93554,41958674038.903725
2022-01-08,7.520992,71512.30684931506,46778598662.33621,41967325168.11268
2022-01-09,7.520992,71548.3506849315,46777037625.736885,41975976297.32163
2022-01-10,7.503084,71584.39452054794,46775476589.13756,41984627426.53059
2022-01-11,7.522456,71620.43835616438,46773915552.53823,41993278555.73954
2022-01-12,7.524267,71656.48219178081,46772354515.9389,42001929684.948494
2022-01-13,7.525241,71692.52602739725,46770793479.33958,42010580814.15745
2022-01-14,7.519735,71728.56986301369,46769232442.74025,42019231943.3664
2022-01-15,7.519227,71764.61369863013,46767671406.14092,42027883072.575356
2022-01-16,7.519683,71800.65753424657,46766110369.541595,42036534201.78431
2022-01-17,7.514162,71836.701369863,46764549332.94227,42045185330.99326
2022-01-18,7.528006,71872.74520547944,46762988296.34294,42053836460.20222
2022-01-19,7.520648,71908.78904109588,46761427259.743614,42062487589.41117
2022-01-20,7.526709,71944.83287671232,46759866223.14429,42071138718.620125
2022-01-21,7.52536,71980.87671232875,46758305186.54496,42079789847.82908
2022-01-22,7.532351,72016.92054794519,46756744149.94563,42088440977.03803
2022-01-23,7.532351,72052.96438356163,46755183113.346306,42097092106.24699
2022-01-24,7.527226,72089.00821917807,46753622076.74698,42105743235.45594
2022-01-25,7.530923,72125.0520547945,46752061040.14765,42114394364.664894
2022-01-26,7.529451,72161.09589041094,46750500003.548325,42123045493.87385
