,Rate,Gdp,Import,Export
2021-12-17,25.276541,301384.7808219191,215227014013.84857,218832740739.64783
2021-12-18,25.220368,301414.5287671246,215286372760.48672,218871798311.2205
2021-12-19,25.220368,301444.27671233006,215345731507.12488,218910855882.79315
2021-12-20,25.192521,301474.02465753554,215405090253.76303,218949913454.3658
2021-12-21,25.227195,301503.772602741,215464449000.40118,218988971025.93848
2021-12-22,25.236827,301533.5205479465,215523807747.03934,219028028597.51114
2021-12-23,25.073385,301563.268493152,215583166493.6775,219067086169.0838
2021-12-24,25.062888,301593.0164383575,215642525240.31564,219106143740.65646
2021-12-25,25.070312,301622.76438356296,215701883986.9538,219145201312.22913
2021-12-26,25.070312,301652.51232876844,215761242733.59195,219184258883.8018
2021-12-27,25.040496,301682.2602739739,215820601480.2301,219223316455.37445
2021-12-28,25.061591,301712.0082191794,215879960226.86826,219262374026.9471
2021-12-29,24.918883,301741.7561643849,215939318973.5064,219301431598.51978
2021-12-30,24.937402,301771.5041095904,215998677720.14456,219340489170.09244
2021-12-31,24.862057,301801.25205479586,216058036466.7827,219379546741.6651
2022-01-01,24.871929,301831.0,216117395213.426,219418604313.241
2022-01-02,24.871929,301944.35890410957,216126882155.07425,219464314150.7069
2022-01-03,24.867716,302057.71780821914,216136369096.7225,219510023988.17282
2022-01-04,24.826083,302171.0767123287,216145856038.37076,219555733825.63873
2022-01-05,24.669699,302284.4356164383,216155342980.019,219601443663.10464
2022-01-06,24.633859,302397.79452054785,216164829921.66727,219647153500.57056
2022-01-07,24.511413,302511.1534246574,216174316863.31552,219692863338.03647
2022-01-08,24.442304,302624.512328767,216183803804.96378,219738573175.50238
2022-01-09,24.441323,302737.87123287655,216193290746.61203,219784283012.9683
2022-01-10,24.438983,302851.2301369861,216202777688.26028,219829992850.4342
2022-01-11,24.361476,302964.5890410957,216212264629.90854,219875702687.90012
2022-01-12,24.422256,303077.94794520526,216221751571.5568,219921412525.36603
2022-01-13,24.32598,303191.30684931483,216231238513.20505,219967122362.83194
2022-01-14,24.544828,303304.6657534244,216240725454.8533,220012832200.29785
2022-01-15,24.517474,303418.02465753397,216250212396.50156,220058542037.76376
2022-01-16,24.517474,303531.38356164354,216259699338.1498,220104251875.22968
2022-01-17,24.516693,303644.7424657531,216269186279.79807,220149961712.6956
2022-01-18,24.421179,303758.1013698627,216278673221.44632,220195671550.1615
2022-01-19,24.403232,303871.46027397225,216288160163.09457,220241381387.6274
2022-01-20,24.268225,303984.8191780818,216297647104.74283,220287091225.09332
2022-01-21,24.271224,304098.1780821914,216307134046.39108,220332801062.55923
2022-01-22,24.408575,304211.53698630095,216316620988.03934,220378510900.02515
2022-01-23,24.408575,304324.8958904105,216326107929.6876,220424220737.49106
2022-01-24,24.393102,304438.2547945201,216335594871.33585,220469930574.95697
2022-01-25,24.578938,304551.61369862966,216345081812.9841,220515640412.42288
2022-01-26,24.475334,304664.97260273923,216354568754.63235,220561350249.8888
2022-01-27,24.539494,304778.3315068488,216364055696.2806,220607060087.3547
2022-01-28,24.458391,304891.69041095837,216373542637.92886,220652769924.82062
2022-01-29,24.492485,305005.04931506794,216383029579.57712,220698479762.28653
2022-01-30,24.492485,305118.4082191775,216392516521.22537,220744189599.75244
2022-01-31,24.484357,305231.7671232871,216402003462.87363,220789899437.21835
2022-02-01,24.334256,305345.12602739665,216411490404.52188,220835609274.68427
2022-02-02,24.273685,305458.4849315062,216420977346.17014,220881319112.15018
2022-02-03,24.190027,305571.8438356158,216430464287.8184,220927028949.6161
2022-02-04,24.331498,305685.20273972536,216439951229.46664,220972738787.082
2022-02-05,24.376288,305798.5616438349,216449438171.1149,221018448624.5479
2022-02-06,24.376288,305911.9205479445,216458925112.76315,221064158462.01382
2022-02-07,24.346387,306025.27945205406,216468412054.4114,221109868299.47974
2022-02-08,24.233428,306138.63835616363,216477898996.05966,221155578136.94565
2022-02-09,24.255019,306251.9972602732,216487385937.70792,221201287974.41156
2022-02-10,24.329524,306365.35616438277,216496872879.35617,221246997811.87747
2022-02-11,24.349151,306478.71506849234,216506359821.00443,221292707649.34338
2022-02-12,24.563163,306592.0739726019,216515846762.65268,221338417486.8093
2022-02-13,24.563844,306705.4328767115,216525333704.30093,221384127324.2752
2022-02-14,24.512393,306818.79178082105,216534820645.9492,221429837161.74112
2022-02-15,24.566877,306932.1506849306,216544307587.59744,221475546999.20703
2022-02-16,24.360852,307045.5095890402,216553794529.2457,221521256836.67294
2022-02-17,24.352968,307158.86849314976,216563281470.89395,221566966674.13885
2022-02-18,24.384794,307272.2273972593,216572768412.5422,221612676511.60477
2022-02-19,24.269532,307385.5863013689,216582255354.19046,221658386349.07068
2022-02-20,24.269532,307498.94520547846,216591742295.8387,221704096186.5366
2022-02-21,24.320985,307612.30410958803,216601229237.48697,221749806024.0025
2022-02-22,24.425566,307725.6630136976,216610716179.13522,221795515861.4684
2022-02-23,24.573925,307839.0219178072,216620203120.78348,221841225698.93433
2022-02-24,24.613499,307952.38082191674,216629690062.43173,221886935536.40024
2022-02-25,24.74458,308065.7397260263,216639177004.08,221932645373.86615
2022-02-26,24.743263,308179.0986301359,216648663945.72824,221978355211.33206
2022-02-27,24.735372,308292.45753424545,216658150887.3765,222024065048.79797
2022-02-28,24.999501,308405.816438355,216667637829.02475,222069774886.2639
2022-03-01,25.179532,308519.1753424646,216677124770.673,222115484723.7298
2022-03-02,25.40212,308632.53424657416,216686611712.32126,222161194561.1957
2022-03-03,25.627195,308745.8931506837,216696098653.9695,222206904398.66162
2022-03-04,25.774702,308859.2520547933,216705585595.61777,222252614236.12753
2022-03-05,25.774303,308972.61095890286,216715072537.26602,222298324073.59344
2022-03-06,25.774303,309085.96986301243,216724559478.91428,222344033911.05936
2022-03-07,25.762681,309199.328767122,216734046420.56253,222389743748.52527
2022-03-08,25.777579,309312.6876712316,216743533362.2108,222435453585.99118
2022-03-09,25.473343,309426.04657534114,216753020303.85904,222481163423.4571
2022-03-10,25.246078,309539.4054794507,216762507245.5073,222526873260.923
2022-03-11,25.177953,309652.7643835603,216771994187.15555,222572583098.38892
2022-03-12,25.115551,309766.12328766985,216781481128.8038,222618292935.85483
2022-03-13,25.115551,309879.4821917794,216790968070.45206,222664002773.32074
2022-03-14,25.106176,309992.841095889,216800455012.1003,222709712610.78665
2022-03-15,24.849819,310106.19999999856,216809941953.74857,222755422448.25256
2022-03-16,24.845154,310219.5589041081,216819428895.39682,222801132285.71848
2022-03-17,24.661647,310332.9178082177,216828915837.04507,222846842123.1844
2022-03-18,24.751595,310446.27671232726,216838402778.69333,222892551960.6503
2022-03-19,24.891303,310559.63561643683,216847889720.34158,222938261798.1162
2022-03-20,24.891303,310672.9945205464,216857376661.98984,222983971635.58212
2022-03-21,24.829571,310786.353424656,216866863603.6381,223029681473.04803
2022-03-22,24.699057,310899.71232876554,216876350545.28635,223075391310.51395
2022-03-23,24.66638,311013.0712328751,216885837486.9346,223121101147.97986
2022-03-24,24.720421,311126.4301369847,216895324428.58286,223166810985.44577
2022-03-25,24.731351,311239.78904109425,216904811370.2311,223212520822.91168
2022-03-26,24.555323,311353.1479452038,216914298311.87936,223258230660.3776
2022-03-27,24.555323,311466.5068493134,216923785253.52762,223303940497.8435
2022-03-28,24.612261,311579.86575342296,216933272195.17587,223349650335.30942
2022-03-29,24.469303,311693.2246575325,216942759136.82413,223395360172.77533
2022-03-30,24.441713,311806.5835616421,216952246078.47238,223441070010.24124
2022-03-31,24.427283,311919.94246575166,216961733020.12064,223486779847.70715
2022-04-01,24.3631,312033.30136986123,216971219961.7689,223532489685.17307
2022-04-02,24.369617,312146.6602739708,216980706903.41714,223578199522.63898
2022-04-03,24.369625,312260.0191780804,216990193845.0654,223623909360.1049
2022-04-04,24.343025,312373.37808218994,216999680786.71365,223669619197.5708
2022-04-05,24.364821,312486.7369862995,217009167728.3619,223715329035.0367
2022-04-06,24.437192,312600.0958904091,217018654670.01016,223761038872.50262
2022-04-07,24.465118,312713.45479451865,217028141611.65842,223806748709.96854
2022-04-08,24.511503,312826.8136986282,217037628553.30667,223852458547.43445
2022-04-09,24.434178,312940.1726027378,217047115494.95493,223898168384.90036
2022-04-10,24.434178,313053.53150684736,217056602436.60318,223943878222.36627
2022-04-11,24.441951,313166.8904109569,217066089378.25143,223989588059.83218
2022-04-12,24.431816,313280.2493150665,217075576319.8997,224035297897.2981
2022-04-13,24.468204,313393.60821917607,217085063261.54794,224081007734.764
2022-04-14,24.417909,313506.96712328563,217094550203.1962,224126717572.22992
2022-04-15,24.440937,313620.3260273952,217104037144.84445,224172427409.69583
2022-04-16,24.435305,313733.6849315048,217113524086.4927,224218137247.16174
2022-04-17,24.435305,313847.04383561434,217123011028.14096,224263847084.62766
2022-04-18,24.457899,313960.4027397239,217132497969.7892,224309556922.09357
2022-04-20,24.447049,314187.12054794305,217151471853.08572,224400976597.0254
2022-04-21,24.382315,314300.4794520526,217160958794.73398,224446686434.4913
2022-04-22,24.3541,314413.8383561622,217170445736.38223,224492396271.9572
2022-04-23,24.341066,314527.19726027176,217179932678.0305,224538106109.42313
2022-04-24,24.339122,314640.5561643813,217189419619.67874,224583815946.88904
2022-04-25,24.336282,314753.9150684909,217198906561.327,224629525784.35495
2022-04-26,24.375478,314867.27397260047,217208393502.97525,224675235621.82086
2022-04-27,24.573758,314980.63287671003,217217880444.6235,224720945459.28677
2022-04-28,24.523126,315093.9917808196,217227367386.27176,224766655296.7527
2022-04-29,24.558162,315207.3506849292,217236854327.92,224812365134.2186
2022-04-30,24.598296,315320.70958903874,217246341269.56827,224858074971.6845
2022-05-01,24.598296,315434.0684931483,217255828211.21652,224903784809.15042
2022-05-02,24.606391,315547.4273972579,217265315152.86478,224949494646.61633
2022-05-03,24.688497,315660.78630136745,217274802094.51303,224995204484.08224
2022-05-04,24.66156,315774.145205477,217284289036.1613,225040914321.54816
2022-05-05,24.602801,315887.5041095866,217293775977.80954,225086624159.01407
2022-05-06,24.567916,316000.86301369616,217303262919.4578,225132333996.47998
2022-05-07,25.025419,316114.2219178057,217312749861.10605,225178043833.9459
2022-05-08,25.025419,316227.5808219153,217322236802.7543,225223753671.4118
2022-05-09,25.029364,316340.93972602487,217331723744.40256,225269463508.87772
2022-05-10,25.041906,316454.29863013444,217341210686.0508,225315173346.34363
2022-05-11,25.003105,316567.657534244,217350697627.69907,225360883183.80954
2022-05-12,25.403209,316681.0164383536,217360184569.34732,225406593021.27545
2022-05-13,24.939087,316794.37534246314,217369671510.99557,225452302858.74136
2022-05-14,24.764139,316907.7342465727,217379158452.64383,225498012696.20728
2022-05-15,24.764139,317021.0931506823,217388645394.29208,225543722533.6732
2022-05-16,24.689945,317134.45205479185,217398132335.94034,225589432371.1391
2022-05-17,24.727637,317247.8109589014,217407619277.5886,225635142208.605
2022-05-18,24.706538,317361.169863011,217417106219.23685,225680852046.07092
2022-05-19,24.656252,317474.52876712056,217426593160.8851,225726561883.53683
2022-05-20,24.696206,317587.8876712301,217436080102.53336,225772271721.00275
2022-05-21,24.629938,317701.2465753397,217445567044.1816,225817981558.46866
2022-05-22,24.629938,317814.60547944927,217455053985.82986,225863691395.93457
2022-05-23,24.638341,317927.96438355884,217464540927.47812,225909401233.40048
2022-05-24,24.634899,318041.3232876684,217474027869.12637,225955111070.8664
2022-05-25,24.620623,318154.682191778,217483514810.77463,226000820908.3323
2022-05-26,24.685348,318268.04109588754,217493001752.42288,226046530745.79822
2022-05-27,24.696187,318381.3999999971,217502488694.07114,226092240583.26413
2022-05-28,24.696705,318494.7589041067,217511975635.7194,226137950420.73004
2022-05-29,24.696705,318608.11780821625,217521462577.36765,226183660258.19595
2022-05-30,24.696842,318721.4767123258,217530949519.0159,226229370095.66187
