,Rate,Gdp,Import,Export
2021-12-17,7.436558,402210.32876713155,243915904238.8124,281154757644.8354
2021-12-18,7.437114,402192.70684932335,243999205502.91718,281271851670.25476
2021-12-19,7.437114,402175.08493151516,244082506767.02194,281388945695.67413
2021-12-20,7.436308,402157.46301370696,244165808031.1267,281506039721.0935
2021-12-21,7.436436,402139.84109589877,244249109295.23148,281623133746.5129
2021-12-22,7.436228,402122.21917809057,244332410559.33624,281740227771.93225
2021-12-23,7.43565,402104.5972602824,244415711823.441,281857321797.3516
2021-12-24,7.435947,402086.9753424742,244499013087.54578,281974415822.771
2021-12-25,7.450072,402069.353424666,244582314351.65054,282091509848.19037
2021-12-26,7.450072,402051.7315068578,244665615615.7553,282208603873.60974
2021-12-27,7.436228,402034.1095890496,244748916879.86008,282325697899.0291
2021-12-28,7.4358,402016.4876712414,244832218143.96484,282442791924.4485
2021-12-29,7.435219,401998.8657534332,244915519408.0696,282559885949.86786
2021-12-30,7.436278,401981.243835625,244998820672.17438,282676979975.28723
2021-12-31,7.437219,401963.6219178168,245082121936.27914,282794074000.7066
2022-01-01,7.435897,401946.0,245165423200.384,282911168026.128
2022-01-02,7.435897,401960.098630137,245160798198.79224,282904485158.9821
2022-01-03,7.436888,401974.19726027397,245156173197.20047,282897802291.83624
2022-01-04,7.43755,401988.29589041095,245151548195.6087,282891119424.69037
2022-01-05,7.438542,402002.39452054794,245146923194.01694,282884436557.5445
2022-01-06,7.438956,402016.4931506849,245142298192.42517,282877753690.3986
2022-01-07,7.439393,402030.5917808219,245137673190.8334,282871070823.25275
2022-01-08,7.438859,402044.6904109589,245133048189.24164,282864387956.1069
2022-01-09,7.44045,402058.7890410959,245128423187.64987,282857705088.961
2022-01-10,7.440162,402072.88767123286,245123798186.0581,282851022221.8151
2022-01-11,7.439644,402086.98630136985,245119173184.46634,282844339354.66925
2022-01-12,7.441742,402101.08493150683,245114548182.87457,282837656487.5234
2022-01-13,7.440884,402115.1835616438,245109923181.2828,282830973620.3775
2022-01-14,7.442225,402129.2821917808,245105298179.69104,282824290753.2316
2022-01-15,7.442967,402143.3808219178,245100673178.09927,282817607886.08575
2022-01-16,7.442967,402157.4794520548,245096048176.5075,282810925018.9399
2022-01-17,7.442002,402171.57808219176,245091423174.91574,282804242151.794
2022-01-18,7.441911,402185.67671232874,245086798173.32397,282797559284.64813
2022-01-19,7.442536,402199.7753424657,245082173171.7322,282790876417.50226
2022-01-20,7.442927,402213.8739726027,245077548170.14044,282784193550.3564
2022-01-21,7.443521,402227.9726027397,245072923168.54868,282777510683.2105
2022-01-22,7.444316,402242.0712328767,245068298166.9569,282770827816.06464
2022-01-23,7.444316,402256.16986301367,245063673165.36514,282764144948.91876
2022-01-24,7.443782,402270.26849315065,245059048163.77338,282757462081.7729
2022-01-25,7.443579,402284.36712328764,245054423162.1816,282750779214.627
2022-01-26,7.441798,402298.4657534246,245049798160.58984,282744096347.48114
2022-01-27,7.442156,402312.5643835616,245045173158.99808,282737413480.33527
2022-01-28,7.442936,402326.6630136986,245040548157.4063,282730730613.1894
2022-01-29,7.442896,402340.7616438356,245035923155.81454,282724047746.0435
2022-01-30,7.442896,402354.86027397256,245031298154.22278,282717364878.89764
2022-01-31,7.443372,402368.95890410955,245026673152.631,282710682011.7518
2022-02-01,7.440893,402383.05753424653,245022048151.03925,282703999144.6059
