,Rate,Gdp,Import,Export
2021-12-17,201.632022,3556.0136986301522,5054994618.700863,5652700218.327447
2021-12-18,201.455875,3556.47945205481,5057732356.079437,5654107248.857666
2021-12-19,201.455875,3556.9452054794674,5060470093.458011,5655514279.387885
2021-12-20,201.598452,3557.410958904125,5063207830.836584,5656921309.918104
2021-12-21,200.687419,3557.8767123287826,5065945568.215158,5658328340.448323
2021-12-22,200.654986,3558.34246575344,5068683305.593733,5659735370.978542
2021-12-23,201.135082,3558.8082191780977,5071421042.972306,5661142401.508761
2021-12-24,201.273903,3559.2739726027553,5074158780.35088,5662549432.0389805
2021-12-25,201.541808,3559.739726027413,5076896517.729454,5663956462.5692
2021-12-26,201.541808,3560.2054794520704,5079634255.108028,5665363493.099419
2021-12-27,201.171675,3560.671232876728,5082371992.486602,5666770523.629638
2021-12-28,201.271567,3561.1369863013856,5085109729.865175,5668177554.159857
2021-12-29,201.759277,3561.602739726043,5087847467.24375,5669584584.690076
2021-12-30,201.193448,3562.0684931507008,5090585204.622324,5670991615.220295
2021-12-31,201.221966,3562.5342465753583,5093322942.000897,5672398645.750514
2022-01-01,202.093932,3563.0,5096060679.37948,5673805676.28076
2022-01-02,202.093932,3563.9698630136986,5096534949.000026,5674361204.656084
2022-01-03,201.978373,3564.9397260273972,5097009218.620571,5674916733.031408
2022-01-04,202.1388,3565.909589041096,5097483488.241117,5675472261.406733
2022-01-05,200.603861,3566.8794520547945,5097957757.861662,5676027789.782057
2022-01-06,201.099121,3567.849315068493,5098432027.482207,5676583318.157381
2022-01-07,200.7685,3568.8191780821917,5098906297.102753,5677138846.532705
2022-01-08,201.920479,3569.7890410958903,5099380566.723298,5677694374.90803
2022-01-09,201.276472,3570.758904109589,5099854836.343843,5678249903.283354
2022-01-10,200.970783,3571.7287671232875,5100329105.964389,5678805431.658678
2022-01-11,201.408964,3572.698630136986,5100803375.584934,5679360960.034002
2022-01-12,201.921669,3573.6684931506848,5101277645.20548,5679916488.409327
2022-01-13,203.339809,3574.6383561643834,5101751914.826025,5680472016.784651
2022-01-14,204.053309,3575.608219178082,5102226184.44657,5681027545.159975
2022-01-15,202.887584,3576.5780821917806,5102700454.067116,5681583073.535299
2022-01-16,202.887584,3577.547945205479,5103174723.687661,5682138601.910624
2022-01-17,202.750665,3578.517808219178,5103648993.308207,5682694130.285948
2022-01-18,202.923627,3579.4876712328764,5104123262.928752,5683249658.661272
2022-01-19,201.199005,3580.457534246575,5104597532.549297,5683805187.036596
2022-01-20,201.903167,3581.4273972602737,5105071802.169843,5684360715.411921
2022-01-21,200.881506,3582.3972602739723,5105546071.790388,5684916243.787245
2022-01-22,201.619342,3583.367123287671,5106020341.4109335,5685471772.162569
2022-01-23,201.619342,3584.3369863013695,5106494611.031479,5686027300.537893
2022-01-24,201.481848,3585.306849315068,5106968880.652024,5686582828.913218
2022-01-25,201.19923,3586.2767123287667,5107443150.27257,5687138357.288542
2022-01-26,200.858071,3587.2465753424653,5107917419.893115,5687693885.663866
2022-01-27,199.631567,3588.216438356164,5108391689.51366,5688249414.03919
2022-01-28,198.065287,3589.1863013698626,5108865959.134206,5688804942.414515
2022-01-29,198.120811,3590.156164383561,5109340228.754751,5689360470.789839
2022-01-30,198.120811,3591.12602739726,5109814498.375297,5689915999.165163
2022-01-31,198.13025,3592.0958904109584,5110288767.995842,5690471527.540487
2022-02-01,198.953252,3593.065753424657,5110763037.616387,5691027055.915812
2022-02-02,200.390261,3594.0356164383556,5111237307.236933,5691582584.291136
2022-02-03,201.072454,3595.0054794520543,5111711576.857478,5692138112.66646
2022-02-04,203.558432,3595.975342465753,5112185846.478024,5692693641.041784
2022-02-05,203.480145,3596.9452054794515,5112660116.098569,5693249169.417109
2022-02-06,203.480145,3597.91506849315,5113134385.719114,5693804697.792433
2022-02-07,203.541382,3598.8849315068487,5113608655.33966,5694360226.167757
2022-02-08,203.342142,3599.8547945205473,5114082924.960205,5694915754.543081
2022-02-09,202.852802,3600.824657534246,5114557194.58075,5695471282.918406
2022-02-10,202.945533,3601.7945205479446,5115031464.201296,5696026811.29373
2022-02-11,202.597957,3602.764383561643,5115505733.821841,5696582339.669054
2022-02-12,201.701924,3603.734246575342,5115980003.442387,5697137868.044378
2022-02-13,202.861728,3604.7041095890404,5116454273.062932,5697693396.419703
2022-02-14,202.937528,3605.673972602739,5116928542.683477,5698248924.795027
2022-02-15,201.017129,3606.6438356164376,5117402812.304023,5698804453.170351
2022-02-16,201.808749,3607.6136986301362,5117877081.924568,5699359981.545675
2022-02-17,202.224157,3608.583561643835,5118351351.545114,5699915509.921
2022-02-18,201.881884,3609.5534246575335,5118825621.165659,5700471038.296324
2022-02-19,201.222336,3610.523287671232,5119299890.786204,5701026566.671648
2022-02-20,201.222336,3611.4931506849307,5119774160.40675,5701582095.046972
2022-02-21,201.183102,3612.4630136986293,5120248430.027295,5702137623.422297
2022-02-22,201.11017,3613.432876712328,5120722699.6478405,5702693151.797621
2022-02-23,201.417054,3614.4027397260265,5121196969.268386,5703248680.172945
2022-02-24,200.482243,3615.372602739725,5121671238.888931,5703804208.548269
2022-02-25,198.887457,3616.3424657534238,5122145508.509477,5704359736.9235935
2022-02-26,200.337697,3617.3123287671224,5122619778.130022,5704915265.298918
2022-02-27,199.201891,3618.282191780821,5123094047.750567,5705470793.674242
2022-02-28,197.358474,3619.2520547945196,5123568317.371113,5706026322.049566
2022-03-01,199.127269,3620.221917808218,5124042586.991658,5706581850.4248905
2022-03-02,197.719333,3621.191780821917,5124516856.612204,5707137378.800215
2022-03-03,197.299792,3622.1616438356155,5124991126.232749,5707692907.175539
2022-03-04,196.617881,3623.131506849314,5125465395.853294,5708248435.550863
2022-03-05,195.829798,3624.1013698630127,5125939665.47384,5708803963.9261875
2022-03-06,195.829798,3625.0712328767113,5126413935.094385,5709359492.301512
2022-03-07,194.105349,3626.04109589041,5126888204.714931,5709915020.676836
2022-03-08,192.895198,3627.0109589041085,5127362474.335476,5710470549.05216
2022-03-09,193.856201,3627.980821917807,5127836743.956021,5711026077.4274845
2022-03-10,196.275984,3628.9506849315057,5128311013.576567,5711581605.802809
2022-03-11,195.253663,3629.9205479452044,5128785283.197112,5712137134.178133
2022-03-12,193.928889,3630.890410958903,5129259552.817657,5712692662.553457
2022-03-13,193.928889,3631.8602739726016,5129733822.438203,5713248190.9287815
2022-03-14,193.985738,3632.8301369863,5130208092.058748,5713803719.304106
2022-03-15,194.505428,3633.799999999999,5130682361.679294,5714359247.67943
2022-03-16,194.774542,3634.7698630136974,5131156631.299839,5714914776.054754
2022-03-17,196.049887,3635.739726027396,5131630900.920384,5715470304.4300785
2022-03-18,197.275729,3636.7095890410947,5132105170.54093,5716025832.805403
2022-03-19,196.604139,3637.6794520547933,5132579440.161475,5716581361.180727
2022-03-20,196.604139,3638.649315068492,5133053709.782021,5717136889.556051
2022-03-21,196.333209,3639.6191780821905,5133527979.402566,5717692417.9313755
2022-03-22,195.516162,3640.589041095889,5134002249.023111,5718247946.3067
2022-03-23,195.901652,3641.5589041095877,5134476518.643657,5718803474.682024
2022-03-24,195.296181,3642.5287671232863,5134950788.264202,5719359003.057348
2022-03-25,195.674799,3643.498630136985,5135425057.8847475,5719914531.4326725
2022-03-26,195.200518,3644.4684931506836,5135899327.505293,5720470059.807997
2022-03-27,196.134545,3645.438356164382,5136373597.125838,5721025588.183321
2022-03-28,195.433893,3646.408219178081,5136847866.746384,5721581116.558645
2022-03-29,196.889568,3647.3780821917794,5137322136.366929,5722136644.9339695
2022-03-30,198.202546,3648.347945205478,5137796405.987474,5722692173.309294
2022-03-31,197.092252,3649.3178082191766,5138270675.60802,5723247701.684618
2022-04-01,196.265432,3650.2876712328753,5138744945.228565,5723803230.059942
2022-04-02,197.052344,3651.257534246574,5139219214.849111,5724358758.4352665
2022-04-03,197.052933,3652.2273972602725,5139693484.469656,5724914286.810591
2022-04-04,195.002978,3653.197260273971,5140167754.090201,5725469815.185915
2022-04-05,193.793058,3654.1671232876697,5140642023.710747,5726025343.561239
2022-04-06,194.245142,3655.1369863013683,5141116293.331292,5726580871.9365635
2022-04-07,193.847729,3656.106849315067,5141590562.951838,5727136400.311888
2022-04-08,193.959223,3657.0767123287656,5142064832.572383,5727691928.687212
2022-04-09,193.285602,3658.046575342464,5142539102.192928,5728247457.062536
2022-04-10,193.285602,3659.016438356163,5143013371.813474,5728802985.4378605
2022-04-11,193.45814,3659.9863013698614,5143487641.434019,5729358513.813185
2022-04-12,193.371786,3660.95616438356,5143961911.054564,5729914042.188509
2022-04-13,192.389896,3661.9260273972586,5144436180.67511,5730469570.563833
2022-04-14,192.747399,3662.8958904109572,5144910450.295655,5731025098.9391575
2022-04-15,192.086129,3663.865753424656,5145384719.916201,5731580627.314482
2022-04-16,192.193527,3664.8356164383545,5145858989.536746,5732136155.689806
2022-04-17,192.193527,3665.805479452053,5146333259.157291,5732691684.06513
2022-04-18,194.115045,3666.7753424657517,5146807528.777837,5733247212.4404545
2022-04-20,191.819243,3668.715068493149,5147756068.018928,5734358269.191103
2022-04-21,192.822003,3669.6849315068475,5148230337.639473,5734913797.566427
2022-04-22,193.974735,3670.654794520546,5148704607.260018,5735469325.9417515
2022-04-23,191.92673,3671.6246575342448,5149178876.880564,5736024854.317076
2022-04-24,192.776069,3672.5945205479434,5149653146.501109,5736580382.6924
2022-04-25,192.867808,3673.564383561642,5150127416.1216545,5737135911.067724
2022-04-26,190.408524,3674.5342465753406,5150601685.7422,5737691439.4430485
2022-04-27,189.095933,3675.504109589039,5151075955.362745,5738246967.818373
2022-04-28,187.460795,3676.473972602738,5151550224.983291,5738802496.193697
2022-04-29,186.822177,3677.4438356164364,5152024494.603836,5739358024.569021
2022-04-30,187.399499,3678.413698630135,5152498764.224381,5739913552.944345
2022-05-01,187.399499,3679.3835616438337,5152973033.844927,5740469081.31967
2022-05-02,187.128144,3680.3534246575323,5153447303.465472,5741024609.694994
2022-05-03,186.942213,3681.323287671231,5153921573.086018,5741580138.070318
2022-05-04,187.024163,3682.2931506849295,5154395842.706563,5742135666.445642
2022-05-05,188.85742,3683.263013698628,5154870112.327108,5742691194.820967
2022-05-06,187.243301,3684.2328767123267,5155344381.947654,5743246723.196291
2022-05-07,187.46081,3685.2027397260254,5155818651.568199,5743802251.571615
2022-05-08,187.46081,3686.172602739724,5156292921.188745,5744357779.946939
2022-05-09,187.081486,3687.1424657534226,5156767190.80929,5744913308.322264
2022-05-10,187.620785,3688.112328767121,5157241460.429835,5745468836.697588
2022-05-11,187.336648,3689.08219178082,5157715730.050381,5746024365.072912
2022-05-12,186.841321,3690.0520547945184,5158189999.670926,5746579893.448236
2022-05-13,184.725472,3691.021917808217,5158664269.2914715,5747135421.823561
2022-05-14,185.019329,3691.9917808219157,5159138538.912017,5747690950.198885
2022-05-15,185.019329,3692.9616438356143,5159612808.532562,5748246478.574209
2022-05-16,184.83573,3693.931506849313,5160087078.153108,5748802006.949533
2022-05-17,185.670425,3694.9013698630115,5160561347.773653,5749357535.324858
2022-05-18,187.545732,3695.87123287671,5161035617.394198,5749913063.700182
2022-05-19,186.091979,3696.8410958904087,5161509887.014744,5750468592.075506
2022-05-20,187.983825,3697.8109589041073,5161984156.635289,5751024120.45083
2022-05-21,187.716203,3698.780821917806,5162458426.255835,5751579648.826155
2022-05-22,187.716203,3699.7506849315046,5162932695.87638,5752135177.201479
2022-05-23,187.854919,3700.720547945203,5163406965.496925,5752690705.576803
2022-05-24,189.835486,3701.690410958902,5163881235.117471,5753246233.952127
2022-05-25,190.569892,3702.6602739726004,5164355504.738016,5753801762.327452
2022-05-26,190.114109,3703.630136986299,5164829774.3585615,5754357290.702776
2022-05-27,190.784642,3704.5999999999976,5165304043.979107,5754912819.0781
2022-05-28,190.788448,3705.5698630136962,5165778313.599652,5755468347.453424
2022-05-29,190.788448,3706.539726027395,5166252583.220198,5756023875.828749
2022-05-30,190.672268,3707.5095890410935,5166726852.840743,5756579404.204073
2022-05-31,191.428489,3708.479452054792,5167201122.461288,5757134932.579397
2022-06-01,190.751835,3709.4493150684907,5167675392.081834,5757690460.954721
2022-06-02,189.321975,3710.4191780821893,5168149661.702379,5758245989.330046
2022-06-03,191.027415,3711.389041095888,5168623931.322925,5758801517.70537
2022-06-04,190.513281,3712.3589041095865,5169098200.94347,5759357046.080694
2022-06-05,191.212359,3713.328767123285,5169572470.564015,5759912574.456018
2022-06-06,191.314929,3714.298630136984,5170046740.184561,5760468102.831343
2022-06-07,190.255822,3715.2684931506824,5170521009.805106,5761023631.206667
2022-06-08,190.105257,3716.238356164381,5170995279.425652,5761579159.581991
2022-06-09,190.388324,3717.2082191780796,5171469549.046197,5762134687.957315
2022-06-10,188.788482,3718.1780821917782,5171943818.666742,5762690216.33264
2022-06-11,186.923576,3719.147945205477,5172418088.287288,5763245744.707964
2022-06-12,188.587242,3720.1178082191755,5172892357.907833,5763801273.083288
2022-06-13,188.041371,3721.087671232874,5173366627.5283785,5764356801.458612
2022-06-14,186.329155,3722.0575342465727,5173840897.148924,5764912329.833937
2022-06-15,185.42392,3723.0273972602713,5174315166.769469,5765467858.209261
2022-06-16,185.831176,3723.99726027397,5174789436.390015,5766023386.584585
2022-06-17,187.335792,3724.9671232876685,5175263706.01056,5766578914.959909
2022-06-18,186.523539,3725.936986301367,5175737975.631105,5767134443.335234
2022-06-19,187.224653,3726.9068493150658,5176212245.251651,5767689971.710558
2022-06-20,187.140949,3727.8767123287644,5176686514.872196,5768245500.085882
2022-06-21,186.967341,3728.846575342463,5177160784.492742,5768801028.461206
2022-06-22,187.17641,3729.8164383561616,5177635054.113287,5769356556.836531
2022-06-23,187.812977,3730.78630136986,5178109323.733832,5769912085.211855
2022-06-24,186.934776,3731.756164383559,5178583593.354378,5770467613.587179
2022-06-25,187.617118,3732.7260273972574,5179057862.974923,5771023141.962503
2022-06-26,187.617118,3733.695890410956,5179532132.5954685,5771578670.337828
2022-06-27,187.895529,3734.6657534246547,5180006402.216014,5772134198.713152
2022-06-28,188.109288,3735.6356164383533,5180480671.836559,5772689727.088476
2022-06-29,187.089669,3736.605479452052,5180954941.457105,5773245255.4638
2022-06-30,185.550752,3737.5753424657505,5181429211.07765,5773800783.839125
2022-07-01,186.176419,3738.545205479449,5181903480.698195,5774356312.214449
2022-07-02,185.336983,3739.5150684931477,5182377750.318741,5774911840.589773
2022-07-03,185.336983,3740.4849315068464,5182852019.939286,5775467368.965097
2022-07-04,185.596636,3741.454794520545,5183326289.559832,5776022897.340422
2022-07-05,185.383517,3742.4246575342436,5183800559.180377,5776578425.715746
2022-07-06,182.532637,3743.394520547942,5184274828.800922,5777133954.09107
2022-07-07,180.986645,3744.364383561641,5184749098.421468,5777689482.466394
2022-07-08,180.629118,3745.3342465753394,5185223368.042013,5778245010.841719
2022-07-09,181.024006,3746.304109589038,5185697637.662559,5778800539.217043
2022-07-10,180.50574,3747.2739726027366,5186171907.283104,5779356067.592367
2022-07-11,180.50574,3748.2438356164353,5186646176.903649,5779911595.967691
2022-07-12,179.794019,3749.213698630134,5187120446.524195,5780467124.343016
2022-07-13,179.711819,3750.1835616438325,5187594716.14474,5781022652.71834
2022-07-14,178.173458,3751.153424657531,5188068985.7652855,5781578181.093664
2022-07-15,177.945176,3752.1232876712297,5188543255.385831,5782133709.468988
2022-07-16,179.265588,3753.0931506849283,5189017525.006376,5782689237.844313
2022-07-17,179.282311,3754.063013698627,5189491794.626922,5783244766.219637
2022-07-18,179.441352,3755.0328767123256,5189966064.247467,5783800294.594961
2022-07-19,180.252007,3756.002739726024,5190440333.868012,5784355822.970285
2022-07-20,181.828239,3756.972602739723,5190914603.488558,5784911351.34561
2022-07-21,181.002499,3757.9424657534214,5191388873.109103,5785466879.720934
2022-07-22,181.516958,3758.91232876712,5191863142.729649,5786022408.096258
2022-07-23,181.525114,3759.8821917808186,5192337412.350194,5786577936.471582
2022-07-24,181.073773,3760.8520547945172,5192811681.970739,5787133464.846907
2022-07-25,180.905695,3761.821917808216,5193285951.591285,5787688993.222231
2022-07-26,181.618036,3762.7917808219145,5193760221.21183,5788244521.597555
2022-07-27,180.209779,3763.761643835613,5194234490.832376,5788800049.972879
2022-07-28,181.403917,3764.7315068493117,5194708760.452921,5789355578.348204
2022-07-29,181.131795,3765.7013698630103,5195183030.073466,5789911106.723528
2022-07-30,181.727407,3766.671232876709,5195657299.694012,5790466635.098852
2022-07-31,181.727407,3767.6410958904075,5196131569.314557,5791022163.474176
2022-08-01,181.724525,3768.610958904106,5196605838.935102,5791577691.849501
2022-08-02,182.375294,3769.5808219178048,5197080108.555648,5792133220.224825
2022-08-03,180.565148,3770.5506849315034,5197554378.176193,5792688748.600149
2022-08-04,180.519048,3771.520547945202,5198028647.796739,5793244276.975473
2022-08-05,182.118514,3772.4904109589006,5198502917.417284,5793799805.350798
2022-08-06,180.923647,3773.460273972599,5198977187.037829,5794355333.726122
2022-08-07,182.171684,3774.430136986298,5199451456.658375,5794910862.101446
2022-08-08,181.921664,3775.3999999999965,5199925726.27892,5795466390.47677
2022-08-09,181.226108,3776.369863013695,5200399995.899466,5796021918.852095
2022-08-10,181.436711,3777.3397260273937,5200874265.520011,5796577447.227419
2022-08-11,183.038089,3778.3095890410923,5201348535.140556,5797132975.602743
2022-08-12,183.264641,3779.279452054791,5201822804.761102,5797688503.978067
2022-08-13,182.403606,3780.2493150684895,5202297074.381647,5798244032.353392
2022-08-14,182.403606,3781.219178082188,5202771344.0021925,5798799560.728716
2022-08-15,182.36103,3782.1890410958868,5203245613.622738,5799355089.10404
2022-08-16,180.588393,3783.1589041095854,5203719883.243283,5799910617.479364
2022-08-17,180.715722,3784.128767123284,5204194152.863829,5800466145.854689
2022-08-18,180.839808,3785.0986301369826,5204668422.484374,5801021674.230013
2022-08-19,179.277037,3786.068493150681,5205142692.104919,5801577202.605337
2022-08-20,178.463695,3787.03835616438,5205616961.725465,5802132730.980661
2022-08-21,179.051323,3788.0082191780784,5206091231.34601,5802688259.355986
2022-08-22,178.930938,3788.978082191777,5206565500.966556,5803243787.73131
2022-08-23,176.536283,3789.9479452054757,5207039770.587101,5803799316.106634
2022-08-24,177.044578,3790.9178082191743,5207514040.207646,5804354844.481958
2022-08-25,177.073616,3791.887671232873,5207988309.828192,5804910372.857283
2022-08-26,177.179799,3792.8575342465715,5208462579.448737,5805465901.232607
2022-08-27,177.109293,3793.82739726027,5208936849.069283,5806021429.607931
2022-08-28,178.302048,3794.7972602739687,5209411118.689828,5806576957.983255
2022-08-29,177.851048,3795.7671232876673,5209885388.310373,5807132486.35858
2022-08-30,177.924686,3796.736986301366,5210359657.930919,5807688014.733904
2022-08-31,179.943109,3797.7068493150646,5210833927.551464,5808243543.109228
2022-09-01,178.438231,3798.676712328763,5211308197.172009,5808799071.484552
2022-09-02,176.937045,3799.646575342462,5211782466.792555,5809354599.859877
2022-09-03,176.968205,3800.6164383561604,5212256736.4131,5809910128.235201
2022-09-04,176.968205,3801.586301369859,5212731006.033646,5810465656.610525
2022-09-05,176.361039,3802.5561643835576,5213205275.654191,5811021184.985849
2022-09-06,176.850561,3803.5260273972563,5213679545.274736,5811576713.361174
2022-09-07,175.9281,3804.495890410955,5214153814.895282,5812132241.736498
2022-09-08,177.640558,3805.4657534246535,5214628084.515827,5812687770.111822
2022-09-09,178.103821,3806.435616438352,5215102354.136373,5813243298.487146
2022-09-10,180.417561,3807.4054794520507,5215576623.756918,5813798826.862471
2022-09-11,179.363427,3808.3753424657493,5216050893.377463,5814354355.237795
2022-09-12,177.933495,3809.345205479448,5216525162.998009,5814909883.613119
2022-09-13,179.946869,3810.3150684931466,5216999432.618554,5815465411.988443
2022-09-14,177.245636,3811.284931506845,5217473702.2390995,5816020940.363768
2022-09-15,177.250885,3812.254794520544,5217947971.859645,5816576468.739092
2022-09-16,177.515248,3813.2246575342424,5218422241.48019,5817131997.114416
2022-09-17,178.339058,3814.194520547941,5218896511.100736,5817687525.48974
2022-09-18,176.214074,3815.1643835616396,5219370780.721281,5818243053.865065
2022-09-19,176.251899,3816.1342465753382,5219845050.341826,5818798582.240389
2022-09-20,176.461252,3817.104109589037,5220319319.962372,5819354110.615713
2022-09-21,177.196141,3818.0739726027355,5220793589.582917,5819909638.991037
2022-09-22,174.705872,3819.043835616434,5221267859.203463,5820465167.366362
2022-09-23,175.251115,3820.0136986301327,5221742128.824008,5821020695.741686
