,Rate,Gdp,Import,Export
2021-12-17,17.834572,473096.8493150722,103466654554.99802,75557516219.17801
2021-12-18,17.690003,473239.12602740095,103528148101.38205,75606711071.2328
2021-12-19,17.690003,473381.40273972973,103589641647.76608,75655905923.2876
2021-12-20,17.814798,473523.6794520585,103651135194.15012,75705100775.34239
2021-12-21,17.730025,473665.9561643873,103712628740.53415,75754295627.39719
2021-12-22,17.741269,473808.23287671607,103774122286.91818,75803490479.45198
2021-12-23,17.83828,473950.50958904484,103835615833.30222,75852685331.50677
2021-12-24,17.791669,474092.7863013736,103897109379.68625,75901880183.56157
2021-12-25,17.810092,474235.0630137024,103958602926.07028,75951075035.61636
2021-12-26,17.810092,474377.3397260312,104020096472.45432,76000269887.67116
2021-12-27,17.782383,474519.61643835995,104081590018.83835,76049464739.72595
2021-12-28,17.807812,474661.89315068873,104143083565.22238,76098659591.78075
2021-12-29,17.777309,474804.1698630175,104204577111.60641,76147854443.83554
2021-12-30,17.825108,474946.4465753463,104266070657.99045,76197049295.89034
2021-12-31,17.791985,475088.72328767506,104327564204.37448,76246244147.94513
2022-01-01,17.864285,475231.0,104389057750.76,76295439000.0
2022-01-02,17.864285,475007.9780821918,104334588240.76485,76273307660.27397
2022-01-03,17.862341,474784.95616438356,104280118730.7697,76251176320.54794
2022-01-04,17.801206,474561.93424657534,104225649220.77455,76229044980.82191
2022-01-05,17.753744,474338.9123287671,104171179710.7794,76206913641.09589
2022-01-06,17.777529,474115.8904109589,104116710200.78426,76184782301.36986
2022-01-07,17.756917,473892.8684931507,104062240690.78911,76162650961.64383
2022-01-08,17.856348,473669.84657534247,104007771180.79396,76140519621.9178
2022-01-09,17.856348,473446.82465753425,103953301670.79881,76118388282.19177
2022-01-10,17.76752,473223.80273972603,103898832160.80367,76096256942.46574
2022-01-11,17.823856,473000.7808219178,103844362650.80852,76074125602.73972
2022-01-12,17.867923,472777.7589041096,103789893140.81337,76051994263.01369
2022-01-13,17.963857,472554.7369863014,103735423630.81822,76029862923.28766
2022-01-14,17.989473,472331.71506849315,103680954120.82307,76007731583.56163
2022-01-15,17.913352,472108.69315068494,103626484610.82793,75985600243.8356
2022-01-16,17.913352,471885.6712328767,103572015100.83278,75963468904.10957
2022-01-17,17.913857,471662.6493150685,103517545590.83763,75941337564.38354
2022-01-18,17.942894,471439.6273972603,103463076080.84248,75919206224.65752
2022-01-19,17.82509,471216.60547945206,103408606570.84734,75897074884.93149
2022-01-20,17.84521,470993.58356164384,103354137060.85219,75874943545.20546
2022-01-21,17.793337,470770.5616438356,103299667550.85704,75852812205.47943
2022-01-22,17.820623,470547.5397260274,103245198040.8619,75830680865.7534
2022-01-23,17.820623,470324.5178082192,103190728530.86674,75808549526.02737
2022-01-24,17.823287,470101.49589041097,103136259020.8716,75786418186.30135
2022-01-25,17.7859,469878.47397260275,103081789510.87645,75764286846.57532
2022-01-26,17.789489,469655.4520547945,103027320000.8813,75742155506.84929
2022-01-27,17.678728,469432.4301369863,102972850490.88615,75720024167.12326
2022-01-28,17.543671,469209.4082191781,102918380980.891,75697892827.39723
2022-01-29,17.53963,468986.3863013699,102863911470.89586,75675761487.6712
2022-01-30,17.53963,468763.36438356165,102809441960.90071,75653630147.94518
2022-01-31,17.54212,468540.34246575343,102754972450.90556,75631498808.21915
2022-02-01,17.658239,468317.3205479452,102700502940.91042,75609367468.49312
2022-02-02,17.712518,468094.298630137,102646033430.91527,75587236128.76709
2022-02-03,17.743224,467871.2767123288,102591563920.92012,75565104789.04106
2022-02-04,18.022144,467648.25479452056,102537094410.92497,75542973449.31503
2022-02-05,18.012141,467425.23287671234,102482624900.92982,75520842109.589
2022-02-06,18.012141,467202.2109589041,102428155390.93468,75498710769.86298
2022-02-07,18.015208,466979.1890410959,102373685880.93953,75476579430.13695
2022-02-08,17.978588,466756.1671232877,102319216370.94438,75454448090.41092
2022-02-09,17.94857,466533.14520547946,102264746860.94923,75432316750.68489
2022-02-10,17.965711,466310.12328767125,102210277350.95409,75410185410.95886
2022-02-11,17.905111,466087.101369863,102155807840.95894,75388054071.23283
2022-02-12,17.832152,465864.0794520548,102101338330.96379,75365922731.5068
2022-02-13,17.832152,465641.0575342466,102046868820.96864,75343791391.78078
2022-02-14,17.831588,465418.03561643837,101992399310.9735,75321660052.05475
2022-02-15,17.783723,465195.01369863015,101937929800.97835,75299528712.32872
2022-02-16,17.859613,464971.99178082193,101883460290.9832,75277397372.60269
2022-02-17,17.875912,464748.9698630137,101828990780.98805,75255266032.87666
2022-02-18,17.875761,464525.9479452055,101774521270.9929,75233134693.15063
2022-02-19,17.817568,464302.9260273973,101720051760.99776,75211003353.4246
2022-02-20,17.817568,464079.90410958906,101665582251.00261,75188872013.69858
2022-02-21,17.81712,463856.88219178084,101611112741.00746,75166740673.97255
2022-02-22,17.784529,463633.8602739726,101556643231.01231,75144609334.24652
2022-02-23,17.808238,463410.8383561644,101502173721.01717,75122477994.5205
2022-02-24,17.733563,463187.8164383562,101447704211.02202,75100346654.79446
2022-02-25,17.627283,462964.79452054796,101393234701.02687,75078215315.06844
2022-02-26,17.750297,462741.77260273974,101338765191.03172,75056083975.3424
2022-02-27,17.750297,462518.7506849315,101284295681.03658,75033952635.61638
2022-02-28,17.611205,462295.7287671233,101229826171.04143,75011821295.89035
2022-03-01,17.602536,462072.7068493151,101175356661.04628,74989689956.16432
2022-03-02,17.477222,461849.68493150687,101120887151.05113,74967558616.4383
2022-03-03,17.481228,461626.66301369865,101066417641.05598,74945427276.71227
2022-03-04,17.349555,461403.64109589043,101011948131.06084,74923295936.98624
2022-03-05,17.182589,461180.6191780822,100957478621.06569,74901164597.26021
2022-03-06,17.182589,460957.597260274,100903009111.07054,74879033257.53418
2022-03-07,17.143405,460734.5753424658,100848539601.0754,74856901917.80815
2022-03-08,17.08511,460511.55342465756,100794070091.08025,74834770578.08212
2022-03-09,17.167192,460288.53150684934,100739600581.0851,74812639238.3561
2022-03-10,17.388025,460065.5095890411,100685131071.08995,74790507898.63007
2022-03-11,17.271573,459842.4876712329,100630661561.0948,74768376558.90404
2022-03-12,17.113389,459619.4657534247,100576192051.09966,74746245219.17801
2022-03-13,17.113389,459396.44383561646,100521722541.1045,74724113879.45198
2022-03-14,17.118832,459173.42191780824,100467253031.10936,74701982539.72595
2022-03-15,17.229052,458950.4,100412783521.11421,74679851199.99992
2022-03-16,17.223939,458727.3780821918,100358314011.11906,74657719860.2739
2022-03-17,17.363673,458504.3561643836,100303844501.12392,74635588520.54787
2022-03-18,17.451354,458281.33424657537,100249374991.12877,74613457180.82184
2022-03-19,17.367954,458058.31232876715,100194905481.13362,74591325841.09581
2022-03-20,17.367954,457835.2904109589,100140435971.13847,74569194501.36978
2022-03-21,17.381777,457612.2684931507,100085966461.14333,74547063161.64375
2022-03-22,20.044886,457389.2465753425,100031496951.14818,74524931821.91772
2022-03-23,20.441183,457166.2246575343,99977027441.15303,74502800482.1917
2022-03-24,20.222176,456943.20273972605,99922557931.15788,74480669142.46567
2022-03-25,20.180889,456720.18082191783,99868088421.16273,74458537802.73964
2022-03-26,20.316363,456497.1589041096,99813618911.16759,74436406463.01361
2022-03-27,20.381655,456274.1369863014,99759149401.17244,74414275123.28758
2022-03-28,20.123496,456051.1150684932,99704679891.17729,74392143783.56155
2022-03-29,20.296908,455828.09315068496,99650210381.18214,74370012443.83553
2022-03-30,20.375727,455605.07123287674,99595740871.187,74347881104.1095
2022-03-31,20.255982,455382.0493150685,99541271361.19185,74325749764.38347
2022-04-01,20.184647,455159.0273972603,99486801851.1967,74303618424.65744
2022-04-02,20.211292,454936.0054794521,99432332341.20155,74281487084.93141
2022-04-03,20.211352,454712.98356164386,99377862831.2064,74259355745.20538
2022-04-04,20.015697,454489.96164383565,99323393321.21126,74237224405.47935
2022-04-05,19.890743,454266.9397260274,99268923811.21611,74215093065.75333
2022-04-06,20.003613,454043.9178082192,99214454301.22096,74192961726.0273
2022-04-07,19.969491,453820.895890411,99159984791.22581,74170830386.30127
2022-04-08,19.917553,453597.87397260277,99105515281.23067,74148699046.57524
2022-04-09,19.947846,453374.85205479455,99051045771.23552,74126567706.84921
2022-04-10,19.947846,453151.83013698633,98996576261.24037,74104436367.12318
2022-04-11,19.948294,452928.8082191781,98942106751.24522,74082305027.39716
2022-04-12,20.061039,452705.7863013699,98887637241.25008,74060173687.67113
2022-04-13,20.034753,452482.7643835617,98833167731.25493,74038042347.9451
2022-04-14,20.038542,452259.74246575346,98778698221.25978,74015911008.21907
2022-04-15,19.92542,452036.72054794524,98724228711.26463,73993779668.49304
2022-04-16,19.936046,451813.698630137,98669759201.26949,73971648328.76701
2022-04-17,19.936046,451590.6767123288,98615289691.27434,73949516989.04099
2022-04-18,20.070918,451367.6547945206,98560820181.27919,73927385649.31496
2022-04-20,19.935603,450921.61095890414,98451881161.2889,73883122969.8629
2022-04-21,20.060644,450698.5890410959,98397411651.29375,73860991630.13687
2022-04-22,20.135338,450475.5671232877,98342942141.2986,73838860290.41084
2022-04-23,20.080549,450252.5452054795,98288472631.30345,73816728950.68481
2022-04-24,20.080549,450029.52328767127,98234003121.3083,73794597610.95879
2022-04-25,20.056435,449806.50136986305,98179533611.31316,73772466271.23276
2022-04-26,19.881941,449583.47945205483,98125064101.31801,73750334931.50673
2022-04-27,19.697928,449360.4575342466,98070594591.32286,73728203591.7807
2022-04-28,19.517644,449137.4356164384,98016125081.32771,73706072252.05467
2022-04-29,19.439585,448914.4136986302,97961655571.33257,73683940912.32864
2022-04-30,19.492787,448691.39178082196,97907186061.33742,73661809572.60262
2022-05-01,19.492787,448468.36986301374,97852716551.34227,73639678232.87659
2022-05-02,19.491007,448245.3479452055,97798247041.34712,73617546893.15056
2022-05-03,19.436619,448022.3260273973,97743777531.35197,73595415553.42453
2022-05-04,19.449933,447799.3041095891,97689308021.35683,73573284213.6985
