,Rate,Gdp,Import,Export
2021-12-17,55.306456,118148.53424657552,23072860187.96266,10909989550.179836
2021-12-18,55.25814,118202.49863013717,23085652397.216652,10914030017.860678
2021-12-19,55.25814,118256.46301369881,23098444606.470642,10918070485.54152
2021-12-20,55.29774,118310.42739726046,23111236815.724632,10922110953.22236
2021-12-21,55.077582,118364.3917808221,23124029024.978622,10926151420.903202
2021-12-22,55.096457,118418.35616438375,23136821234.232613,10930191888.584044
2021-12-23,55.26591,118472.32054794539,23149613443.486603,10934232356.264885
2021-12-24,55.324706,118526.28493150703,23162405652.740593,10938272823.945726
2021-12-25,55.458889,118580.24931506868,23175197861.994583,10942313291.626568
2021-12-26,55.458889,118634.21369863032,23187990071.248573,10946353759.30741
2021-12-27,55.357551,118688.17808219197,23200782280.502563,10950394226.98825
2021-12-28,55.829466,118742.14246575361,23213574489.756554,10954434694.669092
2021-12-29,56.054829,118796.10684931526,23226366699.010544,10958475162.349934
2021-12-30,55.933878,118850.0712328769,23239158908.264534,10962515630.030775
2021-12-31,55.649743,118904.03561643854,23251951117.518524,10966556097.711617
2022-01-01,55.891143,118958.0,,10970596565.3927
2022-01-02,55.891143,119069.7890410959,,10970308581.08929
2022-01-03,55.859011,119181.57808219179,,10970020596.785881
2022-01-04,56.275742,119293.36712328768,,10969732612.482471
2022-01-05,55.704805,119405.15616438357,,10969444628.179062
2022-01-06,55.841625,119516.94520547947,,10969156643.875652
2022-01-07,55.697967,119628.73424657536,,10968868659.572243
2022-01-08,56.02496,119740.52328767125,,10968580675.268833
2022-01-09,56.088577,119852.31232876715,,10968292690.965424
2022-01-10,56.003392,119964.10136986304,,10968004706.662014
2022-01-11,55.987386,120075.89041095893,,10967716722.358604
2022-01-12,56.284995,120187.67945205483,,10967428738.055195
2022-01-13,56.533145,120299.46849315072,,10967140753.751785
2022-01-14,56.928947,120411.25753424662,,10966852769.448376
2022-01-15,56.514177,120523.04657534251,,10966564785.144966
2022-01-16,56.514177,120634.8356164384,,10966276800.841557
2022-01-17,56.465927,120746.6246575343,,10965988816.538147
2022-01-18,56.750807,120858.41369863019,,10965700832.234737
2022-01-19,56.151051,120970.20273972608,,10965412847.931328
2022-01-20,56.355474,121081.99178082198,,10965124863.627918
2022-01-21,56.060206,121193.78082191787,,10964836879.324509
2022-01-22,56.274357,121305.56986301376,,10964548895.0211
2022-01-23,56.274357,121417.35890410966,,10964260910.71769
2022-01-24,56.23252,121529.14794520555,,10963972926.41428
2022-01-25,56.187016,121640.93698630144,,10963684942.11087
2022-01-26,56.169485,121752.72602739734,,10963396957.80746
2022-01-27,55.884196,121864.51506849323,,10963108973.504051
2022-01-28,55.503597,121976.30410958912,,10962820989.200642
2022-01-29,55.46121,122088.09315068502,,10962533004.897232
2022-01-30,55.46121,122199.88219178091,,10962245020.593822
2022-01-31,55.464174,122311.6712328768,,10961957036.290413
2022-02-01,55.715392,122423.4602739727,,10961669051.987003
2022-02-02,56.260873,122535.24931506859,,10961381067.683594
2022-02-03,56.340811,122647.03835616448,,10961093083.380184
2022-02-04,57.269442,122758.82739726038,,10960805099.076775
2022-02-05,57.366202,122870.61643835627,,10960517114.773365
2022-02-06,57.366202,122982.40547945217,,10960229130.469955
2022-02-07,57.375615,123094.19452054806,,10959941146.166546
2022-02-08,57.380228,123205.98356164395,,10959653161.863136
2022-02-09,57.233785,123317.77260273985,,10959365177.559727
2022-02-10,57.382682,123429.56164383574,,10959077193.256317
2022-02-11,57.284038,123541.35068493163,,10958789208.952908
2022-02-12,57.144657,123653.13972602753,,10958501224.649498
2022-02-13,57.342188,123764.92876712342,,10958213240.346088
2022-02-14,57.363615,123876.71780821931,,10957925256.042679
2022-02-15,56.996964,123988.5068493152,,10957637271.73927
2022-02-16,57.174615,124100.2958904111,,10957349287.43586
2022-02-17,57.491561,124212.084931507,,10957061303.13245
2022-02-18,57.451031,124323.87397260289,,10956773318.82904
2022-02-19,57.348456,124435.66301369878,,10956485334.52563
2022-02-20,57.348456,124547.45205479467,,10956197350.222221
2022-02-21,57.336852,124659.24109589057,,10955909365.918812
2022-02-22,57.530128,124771.03013698646,,10955621381.615402
2022-02-23,57.340985,124882.81917808235,,10955333397.311993
2022-02-24,57.136752,124994.60821917825,,10955045413.008583
2022-02-25,56.858209,125106.39726027414,,10954757428.705173
2022-02-26,57.276696,125218.18630137003,,10954469444.401764
2022-02-27,57.355178,125329.97534246593,,10954181460.098354
2022-02-28,56.824413,125441.76438356182,,10953893475.794945
2022-03-01,56.921765,125553.55342465772,,10953605491.491535
2022-03-02,57.019398,125665.34246575361,,10953317507.188126
2022-03-03,56.399075,125777.1315068495,,10953029522.884716
2022-03-04,56.627058,125888.9205479454,,10952741538.581306
2022-03-05,56.405176,126000.70958904129,,10952453554.277897
2022-03-06,56.405176,126112.49863013718,,10952165569.974487
2022-03-07,55.90848,126224.28767123308,,10951877585.671078
2022-03-08,55.192334,126336.07671232897,,10951589601.367668
2022-03-09,55.46741,126447.86575342486,,10951301617.064259
2022-03-10,56.170504,126559.65479452076,,10951013632.760849
2022-03-11,55.924823,126671.44383561665,,10950725648.45744
2022-03-12,55.514957,126783.23287671254,,10950437664.15403
2022-03-13,55.514957,126895.02191780844,,10950149679.85062
2022-03-14,55.531261,127006.81095890433,,10949861695.54721
2022-03-15,55.680128,127118.60000000022,,10949573711.243801
2022-03-16,55.780262,127230.38904109612,,10949285726.940392
2022-03-17,56.509668,127342.17808219201,,10948997742.636982
2022-03-18,56.479131,127453.9671232879,,10948709758.333572
2022-03-19,56.312686,127565.7561643838,,10948421774.030163
2022-03-20,56.312686,127677.54520547969,,10948133789.726753
2022-03-21,56.230579,127789.33424657558,,10947845805.423344
2022-03-22,55.99441,127901.12328767148,,10947557821.119934
2022-03-23,56.128837,128012.91232876737,,10947269836.816525
2022-03-24,56.322763,128124.70136986327,,10946981852.513115
2022-03-25,56.142015,128236.49041095916,,10946693868.209705
2022-03-26,55.988815,128348.27945205505,,10946405883.906296
2022-03-27,56.572358,128460.06849315095,,10946117899.602886
2022-03-28,56.055951,128571.85753424684,,10945829915.299477
2022-03-29,56.473243,128683.64657534273,,10945541930.996067
2022-03-30,56.87731,128795.43561643863,,10945253946.692657
2022-03-31,56.869618,128907.22465753452,,10944965962.389248
2022-04-01,56.333302,129019.01369863041,,10944677978.085838
2022-04-02,56.868548,129130.8027397263,,10944389993.782429
2022-04-03,56.868718,129242.5917808222,,10944102009.47902
2022-04-04,56.014757,129354.3808219181,,10943814025.17561
2022-04-05,55.623416,129466.16986301399,,10943526040.8722
2022-04-06,55.765111,129577.95890410988,,10943238056.56879
2022-04-07,55.764442,129689.74794520577,,10942950072.26538
2022-04-08,56.019564,129801.53698630167,,10942662087.961971
2022-04-09,55.688443,129913.32602739756,,10942374103.658562
2022-04-10,55.688443,130025.11506849345,,10942086119.355152
2022-04-11,55.74556,130136.90410958935,,10941798135.051743
2022-04-12,55.654673,130248.69315068524,,10941510150.748333
2022-04-13,55.361482,130360.48219178114,,10941222166.444923
2022-04-14,55.714416,130472.27123287703,,10940934182.141514
2022-04-15,55.371384,130584.06027397292,,10940646197.838104
2022-04-16,55.3738,130695.84931506882,,10940358213.534695
2022-04-17,55.3738,130807.63835616471,,10940070229.231285
2022-04-18,56.119294,130919.4273972606,,10939782244.927876
2022-04-20,55.342758,131143.00547945237,,10939206276.321056
2022-04-21,55.654801,131254.79452054828,,10938918292.017647
2022-04-22,56.137194,131366.5835616442,,10938630307.714237
2022-04-23,55.404926,131478.37260274007,,10938342323.410828
2022-04-24,55.791327,131590.16164383595,,10938054339.107418
2022-04-25,55.817877,131701.95068493186,,10937766354.804008
2022-04-26,54.930562,131813.73972602776,,10937478370.500599
2022-04-27,54.581574,131925.52876712364,,10937190386.19719
2022-04-28,54.143168,132037.31780821952,,10936902401.89378
2022-04-29,54.032789,132149.10684931543,,10936614417.59037
2022-04-30,54.173056,132260.89589041134,,10936326433.28696
2022-05-01,54.173056,132372.68493150722,,10936038448.983551
2022-05-02,54.094605,132484.4739726031,,10935750464.680141
2022-05-03,54.089933,132596.263013699,,10935462480.376732
2022-05-04,54.038465,132708.0520547949,,10935174496.073322
2022-05-05,54.568436,132819.8410958908,,10934886511.769913
2022-05-06,54.175442,132931.63013698667,,10934598527.466503
2022-05-07,54.221196,133043.41917808258,,10934310543.163094
2022-05-08,54.221196,133155.2082191785,,10934022558.859684
2022-05-09,54.124632,133266.99726027437,,10933734574.556274
2022-05-10,54.295154,133378.78630137024,,10933446590.252865
2022-05-11,54.178942,133490.57534246615,,10933158605.949455
2022-05-12,54.090832,133602.36438356206,,10932870621.646046
2022-05-13,53.401315,133714.15342465794,,10932582637.342636
2022-05-14,53.619128,133825.94246575382,,10932294653.039227
2022-05-15,53.619128,133937.73150684973,,10932006668.735817
2022-05-16,53.55848,134049.52054794563,,10931718684.432407
2022-05-17,53.793462,134161.3095890415,,10931430700.128998
2022-05-18,54.340677,134273.0986301374,,10931142715.825588
2022-05-19,53.936319,134384.8876712333,,10930854731.522179
2022-05-20,54.472735,134496.6767123292,,10930566747.21877
2022-05-21,54.407573,134608.4657534251,,10930278762.91536
2022-05-22,54.407573,134720.25479452097,,10929990778.61195
2022-05-23,54.447494,134832.04383561687,,10929702794.30854
2022-05-24,55.020898,134943.83287671278,,10929414810.00513
2022-05-25,55.24499,135055.62191780866,,10929126825.701721
2022-05-26,55.107753,135167.41095890454,,10928838841.398312
2022-05-27,55.329431,135279.20000000045,,10928550857.094902
2022-05-28,55.340972,135390.98904109636,,10928262872.791492
2022-05-29,55.340972,135502.77808219224,,10927974888.488083
2022-05-30,55.307113,135614.5671232881,,10927686904.184673
2022-05-31,55.919237,135726.35616438402,,10927398919.881264
2022-06-01,55.341234,135838.14520547993,,10927110935.577854
