,Rate,Gdp,Import,Export
2021-12-17,2.420025,4942.671232876664,3400254445.7513967,2326658945.9479475
2021-12-18,2.401361,4944.493150684883,3403269367.9153223,2329960201.135808
2021-12-19,2.401361,4946.315068493102,3406284290.079248,2333261456.3236685
2021-12-20,2.40263,4948.1369863013215,3409299212.2431736,2336562711.5115285
2021-12-21,2.413723,4949.9589041095405,3412314134.4070992,2339863966.6993885
2021-12-22,2.406915,4951.78082191776,3415329056.571025,2343165221.887249
2021-12-23,2.417186,4953.602739725979,3418343978.7349505,2346466477.0751095
2021-12-24,2.399497,4955.424657534198,3421358900.898876,2349767732.2629695
2021-12-25,2.416682,4957.246575342417,3424373823.062802,2353068987.4508295
2021-12-26,2.416682,4959.068493150636,3427388745.2267275,2356370242.63869
2021-12-27,2.412221,4960.890410958855,3430403667.390653,2359671497.8265505
2021-12-28,2.399472,4962.712328767074,3433418589.554579,2362972753.0144105
2021-12-29,2.39885,4964.534246575293,3436433511.7185044,2366274008.2022705
2021-12-30,2.403862,4966.356164383512,3439448433.88243,2369575263.390131
2021-12-31,2.397872,4968.178082191731,3442463356.0463557,2372876518.5779915
2022-01-01,2.41587,4970.0,3445478278.21025,
2022-01-02,2.41587,4971.293150684932,3446358038.393122,
2022-01-03,2.414481,4972.586301369864,3447237798.5759945,
2022-01-04,2.406142,4973.879452054795,3448117558.758867,
2022-01-05,2.39558,4975.172602739727,3448997318.941739,
2022-01-06,2.404541,4976.465753424659,3449877079.1246114,
2022-01-07,2.41087,4977.758904109591,3450756839.3074837,
2022-01-08,2.433721,4979.0520547945225,3451636599.490356,
2022-01-09,2.424704,4980.345205479454,3452516359.6732283,
2022-01-10,2.418925,4981.638356164386,3453396119.8561006,
2022-01-11,2.414875,4982.931506849318,3454275880.038973,
2022-01-12,2.417449,4984.22465753425,3455155640.221845,
2022-01-13,2.417435,4985.5178082191815,3456035400.4047174,
2022-01-14,2.42095,4986.810958904113,3456915160.5875897,
2022-01-15,2.41912,4988.104109589045,3457794920.770462,
2022-01-16,2.41912,4989.397260273977,3458674680.9533343,
2022-01-17,2.417394,4990.690410958909,3459554441.1362066,
2022-01-18,2.424818,4991.98356164384,3460434201.319079,
2022-01-19,2.410323,4993.276712328772,3461313961.501951,
