,Rate,Gdp,Import,Export
2021-12-17,59.795186,2131.301369863031,793670042.6524196,262251672.38837084
2021-12-18,59.416254,2131.547945205497,793895852.4608914,262593385.40551537
2021-12-19,59.416254,2131.7945205479627,794121662.2693632,262935098.4226599
2021-12-20,59.447123,2132.0410958904286,794347472.077835,263276811.43980443
2021-12-21,59.241295,2132.2876712328944,794573281.8863068,263618524.45694897
2021-12-22,59.273441,2132.53424657536,794799091.6947786,263960237.4740935
2021-12-23,59.471917,2132.780821917826,795024901.5032504,264301950.49123803
2021-12-24,59.456324,2133.0273972602918,795250711.3117222,264643663.50838256
2021-12-25,59.594177,2133.2739726027576,795476521.120194,264985376.5255271
2021-12-26,59.594177,2133.5205479452234,795702330.9286658,265327089.54267162
2021-12-27,59.484346,2133.767123287689,795928140.7371376,265668802.55981615
2021-12-28,59.458626,2134.013698630155,796153950.5456094,266010515.57696068
2021-12-29,59.3259,2134.260273972621,796379760.3540812,266352228.5941052
2021-12-30,59.539919,2134.5068493150866,796605570.162553,266693941.61124974
2021-12-31,59.725837,2134.7534246575524,796831379.9710248,267035654.62839428
2022-01-01,59.984864,2135.0,797057189.779501,267377367.645536
2022-01-02,59.984864,2135.5753424657532,797028757.3236817,268611329.871932
2022-01-03,59.950231,2136.1506849315065,797000324.8678625,269845292.09832805
2022-01-04,59.86506,2136.7260273972597,796971892.4120432,271079254.3247241
2022-01-05,59.541586,2137.301369863013,796943459.956224,272313216.5511201
2022-01-06,59.745541,2137.876712328766,796915027.5004047,273547178.7775161
2022-01-07,59.732265,2138.4520547945194,796886595.0445855,274781141.00391215
2022-01-08,59.994124,2139.0273972602727,796858162.5887662,276015103.2303082
2022-01-09,59.994124,2139.602739726026,796829730.132947,277249065.4567042
2022-01-10,59.846485,2140.178082191779,796801297.6771277,278483027.6831002
2022-01-11,59.92285,2140.7534246575324,796772865.2213085,279716989.90949625
2022-01-12,59.937115,2141.3287671232856,796744432.7654892,280950952.1358923
2022-01-13,60.583125,2141.904109589039,796716000.30967,282184914.3622883
2022-01-14,60.708285,2142.479452054792,796687567.8538507,283418876.5886843
2022-01-15,60.562917,2143.0547945205453,796659135.3980315,284652838.81508034
2022-01-16,60.562917,2143.6301369862986,796630702.9422122,285886801.04147637
2022-01-17,60.521735,2144.205479452052,796602270.486393,287120763.2678724
