,Rate,Gdp,Import,Export
2021-12-17,10738.458571,19454.6575342468,9720515180.151127,8954456712.32853
2021-12-18,10728.982615,19463.61369863036,9719525694.276955,8950709731.50661
2021-12-19,10728.982615,19472.569863013923,9718536208.402782,8946962750.684692
2021-12-20,10736.480338,19481.526027397485,9717546722.52861,8943215769.862774
2021-12-21,10684.387832,19490.482191781048,9716557236.654438,8939468789.040855
2021-12-22,10500.196576,19499.43835616461,9715567750.780266,8935721808.218937
2021-12-23,10708.565037,19508.394520548172,9714578264.906094,8931974827.397018
2021-12-24,10535.407006,19517.350684931735,9713588779.031921,8928227846.5751
2021-12-25,10603.262447,19526.306849315297,9712599293.15775,8924480865.753181
2021-12-26,10603.262447,19535.26301369886,9711609807.283577,8920733884.931263
2021-12-27,10583.807128,19544.21917808242,9710620321.409405,8916986904.109344
2021-12-28,10555.105443,19553.175342465984,9709630835.535233,8913239923.287426
2021-12-29,10709.445024,19562.131506849546,9708641349.66106,8909492942.465508
2021-12-30,10666.553991,19571.08767123311,9707651863.786888,8905745961.643589
2021-12-31,10552.523076,19580.04383561667,9706662377.912716,8901998980.82167
2022-01-01,10603.881482,19589.0,9705672892.03881,8898252000.0
2022-01-02,10603.881482,19597.660273972604,9710819456.49933,8906024926.027397
2022-01-03,10597.820777,19606.320547945208,9715966020.95985,8913797852.054794
2022-01-04,10477.39381,19614.980821917812,9721112585.42037,8921570778.082191
2022-01-05,10299.968604,19623.641095890416,9726259149.88089,8929343704.109589
2022-01-06,10297.087984,19632.30136986302,9731405714.34141,8937116630.136986
2022-01-07,10280.164093,19640.961643835624,9736552278.80193,8944889556.164383
2022-01-08,10333.461379,19649.62191780823,9741698843.26245,8952662482.19178
2022-01-09,10322.257601,19658.282191780832,9746845407.72297,8960435408.219177
2022-01-10,10307.397928,19666.942465753436,9751991972.183489,8968208334.246574
2022-01-11,10295.958937,19675.60273972604,9757138536.644009,8975981260.273972
2022-01-12,10327.199418,19684.263013698644,9762285101.104528,8983754186.301369
2022-01-13,10388.956702,19692.92328767125,9767431665.565048,8991527112.328766
2022-01-14,10373.314604,19701.583561643853,9772578230.025568,8999300038.356163
2022-01-15,10365.829701,19710.243835616457,9777724794.486088,9007072964.38356
2022-01-16,10365.829701,19718.90410958906,9782871358.946608,9014845890.410957
2022-01-17,10358.852169,19727.564383561665,9788017923.407127,9022618816.438354
2022-01-18,10353.674369,19736.22465753427,9793164487.867647,9030391742.465752
2022-01-19,10268.253659,19744.884931506873,9798311052.328167,9038164668.493149
2022-01-20,10264.420848,19753.545205479477,9803457616.788687,9045937594.520546
2022-01-21,10206.82583,19762.20547945208,9808604181.249207,9053710520.547943
2022-01-22,10249.981968,19770.865753424685,9813750745.709726,9061483446.57534
2022-01-23,10249.981968,19779.52602739729,9818897310.170246,9069256372.602737
2022-01-24,10243.009556,19788.186301369893,9824043874.630766,9077029298.630135
2022-01-25,10228.629941,19796.846575342497,9829190439.091286,9084802224.657532
2022-01-26,10216.940143,19805.5068493151,9834337003.551805,9092575150.684929
2022-01-27,10137.716071,19814.167123287705,9839483568.012325,9100348076.712326
2022-01-28,10072.102042,19822.82739726031,9844630132.472845,9108121002.739723
2022-01-29,10049.826819,19831.487671232913,9849776696.933365,9115893928.76712
2022-01-30,10049.826819,19840.147945205517,9854923261.393885,9123666854.794518
