,Rate,Gdp,Import,Export
2021-12-17,113.766128,19874.94520547952,5946258830.673139,1351875920.0526876
2021-12-18,113.667746,19871.68219178089,5945336601.602089,1352104702.9634202
2021-12-19,113.667746,19868.41917808226,5944414372.531039,1352333485.8741527
2021-12-20,113.74718,19865.15616438363,5943492143.45999,1352562268.7848852
2021-12-21,114.840082,19861.893150685,5942569914.38894,1352791051.6956177
2021-12-22,115.003467,19858.63013698637,5941647685.31789,1353019834.6063502
2021-12-23,115.245075,19855.36712328774,5940725456.2468405,1353248617.5170827
2021-12-24,115.788579,19852.10410958911,5939803227.175791,1353477400.4278152
2021-12-25,113.887916,19848.84109589048,5938880998.104741,1353706183.3385477
2021-12-26,113.887916,19845.57808219185,5937958769.033691,1353934966.2492802
2021-12-27,113.678956,19842.31506849322,5937036539.962642,1354163749.1600127
2021-12-28,114.890364,19839.05205479459,5936114310.891592,1354392532.0707452
2021-12-29,114.238736,19835.78904109596,5935192081.820542,1354621314.9814777
2021-12-30,113.921117,19832.52602739733,5934269852.749493,1354850097.8922102
2021-12-31,114.359426,19829.2630136987,5933347623.678443,1355078880.8029428
2022-01-01,114.046113,19826.0,5932425394.60732,1355307663.71364
2022-01-02,114.046113,19825.389041095892,5930048404.724876,1354593671.3365033
2022-01-03,113.980937,19824.778082191784,5927671414.842433,1353879678.9593666
2022-01-04,113.491101,19824.167123287676,5925294424.95999,1353165686.5822299
2022-01-05,111.470496,19823.556164383568,5922917435.077546,1352451694.2050931
2022-01-06,115.473768,19822.94520547946,5920540445.195103,1351737701.8279564
2022-01-07,112.95136,19822.334246575352,5918163455.312659,1351023709.4508197
2022-01-08,113.600861,19821.723287671244,5915786465.430216,1350309717.073683
2022-01-09,113.033866,19821.112328767136,5913409475.547772,1349595724.6965463
2022-01-10,112.871146,19820.50136986303,5911032485.665329,1348881732.3194096
2022-01-11,115.207114,19819.89041095892,5908655495.782886,1348167739.942273
2022-01-12,117.201855,19819.279452054812,5906278505.900442,1347453747.5651362
2022-01-13,116.036359,19818.668493150704,5903901516.017999,1346739755.1879995
2022-01-14,116.26568,19818.057534246596,5901524526.135555,1346025762.8108628
2022-01-15,118.332832,19817.44657534249,5899147536.253112,1345311770.433726
2022-01-16,118.332832,19816.83561643838,5896770546.370668,1344597778.0565894
2022-01-17,118.253182,19816.224657534272,5894393556.488225,1343883785.6794527
2022-01-18,117.153392,19815.613698630164,5892016566.605782,1343169793.302316
2022-01-19,114.205436,19815.002739726056,5889639576.723338,1342455800.9251792
2022-01-20,114.613923,19814.39178082195,5887262586.840895,1341741808.5480425
2022-01-21,115.621929,19813.78082191784,5884885596.958451,1341027816.1709058
2022-01-22,116.054089,19813.169863013733,5882508607.076008,1340313823.7937691
2022-01-23,116.054089,19812.558904109625,5880131617.193564,1339599831.4166324
2022-01-24,115.975147,19811.947945205517,5877754627.311121,1338885839.0394957
2022-01-25,116.535454,19811.33698630141,5875377637.428678,1338171846.662359
2022-01-26,116.300252,19810.7260273973,5873000647.546234,1337457854.2852223
2022-01-27,115.601478,19810.115068493193,5870623657.663791,1336743861.9080856
2022-01-28,114.636331,19809.504109589085,5868246667.781347,1336029869.5309489
2022-01-29,114.390567,19808.893150684977,5865869677.898904,1335315877.1538122
2022-01-30,114.390567,19808.28219178087,5863492688.01646,1334601884.7766755
2022-01-31,114.266773,19807.67123287676,5861115698.134017,1333887892.3995388
2022-02-01,113.99312,19807.060273972653,5858738708.251574,1333173900.022402
2022-02-02,114.534756,19806.449315068545,5856361718.36913,1332459907.6452653
2022-02-03,114.713732,19805.838356164437,5853984728.486687,1331745915.2681286
2022-02-04,116.218372,19805.22739726033,5851607738.604243,1331031922.890992
2022-02-05,116.317946,19804.61643835622,5849230748.7218,1330317930.5138552
2022-02-06,116.317946,19804.005479452113,5846853758.839356,1329603938.1367185
2022-02-07,116.353157,19803.394520548005,5844476768.956913,1328889945.7595818
2022-02-08,118.083369,19802.783561643897,5842099779.07447,1328175953.382445
2022-02-09,117.822452,19802.17260273979,5839722789.192026,1327461961.0053084
2022-02-10,117.864787,19801.56164383568,5837345799.309583,1326747968.6281717
2022-02-11,117.675614,19800.950684931573,5834968809.427139,1326033976.251035
2022-02-12,116.048596,19800.339726027465,5832591819.544696,1325319983.8738983
2022-02-13,116.497992,19799.728767123357,5830214829.662252,1324605991.4967616
2022-02-14,116.541522,19799.11780821925,5827837839.779809,1323891999.1196249
2022-02-15,114.982478,19798.50684931514,5825460849.897366,1323178006.7424881
2022-02-16,115.366135,19797.895890411033,5823083860.014922,1322464014.3653514
2022-02-17,117.613063,19797.284931506925,5820706870.132479,1321750021.9882147
2022-02-18,117.319496,19796.673972602817,5818329880.250035,1321036029.611078
2022-02-19,116.403108,19796.06301369871,5815952890.367592,1320322037.2339413
2022-02-20,116.403108,19795.4520547946,5813575900.485148,1319608044.8568046
2022-02-21,116.380589,19794.841095890493,5811198910.602705,1318894052.479668
2022-02-22,117.573435,19794.230136986385,5808821920.720262,1318180060.1025312
2022-02-23,117.737403,19793.619178082277,5806444930.837818,1317466067.7253945
2022-02-24,117.381497,19793.00821917817,5804067940.955375,1316752075.3482578
2022-02-25,116.493125,19792.39726027406,5801690951.072931,1316038082.971121
2022-02-26,117.188456,19791.786301369953,5799313961.190488,1315324090.5939844
2022-02-27,116.589929,19791.175342465845,5796936971.308044,1314610098.2168477
2022-02-28,115.511005,19790.564383561737,5794559981.425601,1313896105.839711
2022-03-01,117.295728,19789.95342465763,5792182991.543158,1313182113.4625742
2022-03-02,116.374936,19789.34246575352,5789806001.660714,1312468121.0854375
2022-03-03,116.133617,19788.731506849414,5787429011.778271,1311754128.7083008
2022-03-04,115.563839,19788.120547945306,5785052021.895827,1311040136.3311641
2022-03-05,115.102499,19787.509589041198,5782675032.013384,1310326143.9540274
2022-03-06,115.102499,19786.89863013709,5780298042.13094,1309612151.5768907
2022-03-07,114.088923,19786.28767123298,5777921052.248497,1308898159.199754
2022-03-08,113.359238,19785.676712328874,5775544062.366054,1308184166.8226173
2022-03-09,115.45605,19785.065753424766,5773167072.48361,1307470174.4454806
2022-03-10,117.00942,19784.454794520658,5770790082.601167,1306756182.0683439
2022-03-11,117.061482,19783.84383561655,5768413092.718723,1306042189.6912072
2022-03-12,116.113929,19783.23287671244,5766036102.83628,1305328197.3140705
2022-03-13,116.113929,19782.621917808334,5763659112.953836,1304614204.9369338
2022-03-14,116.148199,19782.010958904226,5761282123.071393,1303900212.559797
2022-03-15,113.789805,19781.400000000118,5758905133.18895,1303186220.1826603
2022-03-16,115.408364,19780.78904109601,5756528143.306506,1302472227.8055236
2022-03-17,116.320773,19780.178082191902,5754151153.424063,1301758235.428387
2022-03-18,115.922253,19779.567123287794,5751774163.541619,1301044243.0512502
2022-03-19,116.635449,19778.956164383686,5749397173.659176,1300330250.6741135
2022-03-20,116.635449,19778.345205479578,5747020183.776732,1299616258.2969768
2022-03-21,116.475083,19777.73424657547,5744643193.894289,1298902265.91984
2022-03-22,115.487059,19777.123287671362,5742266204.011846,1298188273.5427034
2022-03-23,115.40898,19776.512328767254,5739889214.129402,1297474281.1655667
2022-03-24,116.017094,19775.901369863146,5737512224.246959,1296760288.78843
2022-03-25,115.897699,19775.290410959038,5735135234.364515,1296046296.4112933
2022-03-26,115.598882,19774.67945205493,5732758244.482072,1295332304.0341566
2022-03-27,115.88196,19774.068493150822,5730381254.599628,1294618311.6570199
2022-03-28,117.06204,19773.457534246714,5728004264.717185,1293904319.2798831
2022-03-29,117.922967,19772.846575342606,5725627274.834742,1293190326.9027464
2022-03-30,118.213637,19772.2356164385,5723250284.952298,1292476334.5256097
2022-03-31,117.910158,19771.62465753439,5720873295.069855,1291762342.148473
2022-04-01,117.688448,19771.013698630282,5718496305.187411,1291048349.7713363
2022-04-02,117.880367,19770.402739726174,5716119315.304968,1290334357.3941996
2022-04-03,117.880719,19769.791780822066,5713742325.422524,1289620365.017063
2022-04-04,115.068739,19769.18082191796,5711365335.540081,1288906372.6399262
2022-04-05,115.56637,19768.56986301385,5708988345.657638,1288192380.2627895
2022-04-06,117.297028,19767.958904109742,5706611355.775194,1287478387.8856528
2022-04-07,117.238978,19767.347945205634,5704234365.892751,1286764395.508516
2022-04-08,117.119569,19766.736986301526,5701857376.010307,1286050403.1313794
2022-04-09,118.596034,19766.12602739742,5699480386.127864,1285336410.7542427
2022-04-10,118.596034,19765.51506849331,5697103396.24542,1284622418.377106
2022-04-11,118.701955,19764.904109589203,5694726406.362977,1283908425.9999692
2022-04-12,119.252705,19764.293150685095,5692349416.480534,1283194433.6228325
2022-04-13,118.011579,19763.682191780987,5689972426.59809,1282480441.2456958
2022-04-14,116.930496,19763.07123287688,5687595436.715647,1281766448.8685591
2022-04-15,117.303146,19762.46027397277,5685218446.833203,1281052456.4914224
2022-04-16,118.376097,19761.849315068663,5682841456.95076,1280338464.1142857
2022-04-17,118.376097,19761.238356164555,5680464467.068316,1279624471.737149
2022-04-18,118.303053,19760.627397260447,5678087477.185873,1278910479.3600123
2022-04-20,117.157722,19759.40547945223,5673333497.420986,1277482494.6057389
2022-04-21,118.307089,19758.794520548123,5670956507.538543,1276768502.2286022
2022-04-22,119.305658,19758.183561644015,5668579517.656099,1276054509.8514655
2022-04-23,117.643151,19757.572602739907,5666202527.773656,1275340517.4743288
2022-04-24,118.031416,19756.9616438358,5663825537.891212,1274626525.097192
2022-04-25,118.087585,19756.35068493169,5661448548.008769,1273912532.7200553
2022-04-26,116.782926,19755.739726027583,5659071558.126326,1273198540.3429186
2022-04-27,116.093486,19755.128767123475,5656694568.243882,1272484547.965782
2022-04-28,115.067791,19754.517808219367,5654317578.361439,1271770555.5886452
2022-04-29,112.306392,19753.90684931526,5651940588.478995,1271056563.2115085
2022-04-30,114.935011,19753.29589041115,5649563598.596552,1270342570.8343718
2022-05-01,114.935011,19752.684931507043,5647186608.714108,1269628578.457235
2022-05-02,114.76866,19752.073972602935,5644809618.831665,1268914586.0800984
2022-05-03,119.919827,19751.463013698827,5642432628.949222,1268200593.7029617
2022-05-04,119.357986,19750.85205479472,5640055639.066778,1267486601.325825
2022-05-05,115.797683,19750.24109589061,5637678649.184335,1266772608.9486883
2022-05-06,116.589106,19749.630136986503,5635301659.301891,1266058616.5715516
2022-05-07,116.019964,19749.019178082395,5632924669.419448,1265344624.1944149
2022-05-08,116.019964,19748.408219178287,5630547679.537004,1264630631.8172781
2022-05-09,115.785496,19747.79726027418,5628170689.654561,1263916639.4401414
2022-05-10,117.288703,19747.18630137007,5625793699.772118,1263202647.0630047
2022-05-11,116.795283,19746.575342465963,5623416709.889674,1262488654.685868
2022-05-12,116.627625,19745.964383561855,5621039720.007231,1261774662.3087313
2022-05-13,115.177788,19745.353424657747,5618662730.124787,1261060669.9315946
2022-05-14,115.476465,19744.74246575364,5616285740.242344,1260346677.554458
2022-05-15,115.476465,19744.13150684953,5613908750.3599,1259632685.1773212
2022-05-16,115.362326,19743.520547945423,5611531760.477457,1258918692.8001845
2022-05-17,115.998287,19742.909589041315,5609154770.595014,1258204700.4230478
