,Rate,Gdp,Import,Export
2021-12-17,27.457097,31098.08219178085,21912662625.64671,9450123075.989386
2021-12-18,27.433353,31107.076712328795,21923800486.72229,9454117189.02045
2021-12-19,27.433353,31116.07123287674,21934938347.79787,9458111302.051516
2021-12-20,27.453013,31125.065753424686,21946076208.87345,9462105415.08258
2021-12-21,27.632162,31134.06027397263,21957214069.94903,9466099528.113646
2021-12-22,27.509365,31143.054794520576,21968351931.024612,9470093641.14471
2021-12-23,27.710434,31152.04931506852,21979489792.100193,9474087754.175776
2021-12-24,27.594243,31161.043835616467,21990627653.175774,9478081867.20684
2021-12-25,27.630899,31170.038356164412,22001765514.251354,9482075980.237906
2021-12-26,27.630899,31179.032876712357,22012903375.326935,9486070093.26897
2021-12-27,27.580176,31188.027397260303,22024041236.402515,9490064206.300035
2021-12-28,27.605257,31197.021917808248,22035179097.478096,9494058319.3311
2021-12-29,27.797155,31206.016438356193,22046316958.553677,9498052432.362165
2021-12-30,27.719219,31215.01095890414,22057454819.629257,9502046545.39323
2021-12-31,27.630417,31224.005479452084,22068592680.704838,9506040658.424295
2022-01-01,27.750716,31233.0,22079730541.7809,9510034771.45549
2022-01-02,27.750716,31241.208219178083,22077053113.660316,9510841580.460274
2022-01-03,27.731414,31249.416438356166,22074375685.539734,9511648389.465057
2022-01-04,27.849695,31257.62465753425,22071698257.41915,9512455198.469841
2022-01-05,27.620947,31265.83287671233,22069020829.29857,9513262007.474625
2022-01-06,27.683377,31274.041095890414,22066343401.177986,9514068816.479408
2022-01-07,27.654588,31282.249315068497,22063665973.057404,9514875625.484192
2022-01-08,27.79643,31290.45753424658,22060988544.93682,9515682434.488976
2022-01-09,27.759651,31298.665753424662,22058311116.81624,9516489243.49376
2022-01-10,27.717491,31306.873972602745,22055633688.695656,9517296052.498543
2022-01-11,27.7318,31315.082191780828,22052956260.575073,9518102861.503326
2022-01-12,27.886272,31323.29041095891,22050278832.45449,9518909670.50811
2022-01-13,28.060512,31331.498630136994,22047601404.333908,9519716479.512894
2022-01-14,28.178529,31339.706849315076,22044923976.213326,9520523288.517677
2022-01-15,27.998059,31347.91506849316,22042246548.092743,9521330097.52246
2022-01-16,27.998059,31356.123287671242,22039569119.97216,9522136906.527245
2022-01-17,27.979186,31364.331506849325,22036891691.851578,9522943715.532028
2022-01-18,28.071522,31372.539726027408,22034214263.730995,9523750524.536812
2022-01-19,27.736593,31380.74794520549,22031536835.610413,9524557333.541595
2022-01-20,27.825252,31388.956164383573,22028859407.48983,9525364142.54638
2022-01-21,27.704258,31397.164383561656,22026181979.369247,9526170951.551163
2022-01-22,27.823044,31405.37260273974,22023504551.248665,9526977760.555946
2022-01-23,27.823044,31413.58082191782,22020827123.128082,9527784569.56073
2022-01-24,27.804049,31421.789041095904,22018149695.0075,9528591378.565514
2022-01-25,27.793162,31429.997260273987,22015472266.886917,9529398187.570297
2022-01-26,27.757377,31438.20547945207,22012794838.766335,9530204996.57508
2022-01-27,27.604921,31446.413698630153,22010117410.645752,9531011805.579865
2022-01-28,27.371465,31454.621917808236,22007439982.52517,9531818614.584648
2022-01-29,27.379661,31462.83013698632,22004762554.404587,9532625423.589432
2022-01-30,27.379661,31471.0383561644,22002085126.284004,9533432232.594215
2022-01-31,27.393356,31479.246575342484,21999407698.16342,9534239041.598999
2022-02-01,27.510262,31487.454794520567,21996730270.04284,9535045850.603783
2022-02-02,27.709824,31495.66301369865,21994052841.922256,9535852659.608566
2022-02-03,27.801249,31503.871232876732,21991375413.801674,9536659468.61335
2022-02-04,28.205255,31512.079452054815,21988697985.68109,9537466277.618134
2022-02-05,28.177551,31520.287671232898,21986020557.56051,9538273086.622917
2022-02-06,28.177551,31528.49589041098,21983343129.439926,9539079895.6277
2022-02-07,28.185361,31536.704109589064,21980665701.319344,9539886704.632484
