,Rate,Gdp,Import,Export
2021-12-17,8.835287,359102.21917807276,684931188249.2617,699844525339.6888
2021-12-18,8.768581,359074.07123286725,684796212663.2303,699693734010.258
2021-12-19,8.768581,359045.92328766175,684661237077.199,699542942680.8273
2021-12-20,8.77449,359017.77534245624,684526261491.1676,699392151351.3965
2021-12-21,8.800677,358989.62739725073,684391285905.1362,699241360021.9657
2021-12-22,8.807351,358961.4794520452,684256310319.1049,699090568692.5349
2021-12-23,8.844418,358933.3315068397,684121334733.0735,698939777363.1041
2021-12-24,8.832583,358905.1835616342,683986359147.0421,698788986033.6733
2021-12-25,8.845786,358877.0356164287,683851383561.0107,698638194704.2426
2021-12-26,8.845786,358848.8876712232,683716407974.9794,698487403374.8118
2021-12-27,8.828123,358820.7397260177,683581432388.948,698336612045.381
2021-12-28,8.832189,358792.5917808122,683446456802.9166,698185820715.9502
2021-12-29,8.813064,358764.4438356067,683311481216.8853,698035029386.5194
2021-12-30,8.847341,358736.2958904012,683176505630.8539,697884238057.0886
2021-12-31,8.829745,358708.14794519567,683041530044.8225,697733446727.6578
2022-01-01,8.865304,358680.0,682906554458.791,697582655398.215
2022-01-02,8.865304,358741.3315068493,682875133219.144,697517326507.6797
2022-01-03,8.862221,358802.66301369865,682843711979.4971,697451997617.1444
2022-01-04,8.81535,358863.994520548,682812290739.8501,697386668726.6091
2022-01-05,8.797087,358925.3260273973,682780869500.2031,697321339836.0739
2022-01-06,8.821883,358986.6575342466,682749448260.5562,697256010945.5386
2022-01-07,8.812427,359047.98904109595,682718027020.9092,697190682055.0033
2022-01-08,8.859032,359109.3205479453,682686605781.2622,697125353164.468
2022-01-09,8.860043,359170.6520547946,682655184541.6152,697060024273.9327
2022-01-10,8.837713,359231.9835616439,682623763301.9683,696994695383.3975
2022-01-11,8.834964,359293.31506849325,682592342062.3213,696929366492.8622
2022-01-12,8.867066,359354.6465753426,682560920822.6743,696864037602.3269
2022-01-13,8.914194,359415.9780821919,682529499583.0273,696798708711.7916
2022-01-14,8.927264,359477.3095890412,682498078343.3804,696733379821.2563
2022-01-15,8.887333,359538.64109589055,682466657103.7334,696668050930.7211
2022-01-16,8.887333,359599.9726027399,682435235864.0864,696602722040.1858
2022-01-17,8.883115,359661.3041095892,682403814624.4395,696537393149.6505
2022-01-18,8.893907,359722.6356164385,682372393384.7925,696472064259.1152
2022-01-19,8.821341,359783.96712328785,682340972145.1455,696406735368.58
2022-01-20,8.850834,359845.2986301372,682309550905.4985,696341406478.0447
2022-01-21,8.803472,359906.6301369865,682278129665.8516,696276077587.5094
2022-01-22,8.833481,359967.9616438358,682246708426.2046,696210748696.9741
2022-01-23,8.833481,360029.29315068515,682215287186.5576,696145419806.4388
2022-01-24,8.82906,360090.62465753447,682183865946.9106,696080090915.9036
2022-01-25,8.814571,360151.9561643838,682152444707.2637,696014762025.3683
2022-01-26,8.798945,360213.2876712331,682121023467.6167,695949433134.833
2022-01-27,8.74949,360274.61917808244,682089602227.9697,695884104244.2977
2022-01-28,8.68201,360335.95068493177,682058180988.3228,695818775353.7625
2022-01-29,8.687504,360397.2821917811,682026759748.6758,695753446463.2272
2022-01-30,8.687504,360458.6136986304,681995338509.0288,695688117572.6919
2022-01-31,8.688479,360519.94520547974,681963917269.3818,695622788682.1566
2022-02-01,8.766793,360581.27671232907,681932496029.7349,695557459791.6213
2022-02-02,8.789621,360642.6082191784,681901074790.0879,695492130901.086
2022-02-03,8.807287,360703.9397260277,681869653550.4409,695426802010.5508
2022-02-04,8.926174,360765.27123287704,681838232310.794,695361473120.0155
2022-02-05,8.917035,360826.60273972637,681806811071.147,695296144229.4802
2022-02-06,8.917035,360887.9342465757,681775389831.5,695230815338.945
2022-02-07,8.921338,360949.265753425,681743968591.853,695165486448.4097
2022-02-08,8.916979,361010.59726027434,681712547352.206,695100157557.8744
2022-02-09,8.896076,361071.92876712367,681681126112.5591,695034828667.3391
2022-02-10,8.897382,361133.260273973,681649704872.9121,694969499776.8038
2022-02-11,8.890339,361194.5917808223,681618283633.2651,694904170886.2686
2022-02-12,8.85308,361255.92328767164,681586862393.6182,694838841995.7333
2022-02-13,8.85308,361317.25479452097,681555441153.9712,694773513105.198
2022-02-14,8.857165,361378.5863013703,681524019914.3242,694708184214.6627
2022-02-15,8.825473,361439.9178082196,681492598674.6772,694642855324.1274
2022-02-16,8.858897,361501.24931506894,681461177435.0303,694577526433.5922
2022-02-17,8.876437,361562.58082191827,681429756195.3833,694512197543.0569
2022-02-18,8.860862,361623.9123287676,681398334955.7363,694446868652.5216
2022-02-19,8.832059,361685.2438356169,681366913716.0894,694381539761.9863
2022-02-20,8.832059,361746.57534246624,681335492476.4424,694316210871.451
2022-02-21,8.83074,361807.90684931556,681304071236.7954,694250881980.9158
2022-02-22,8.828567,361869.2383561649,681272649997.1484,694185553090.3805
2022-02-23,8.842937,361930.5698630142,681241228757.5015,694120224199.8452
2022-02-24,8.804396,361991.90136986354,681209807517.8545,694054895309.3099
2022-02-25,8.738021,362053.23287671286,681178386278.2075,693989566418.7747
2022-02-26,8.802118,362114.5643835622,681146965038.5605,693924237528.2394
2022-02-27,8.802287,362175.8958904115,681115543798.9136,693858908637.7041
2022-02-28,8.725862,362237.22739726084,681084122559.2666,693793579747.1688
2022-03-01,8.754597,362298.55890411016,681052701319.6196,693728250856.6335
2022-03-02,8.695327,362359.8904109595,681021280079.9727,693662921966.0983
2022-03-03,8.675613,362421.2219178088,680989858840.3257,693597593075.563
2022-03-04,8.616684,362482.55342465814,680958437600.6787,693532264185.0277
2022-03-05,8.554829,362543.88493150746,680927016361.0317,693466935294.4924
2022-03-06,8.554829,362605.2164383568,680895595121.3848,693401606403.9572
2022-03-07,8.480576,362666.5479452061,680864173881.7378,693336277513.4219
2022-03-08,8.487676,362727.87945205544,680832752642.0908,693270948622.8866
2022-03-09,8.528674,362789.21095890476,680801331402.4438,693205619732.3513
2022-03-10,8.635333,362850.5424657541,680769910162.7969,693140290841.816
2022-03-11,8.595615,362911.8739726034,680738488923.1499,693074961951.2808
2022-03-12,8.543572,362973.20547945274,680707067683.5029,693009633060.7455
2022-03-13,8.543572,363034.53698630206,680675646443.856,692944304170.2102
2022-03-14,8.545707,363095.8684931514,680644225204.209,692878975279.6749
2022-03-15,8.569671,363157.2000000007,680612803964.562,692813646389.1396
2022-03-16,8.57618,363218.53150685003,680581382724.915,692748317498.6044
2022-03-17,8.633525,363279.86301369936,680549961485.2681,692682988608.0691
2022-03-18,8.677555,363341.1945205487,680518540245.6211,692617659717.5338
2022-03-19,8.656393,363402.526027398,680487119005.9741,692552330826.9985
2022-03-20,8.656393,363463.85753424733,680455697766.3271,692487001936.4633
2022-03-21,8.642989,363525.18904109666,680424276526.6802,692421673045.928
2022-03-22,8.608825,363586.520547946,680392855287.0332,692356344155.3927
2022-03-23,8.628129,363647.8520547953,680361434047.3862,692291015264.8574
2022-03-24,8.603903,363709.18356164463,680330012807.7393,692225686374.3221
2022-03-25,8.614132,363770.51506849396,680298591568.0923,692160357483.7869
2022-03-26,8.599865,363831.8465753433,680267170328.4453,692095028593.2516
2022-03-27,8.599814,363893.1780821926,680235749088.7983,692029699702.7163
2022-03-28,8.609958,363954.50958904193,680204327849.1514,691964370812.181
2022-03-29,8.672284,364015.84109589126,680172906609.5044,691899041921.6458
2022-03-30,8.729565,364077.1726027406,680141485369.8574,691833713031.1105
