,Rate,Gdp,Import,Export
2021-12-17,367.794857,178524.9178082171,166518956697.12122,158426662434.89795
2021-12-18,367.317616,178511.32328766916,166579411401.37234,158463531511.0622
2021-12-19,367.317616,178497.7287671212,166639866105.62347,158500400587.22644
2021-12-20,367.343521,178484.13424657326,166700320809.8746,158537269663.3907
2021-12-21,367.970891,178470.5397260253,166760775514.12573,158574138739.55493
2021-12-22,367.574964,178456.94520547736,166821230218.37686,158611007815.71918
2021-12-23,368.23619,178443.3506849294,166881684922.628,158647876891.88342
2021-12-24,369.84624,178429.75616438146,166942139626.87912,158684745968.04767
2021-12-25,369.855828,178416.1616438335,167002594331.13025,158721615044.2119
2021-12-26,369.855828,178402.56712328555,167063049035.38138,158758484120.37616
2021-12-27,369.816368,178388.9726027376,167123503739.6325,158795353196.5404
2021-12-28,370.029338,178375.37808218965,167183958443.88364,158832222272.70465
2021-12-29,369.616686,178361.7835616417,167244413148.13477,158869091348.8689
2021-12-30,370.137855,178348.18904109375,167304867852.3859,158905960425.03314
2021-12-31,368.879731,178334.5945205458,167365322556.63702,158942829501.1974
2022-01-01,369.242932,178321.0,167425777260.884,158979698577.362
2022-01-02,369.242932,178419.0191780822,167414305253.63925,159018202329.7947
2022-01-03,369.429287,178517.0383561644,167402833246.3945,159056706082.22742
2022-01-04,366.766267,178615.05753424662,167391361239.14975,159095209834.66013
2022-01-05,362.807266,178713.07671232882,167379889231.905,159133713587.09283
2022-01-06,362.601232,178811.09589041103,167368417224.66025,159172217339.52554
2022-01-07,360.042666,178909.11506849324,167356945217.4155,159210721091.95825
2022-01-08,358.694415,179007.13424657544,167345473210.17075,159249224844.39096
2022-01-09,358.762586,179105.15342465765,167334001202.926,159287728596.82367
2022-01-10,358.922716,179203.17260273985,167322529195.68124,159326232349.25638
2022-01-11,358.480695,179301.19178082206,167311057188.4365,159364736101.6891
2022-01-12,357.094403,179399.21095890427,167299585181.19174,159403239854.1218
2022-01-13,353.086121,179497.23013698647,167288113173.947,159441743606.5545
2022-01-14,354.734173,179595.24931506868,167276641166.70224,159480247358.9872
2022-01-15,356.833842,179693.26849315088,167265169159.4575,159518751111.41992
2022-01-16,356.833842,179791.2876712331,167253697152.21274,159557254863.85263
2022-01-17,356.712978,179889.3068493153,167242225144.968,159595758616.28534
2022-01-18,355.83327,179987.3260273975,167230753137.72324,159634262368.71805
2022-01-19,357.839036,180085.3452054797,167219281130.4785,159672766121.15076
2022-01-20,355.888576,180183.36438356192,167207809123.23373,159711269873.58347
2022-01-21,356.715561,180281.38356164412,167196337115.98898,159749773626.01617
2022-01-22,358.658642,180379.40273972633,167184865108.74423,159788277378.44888
2022-01-23,358.658642,180477.42191780853,167173393101.49948,159826781130.8816
2022-01-24,358.261253,180575.44109589074,167161921094.25473,159865284883.3143
2022-01-25,361.222897,180673.46027397295,167150449087.00998,159903788635.747
2022-01-26,358.906761,180771.47945205515,167138977079.76523,159942292388.17972
2022-01-27,360.318579,180869.49863013736,167127505072.52048,159980796140.61243
2022-01-28,356.835023,180967.51780821956,167116033065.27573,160019299893.04514
