,Rate,Gdp,Import,Export
2021-12-17,146.404304,28575.75342465745,13148225764.043243,13421151869.689201
2021-12-18,146.387877,28583.769863013615,13156856075.414541,13431511934.383299
2021-12-19,146.387877,28591.78630136978,13165486386.78584,13441871999.077396
2021-12-20,146.385914,28599.802739725943,13174116698.157137,13452232063.771494
2021-12-21,146.610417,28607.819178082107,13182747009.528435,13462592128.465591
2021-12-22,146.810658,28615.83561643827,13191377320.899733,13472952193.159689
2021-12-23,146.802106,28623.852054794435,13200007632.27103,13483312257.853786
2021-12-24,147.206852,28631.8684931506,13208637943.642328,13493672322.547884
2021-12-25,147.493514,28639.884931506764,13217268255.013626,13504032387.241982
2021-12-26,147.493514,28647.901369862928,13225898566.384924,13514392451.936079
2021-12-27,147.199748,28655.917808219092,13234528877.756222,13524752516.630177
2021-12-28,147.397578,28663.934246575256,13243159189.12752,13535112581.324274
2021-12-29,147.358855,28671.95068493142,13251789500.498817,13545472646.018372
2021-12-30,147.40597,28679.967123287584,13260419811.870115,13555832710.71247
2021-12-31,147.611069,28687.98356164375,13269050123.241413,13566192775.406567
2022-01-01,147.590544,28696.0,13277680434.6124,13576552840.1005
2022-01-02,147.590544,28703.550684931506,13278604764.83212,13577769424.98848
2022-01-03,147.608212,28711.101369863012,13279529095.051842,13578986009.87646
2022-01-04,147.600212,28718.65205479452,13280453425.271563,13580202594.764439
2022-01-05,147.608354,28726.202739726024,13281377755.491283,13581419179.652418
2022-01-06,146.795359,28733.75342465753,13282302085.711004,13582635764.540398
2022-01-07,146.41879,28741.304109589037,13283226415.930725,13583852349.428377
2022-01-08,146.168636,28748.854794520543,13284150746.150446,13585068934.316357
2022-01-09,146.168636,28756.40547945205,13285075076.370167,13586285519.204336
2022-01-10,146.22794,28763.956164383555,13285999406.589888,13587502104.092316
2022-01-11,146.398801,28771.50684931506,13286923736.809608,13588718688.980295
2022-01-12,147.002769,28779.057534246567,13287848067.02933,13589935273.868275
2022-01-13,147.00154,28786.608219178073,13288772397.24905,13591151858.756254
2022-01-14,147.203058,28794.15890410958,13289696727.468771,13592368443.644234
2022-01-15,146.800219,28801.709589041086,13290621057.688492,13593585028.532213
2022-01-16,146.800219,28809.26027397259,13291545387.908213,13594801613.420193
2022-01-17,146.814959,28816.810958904098,13292469718.127934,13596018198.308172
2022-01-18,146.745782,28824.361643835604,13293394048.347654,13597234783.196152
2022-01-19,145.793928,28831.91232876711,13294318378.567375,13598451368.084131
2022-01-20,145.258147,28839.463013698616,13295242708.787096,13599667952.97211
2022-01-21,145.415779,28847.013698630122,13296167039.006817,13600884537.86009
2022-01-22,145.621648,28854.56438356163,13297091369.226538,13602101122.74807
2022-01-23,145.621648,28862.115068493134,13298015699.446259,13603317707.63605
2022-01-24,145.589815,28869.66575342464,13298940029.66598,13604534292.524029
2022-01-25,145.601115,28877.216438356147,13299864359.8857,13605750877.412008
2022-01-26,145.806393,28884.767123287653,13300788690.105421,13606967462.299988
2022-01-27,145.398986,28892.31780821916,13301713020.325142,13608184047.187967
2022-01-28,144.603996,28899.868493150665,13302637350.544863,13609400632.075947
2022-01-29,144.020073,28907.41917808217,13303561680.764584,13610617216.963926
2022-01-30,144.020073,28914.969863013677,13304486010.984304,13611833801.851906
2022-01-31,143.993647,28922.520547945183,13305410341.204025,13613050386.739885
2022-02-01,143.401722,28930.07123287669,13306334671.423746,13614266971.627865
2022-02-02,143.59487,28937.621917808196,13307259001.643467,13615483556.515844
2022-02-03,142.996562,28945.1726027397,13308183331.863188,13616700141.403824
2022-02-04,142.624293,28952.723287671208,13309107662.082909,13617916726.291803
2022-02-05,143.008048,28960.273972602714,13310031992.30263,13619133311.179783
2022-02-06,143.008048,28967.82465753422,13310956322.52235,13620349896.067762
2022-02-07,142.98959,28975.375342465726,13311880652.742071,13621566480.955742
2022-02-08,142.998492,28982.926027397232,13312804982.961792,13622783065.843721
2022-02-09,142.198117,28990.47671232874,13313729313.181513,13623999650.7317
2022-02-10,141.805825,28998.027397260244,13314653643.401234,13625216235.61968
2022-02-11,141.803036,29005.57808219175,13315577973.620955,13626432820.50766
2022-02-12,141.890595,29013.128767123257,13316502303.840675,13627649405.39564
2022-02-13,141.890595,29020.679452054763,13317426634.060396,13628865990.283619
2022-02-14,141.795719,29028.23013698627,13318350964.280117,13630082575.171598
2022-02-15,142.008416,29035.780821917775,13319275294.499838,13631299160.059578
2022-02-16,141.000519,29043.33150684928,13320199624.719559,13632515744.947557
2022-02-17,141.598302,29050.882191780787,13321123954.93928,13633732329.835537
2022-02-18,141.404036,29058.432876712293,13322048285.159,13634948914.723516
2022-02-19,140.968339,29065.9835616438,13322972615.378721,13636165499.611496
2022-02-20,140.968339,29073.534246575306,13323896945.598442,13637382084.499475
2022-02-21,140.993465,29081.08493150681,13324821275.818163,13638598669.387455
