,Rate,Gdp,Import,Export
2021-12-17,86.052225,3338757.5753424354,891935083714.332,762524018439.2402
2021-12-18,85.424708,3339247.536986271,892309461405.4987,762865287590.0974
2021-12-19,85.424708,3339737.4986301064,892683839096.6653,763206556740.9546
2021-12-20,85.497443,3340227.460273942,893058216787.8319,763547825891.8118
2021-12-21,85.525694,3340717.4219177775,893432594478.9985,763889095042.669
2021-12-22,85.454494,3341207.383561613,893806972170.1652,764230364193.5261
2021-12-23,85.566453,3341697.3452054486,894181349861.3318,764571633344.3833
2021-12-24,85.016847,3342187.306849284,894555727552.4984,764912902495.2405
2021-12-25,85.500894,3342677.2684931196,894930105243.665,765254171646.0977
2021-12-26,85.500894,3343167.230136955,895304482934.8317,765595440796.9548
2021-12-27,85.027649,3343657.1917807907,895678860625.9983,765936709947.812
2021-12-28,84.811011,3344147.153424626,896053238317.1649,766277979098.6692
2021-12-29,84.474935,3344637.1150684617,896427616008.3315,766619248249.5264
2021-12-30,84.607063,3345127.0767122973,896801993699.4982,766960517400.3835
2021-12-31,84.276449,3345617.038356133,897176371390.6648,767301786551.2407
2022-01-01,84.733311,3346107.0,897550749081.828,767643055702.076
2022-01-02,84.733311,3346908.0493150684,897438695332.4178,767658217807.3248
2022-01-03,84.520035,3347709.098630137,897326641583.0077,767673379912.5736
2022-01-04,84.19616,3348510.147945205,897214587833.5975,767688542017.8224
2022-01-05,84.168242,3349311.1972602736,897102534084.1874,767703704123.0712
2022-01-06,84.223956,3350112.246575342,896990480334.7772,767718866228.32
2022-01-07,84.014971,3350913.2958904104,896878426585.3671,767734028333.5687
2022-01-08,84.607754,3351714.345205479,896766372835.9569,767749190438.8175
2022-01-09,84.39183,3352515.3945205472,896654319086.5468,767764352544.0663
2022-01-10,84.061239,3353316.4438356156,896542265337.1366,767779514649.3151
2022-01-11,83.928841,3354117.493150684,896430211587.7264,767794676754.5638
2022-01-12,84.170327,3354918.5424657525,896318157838.3163,767809838859.8126
2022-01-13,84.483495,3355719.591780821,896206104088.9061,767825000965.0614
2022-01-14,84.764493,3356520.6410958893,896094050339.496,767840163070.3102
2022-01-15,84.920463,3357321.6904109577,895981996590.0858,767855325175.559
2022-01-16,84.920463,3358122.739726026,895869942840.6757,767870487280.8077
2022-01-17,84.600848,3358923.7890410945,895757889091.2655,767885649386.0565
2022-01-18,84.780106,3359724.838356163,895645835341.8553,767900811491.3053
2022-01-19,84.452712,3360525.8876712313,895533781592.4452,767915973596.5541
2022-01-20,84.572124,3361326.9369862997,895421727843.035,767931135701.8029
2022-01-21,84.259965,3362127.986301368,895309674093.6249,767946297807.0516
2022-01-22,84.42814,3362929.0356164365,895197620344.2147,767961459912.3004
2022-01-23,84.42814,3363730.084931505,895085566594.8046,767976622017.5492
2022-01-24,84.324707,3364531.1342465733,894973512845.3944,767991784122.798
2022-01-25,84.441393,3365332.1835616417,894861459095.9843,768006946228.0468
2022-01-26,84.504572,3366133.23287671,894749405346.5741,768022108333.2955
2022-01-27,84.383995,3366934.2821917785,894637351597.164,768037270438.5443
2022-01-28,83.818305,3367735.331506847,894525297847.7538,768052432543.7931
2022-01-29,83.610933,3368536.3808219153,894413244098.3436,768067594649.0419
2022-01-30,83.610933,3369337.4301369837,894301190348.9335,768082756754.2906
2022-01-31,83.642732,3370138.479452052,894189136599.5233,768097918859.5394
2022-02-01,83.823912,3370939.5287671206,894077082850.1132,768113080964.7882
2022-02-02,84.298777,3371740.578082189,893965029100.703,768128243070.037
2022-02-03,84.566078,3372541.6273972574,893852975351.2928,768143405175.2858
2022-02-04,85.548442,3373342.676712326,893740921601.8827,768158567280.5345
2022-02-05,85.461529,3374143.726027394,893628867852.4725,768173729385.7833
2022-02-06,85.461529,3374944.7753424626,893516814103.0624,768188891491.0321
2022-02-07,85.492095,3375745.824657531,893404760353.6522,768204053596.2809
2022-02-08,85.409007,3376546.8739725994,893292706604.2421,768219215701.5297
2022-02-09,85.258969,3377347.923287668,893180652854.8319,768234377806.7784
2022-02-10,85.428039,3378148.972602736,893068599105.4218,768249539912.0272
2022-02-11,86.113908,3378950.0219178046,892956545356.0116,768264702017.276
2022-02-12,85.850359,3379751.071232873,892844491606.6014,768279864122.5248
2022-02-13,85.516006,3380552.1205479414,892732437857.1913,768295026227.7736
2022-02-14,85.8318,3381353.16986301,892620384107.7811,768310188333.0223
2022-02-15,85.513037,3382154.219178078,892508330358.371,768325350438.2711
2022-02-16,85.352034,3382955.2684931466,892396276608.9608,768340512543.5199
2022-02-17,85.397832,3383756.317808215,892284222859.5507,768355674648.7687
2022-02-18,85.29617,3384557.3671232834,892172169110.1405,768370836754.0175
2022-02-19,84.560753,3385358.416438352,892060115360.7303,768385998859.2662
2022-02-20,84.560753,3386159.4657534203,891948061611.3202,768401160964.515
2022-02-21,84.547502,3386960.5150684887,891836007861.91,768416323069.7638
2022-02-22,84.332321,3387761.564383557,891723954112.4999,768431485175.0126
2022-02-23,84.581524,3388562.6136986255,891611900363.0897,768446647280.2614
2022-02-24,84.26828,3389363.663013694,891499846613.6796,768461809385.5101
2022-02-25,84.520594,3390164.7123287623,891387792864.2694,768476971490.7589
2022-02-26,84.607211,3390965.7616438307,891275739114.8593,768492133596.0077
2022-02-27,84.629869,3391766.810958899,891163685365.4491,768507295701.2565
