,Rate,Gdp,Import,Export
2021-12-17,16267.972117,1313652.0547945192,274304765126.63773,312911765778.02625
2021-12-18,16166.844495,1314015.3178082178,274451567755.411,313100694957.12573
2021-12-19,16166.844495,1314378.5808219165,274598370384.1843,313289624136.2253
2021-12-20,16170.01047,1314741.843835615,274745173012.95758,313478553315.3248
2021-12-21,16179.581935,1315105.1068493137,274891975641.73083,313667482494.4243
2021-12-22,16111.930525,1315468.3698630123,275038778270.50415,313856411673.5238
2021-12-23,16157.086407,1315831.632876711,275185580899.27747,314045340852.62335
2021-12-24,16056.286984,1316194.8958904096,275332383528.0507,314234270031.7229
2021-12-25,16091.272329,1316558.1589041082,275479186156.824,314423199210.8224
2021-12-26,16091.272329,1316921.4219178068,275625988785.5973,314612128389.9219
2021-12-27,16097.57478,1317284.6849315055,275772791414.3706,314801057569.0214
2021-12-28,16097.612077,1317647.947945204,275919594043.14386,314989986748.121
2021-12-29,16087.802742,1318011.2109589027,276066396671.9171,315178915927.22046
2021-12-30,16152.091902,1318374.4739726014,276213199300.6904,315367845106.31995
2021-12-31,16154.588736,1318737.7369863,276360001929.46375,315556774285.4195
2022-01-01,16195.225126,1319101.0,276506804558.242,315745703464.521
2022-01-02,16195.225126,1319243.6520547946,276484891124.40857,315678694548.32446
2022-01-03,16189.9475,1319386.3041095892,276462977690.57513,315611685632.1279
2022-01-04,16161.947348,1319528.9561643838,276441064256.7417,315544676715.9314
2022-01-05,16196.969269,1319671.6082191784,276419150822.90826,315477667799.73486
2022-01-06,16289.314225,1319814.260273973,276397237389.0748,315410658883.5383
2022-01-07,16228.199192,1319956.9123287676,276375323955.2414,315343649967.3418
2022-01-08,16268.52604,1320099.5643835622,276353410521.40796,315276641051.14526
2022-01-09,16268.52604,1320242.2164383568,276331497087.5745,315209632134.9487
2022-01-10,16223.797878,1320384.8684931514,276309583653.7411,315142623218.7522
2022-01-11,16197.011509,1320527.520547946,276287670219.90765,315075614302.55566
2022-01-12,16264.138711,1320670.1726027406,276265756786.0742,315008605386.35913
2022-01-13,16376.508144,1320812.8246575352,276243843352.2408,314941596470.1626
2022-01-14,16408.354955,1320955.4767123298,276221929918.40735,314874587553.96606
2022-01-15,16341.649971,1321098.1287671244,276200016484.5739,314807578637.76953
2022-01-16,16341.649971,1321240.780821919,276178103050.7405,314740569721.573
2022-01-17,16310.628661,1321383.4328767136,276156189616.90704,314673560805.37646
2022-01-18,16338.130403,1321526.0849315082,276134276183.0736,314606551889.17993
2022-01-19,16256.842201,1321668.7369863028,276112362749.2402,314539542972.9834
2022-01-20,16303.899571,1321811.3890410974,276090449315.40674,314472534056.78687
2022-01-21,16222.467144,1321954.041095892,276068535881.5733,314405525140.59033
2022-01-22,16256.743036,1322096.6931506866,276046622447.73987,314338516224.3938
2022-01-23,16256.743036,1322239.3452054812,276024709013.90643,314271507308.19727
2022-01-24,16241.433454,1322381.9972602758,276002795580.073,314204498392.00073
2022-01-25,16244.105943,1322524.6493150704,275980882146.23956,314137489475.8042
2022-01-26,16199.049508,1322667.301369865,275958968712.4061,314070480559.60767
2022-01-27,16152.611842,1322809.9534246596,275937055278.5727,314003471643.41113
2022-01-28,16013.393254,1322952.6054794542,275915141844.73926,313936462727.2146
2022-01-29,16034.461826,1323095.2575342488,275893228410.9058,313869453811.01807
2022-01-30,16034.461826,1323237.9095890434,275871314977.0724,313802444894.82153
2022-01-31,16044.470451,1323380.561643838,275849401543.23895,313735435978.625
2022-02-01,16127.37576,1323523.2136986325,275827488109.4055,313668427062.42847
2022-02-02,16143.291855,1323665.8657534271,275805574675.5721,313601418146.23193
2022-02-03,16232.735489,1323808.5178082217,275783661241.73865,313534409230.0354
2022-02-04,16461.890008,1323951.1698630163,275761747807.9052,313467400313.83887
2022-02-05,16488.015011,1324093.821917811,275739834374.0718,313400391397.64233
2022-02-06,16488.015011,1324236.4739726055,275717920940.23834,313333382481.4458
2022-02-07,16469.298603,1324379.1260274001,275696007506.4049,313266373565.24927
2022-02-08,16463.137661,1324521.7780821947,275674094072.5715,313199364649.05273
2022-02-09,16404.175857,1324664.4301369893,275652180638.73804,313132355732.8562
2022-02-10,16366.881029,1324807.082191784,275630267204.9046,313065346816.65967
2022-02-11,16356.267919,1324949.7342465785,275608353771.07117,312998337900.46313
2022-02-12,16280.425789,1325092.3863013731,275586440337.23773,312931328984.2666
2022-02-13,16280.425789,1325235.0383561677,275564526903.4043,312864320068.07007
2022-02-14,16293.09415,1325377.6904109623,275542613469.57086,312797311151.87354
2022-02-15,16190.723952,1325520.342465757,275520700035.7374,312730302235.677
2022-02-16,16196.721684,1325662.9945205515,275498786601.904,312663293319.48047
2022-02-17,16247.944699,1325805.6465753461,275476873168.07056,312596284403.28394
2022-02-18,16289.396409,1325948.2986301407,275454959734.2371,312529275487.0874
2022-02-19,16266.794859,1326090.9506849353,275433046300.4037,312462266570.89087
2022-02-20,16266.794859,1326233.60273973,275411132866.57025,312395257654.69434
2022-02-21,16219.612282,1326376.2547945245,275389219432.7368,312328248738.4978
2022-02-22,16244.292431,1326518.906849319,275367305998.9034,312261239822.3013
2022-02-23,16299.089376,1326661.5589041137,275345392565.06995,312194230906.10474
2022-02-24,16206.361374,1326804.2109589083,275323479131.2365,312127221989.9082
2022-02-25,16150.393019,1326946.863013703,275301565697.4031,312060213073.7117
2022-02-26,16158.475554,1327089.5150684975,275279652263.56964,311993204157.51514
2022-02-27,16158.475554,1327232.167123292,275257738829.7362,311926195241.3186
2022-02-28,16046.917107,1327374.8191780867,275235825395.9028,311859186325.1221
2022-03-01,16092.495703,1327517.4712328813,275213911962.06934,311792177408.92554
2022-03-02,16008.787949,1327660.123287676,275191998528.2359,311725168492.729
2022-03-03,15949.29961,1327802.7753424705,275170085094.40247,311658159576.5325
2022-03-04,15862.449073,1327945.427397265,275148171660.56903,311591150660.33594
2022-03-05,15746.276418,1328088.0794520597,275126258226.7356,311524141744.1394
2022-03-06,15746.276418,1328230.7315068543,275104344792.90216,311457132827.9429
