,Rate,Gdp,Import,Export
2021-12-17,174.42732,16907.287671232847,,6340494430.403608
2021-12-18,174.276479,16913.668493150653,,6346036686.631288
2021-12-19,174.276479,16920.049315068463,,6351578942.858967
2021-12-20,174.399821,16926.430136986273,,6357121199.086646
2021-12-21,173.536466,16932.81095890408,,6362663455.314325
2021-12-22,173.713063,16939.191780821886,,6368205711.542005
2021-12-23,173.635591,16945.572602739696,,6373747967.769684
2021-12-24,174.272777,16951.953424657506,,6379290223.997363
2021-12-25,174.383863,16958.334246575312,,6384832480.225042
2021-12-26,174.383863,16964.71506849312,,6390374736.452722
2021-12-27,174.063906,16971.09589041093,,6395916992.680401
2021-12-28,173.962185,16977.47671232874,,6401459248.90808
2021-12-29,173.946218,16983.857534246545,,6407001505.135759
2021-12-30,174.091171,16990.23835616435,,6412543761.363439
2021-12-31,174.365531,16996.61917808216,,6418086017.591118
2022-01-01,175.116336,17003.0,,6423628273.81864
2022-01-02,175.116336,17009.33424657534,,6425960581.478548
2022-01-03,175.016259,17015.668493150682,,6428292889.138456
2022-01-04,174.771535,17022.002739726024,,6430625196.798365
2022-01-05,174.1034,17028.336986301365,,6432957504.458273
2022-01-06,174.210172,17034.671232876706,,6435289812.118181
2022-01-07,174.324335,17041.005479452047,,6437622119.77809
2022-01-08,175.48035,17047.33972602739,,6439954427.437998
2022-01-09,174.602964,17053.67397260273,,6442286735.097906
2022-01-10,174.337785,17060.00821917807,,6444619042.757814
2022-01-11,175.150791,17066.342465753412,,6446951350.417723
2022-01-12,175.015913,17072.676712328754,,6449283658.077631
2022-01-13,176.581753,17079.010958904095,,6451615965.737539
2022-01-14,177.419182,17085.345205479436,,6453948273.397448
2022-01-15,176.593349,17091.679452054777,,6456280581.057356
2022-01-16,176.593349,17098.01369863012,,6458612888.717264
2022-01-17,176.474485,17104.34794520546,,6460945196.377172
2022-01-18,177.046441,17110.6821917808,,6463277504.037081
2022-01-19,174.878038,17117.016438356142,,6465609811.696989
