,Rate,Gdp,Import,Export
2021-12-17,0.803022,48625.01369863031,29743499903.531082,20460895234.420086
2021-12-18,0.796336,48631.47945205497,29761848736.253445,20479727570.904747
2021-12-19,0.796336,48637.94520547963,29780197568.975807,20498559907.38941
2021-12-20,0.796754,48644.410958904286,29798546401.69817,20517392243.87407
2021-12-21,0.800019,48650.87671232894,29816895234.420532,20536224580.35873
2021-12-22,0.800509,48657.3424657536,29835244067.142895,20555056916.84339
2021-12-23,0.803894,48663.80821917826,29853592899.865257,20573889253.328053
2021-12-24,0.802982,48670.27397260292,29871941732.58762,20592721589.812714
2021-12-25,0.804078,48676.739726027576,29890290565.309982,20611553926.297375
2021-12-26,0.804078,48683.205479452234,29908639398.032345,20630386262.782036
2021-12-27,0.802556,48689.67123287689,29926988230.754707,20649218599.266697
2021-12-28,0.802974,48696.13698630155,29945337063.47707,20668050935.751358
2021-12-29,0.801215,48702.60273972621,29963685896.199432,20686883272.23602
2021-12-30,0.804411,48709.068493150866,29982034728.921795,20705715608.72068
2021-12-31,0.802751,48715.534246575524,30000383561.644157,20724547945.20534
2022-01-01,0.806468,48722.0,30018732394.3662,20743380281.6901
2022-01-02,0.806468,48728.68219178082,30016034728.92148,20747459000.578777
2022-01-03,0.806006,48735.36438356164,30013337063.476757,20751537719.467453
2022-01-04,0.801549,48742.04657534246,30010639398.032036,20755616438.35613
2022-01-05,0.800336,48748.72876712328,30007941732.587315,20759695157.244804
2022-01-06,0.80224,48755.410958904096,30005244067.142593,20763773876.13348
2022-01-07,0.800992,48762.093150684916,30002546401.697872,20767852595.022156
2022-01-08,0.805589,48768.775342465735,29999848736.25315,20771931313.91083
2022-01-09,0.805589,48775.457534246554,29997151070.80843,20776010032.799507
2022-01-10,0.803579,48782.13972602737,29994453405.36371,20780088751.688183
2022-01-11,0.803548,48788.82191780819,29991755739.918987,20784167470.57686
2022-01-12,0.806421,48795.50410958901,29989058074.474266,20788246189.465534
2022-01-13,0.811181,48802.18630136983,29986360409.029545,20792324908.35421
