,Rate,Gdp,Import,Export
2021-12-17,496.033767,224329.53424657654,59901498072.11641,92913648868.31938
2021-12-18,495.596051,224407.2986301382,59931717006.57753,92974185979.37785
2021-12-19,495.596051,224485.06301369984,59961935941.03865,93034723090.43633
2021-12-20,495.951214,224562.82739726148,59992154875.49977,93095260201.4948
2021-12-21,494.829113,224640.59178082313,60022373809.96089,93155797312.55327
2021-12-22,494.055884,224718.35616438478,60052592744.42201,93216334423.61174
2021-12-23,493.725194,224796.12054794643,60082811678.88313,93276871534.67021
2021-12-24,493.411459,224873.88493150807,60113030613.34425,93337408645.72868
2021-12-25,491.471832,224951.64931506972,60143249547.805374,93397945756.78716
2021-12-26,491.471832,225029.41369863137,60173468482.266495,93458482867.84563
2021-12-27,490.570087,225107.17808219302,60203687416.727615,93519019978.9041
2021-12-28,491.870037,225184.94246575466,60233906351.188736,93579557089.96257
2021-12-29,492.432642,225262.7068493163,60264125285.64986,93640094201.02104
2021-12-30,492.527262,225340.47123287796,60294344220.11098,93700631312.07951
2021-12-31,495.210323,225418.2356164396,60324563154.5721,93761168423.13799
2022-01-01,494.763156,225496.0,60354782089.0333,93821705534.195
2022-01-02,494.763156,225595.57260273973,60386364163.64225,93813772465.63945
2022-01-03,494.480405,225695.14520547946,60417946238.2512,93805839397.0839
2022-01-04,493.929119,225794.7178082192,60449528312.860146,93797906328.52834
2022-01-05,490.802944,225894.29041095893,60481110387.46909,93789973259.97278
2022-01-06,492.897896,225993.86301369866,60512692462.07804,93782040191.41722
2022-01-07,491.957757,226093.4356164384,60544274536.68699,93774107122.86166
2022-01-08,494.784272,226193.00821917813,60575856611.29594,93766174054.3061
2022-01-09,492.31475,226292.58082191786,60607438685.904884,93758240985.75055
2022-01-10,491.567045,226392.1534246576,60639020760.51383,93750307917.19499
2022-01-11,493.500596,226491.72602739732,60670602835.12278,93742374848.63943
2022-01-12,493.900842,226591.29863013705,60702184909.73173,93734441780.08388
2022-01-13,497.26398,226690.8712328768,60733766984.340675,93726508711.52832
2022-01-14,498.551477,226790.44383561652,60765349058.94962,93718575642.97276
2022-01-15,496.925072,226890.01643835625,60796931133.55857,93710642574.4172
2022-01-16,496.925072,226989.58904109598,60828513208.16752,93702709505.86165
2022-01-17,496.590593,227089.16164383572,60860095282.77647,93694776437.30609
2022-01-18,497.212269,227188.73424657545,60891677357.385414,93686843368.75053
2022-01-19,493.634171,227288.30684931518,60923259431.99436,93678910300.19498
2022-01-20,496.121642,227387.8794520549,60954841506.60331,93670977231.63942
2022-01-21,492.873043,227487.45205479464,60986423581.21226,93663044163.08386
2022-01-22,494.870815,227587.02465753438,61018005655.821205,93655111094.5283
2022-01-23,494.870815,227686.5972602741,61049587730.43015,93647178025.97275
2022-01-24,494.534193,227786.16986301384,61081169805.0391,93639244957.41719
2022-01-25,494.856256,227885.74246575357,61112751879.64805,93631311888.86163
2022-01-26,492.767692,227985.3150684933,61144333954.256996,93623378820.30608
2022-01-27,488.864451,228084.88767123304,61175916028.865944,93615445751.75052
2022-01-28,483.458052,228184.46027397277,61207498103.47489,93607512683.19496
2022-01-29,484.813303,228284.0328767125,61239080178.08384,93599579614.6394
2022-01-30,484.813303,228383.60547945224,61270662252.69279,93591646546.08385
2022-01-31,484.299506,228483.17808219197,61302244327.301735,93583713477.52829
2022-02-01,485.816081,228582.7506849317,61333826401.91068,93575780408.97273
2022-02-02,489.537615,228682.32328767143,61365408476.51963,93567847340.41718
2022-02-03,490.315635,228781.89589041116,61396990551.12858,93559914271.86162
2022-02-04,497.651232,228881.4684931509,61428572625.737526,93551981203.30606
2022-02-05,494.708362,228981.04109589063,61460154700.34647,93544048134.7505
2022-02-06,494.708362,229080.61369863036,61491736774.95542,93536115066.19495
2022-02-07,494.858116,229180.1863013701,61523318849.56437,93528181997.63939
2022-02-08,492.418413,229279.75890410983,61554900924.17332,93520248929.08383
