,Rate,Gdp,Import,Export
2021-12-17,127.989241,114533.35616438198,24498532892.145237,18103174385.786255
2021-12-18,127.874039,114546.66575342308,24505669353.774387,18113806716.00687
2021-12-19,127.874039,114559.97534246417,24512805815.403538,18124439046.227486
2021-12-20,127.968249,114573.28493150526,24519942277.03269,18135071376.448105
2021-12-21,127.438955,114586.59452054635,24527078738.66184,18145703706.668724
2021-12-22,127.752356,114599.90410958744,24534215200.29099,18156336036.88934
2021-12-23,127.731075,114613.21369862853,24541351661.92014,18166968367.109955
2021-12-24,128.146279,114626.52328766962,24548488123.54929,18177600697.330574
2021-12-25,128.316918,114639.83287671072,24555624585.17844,18188233027.551193
2021-12-26,128.316918,114653.14246575181,24562761046.80759,18198865357.77181
2021-12-27,128.080925,114666.4520547929,24569897508.43674,18209497687.992424
2021-12-28,128.145198,114679.76164383399,24577033970.06589,18220130018.213043
2021-12-29,128.183085,114693.07123287508,24584170431.69504,18230762348.433662
2021-12-30,127.86327,114706.38082191617,24591306893.324192,18241394678.654278
2021-12-31,128.113111,114719.69041095726,24598443354.953342,18252027008.874893
2022-01-01,128.668442,114733.0,24605579816.5831,18262659339.0953
2022-01-02,128.668442,114716.6,24598568162.847763,18262371541.603363
2022-01-03,128.594485,114700.20000000001,24591556509.112427,18262083744.111427
2022-01-04,128.481665,114683.80000000002,24584544855.37709,18261795946.61949
2022-01-05,127.697215,114667.40000000002,24577533201.641754,18261508149.127556
2022-01-06,128.034482,114651.00000000003,24570521547.906418,18261220351.63562
2022-01-07,127.936999,114634.60000000003,24563509894.17108,18260932554.143684
2022-01-08,128.671625,114618.20000000004,24556498240.435745,18260644756.65175
2022-01-09,128.095747,114601.80000000005,24549486586.70041,18260356959.159813
2022-01-10,128.365304,114585.40000000005,24542474932.965073,18260069161.667877
2022-01-11,128.458346,114569.00000000006,24535463279.229736,18259781364.17594
2022-01-12,128.918886,114552.60000000006,24528451625.4944,18259493566.684006
2022-01-13,129.690615,114536.20000000007,24521439971.759064,18259205769.19207
2022-01-14,129.981603,114519.80000000008,24514428318.023727,18258917971.700134
2022-01-15,129.463047,114503.40000000008,24507416664.28839,18258630174.2082
2022-01-16,129.463047,114487.00000000009,24500405010.553055,18258342376.716263
2022-01-17,129.370354,114470.6000000001,24493393356.81772,18258054579.224327
2022-01-18,129.528111,114454.2000000001,24486381703.082382,18257766781.73239
2022-01-19,128.498517,114437.8000000001,24479370049.347046,18257478984.240456
2022-01-20,129.001126,114421.40000000011,24472358395.61171,18257191186.74852
2022-01-21,128.348129,114405.00000000012,24465346741.876373,18256903389.256584
2022-01-22,128.820072,114388.60000000012,24458335088.141037,18256615591.76465
2022-01-23,128.820072,114372.20000000013,24451323434.4057,18256327794.272713
