,Rate,Gdp,Import,Export
2021-12-17,1712.676098,24543.91780821864,16617712621.131777,12331512324.563122
2021-12-18,1711.210138,24557.523287670694,16630293636.009678,12339076236.326326
2021-12-19,1711.210138,24571.128767122747,16642874650.887579,12346640148.08953
2021-12-20,1712.192682,24584.7342465748,16655455665.76548,12354204059.852736
2021-12-21,1704.510302,24598.339726026854,16668036680.643381,12361767971.61594
2021-12-22,1705.999298,24611.945205478907,16680617695.521282,12369331883.379145
2021-12-23,1708.233587,24625.55068493096,16693198710.399183,12376895795.14235
2021-12-24,1710.435102,24639.156164383014,16705779725.277084,12384459706.905554
2021-12-25,1714.809623,24652.761643835067,16718360740.154985,12392023618.668758
2021-12-26,1714.809623,24666.36712328712,16730941755.032887,12399587530.431963
2021-12-27,1711.663316,24679.972602739173,16743522769.910788,12407151442.195168
2021-12-28,1710.457817,24693.578082191227,16756103784.788689,12414715353.958372
2021-12-29,1713.878802,24707.18356164328,16768684799.66659,12422279265.721577
2021-12-30,1708.81422,24720.789041095333,16781265814.54449,12429843177.484781
2021-12-31,1711.236775,24734.394520547386,16793846829.422392,12437407089.247986
2022-01-01,1720.501423,24748.0,16806427844.3004,12444971001.0111
2022-01-02,1720.501423,24744.873972602738,16800900391.145584,12443121986.257626
2022-01-03,1719.517853,24741.747945205476,16795372937.990768,12441272971.50415
2022-01-04,1717.042698,24738.621917808214,16789845484.835953,12439423956.750675
2022-01-05,1710.149569,24735.49589041095,16784318031.681137,12437574941.9972
2022-01-06,1709.839052,24732.36986301369,16778790578.526321,12435725927.243725
2022-01-07,1707.032597,24729.243835616428,16773263125.371506,12433876912.49025
2022-01-08,1720.160915,24726.117808219165,16767735672.21669,12432027897.736774
2022-01-09,1709.724866,24722.991780821903,16762208219.061874,12430178882.9833
2022-01-10,1707.128214,24719.86575342464,16756680765.907059,12428329868.229824
2022-01-11,1711.985168,24716.73972602738,16751153312.752243,12426480853.476349
2022-01-12,1715.223844,24713.613698630117,16745625859.597427,12424631838.722874
2022-01-13,1731.111433,24710.487671232855,16740098406.442612,12422782823.969398
2022-01-14,1733.335602,24707.361643835593,16734570953.287796,12420933809.215923
2022-01-15,1725.092413,24704.23561643833,16729043500.13298,12419084794.462448
2022-01-16,1725.092413,24701.10958904107,16723516046.978165,12417235779.708973
2022-01-17,1723.931258,24697.983561643807,16717988593.823349,12415386764.955498
2022-01-18,1726.409689,24694.857534246545,16712461140.668533,12413537750.202023
2022-01-19,1709.978716,24691.731506849283,16706933687.513718,12411688735.448547
2022-01-20,1716.856024,24688.60547945202,16701406234.358902,12409839720.695072
2022-01-21,1707.903086,24685.47945205476,16695878781.204086,12407990705.941597
2022-01-22,1709.572623,24682.353424657496,16690351328.04927,12406141691.188122
2022-01-23,1709.572623,24679.227397260234,16684823874.894455,12404292676.434647
2022-01-24,1708.409734,24676.101369862972,16679296421.73964,12402443661.681171
2022-01-25,1712.884997,24672.97534246571,16673768968.584824,12400594646.927696
2022-01-26,1711.111462,24669.849315068448,16668241515.430008,12398745632.174221
2022-01-27,1698.41828,24666.723287671186,16662714062.275192,12396896617.420746
2022-01-28,1703.738772,24663.597260273924,16657186609.120377,12395047602.66727
2022-01-29,1687.237967,24660.47123287666,16651659155.96556,12393198587.913795
2022-01-30,1687.237967,24657.3452054794,16646131702.810745,12391349573.16032
2022-01-31,1682.807582,24654.219178082138,16640604249.65593,12389500558.406845
2022-02-01,1712.34118,24651.093150684876,16635076796.501114,12387651543.65337
2022-02-02,1705.438002,24647.967123287614,16629549343.346298,12385802528.899895
2022-02-03,1707.574114,24644.84109589035,16624021890.191483,12383953514.14642
2022-02-04,1731.829509,24641.71506849309,16618494437.036667,12382104499.392944
2022-02-05,1735.257949,24638.589041095827,16612966983.881851,12380255484.63947
2022-02-06,1735.257949,24635.463013698565,16607439530.727036,12378406469.885994
2022-02-07,1735.783234,24632.336986301303,16601912077.57222,12376557455.132519
2022-02-08,1739.488482,24629.21095890404,16596384624.417404,12374708440.379044
2022-02-09,1725.790352,24626.08493150678,16590857171.262589,12372859425.625568
2022-02-10,1726.615933,24622.958904109517,16585329718.107773,12371010410.872093
2022-02-11,1727.815873,24619.832876712255,16579802264.952957,12369161396.118618
2022-02-12,1716.029173,24616.706849314993,16574274811.798141,12367312381.365143
2022-02-13,1723.114677,24613.58082191773,16568747358.643326,12365463366.611668
2022-02-14,1723.758526,24610.45479452047,16563219905.48851,12363614351.858192
2022-02-15,1714.216031,24607.328767123206,16557692452.333694,12361765337.104717
2022-02-16,1726.210011,24604.202739725944,16552164999.178879,12359916322.351242
2022-02-17,1715.665228,24601.076712328682,16546637546.024063,12358067307.597767
2022-02-18,1716.851909,24597.95068493142,16541110092.869247,12356218292.844292
2022-02-19,1711.948959,24594.824657534158,16535582639.714432,12354369278.090816
2022-02-20,1711.948959,24591.698630136896,16530055186.559616,12352520263.337341
2022-02-21,1711.617294,24588.572602739634,16524527733.4048,12350671248.583866
2022-02-22,1711.181165,24585.446575342372,16519000280.249985,12348822233.83039
2022-02-23,1712.000354,24582.32054794511,16513472827.09517,12346973219.076916
2022-02-24,1710.665698,24579.194520547848,16507945373.940353,12345124204.32344
2022-02-25,1694.328346,24576.068493150586,16502417920.785538,12343275189.569965
2022-02-26,1710.058988,24572.942465753324,16496890467.630722,12341426174.81649
2022-02-27,1691.895528,24569.81643835606,16491363014.475906,12339577160.063015
2022-02-28,1676.238707,24566.6904109588,16485835561.32109,12337728145.30954
2022-03-01,1695.244088,24563.564383561537,16480308108.166275,12335879130.556065
2022-03-02,1681.649126,24560.438356164275,16474780655.01146,12334030115.80259
2022-03-03,1677.33211,24557.312328767013,16469253201.856644,12332181101.049114
2022-03-04,1669.94984,24554.18630136975,16463725748.701828,12330332086.295639
2022-03-05,1663.435769,24551.06027397249,16458198295.547012,12328483071.542164
2022-03-06,1663.435769,24547.934246575227,16452670842.392197,12326634056.788689
2022-03-07,1648.787799,24544.808219177965,16447143389.237381,12324785042.035213
2022-03-08,1643.276653,24541.682191780703,16441615936.082565,12322936027.281738
2022-03-09,1650.376631,24538.55616438344,16436088482.92775,12321087012.528263
2022-03-10,1649.298777,24535.43013698618,16430561029.772934,12319237997.774788
2022-03-11,1662.270383,24532.304109588917,16425033576.618118,12317388983.021313
2022-03-12,1648.486788,24529.178082191655,16419506123.463303,12315539968.267838
2022-03-13,1648.486788,24526.052054794392,16413978670.308487,12313690953.514362
2022-03-14,1648.973326,24522.92602739713,16408451217.153671,12311841938.760887
2022-03-15,1653.547043,24519.79999999987,16402923763.998856,12309992924.007412
2022-03-16,1658.191693,24516.673972602606,16397396310.84404,12308143909.253937
2022-03-17,1665.299043,24513.547945205344,16391868857.689224,12306294894.500462
2022-03-18,1680.597452,24510.421917808082,16386341404.534409,12304445879.746986
2022-03-19,1673.764753,24507.29589041082,16380813951.379593,12302596864.993511
2022-03-20,1673.764753,24504.169863013558,16375286498.224777,12300747850.240036
2022-03-21,1671.463553,24501.043835616296,16369759045.069962,12298898835.48656
2022-03-22,1633.699484,24497.917808219034,16364231591.915146,12297049820.733086
2022-03-23,1667.787128,24494.79178082177,16358704138.76033,12295200805.97961
2022-03-24,1658.69905,24491.66575342451,16353176685.605515,12293351791.226135
2022-03-25,1668.887326,24488.539726027248,16347649232.450699,12291502776.47266
2022-03-26,1663.784067,24485.413698629985,16342121779.295883,12289653761.719185
2022-03-27,1665.983781,24482.287671232723,16336594326.141068,12287804746.96571
2022-03-28,1666.970767,24479.16164383546,16331066872.986252,12285955732.212234
2022-03-29,1677.302156,24476.0356164382,16325539419.831436,12284106717.45876
2022-03-30,1687.373188,24472.909589040937,16320011966.67662,12282257702.705284
2022-03-31,1677.738831,24469.783561643675,16314484513.521805,12280408687.951809
2022-04-01,1671.985565,24466.657534246413,16308957060.36699,12278559673.198334
2022-04-02,1673.589773,24463.53150684915,16303429607.212173,12276710658.444859
2022-04-03,1673.594776,24460.40547945189,16297902154.057358,12274861643.691383
2022-04-04,1661.235868,24457.279452054627,16292374700.902542,12273012628.937908
2022-04-05,1650.927336,24454.153424657365,16286847247.747726,12271163614.184433
2022-04-06,1651.116225,24451.027397260103,16281319794.59291,12269314599.430958
2022-04-07,1654.81519,24447.90136986284,16275792341.438095,12267465584.677483
2022-04-08,1647.278332,24444.77534246558,16270264888.28328,12265616569.924007
2022-04-09,1648.82197,24441.649315068316,16264737435.128464,12263767555.170532
2022-04-10,1648.82197,24438.523287671054,16259209981.973648,12261918540.417057
2022-04-11,1650.294574,24435.397260273792,16253682528.818832,12260069525.663582
2022-04-12,1650.599926,24432.27123287653,16248155075.664017,12258220510.910107
2022-04-13,1640.5137,24429.145205479268,16242627622.509201,12256371496.156631
2022-04-14,1636.985426,24426.019178082006,16237100169.354385,12254522481.403156
2022-04-15,1638.037479,24422.893150684744,16231572716.19957,12252673466.649681
2022-04-16,1640.541312,24419.76712328748,16226045263.044754,12250824451.896206
2022-04-17,1640.541312,24416.64109589022,16220517809.889938,12248975437.14273
2022-04-18,1648.910707,24413.515068492958,16214990356.735123,12247126422.389256
2022-04-20,1637.348051,24407.263013698433,16203935450.425491,12243428392.882305
2022-04-21,1644.469505,24404.13698630117,16198407997.270676,12241579378.12883
2022-04-22,1647.400498,24401.01095890391,16192880544.11586,12239730363.375355
2022-04-23,1635.130884,24397.884931506647,16187353090.961044,12237881348.62188
2022-04-24,1637.520324,24394.758904109385,16181825637.806229,12236032333.868404
2022-04-25,1638.299594,24391.632876712123,16176298184.651413,12234183319.11493
2022-04-26,1625.310534,24388.50684931486,16170770731.496597,12232334304.361454
2022-04-27,1613.570209,24385.3808219176,16165243278.341782,12230485289.607979
2022-04-28,1612.675846,24382.254794520337,16159715825.186966,12228636274.854504
2022-04-29,1600.106014,24379.128767123075,16154188372.03215,12226787260.101028
2022-04-30,1595.894794,24376.002739725813,16148660918.877335,12224938245.347553
2022-05-01,1595.894794,24372.87671232855,16143133465.722519,12223089230.594078
2022-05-02,1593.584981,24369.75068493129,16137606012.567703,12221240215.840603
2022-05-03,1593.879285,24366.624657534026,16132078559.412888,12219391201.087128
2022-05-04,1594.794707,24363.498630136764,16126551106.258072,12217542186.333652
2022-05-05,1612.063104,24360.372602739502,16121023653.103256,12215693171.580177
2022-05-06,1597.761891,24357.24657534224,16115496199.94844,12213844156.826702
2022-05-07,1600.143396,24354.120547944978,16109968746.793625,12211995142.073227
2022-05-08,1600.143396,24350.994520547716,16104441293.63881,12210146127.319752
2022-05-09,1596.909483,24347.868493150454,16098913840.483994,12208297112.566277
2022-05-10,1600.48387,24344.742465753192,16093386387.329178,12206448097.812801
2022-05-11,1597.767527,24341.61643835593,16087858934.174362,12204599083.059326
2022-05-12,1600.236487,24338.490410958668,16082331481.019547,12202750068.305851
2022-05-13,1589.310597,24335.364383561406,16076804027.86473,12200901053.552376
2022-05-14,1576.961381,24332.238356164144,16071276574.709915,12199052038.7989
2022-05-15,1576.961381,24329.11232876688,16065749121.5551,12197203024.045425
2022-05-16,1575.402689,24325.98630136962,16060221668.400284,12195354009.29195
2022-05-17,1630.647078,24322.860273972357,16054694215.245468,12193504994.538475
2022-05-18,1646.836197,24319.734246575095,16049166762.090652,12191655979.785
2022-05-19,1588.464476,24316.608219177833,16043639308.935837,12189806965.031525
2022-05-20,1603.935701,24313.48219178057,16038111855.781021,12187957950.27805
2022-05-21,1600.431315,24310.35616438331,16032584402.626205,12186108935.524574
2022-05-22,1600.431315,24307.230136986047,16027056949.47139,12184259920.7711
2022-05-23,1601.61629,24304.104109588785,16021529496.316574,12182410906.017624
2022-05-24,1620.414262,24300.978082191523,16016002043.161758,12180561891.264149
2022-05-25,1625.226757,24297.85205479426,16010474590.006943,12178712876.510674
2022-05-26,1622.798132,24294.726027397,16004947136.852127,12176863861.757198
2022-05-27,1626.725913,24291.599999999737,15999419683.697311,12175014847.003723
2022-05-28,1628.547725,24288.473972602475,15993892230.542496,12173165832.250248
2022-05-29,1628.547725,24285.347945205212,15988364777.38768,12171316817.496773
2022-05-30,1627.559598,24282.22191780795,15982837324.232864,12169467802.743298
2022-05-31,1628.165984,24279.09589041069,15977309871.078049,12167618787.989822
2022-06-01,1628.241738,24275.969863013426,15971782417.923233,12165769773.236347
2022-06-02,1615.046566,24272.843835616164,15966254964.768417,12163920758.482872
2022-06-03,1630.585447,24269.717808218902,15960727511.613602,12162071743.729397
2022-06-04,1626.861795,24266.59178082164,15955200058.458786,12160222728.975922
2022-06-05,1624.020036,24263.465753424378,15949672605.30397,12158373714.222446
2022-06-06,1624.891189,24260.339726027116,15944145152.149155,12156524699.468971
2022-06-07,1619.828523,24257.213698629854,15938617698.994339,12154675684.715496
2022-06-08,1622.719686,24254.08767123259,15933090245.839523,12152826669.96202
2022-06-09,1619.330873,24250.96164383533,15927562792.684708,12150977655.208546
2022-06-10,1611.292126,24247.835616438068,15922035339.529892,12149128640.45507
2022-06-11,1602.476561,24244.709589040805,15916507886.375076,12147279625.701595
2022-06-12,1601.676572,24241.583561643543,15910980433.22026,12145430610.94812
2022-06-13,1595.817351,24238.45753424628,15905452980.065445,12143581596.194645
2022-06-14,1582.768232,24235.33150684902,15899925526.91063,12141732581.44117
2022-06-15,1575.646141,24232.205479451757,15894398073.755814,12139883566.687695
2022-06-16,1580.895004,24229.079452054495,15888870620.600998,12138034551.93422
2022-06-17,1594.587779,24225.953424657233,15883343167.446182,12136185537.180744
2022-06-18,1591.093427,24222.82739725997,15877815714.291367,12134336522.427269
2022-06-19,1590.344922,24219.70136986271,15872288261.13655,12132487507.673794
2022-06-20,1589.633916,24216.575342465447,15866760807.981735,12130638492.920319
2022-06-21,1591.27069,24213.449315068185,15861233354.82692,12128789478.166843
2022-06-22,1591.396881,24210.323287670923,15855705901.672104,12126940463.413368
2022-06-23,1602.546889,24207.19726027366,15850178448.517288,12125091448.659893
2022-06-24,1605.994843,24204.0712328764,15844650995.362473,12123242433.906418
2022-06-25,1607.774799,24200.945205479136,15839123542.207657,12121393419.152943
2022-06-26,1607.774799,24197.819178081874,15833596089.052841,12119544404.399467
2022-06-27,1610.163769,24194.693150684612,15828068635.898026,12117695389.645992
2022-06-28,1610.339832,24191.56712328735,15822541182.74321,12115846374.892517
2022-06-29,1592.243963,24188.441095890088,15817013729.588394,12113997360.139042
2022-06-30,1577.736464,24185.315068492826,15811486276.433578,12112148345.385567
2022-07-01,1583.846332,24182.189041095564,15805958823.278763,12110299330.632092
2022-07-02,1576.392246,24179.0630136983,15800431370.123947,12108450315.878616
2022-07-03,1576.392246,24175.93698630104,15794903916.969131,12106601301.125141
2022-07-04,1578.604581,24172.810958903778,15789376463.814316,12104752286.371666
2022-07-05,1577.162366,24169.684931506516,15783849010.6595,12102903271.61819
2022-07-06,1552.841736,24166.558904109253,15778321557.504684,12101054256.864716
2022-07-07,1540.135305,24163.43287671199,15772794104.349869,12099205242.11124
2022-07-08,1536.732394,24160.30684931473,15767266651.195053,12097356227.357765
2022-07-09,1534.421788,24157.180821917467,15761739198.040237,12095507212.60429
2022-07-10,1533.133688,24154.054794520205,15756211744.885422,12093658197.850815
2022-07-11,1533.133688,24150.928767122943,15750684291.730606,12091809183.09734
2022-07-12,1527.210583,24147.80273972568,15745156838.57579,12089960168.343864
2022-07-13,1526.512353,24144.67671232842,15739629385.420975,12088111153.59039
2022-07-14,1515.828923,24141.550684931157,15734101932.26616,12086262138.836914
2022-07-15,1514.247025,24138.424657533895,15728574479.111343,12084413124.083439
2022-07-16,1525.686457,24135.298630136633,15723047025.956528,12082564109.329964
2022-07-17,1522.703229,24132.17260273937,15717519572.801712,12080715094.576488
2022-07-18,1524.054017,24129.04657534211,15711992119.646896,12078866079.823013
2022-07-19,1533.592511,24125.920547944846,15706464666.49208,12077017065.069538
2022-07-20,1547.141861,24122.794520547584,15700937213.337265,12075168050.316063
2022-07-21,1538.557441,24119.668493150322,15695409760.18245,12073319035.562588
2022-07-22,1543.701093,24116.54246575306,15689882307.027634,12071470020.809113
2022-07-23,1545.834578,24113.416438355798,15684354853.872818,12069621006.055637
2022-07-24,1538.162154,24110.290410958536,15678827400.718002,12067771991.302162
2022-07-25,1536.734386,24107.164383561274,15673299947.563187,12065922976.548687
2022-07-26,1544.688091,24104.038356164012,15667772494.408371,12064073961.795212
2022-07-27,1533.071838,24100.91232876675,15662245041.253555,12062224947.041737
2022-07-28,1549.461965,24097.786301369488,15656717588.09874,12060375932.288261
2022-07-29,1545.101928,24094.660273972226,15651190134.943924,12058526917.534786
2022-07-30,1552.226289,24091.534246574964,15645662681.789108,12056677902.781311
2022-07-31,1552.226289,24088.4082191777,15640135228.634293,12054828888.027836
2022-08-01,1552.202841,24085.28219178044,15634607775.479477,12052979873.27436
