,Rate,Gdp,Import,Export
2021-12-17,18.228375,2281.9863013698478,2257112600.3893814,1070548199.3752213
2021-12-18,17.846526,2281.52054794519,2257149335.9023266,1070514060.3524711
2021-12-19,17.846526,2281.0547945205326,2257186071.4152718,1070479921.329721
2021-12-20,17.855958,2280.589041095875,2257222806.928217,1070445782.3069708
2021-12-21,17.806097,2280.1232876712174,2257259542.441162,1070411643.2842207
2021-12-22,17.929633,2279.65753424656,2257296277.9541073,1070377504.2614706
2021-12-23,17.926336,2279.1917808219023,2257333013.4670525,1070343365.2387204
2021-12-24,17.809107,2278.7260273972447,2257369748.9799976,1070309226.2159703
2021-12-25,17.600714,2278.260273972587,2257406484.492943,1070275087.1932201
2021-12-26,17.600714,2277.7945205479296,2257443220.005888,1070240948.17047
2021-12-27,17.568244,2277.328767123272,2257479955.518833,1070206809.1477199
2021-12-28,17.587522,2276.8630136986144,2257516691.0317783,1070172670.1249697
2021-12-29,17.731143,2276.397260273957,2257553426.5447235,1070138531.1022196
2021-12-30,18.051039,2275.9315068492992,2257590162.0576687,1070104392.0794694
2021-12-31,18.059412,2275.4657534246417,2257626897.570614,1070070253.0567193
2022-01-01,18.137903,2275.0,2257663633.08364,1070036114.03398
2022-01-02,18.137903,2274.8301369863016,2257199117.85131,1069531327.2142893
2022-01-03,18.126769,2274.660273972603,2256734602.6189795,1069026540.3945986
2022-01-04,17.897406,2274.4904109589047,2256270087.386649,1068521753.5749079
2022-01-05,18.071661,2274.3205479452063,2255805572.154319,1068016966.7552172
2022-01-06,17.969381,2274.150684931508,2255341056.9219885,1067512179.9355265
2022-01-07,17.758508,2273.9808219178094,2254876541.689658,1067007393.1158358
2022-01-08,17.770123,2273.810958904111,2254412026.457328,1066502606.2961451
2022-01-09,17.770123,2273.6410958904125,2253947511.2249975,1065997819.4764544
2022-01-10,17.727007,2273.471232876714,2253482995.992667,1065493032.6567637
2022-01-11,17.435675,2273.3013698630157,2253018480.760337,1064988245.837073
2022-01-12,17.782511,2273.1315068493172,2252553965.5280066,1064483459.0173823
2022-01-13,17.780131,2272.961643835619,2252089450.295676,1063978672.1976916
2022-01-14,17.662281,2272.7917808219204,2251624935.063346,1063473885.3780009
2022-01-15,17.524167,2272.621917808222,2251160419.8310156,1062969098.5583102
2022-01-16,17.524167,2272.4520547945235,2250695904.5986853,1062464311.7386194
2022-01-17,17.511244,2272.282191780825,2250231389.366355,1061959524.9189287
2022-01-18,17.526409,2272.1123287671267,2249766874.1340246,1061454738.099238
2022-01-19,17.525179,2271.942465753428,2249302358.9016943,1060949951.2795473
2022-01-20,17.404959,2271.77260273973,2248837843.669364,1060445164.4598566
2022-01-21,17.197922,2271.6027397260314,2248373328.4370337,1059940377.6401659
2022-01-22,17.102255,2271.432876712333,2247908813.2047033,1059435590.8204752
2022-01-23,17.102255,2271.2630136986345,2247444297.972373,1058930804.0007845
2022-01-24,17.090545,2271.093150684936,2246979782.7400427,1058426017.1810938
2022-01-25,17.026799,2270.9232876712376,2246515267.5077124,1057921230.3614031
2022-01-26,17.23584,2270.753424657539,2246050752.275382,1057416443.5417124
2022-01-27,17.051419,2270.5835616438408,2245586237.0430517,1056911656.7220217
2022-01-28,17.240848,2270.4136986301423,2245121721.8107214,1056406869.902331
2022-01-29,17.435732,2270.243835616444,2244657206.578391,1055902083.0826403
2022-01-30,17.435732,2270.0739726027455,2244192691.3460608,1055397296.2629496
