,Rate,Gdp,Import,Export
2021-12-17,160.76492,3954.890410958941,,1212653197.4616156
2021-12-18,159.58136,3956.164383561681,,1213144232.9383898
2021-12-19,159.58136,3957.438356164421,,1213635268.415164
2021-12-20,159.665705,3958.7123287671607,,1214126303.8919382
2021-12-21,160.963861,3959.9863013699005,,1214617339.3687124
2021-12-22,161.007405,3961.2602739726403,,1215108374.8454866
2021-12-23,162.087327,3962.53424657538,,1215599410.3222609
2021-12-24,162.0634,3963.80821917812,,1216090445.799035
2021-12-25,162.536144,3965.08219178086,,1216581481.2758093
2021-12-26,162.536144,3966.3561643835997,,1217072516.7525835
2021-12-27,162.237842,3967.6301369863395,,1217563552.2293577
2021-12-28,162.513852,3968.9041095890793,,1218054587.706132
2021-12-29,163.071058,3970.178082191819,,1218545623.1829062
2021-12-30,164.345879,3971.452054794559,,1219036658.6596804
2021-12-31,164.31703,3972.726027397299,,1219527694.1364546
2022-01-01,165.028274,3974.0,,
2022-01-02,165.028274,3975.139726027397,,
2022-01-03,164.933958,3976.279452054794,,
2022-01-04,164.785047,3977.419178082191,,
2022-01-05,164.94062,3978.558904109588,,
2022-01-06,165.311143,3979.6986301369852,,
2022-01-07,165.640599,3980.8383561643823,,
2022-01-08,167.158972,3981.9780821917793,,
2022-01-09,167.158972,3983.1178082191764,,
2022-01-10,166.761102,3984.2575342465734,,
2022-01-11,167.868934,3985.3972602739705,,
2022-01-12,168.891853,3986.5369863013675,,
2022-01-13,169.90314,3987.6767123287646,,
2022-01-14,170.975885,3988.8164383561616,,
2022-01-15,170.956706,3989.9561643835586,,
2022-01-16,170.956706,3991.0958904109557,,
2022-01-17,170.841399,3992.2356164383527,,
2022-01-18,170.986975,3993.37534246575,,
2022-01-19,170.099718,3994.515068493147,,
2022-01-20,171.262752,3995.654794520544,,
2022-01-21,170.678997,3996.794520547941,,
2022-01-22,171.763796,3997.934246575338,,
2022-01-23,171.763796,3999.073972602735,,
2022-01-24,171.646109,4000.213698630132,,
2022-01-25,171.518425,4001.353424657529,,
2022-01-26,171.647991,4002.493150684926,,
2022-01-27,171.02151,4003.632876712323,,
2022-01-28,169.679567,4004.7726027397202,,
2022-01-29,169.727111,4005.9123287671173,,
2022-01-30,169.727111,4007.0520547945143,,
2022-01-31,169.690015,4008.1917808219114,,
2022-02-01,171.424142,4009.3315068493084,,
2022-02-02,172.122335,4010.4712328767055,,
2022-02-03,172.461663,4011.6109589041025,,
2022-02-04,175.302156,4012.7506849314996,,
2022-02-05,175.348823,4013.8904109588966,,
2022-02-06,175.348823,4015.0301369862937,,
2022-02-07,175.401052,4016.1698630136907,,
2022-02-08,175.514516,4017.3095890410877,,
2022-02-09,175.106411,4018.449315068485,,
2022-02-10,175.231181,4019.589041095882,,
2022-02-11,174.969091,4020.728767123279,,
2022-02-12,174.331017,4021.868493150676,,
2022-02-13,174.331017,4023.008219178073,,
2022-02-14,174.395163,4024.14794520547,,
2022-02-15,173.733629,4025.287671232867,,
2022-02-16,174.415139,4026.427397260264,,
