,Rate,Gdp,Import,Export
2021-12-17,924.657046,12528.698630136842,,1490957346.5184562
2021-12-18,923.861507,12528.852054794375,,1490682201.1511028
2021-12-19,923.861507,12529.00547945191,,1490407055.7837493
2021-12-20,924.511241,12529.158904109443,,1490131910.416396
2021-12-21,915.377345,12529.312328766977,,1489856765.0490425
2021-12-22,921.872853,12529.46575342451,,1489581619.681689
2021-12-23,922.382154,12529.619178082045,,1489306474.3143356
2021-12-24,919.049212,12529.772602739578,,1489031328.9469821
2021-12-25,919.705794,12529.926027397112,,1488756183.5796287
2021-12-26,919.705794,12530.079452054646,,1488481038.2122753
2021-12-27,918.01761,12530.23287671218,,1488205892.8449218
2021-12-28,919.607929,12530.386301369714,,1487930747.4775684
2021-12-29,922.196402,12530.539726027248,,1487655602.110215
2021-12-30,922.671805,12530.693150684781,,1487380456.7428615
2021-12-31,921.647202,12530.846575342315,,1487105311.375508
2022-01-01,925.636767,12531.0,,1486830166.00812
2022-01-02,925.636767,12533.487671232877,,1486937915.373961
2022-01-03,925.107178,12535.975342465754,,1487045664.739802
2022-01-04,924.878,12538.46301369863,,1487153414.1056428
2022-01-05,918.813588,12540.950684931508,,1487261163.4714837
2022-01-06,922.211927,12543.438356164384,,1487368912.8373246
2022-01-07,921.825325,12545.926027397261,,1487476662.2031655
2022-01-08,928.822758,12548.413698630138,,1487584411.5690064
2022-01-09,923.012396,12550.901369863015,,1487692160.9348474
2022-01-10,921.610567,12553.389041095892,,1487799910.3006883
2022-01-11,925.326605,12555.876712328769,,1487907659.6665292
2022-01-12,921.040834,12558.364383561646,,1488015409.03237
2022-01-13,933.632591,12560.852054794523,,1488123158.398211
2022-01-14,936.420293,12563.3397260274,,1488230907.764052
2022-01-15,933.271388,12565.827397260276,,1488338657.1298928
2022-01-16,933.271388,12568.315068493153,,1488446406.4957337
2022-01-17,932.630793,12570.80273972603,,1488554155.8615746
2022-01-18,934.441393,12573.290410958907,,1488661905.2274156
2022-01-19,924.380251,12575.778082191784,,1488769654.5932565
2022-01-20,927.601908,12578.265753424661,,1488877403.9590974
2022-01-21,922.909096,12580.753424657538,,1488985153.3249383
2022-01-22,925.731986,12583.241095890415,,1489092902.6907792
2022-01-23,925.731986,12585.728767123292,,1489200652.0566201
2022-01-24,925.101993,12588.216438356169,,1489308401.422461
2022-01-25,922.671168,12590.704109589045,,1489416150.788302
2022-01-26,922.795623,12593.191780821922,,1489523900.1541429
2022-01-27,915.483592,12595.6794520548,,1489631649.5199838
2022-01-28,909.976959,12598.167123287676,,1489739398.8858247
2022-01-29,910.229711,12600.654794520553,,1489847148.2516656
2022-01-30,910.229711,12603.14246575343,,1489954897.6175065
2022-01-31,909.228914,12605.630136986307,,1490062646.9833474
2022-02-01,913.006628,12608.117808219184,,1490170396.3491883
2022-02-02,921.782701,12610.60547945206,,1490278145.7150292
2022-02-03,922.729347,12613.093150684937,,1490385895.0808702
2022-02-04,935.208544,12615.580821917814,,1490493644.446711
2022-02-05,927.406157,12618.068493150691,,1490601393.812552
2022-02-06,927.406157,12620.556164383568,,1490709143.178393
2022-02-07,927.686392,12623.043835616445,,1490816892.5442338
2022-02-08,918.769133,12625.531506849322,,1490924641.9100747
2022-02-09,916.566896,12628.019178082199,,1491032391.2759156
2022-02-10,923.271931,12630.506849315076,,1491140140.6417565
2022-02-11,918.258725,12632.994520547953,,1491247890.0075974
2022-02-12,907.952125,12635.48219178083,,1491355639.3734384
2022-02-13,913.243779,12637.969863013706,,1491463388.7392793
2022-02-14,913.585016,12640.457534246583,,1491571138.1051202
2022-02-15,906.660605,12642.94520547946,,1491678887.470961
2022-02-16,912.41671,12645.432876712337,,1491786636.836802
2022-02-17,914.275415,12647.920547945214,,1491894386.202643
2022-02-18,911.595974,12650.40821917809,,1492002135.5684838
2022-02-19,909.759968,12652.895890410968,,1492109884.9343247
2022-02-20,909.759968,12655.383561643845,,1492217634.3001657
2022-02-21,909.579785,12657.871232876721,,1492325383.6660066
2022-02-22,909.541499,12660.358904109598,,1492433133.0318475
2022-02-23,911.768012,12662.846575342475,,1492540882.3976884
2022-02-24,906.410625,12665.334246575352,,1492648631.7635293
2022-02-25,899.199591,12667.821917808229,,1492756381.1293702
2022-02-26,905.760365,12670.309589041106,,1492864130.4952111
2022-02-27,899.256679,12672.797260273983,,1492971879.861052
2022-02-28,890.934947,12675.28493150686,,1493079629.226893
2022-03-01,905.887386,12677.772602739737,,1493187378.5927339
2022-03-02,903.101884,12680.260273972614,,1493295127.9585748
2022-03-03,905.901193,12682.74794520549,,1493402877.3244157
2022-03-04,887.59171,12685.235616438367,,1493510626.6902566
2022-03-05,884.03538,12687.723287671244,,1493618376.0560975
2022-03-06,884.03538,12690.210958904121,,1493726125.4219384
2022-03-07,876.250695,12692.698630136998,,1493833874.7877793
2022-03-08,873.191565,12695.186301369875,,1493941624.1536202
2022-03-09,881.364128,12697.673972602752,,1494049373.5194612
2022-03-10,888.506486,12700.161643835629,,1494157122.885302
2022-03-11,887.163997,12702.649315068506,,1494264872.251143
2022-03-12,877.87627,12705.136986301382,,1494372621.616984
2022-03-13,877.87627,12707.62465753426,,1494480370.9828248
2022-03-14,878.127986,12710.112328767136,,1494588120.3486657
2022-03-15,882.670163,12712.600000000013,,1494695869.7145066
2022-03-16,883.896611,12715.08767123289,,1494803619.0803475
2022-03-17,888.472489,12717.575342465767,,1494911368.4461884
2022-03-18,895.242722,12720.063013698644,,1495019117.8120294
2022-03-19,898.279738,12722.55068493152,,1495126867.1778703
2022-03-20,898.279738,12725.038356164398,,1495234616.5437112
2022-03-21,897.043957,12727.526027397274,,1495342365.909552
2022-03-22,899.359155,12730.013698630151,,1495450115.275393
2022-03-23,900.03778,12732.501369863028,,1495557864.641234
2022-03-24,896.243011,12734.989041095905,,1495665614.0070748
2022-03-25,901.19028,12737.476712328782,,1495773363.3729157
2022-03-26,897.911322,12739.964383561659,,1495881112.7387567
2022-03-27,900.049188,12742.452054794536,,1495988862.1045976
2022-03-28,898.986542,12744.939726027413,,1496096611.4704385
2022-03-29,899.583202,12747.42739726029,,1496204360.8362794
2022-03-30,911.717841,12749.915068493166,,1496312110.2021203
2022-03-31,905.910534,12752.402739726043,,1496419859.5679612
2022-04-01,902.809865,12754.89041095892,,1496527608.9338021
2022-04-02,904.251536,12757.378082191797,,1496635358.299643
2022-04-03,904.254239,12759.865753424674,,1496743107.665484
2022-04-04,889.322453,12762.353424657551,,1496850857.0313249
2022-04-05,891.433719,12764.841095890428,,1496958606.3971658
2022-04-06,885.58354,12767.328767123305,,1497066355.7630067
