,Rate,Gdp,Import,Export
2021-12-17,17.497486,6129.945205479582,4856858907.621819,5049977603.58329
2021-12-18,17.310873,6132.482191780952,4860754731.042104,5053020952.579205
2021-12-19,17.310873,6135.0191780823225,4864650554.462389,5056064301.575119
2021-12-20,17.314694,6137.556164383693,4868546377.882674,5059107650.5710335
2021-12-21,17.433651,6140.093150685063,4872442201.302959,5062150999.566948
2021-12-22,17.455647,6142.630136986433,4876338024.723245,5065194348.562862
2021-12-23,17.518435,6145.167123287803,4880233848.14353,5068237697.558777
2021-12-24,17.497847,6147.704109589174,4884129671.563815,5071281046.554691
2021-12-25,17.521327,6150.241095890544,4888025494.9841,5074324395.550606
2021-12-26,17.521327,6152.778082191914,4891921318.404386,5077367744.54652
2021-12-27,17.489156,6155.315068493284,4895817141.824671,5080411093.542435
2021-12-28,17.508592,6157.852054794655,4899712965.244956,5083454442.538349
2021-12-29,17.459142,6160.389041096025,4903608788.665241,5086497791.534264
2021-12-30,17.529198,6162.926027397395,4907504612.085526,5089541140.530178
2021-12-31,17.436829,6165.463013698765,4911400435.505812,5092584489.526093
2022-01-01,17.516294,6168.0,4915296258.92618,5095627838.52199
2022-01-02,17.516294,6169.131506849315,4915490051.406434,5095036261.96011
2022-01-03,17.498865,6170.26301369863,4915683843.886688,5094444685.39823
2022-01-04,17.467832,6171.394520547945,4915877636.366942,5093853108.8363495
2022-01-05,17.439891,6172.52602739726,4916071428.847197,5093261532.274469
2022-01-06,17.482264,6173.657534246575,4916265221.327451,5092669955.712589
2022-01-07,17.465293,6174.78904109589,4916459013.807705,5092078379.150709
2022-01-08,17.554248,6175.920547945205,4916652806.287959,5091486802.588829
2022-01-09,17.554248,6177.05205479452,4916846598.768213,5090895226.026949
2022-01-10,17.511726,6178.183561643835,4917040391.248467,5090303649.465069
2022-01-11,17.520921,6179.31506849315,4917234183.728722,5089712072.903189
2022-01-12,17.572019,6180.446575342465,4917427976.208976,5089120496.341309
2022-01-13,17.677013,6181.57808219178,4917621768.68923,5088528919.7794285
2022-01-14,17.714037,6182.709589041095,4917815561.169484,5087937343.217548
2022-01-15,17.638324,6183.84109589041,4918009353.649738,5087345766.655668
2022-01-16,17.638324,6184.972602739725,4918203146.1299925,5086754190.093788
2022-01-17,17.626198,6186.10410958904,4918396938.610247,5086162613.531908
2022-01-18,17.641537,6187.235616438355,4918590731.090501,5085571036.970028
2022-01-19,17.490779,6188.3671232876695,4918784523.570755,5084979460.408148
2022-01-20,17.563688,6189.4986301369845,4918978316.051009,5084387883.846268
2022-01-21,17.464055,6190.6301369862995,4919172108.531263,5083796307.284388
2022-01-22,17.550757,6191.761643835614,4919365901.011518,5083204730.722507
2022-01-23,17.550757,6192.893150684929,4919559693.491772,5082613154.160627
2022-01-24,17.53882,6194.024657534244,4919753485.972026,5082021577.598747
2022-01-25,17.491396,6195.156164383559,4919947278.45228,5081430001.036867
2022-01-26,17.433276,6196.287671232874,4920141070.932534,5080838424.474987
2022-01-27,17.355,6197.419178082189,4920334863.412788,5080246847.913107
2022-01-28,17.218867,6198.550684931504,4920528655.893043,5079655271.351227
2022-01-29,17.223918,6199.682191780819,4920722448.373297,5079063694.789347
2022-01-30,17.223918,6200.813698630134,4920916240.853551,5078472118.227467
2022-01-31,17.219746,6201.945205479449,4921110033.333805,5077880541.665586
2022-02-01,17.370047,6203.076712328764,4921303825.814059,5077288965.103706
2022-02-02,17.420778,6204.208219178079,4921497618.294313,5076697388.541826
2022-02-03,17.455224,6205.339726027394,4921691410.774568,5076105811.979946
2022-02-04,17.69645,6206.471232876709,4921885203.254822,5075514235.418066
2022-02-05,17.689839,6207.602739726024,4922078995.735076,5074922658.856186
2022-02-06,17.689839,6208.734246575339,4922272788.21533,5074331082.294306
2022-02-07,17.69451,6209.865753424654,4922466580.695584,5073739505.732426
2022-02-08,17.688661,6210.997260273969,4922660373.175838,5073147929.170546
2022-02-09,17.646542,6212.128767123284,4922854165.656093,5072556352.608665
2022-02-10,17.502942,6213.260273972599,4923047958.136347,5071964776.046785
2022-02-11,17.612527,6214.391780821914,4923241750.616601,5071373199.484905
2022-02-12,17.535247,6215.523287671229,4923435543.096855,5070781622.923025
2022-02-13,17.535247,6216.654794520544,4923629335.577109,5070190046.361145
2022-02-14,17.541649,6217.786301369859,4923823128.0573635,5069598469.799265
2022-02-15,17.475069,6218.917808219174,4924016920.537618,5069006893.237385
2022-02-16,17.544218,6220.049315068489,4924210713.017872,5068415316.675505
2022-02-17,17.58049,6221.180821917804,4924404505.498126,5067823740.113625
2022-02-18,17.550805,6222.312328767119,4924598297.97838,5067232163.551744
2022-02-19,17.493554,6223.443835616434,4924792090.458634,5066640586.989864
2022-02-20,17.493554,6224.575342465749,4924985882.938889,5066049010.427984
2022-02-21,17.489835,6225.706849315064,4925179675.419143,5065457433.866104
2022-02-22,17.483155,6226.838356164379,4925373467.899397,5064865857.304224
2022-02-23,17.521322,6227.969863013694,4925567260.379651,5064274280.742344
2022-02-24,17.428803,6229.101369863009,4925761052.859905,5063682704.180464
2022-02-25,17.289639,6230.232876712324,4925954845.340159,5063091127.618584
2022-02-26,17.416646,6231.3643835616385,4926148637.820414,5062499551.056704
2022-02-27,17.416646,6232.4958904109535,4926342430.300668,5061907974.494823
2022-02-28,17.255135,6233.6273972602685,4926536222.780922,5061316397.932943
2022-03-01,17.310883,6234.758904109583,4926730015.261176,5060724821.371063
2022-03-02,17.188715,6235.890410958898,4926923807.74143,5060133244.809183
2022-03-03,17.152253,6237.021917808213,4927117600.221684,5059541668.247303
2022-03-04,17.031715,6238.153424657528,4927311392.701939,5058950091.685423
2022-03-05,16.91459,6239.284931506843,4927505185.182193,5058358515.123543
2022-03-06,16.91459,6240.416438356158,4927698977.662447,5057766938.561663
2022-03-07,16.765764,6241.547945205473,4927892770.142701,5057175361.999783
2022-03-08,16.76925,6242.679452054788,4928086562.622955,5056583785.437902
2022-03-09,16.852768,6243.810958904103,4928280355.1032095,5055992208.876022
2022-03-10,17.062713,6244.942465753418,4928474147.583464,5055400632.314142
2022-03-11,16.973944,6246.073972602733,4928667940.063718,5054809055.752262
2022-03-12,16.859487,6247.205479452048,4928861732.543972,5054217479.190382
