,Rate,Gdp,Import,Export
2021-12-17,49.436069,12849.47945205466,8063427007.195203,6058715505.1448555
2021-12-18,49.279478,12853.380821917674,8068812844.869373,6063987746.338429
2021-12-19,49.279478,12857.282191780687,8074198682.543544,6069259987.532003
2021-12-20,49.304788,12861.1835616437,8079584520.217714,6074532228.725576
2021-12-21,49.313078,12865.084931506713,8084970357.891885,6079804469.919149
2021-12-22,49.569807,12868.986301369727,8090356195.566055,6085076711.112723
2021-12-23,49.720276,12872.88767123274,8095742033.240226,6090348952.306297
2021-12-24,49.719776,12876.789041095753,8101127870.914396,6095621193.49987
2021-12-25,49.538137,12880.690410958767,8106513708.588567,6100893434.693443
2021-12-26,49.538137,12884.59178082178,8111899546.262737,6106165675.887017
2021-12-27,49.44364,12888.493150684793,8117285383.936908,6111437917.080591
2021-12-28,49.953528,12892.394520547807,8122671221.611078,6116710158.274164
2021-12-29,49.381585,12896.29589041082,8128057059.285249,6121982399.467737
2021-12-30,49.46498,12900.197260273833,8133442896.959419,6127254640.661311
2021-12-31,49.704197,12904.098630136847,8138828734.63359,6132526881.854885
2022-01-01,49.57634,12908.0,8144214572.30787,6137799123.0485
2022-01-02,49.57634,12911.268493150685,8144142549.864589,6138468775.567134
2022-01-03,49.529292,12914.53698630137,8144070527.421308,6139138428.085768
2022-01-04,49.271546,12917.805479452054,8143998504.978026,6139808080.604402
2022-01-05,48.646171,12921.073972602739,8143926482.534745,6140477733.123035
2022-01-06,48.76703,12924.342465753423,8143854460.091464,6141147385.641669
2022-01-07,49.371188,12927.610958904108,8143782437.648183,6141817038.160303
2022-01-08,49.656531,12930.879452054793,8143710415.204902,6142486690.678937
2022-01-09,49.656531,12934.147945205477,8143638392.7616205,6143156343.197571
2022-01-10,49.762319,12937.416438356162,8143566370.318339,6143825995.716205
2022-01-11,49.761685,12940.684931506847,8143494347.875058,6144495648.2348385
2022-01-12,49.941953,12943.953424657531,8143422325.431777,6145165300.753472
2022-01-13,50.159605,12947.221917808216,8143350302.988496,6145834953.272106
2022-01-14,50.213171,12950.4904109589,8143278280.545215,6146504605.79074
2022-01-15,50.006842,12953.758904109585,8143206258.1019335,6147174258.309374
2022-01-16,50.006842,12957.02739726027,8143134235.658652,6147843910.828008
2022-01-17,49.965895,12960.295890410955,8143062213.215371,6148513563.346642
2022-01-18,50.066754,12963.56438356164,8142990190.77209,6149183215.865275
2022-01-19,49.642758,12966.832876712324,8142918168.328809,6149852868.383909
2022-01-20,49.77115,12970.101369863009,8142846145.885528,6150522520.902543
2022-01-21,49.788636,12973.369863013693,8142774123.442246,6151192173.421177
