,Rate,Gdp,Import,Export
2021-12-17,23.529127,1460304.8904109453,668171650136.386,626539667071.5802
2021-12-18,23.420534,1460715.564383548,668482016570.2104,626793454954.3418
2021-12-19,23.420534,1461126.2383561507,668792383004.0349,627047242837.1035
2021-12-20,23.438161,1461536.9123287534,669102749437.8594,627301030719.8652
2021-12-21,23.415465,1461947.586301356,669413115871.6838,627554818602.6268
2021-12-22,23.506767,1462358.2602739588,669723482305.5083,627808606485.3884
2021-12-23,23.507226,1462768.9342465615,670033848739.3328,628062394368.1501
2021-12-24,23.375633,1463179.6082191642,670344215173.1572,628316182250.9119
2021-12-25,23.381388,1463590.282191767,670654581606.9817,628569970133.6735
2021-12-26,23.381388,1464000.9561643696,670964948040.8062,628823758016.435
2021-12-27,23.367247,1464411.6301369723,671275314474.6306,629077545899.1968
2021-12-28,23.455893,1464822.304109575,671585680908.4551,629331333781.9585
2021-12-29,23.353629,1465232.9780821777,671896047342.2795,629585121664.7201
2021-12-30,23.353454,1465643.6520547804,672206413776.104,629838909547.4817
2021-12-31,23.178298,1466054.326027383,672516780209.9285,630092697430.2434
2022-01-01,23.308415,1466465.0,672827146643.746,630346485313.0
2022-01-02,23.308415,1467361.805479452,672831783840.8354,630399577233.3671
2022-01-03,23.274062,1468258.610958904,672836421037.9249,630452669153.7341
2022-01-04,23.193045,1469155.416438356,672841058235.0144,630505761074.1012
2022-01-05,23.188078,1470052.221917808,672845695432.1039,630558852994.4683
2022-01-06,23.284607,1470949.02739726,672850332629.1934,630611944914.8353
2022-01-07,23.137595,1471845.832876712,672854969826.2828,630665036835.2024
2022-01-08,23.160644,1472742.638356164,672859607023.3723,630718128755.5695
2022-01-09,23.15491,1473639.443835616,672864244220.4618,630771220675.9365
2022-01-10,23.107905,1474536.2493150681,672868881417.5513,630824312596.3036
2022-01-11,23.081501,1475433.0547945201,672873518614.6407,630877404516.6707
2022-01-12,23.182397,1476329.8602739722,672878155811.7302,630930496437.0377
2022-01-13,23.303524,1477226.6657534242,672882793008.8197,630983588357.4048
2022-01-14,23.336536,1478123.4712328762,672887430205.9092,631036680277.7719
2022-01-15,23.180459,1479020.2767123282,672892067402.9987,631089772198.1389
2022-01-16,23.180459,1479917.0821917802,672896704600.0881,631142864118.506
2022-01-17,23.168347,1480813.8876712322,672901341797.1776,631195956038.873
2022-01-18,23.160829,1481710.6931506842,672905978994.2671,631249047959.2401
2022-01-19,23.08115,1482607.4986301363,672910616191.3566,631302139879.6072
2022-01-20,23.276606,1483504.3041095883,672915253388.446,631355231799.9742
2022-01-21,23.228837,1484401.1095890403,672919890585.5355,631408323720.3413
2022-01-22,23.227132,1485297.9150684923,672924527782.625,631461415640.7084
2022-01-23,23.227132,1486194.7205479443,672929164979.7145,631514507561.0754
2022-01-24,23.172331,1487091.5260273963,672933802176.804,631567599481.4425
2022-01-25,23.334863,1487988.3315068483,672938439373.8934,631620691401.8096
2022-01-26,23.306942,1488885.1369863003,672943076570.9829,631673783322.1766
2022-01-27,23.345502,1489781.9424657524,672947713768.0724,631726875242.5437
2022-01-28,23.124015,1490678.7479452044,672952350965.1619,631779967162.9108
2022-01-29,23.193918,1491575.5534246564,672956988162.2513,631833059083.2778
2022-01-30,23.193918,1492472.3589041084,672961625359.3408,631886151003.6449
2022-01-31,23.200351,1493369.1643835604,672966262556.4303,631939242924.012
2022-02-01,23.179865,1494265.9698630124,672970899753.5198,631992334844.379
2022-02-02,23.168865,1495162.7753424644,672975536950.6093,632045426764.7461
2022-02-03,23.288196,1496059.5808219165,672980174147.6987,632098518685.1132
2022-02-04,23.552485,1496956.3863013685,672984811344.7882,632151610605.4802
2022-02-05,23.678506,1497853.1917808205,672989448541.8777,632204702525.8473
2022-02-06,23.678506,1498749.9972602725,672994085738.9672,632257794446.2144
