,Rate,Gdp,Import,Export
2021-12-17,20.10396,14460.164383561954,10199368863.588467,5907461369.863057
2021-12-18,20.086398,14462.353424657846,10205890128.4068,5912347945.205523
2021-12-19,20.086398,14464.542465753737,10212411393.225132,5917234520.547989
2021-12-20,20.097931,14466.731506849628,10218932658.043465,5922121095.890455
2021-12-21,20.043714,14468.92054794552,10225453922.861797,5927007671.232921
2021-12-22,20.122331,14471.10958904141,10231975187.68013,5931894246.575386
2021-12-23,20.150298,14473.298630137302,10238496452.498463,5936780821.917852
2021-12-24,20.160326,14475.487671233193,10245017717.316795,5941667397.260319
2021-12-25,20.214504,14477.676712329085,10251538982.135128,5946553972.602784
2021-12-26,20.214504,14479.865753424976,10258060246.95346,5951440547.94525
2021-12-27,20.177415,14482.054794520867,10264581511.771793,5956327123.287716
2021-12-28,20.192962,14484.243835616759,10271102776.590126,5961213698.630182
2021-12-29,20.099724,14486.43287671265,10277624041.408459,5966100273.972648
2021-12-30,20.060341,14488.621917808541,10284145306.226791,5970986849.315113
2021-12-31,20.102269,14490.810958904432,10290666571.045124,5975873424.657579
2022-01-01,20.240156,14493.0,10297187835.8634,5980760000.0
2022-01-02,20.240156,14499.186301369862,10295936118.066742,5980445671.232877
2022-01-03,20.228589,14505.372602739724,10294684400.270084,5980131342.465754
2022-01-04,20.177152,14511.558904109586,10293432682.473427,5979817013.69863
2022-01-05,20.142958,14517.745205479448,10292180964.67677,5979502684.931507
2022-01-06,20.205102,14523.93150684931,10290929246.880112,5979188356.164384
2022-01-07,20.222834,14530.117808219173,10289677529.083454,5978874027.397261
2022-01-08,20.321989,14536.304109589035,10288425811.286797,5978559698.630137
2022-01-09,20.220559,14542.490410958897,10287174093.490139,5978245369.863014
2022-01-10,20.189847,14548.67671232876,10285922375.693481,5977931041.095891
2022-01-11,20.338837,14554.863013698621,10284670657.896824,5977616712.328768
2022-01-12,20.370821,14561.049315068483,10283418940.100166,5977302383.561645
2022-01-13,20.590448,14567.235616438345,10282167222.303509,5976988054.794521
2022-01-14,20.623534,14573.421917808208,10280915504.506851,5976673726.027398
2022-01-15,20.566182,14579.60821917807,10279663786.710194,5976359397.260275
2022-01-16,20.566182,14585.794520547932,10278412068.913536,5976045068.493152
2022-01-17,20.552339,14591.980821917794,10277160351.116879,5975730739.726028
2022-01-18,20.573813,14598.167123287656,10275908633.32022,5975416410.958905
2022-01-19,20.437646,14604.353424657518,10274656915.523563,5975102082.191782
2022-01-20,20.508181,14610.53972602738,10273405197.726906,5974787753.424659
2022-01-21,20.429337,14616.726027397242,10272153479.930248,5974473424.657536
2022-01-22,20.482537,14622.912328767105,10270901762.13359,5974159095.890412
2022-01-23,20.482537,14629.098630136967,10269650044.336933,5973844767.123289
2022-01-24,20.468604,14635.284931506829,10268398326.540276,5973530438.356166
