,Rate,Gdp,Import,Export
2021-12-17,10.489542,131406.931506851,73195891979.20767,58103127520.05721
2021-12-18,10.480425,131376.6027397277,73233024922.68793,58134592926.928665
2021-12-19,10.480425,131346.27397260442,73270157866.16818,58166058333.80012
2021-12-20,10.487935,131315.94520548114,73307290809.64845,58197523740.67157
2021-12-21,10.465148,131285.61643835786,73344423753.12872,58228989147.54302
2021-12-22,10.472532,131255.28767123458,73381556696.60898,58260454554.414474
2021-12-23,10.466542,131224.9589041113,73418689640.08923,58291919961.28593
2021-12-24,10.482175,131194.630136988,73455822583.5695,58323385368.15738
2021-12-25,10.50163,131164.30136986473,73492955527.04977,58354850775.02883
2021-12-26,10.50163,131133.97260274144,73530088470.53003,58386316181.90028
2021-12-27,10.482192,131103.64383561816,73567221414.01028,58417781588.771736
2021-12-28,10.509234,131073.31506849488,73604354357.49055,58449246995.64319
2021-12-29,10.500443,131042.9863013716,73641487300.97083,58480712402.51464
2021-12-30,10.470785,131012.65753424831,73678620244.45108,58512177809.38609
2021-12-31,10.473496,130982.32876712503,73715753187.93134,58543643216.257545
2022-01-01,10.553142,130952.0,73752886131.4127,58575108623.129
2022-01-02,10.553142,130988.94794520548,73752767293.21574,58584356401.18791
2022-01-03,10.546367,131025.89589041096,73752648455.01878,58593604179.246826
2022-01-04,10.497999,131062.84383561644,73752529616.82182,58602851957.30574
2022-01-05,10.472103,131099.79178082192,73752410778.62486,58612099735.364655
2022-01-06,10.46965,131136.73972602742,73752291940.4279,58621347513.42357
2022-01-07,10.486333,131173.68767123288,73752173102.23094,58630595291.48248
2022-01-08,10.521361,131210.63561643835,73752054264.03398,58639843069.5414
2022-01-09,10.497081,131247.58356164384,73751935425.83702,58649090847.60031
2022-01-10,10.480122,131284.53150684934,73751816587.64006,58658338625.659225
2022-01-11,10.51125,131321.4794520548,73751697749.4431,58667586403.71814
2022-01-12,10.526766,131358.42739726027,73751578911.24614,58676834181.777054
2022-01-13,10.563445,131395.37534246576,73751460073.04918,58686081959.83597
2022-01-14,10.548432,131432.32328767126,73751341234.85222,58695329737.89488
2022-01-15,10.537505,131469.27123287672,73751222396.65526,58704577515.9538
2022-01-16,10.537505,131506.2191780822,73751103558.4583,58713825294.01271
2022-01-17,10.530186,131543.16712328768,73750984720.26134,58723073072.071625
2022-01-18,10.540394,131580.11506849318,73750865882.06438,58732320850.13054
2022-01-19,10.505711,131617.06301369864,73750747043.86742,58741568628.18945
2022-01-20,10.539338,131654.0109589041,73750628205.67046,58750816406.24837
2022-01-21,10.503535,131690.9589041096,73750509367.4735,58760064184.30728
2022-01-22,10.525096,131727.9068493151,73750390529.27654,58769311962.366196
2022-01-23,10.525096,131764.85479452056,73750271691.07957,58778559740.42511
2022-01-24,10.517935,131801.80273972603,73750152852.88261,58787807518.484024
2022-01-25,10.517885,131838.75068493153,73750034014.68565,58797055296.54294
2022-01-26,10.526051,131875.69863013702,73749915176.4887,58806303074.60185
2022-01-27,10.476388,131912.6465753425,73749796338.29173,58815550852.66077
2022-01-28,10.487556,131949.59452054795,73749677500.09477,58824798630.71968
2022-01-29,10.512888,131986.54246575345,73749558661.89781,58834046408.778595
2022-01-30,10.512888,132023.49041095894,73749439823.70085,58843294186.83751
2022-01-31,10.492506,132060.4383561644,73749320985.50389,58852541964.89642
2022-02-01,10.549756,132097.38630136987,73749202147.30693,58861789742.95534
2022-02-02,10.614578,132134.33424657537,73749083309.10997,58871037521.01425
2022-02-03,10.593797,132171.28219178086,73748964470.91301,58880285299.073166
2022-02-04,10.632088,132208.23013698633,73748845632.71605,58889533077.13208
2022-02-05,10.652004,132245.1780821918,73748726794.51909,58898780855.190994
2022-02-06,10.652004,132282.1260273973,73748607956.32213,58908028633.24991
2022-02-07,10.655223,132319.07397260278,73748489118.12517,58917276411.30882
2022-02-08,10.661963,132356.02191780825,73748370279.9282,58926524189.36774
2022-02-09,10.650445,132392.9698630137,73748251441.73125,58935771967.42665
2022-02-10,10.637759,132429.9178082192,73748132603.53429,58945019745.485565
2022-02-11,10.608721,132466.8657534247,73748013765.33733,58954267523.54448
2022-02-12,10.603178,132503.81369863017,73747894927.14037,58963515301.60339
2022-02-13,10.640891,132540.76164383563,73747776088.9434,58972763079.66231
2022-02-14,10.644867,132577.70958904113,73747657250.74644,58982010857.72122
2022-02-15,10.619211,132614.65753424662,73747538412.54948,58991258635.780136
2022-02-16,10.642892,132651.6054794521,73747419574.35252,59000506413.83905
2022-02-17,10.655702,132688.55342465756,73747300736.15556,59009754191.897964
2022-02-18,10.664934,132725.50136986305,73747181897.9586,59019001969.95688
2022-02-19,10.699117,132762.44931506854,73747063059.76164,59028249748.01579
