,Rate,Gdp,Import,Export
2021-12-17,2016.042021,61580.84931506861,,
2021-12-18,2014.298598,61590.32602739738,,
2021-12-19,2014.298598,61599.80273972615,,
2021-12-20,2015.697279,61609.279452054914,,
2021-12-21,2004.350896,61618.75616438368,,
2021-12-22,2007.154759,61628.23287671245,,
2021-12-23,2008.814017,61637.70958904122,,
2021-12-24,2014.679132,61647.186301369984,,
2021-12-25,2016.347807,61656.66301369875,,
2021-12-26,2016.347807,61666.13972602752,,
2021-12-27,2012.648243,61675.61643835629,,
2021-12-28,2015.08478,61685.093150685054,,
2021-12-29,2015.073551,61694.56986301382,,
2021-12-30,2009.425614,61704.04657534259,,
2021-12-31,2013.674086,61713.523287671356,,
2022-01-01,2022.309337,61723.0,,
2022-01-02,2022.309337,61722.29589041096,,
2022-01-03,2021.153614,61721.591780821924,,
2022-01-04,2018.823067,61720.887671232886,,
2022-01-05,2006.168208,61720.18356164385,,
2022-01-06,2012.515084,61719.47945205481,,
2022-01-07,2008.728193,61718.77534246577,,
2022-01-08,2020.225692,61718.07123287673,,
2022-01-09,2010.186983,61717.367123287695,,
2022-01-10,2007.134004,61716.66301369866,,
2022-01-11,2015.038106,61715.95890410962,,
2022-01-12,2016.663607,61715.25479452058,,
2022-01-13,2033.964358,61714.55068493154,,
2022-01-14,2038.001371,61713.846575342504,,
2022-01-15,2029.235543,61713.142465753466,,
2022-01-16,2029.235543,61712.43835616443,,
2022-01-17,2027.86967,61711.73424657539,,
2022-01-18,2029.980053,61711.03013698635,,
2022-01-19,2013.266265,61710.326027397314,,
2022-01-20,2020.09861,61709.621917808276,,
2022-01-21,2010.132946,61708.91780821924,,
2022-01-22,2017.630951,61708.2136986302,,
2022-01-23,2017.630951,61707.50958904116,,
2022-01-24,2016.258514,61706.80547945212,,
2022-01-25,2013.375787,61706.101369863085,,
2022-01-26,2009.339955,61705.39726027405,,
2022-01-27,1997.250061,61704.69315068501,,
2022-01-28,1980.567875,61703.98904109597,,
2022-01-29,1980.983657,61703.28493150693,,
2022-01-30,1980.983657,61702.580821917894,,
2022-01-31,1978.822073,61701.876712328856,,
2022-02-01,1987.061478,61701.17260273982,,
2022-02-02,2005.088388,61700.46849315078,,
2022-02-03,2008.177095,61699.76438356174,,
