,Rate,Gdp,Import,Export
2021-12-17,18.030405,12557.219178082436,7350534160.78142,5319384211.549927
2021-12-18,17.846521,12557.671232876957,7353255169.230338,5322145744.425334
2021-12-19,17.846521,12558.123287671478,7355976177.679256,5324907277.300741
2021-12-20,17.855559,12558.575342466,7358697186.128175,5327668810.176148
2021-12-21,17.805815,12559.027397260521,7361418194.577093,5330430343.051556
2021-12-22,17.929702,12559.479452055042,7364139203.026011,5333191875.926963
2021-12-23,17.926033,12559.931506849563,7366860211.47493,5335953408.80237
2021-12-24,17.809112,12560.383561644085,7369581219.923848,5338714941.677777
2021-12-25,17.600709,12560.835616438606,7372302228.3727665,5341476474.5531845
2021-12-26,17.600709,12561.287671233127,7375023236.821685,5344238007.428592
2021-12-27,17.568307,12561.739726027648,7377744245.270603,5346999540.303999
2021-12-28,17.58767,12562.19178082217,7380465253.7195215,5349761073.179406
2021-12-29,17.730964,12562.643835616691,7383186262.16844,5352522606.054813
2021-12-30,18.051195,12563.095890411212,7385907270.617358,5355284138.930221
2021-12-31,18.059053,12563.547945205733,7388628279.066277,5358045671.805628
2022-01-01,18.137898,12564.0,7391349287.51521,5360807204.68111
2022-01-02,18.137898,12563.55616438356,7393924777.018133,5362001310.111638
2022-01-03,18.126838,12563.112328767122,7396500266.521056,5363195415.542166
2022-01-04,17.909023,12562.668493150682,7399075756.023979,5364389520.972693
2022-01-05,18.071471,12562.224657534243,7401651245.526902,5365583626.403221
2022-01-06,17.974658,12561.780821917804,7404226735.029825,5366777731.833749
2022-01-07,17.747603,12561.336986301365,7406802224.532748,5367971837.2642765
2022-01-08,17.764053,12560.893150684926,7409377714.035671,5369165942.694804
2022-01-09,17.764053,12560.449315068487,7411953203.538594,5370360048.125332
2022-01-10,17.721691,12560.005479452047,7414528693.041517,5371554153.55586
2022-01-11,17.826689,12559.561643835608,7417104182.54444,5372748258.986387
2022-01-12,17.674892,12559.11780821917,7419679672.047363,5373942364.416915
2022-01-13,17.780615,12558.67397260273,7422255161.550286,5375136469.847443
2022-01-14,17.662233,12558.23013698629,7424830651.053209,5376330575.27797
2022-01-15,17.524162,12557.786301369852,7427406140.556132,5377524680.708498
2022-01-16,17.524162,12557.342465753412,7429981630.059055,5378718786.139026
