,Rate,Gdp,Import,Export
2021-12-17,136.206736,41008.09589041014,17268671827.79781,6791524121.574475
2021-12-18,136.088948,41019.75616438274,17277990023.92838,6803729691.709648
2021-12-19,136.088948,41031.41643835534,17287308220.05895,6815935261.844821
2021-12-20,136.186474,41043.076712327944,17296626416.189518,6828140831.979994
2021-12-21,136.893526,41054.736986300544,17305944612.320087,6840346402.115167
2021-12-22,136.479904,41066.397260273145,17315262808.450657,6852551972.2503395
2021-12-23,136.53772,41078.057534245745,17324581004.581226,6864757542.385512
2021-12-24,136.343667,41089.717808218345,17333899200.711796,6876963112.520685
2021-12-25,136.092856,41101.378082190946,17343217396.842365,6889168682.655858
2021-12-26,136.092856,41113.038356163546,17352535592.972935,6901374252.791031
2021-12-27,135.843155,41124.69863013615,17361853789.103504,6913579822.926204
2021-12-28,135.919476,41136.35890410875,17371171985.234074,6925785393.061377
2021-12-29,135.393626,41148.01917808135,17380490181.364643,6937990963.196549
2021-12-30,135.152821,41159.67945205395,17389808377.495213,6950196533.331722
2021-12-31,134.788644,41171.33972602655,17399126573.625782,6962402103.466895
2022-01-01,135.313403,41183.0,17408444769.7564,6974607673.60203
2022-01-02,135.313403,41182.243835616435,17399621159.84214,6975620992.588602
2022-01-03,135.236073,41181.48767123287,17390797549.92788,6976634311.575174
2022-01-04,135.028824,41180.731506849304,17381973940.01362,6977647630.561747
2022-01-05,134.38876,41179.97534246574,17373150330.099358,6978660949.548319
2022-01-06,134.567588,41179.219178082174,17364326720.185097,6979674268.534891
2022-01-07,134.538614,41178.46301369861,17355503110.270836,6980687587.521463
2022-01-08,135.08895,41177.706849315044,17346679500.356575,6981700906.508036
2022-01-09,134.417679,41176.95068493148,17337855890.442314,6982714225.494608
2022-01-10,134.213531,41176.19452054791,17329032280.528053,6983727544.48118
2022-01-11,134.319703,41175.43835616435,17320208670.613792,6984740863.467752
2022-01-12,134.104778,41174.68219178078,17311385060.69953,6985754182.454325
2022-01-13,135.43952,41173.92602739722,17302561450.78527,6986767501.440897
2022-01-14,135.365719,41173.16986301365,17293737840.87101,6987780820.427469
2022-01-15,135.339195,41172.41369863009,17284914230.95675,6988794139.4140415
2022-01-16,135.339195,41171.65753424652,17276090621.04249,6989807458.400614
2022-01-17,135.248099,41170.90136986296,17267267011.128227,6990820777.387186
2022-01-18,135.61634,41170.14520547939,17258443401.213966,6991834096.373758
2022-01-19,135.116139,41169.38904109583,17249619791.299706,6992847415.360331
2022-01-20,135.159933,41168.63287671226,17240796181.385445,6993860734.346903
2022-01-21,134.771744,41167.876712328696,17231972571.471184,6994874053.333475
2022-01-22,135.073121,41167.12054794513,17223148961.556923,6995887372.320047
2022-01-23,135.073121,41166.364383561566,17214325351.642662,6996900691.30662
2022-01-24,134.981241,41165.608219178,17205501741.7284,6997914010.293192
2022-01-25,135.068053,41164.852054794435,17196678131.81414,6998927329.279764
2022-01-26,135.137241,41164.09589041087,17187854521.89988,6999940648.266336
2022-01-27,134.524621,41163.339726027305,17179030911.985619,7000953967.252909
2022-01-28,133.895417,41162.58356164374,17170207302.071358,7001967286.239481
2022-01-29,133.853986,41161.827397260175,17161383692.157097,7002980605.226053
2022-01-30,133.853986,41161.07123287661,17152560082.242836,7003993924.2126255
2022-01-31,133.707929,41160.315068493044,17143736472.328575,7005007243.199198
2022-02-01,133.580211,41159.55890410948,17134912862.414314,7006020562.18577
2022-02-02,134.882174,41158.802739725914,17126089252.500053,7007033881.172342
2022-02-03,135.092347,41158.04657534235,17117265642.585793,7008047200.158915
2022-02-04,136.9248,41157.29041095878,17108442032.671532,7009060519.145487
2022-02-05,136.898756,41156.53424657522,17099618422.75727,7010073838.132059
2022-02-06,136.898756,41155.77808219165,17090794812.84301,7011087157.118631
2022-02-07,136.940198,41155.02191780809,17081971202.92875,7012100476.105204
2022-02-08,136.625601,41154.26575342452,17073147593.014488,7013113795.091776
