,Rate,Gdp,Import,Export
2021-12-17,1.673979,245390.89041096158,73148042016.82391,57379269813.52663
2021-12-18,1.667497,245378.36438356433,73166688222.19421,57386288528.27662
2021-12-19,1.667497,245365.83835616708,73185334427.56451,57393307243.02661
2021-12-20,1.669696,245353.31232876983,73203980632.93481,57400325957.7766
2021-12-21,1.678592,245340.78630137257,73222626838.30511,57407344672.526596
2021-12-22,1.67,245328.26027397532,73241273043.67542,57414363387.27659
2021-12-23,1.667725,245315.73424657807,73259919249.04572,57421382102.02658
2021-12-24,1.661496,245303.20821918081,73278565454.41602,57428400816.77657
2021-12-25,1.663667,245290.68219178356,73297211659.78632,57435419531.526566
2021-12-26,1.663667,245278.1561643863,73315857865.15662,57442438246.27656
2021-12-27,1.660509,245265.63013698906,73334504070.52692,57449456961.02655
2021-12-28,1.662809,245253.1041095918,73353150275.89722,57456475675.77654
2021-12-29,1.662967,245240.57808219455,73371796481.26752,57463494390.526535
2021-12-30,1.657569,245228.0520547973,73390442686.63782,57470513105.27653
2021-12-31,1.657103,245215.52602740005,73409088892.00812,57477531820.02652
2022-01-01,1.662009,245203.0,73427735097.3784,57484550534.7764
2022-01-02,1.662009,245225.55616438357,73413180102.07591,57488781670.16706
2022-01-03,1.657862,245248.11232876714,73398625106.77342,57493012805.557724
2022-01-04,1.665755,245270.6684931507,73384070111.47093,57497243940.94839
2022-01-05,1.658047,245293.22465753427,73369515116.16844,57501475076.33905
2022-01-06,1.666323,245315.78082191784,73354960120.86595,57505706211.72971
2022-01-07,1.673357,245338.3369863014,73340405125.56346,57509937347.12038
2022-01-08,1.676545,245360.89315068498,73325850130.26097,57514168482.51104
2022-01-09,1.675149,245383.44931506854,73311295134.95848,57518399617.9017
2022-01-10,1.674134,245406.0054794521,73296740139.65599,57522630753.292366
2022-01-11,1.674003,245428.56164383568,73282185144.3535,57526861888.68303
2022-01-12,1.673796,245451.11780821925,73267630149.05101,57531093024.07369
2022-01-13,1.670437,245473.67397260282,73253075153.74852,57535324159.464355
2022-01-14,1.673288,245496.23013698639,73238520158.44603,57539555294.85502
2022-01-15,1.678479,245518.78630136995,73223965163.14354,57543786430.24568
2022-01-16,1.678479,245541.34246575352,73209410167.84105,57548017565.636345
2022-01-17,1.677199,245563.8986301371,73194855172.53856,57552248701.02701
2022-01-18,1.678588,245586.45479452066,73180300177.23607,57556479836.41767
2022-01-19,1.671001,245609.01095890423,73165745181.93358,57560710971.808334
2022-01-20,1.674081,245631.5671232878,73151190186.63109,57564942107.199
2022-01-21,1.680843,245654.12328767136,73136635191.3286,57569173242.58966
2022-01-22,1.68713,245676.67945205493,73122080196.02611,57573404377.98032
2022-01-23,1.68713,245699.2356164385,73107525200.72362,57577635513.37099
2022-01-24,1.689507,245721.79178082207,73092970205.42113,57581866648.76165
2022-01-25,1.691698,245744.34794520563,73078415210.11864,57586097784.15231
2022-01-26,1.692373,245766.9041095892,73063860214.81615,57590328919.54298
2022-01-27,1.695599,245789.46027397277,73049305219.51366,57594560054.93364
2022-01-28,1.694605,245812.01643835634,73034750224.21117,57598791190.3243
2022-01-29,1.703938,245834.5726027399,73020195228.90868,57603022325.714966
2022-01-30,1.703938,245857.12876712347,73005640233.60619,57607253461.10563
2022-01-31,1.702392,245879.68493150704,72991085238.3037,57611484596.49629
2022-02-01,1.708214,245902.2410958906,72976530243.0012,57615715731.886955
2022-02-02,1.697532,245924.79726027418,72961975247.69872,57619946867.27762
2022-02-03,1.705499,245947.35342465775,72947420252.39622,57624178002.66828
2022-02-04,1.715696,245969.90958904132,72932865257.09373,57628409138.058945
2022-02-05,1.722018,245992.46575342488,72918310261.79124,57632640273.44961
2022-02-06,1.722018,246015.02191780845,72903755266.48875,57636871408.84027
2022-02-07,1.732129,246037.57808219202,72889200271.18626,57641102544.230934
2022-02-08,1.722905,246060.1342465756,72874645275.88377,57645333679.6216
2022-02-09,1.718028,246082.69041095916,72860090280.58128,57649564815.01226
2022-02-10,1.707466,246105.24657534272,72845535285.2788,57653795950.40292
2022-02-11,1.712062,246127.8027397263,72830980289.9763,57658027085.79359
2022-02-12,1.70823,246150.35890410986,72816425294.67381,57662258221.18425
2022-02-13,1.706805,246172.91506849343,72801870299.37132,57666489356.57491
2022-02-14,1.7134,246195.471232877,72787315304.06883,57670720491.965576
2022-02-15,1.710826,246218.02739726056,72772760308.76634,57674951627.35624
2022-02-16,1.709607,246240.58356164413,72758205313.46385,57679182762.7469
2022-02-17,1.700219,246263.1397260277,72743650318.16136,57683413898.137566
2022-02-18,1.697881,246285.69589041127,72729095322.85887,57687645033.52823
2022-02-19,1.689585,246308.25205479484,72714540327.55638,57691876168.91889
2022-02-20,1.689585,246330.8082191784,72699985332.25389,57696107304.309555
2022-02-21,1.692985,246353.36438356197,72685430336.9514,57700338439.70022
2022-02-22,1.687624,246375.92054794554,72670875341.64891,57704569575.09088
2022-02-23,1.681719,246398.4767123291,72656320346.34642,57708800710.481544
2022-02-24,1.672037,246421.03287671268,72641765351.04393,57713031845.87221
2022-02-25,1.671694,246443.58904109625,72627210355.74144,57717262981.26287
2022-02-26,1.671748,246466.1452054798,72612655360.43895,57721494116.653534
2022-02-27,1.673367,246488.70136986338,72598100365.13646,57725725252.0442
2022-02-28,1.669697,246511.25753424695,72583545369.83397,57729956387.43486
2022-03-01,1.657636,246533.81369863052,72568990374.53148,57734187522.82552
2022-03-02,1.644429,246556.3698630141,72554435379.22899,57738418658.21619
2022-03-03,1.638521,246578.92602739765,72539880383.9265,57742649793.60685
2022-03-04,1.622805,246601.48219178122,72525325388.62401,57746880928.99751
2022-03-05,1.59625,246624.0383561648,72510770393.32152,57751112064.388176
2022-03-06,1.595292,246646.59452054836,72496215398.01903,57755343199.77884
2022-03-07,1.574152,246669.15068493193,72481660402.71654,57759574335.1695
2022-03-08,1.587043,246691.7068493155,72467105407.41405,57763805470.560165
2022-03-09,1.600975,246714.26301369906,72452550412.11156,57768036605.95083
2022-03-10,1.620382,246736.81917808263,72437995416.80907,57772267741.34149
2022-03-11,1.602141,246759.3753424662,72423440421.50658,57776498876.732155
2022-03-12,1.602897,246781.93150684977,72408885426.20409,57780730012.12282
2022-03-13,1.602897,246804.48767123334,72394330430.9016,57784961147.51348
2022-03-14,1.607657,246827.0438356169,72379775435.5991,57789192282.904144
2022-03-15,1.625341,246849.60000000047,72365220440.29662,57793423418.29481
2022-03-16,1.624069,246872.15616438404,72350665444.99413,57797654553.68547
2022-03-17,1.614854,246894.7123287676,72336110449.69164,57801885689.07613
2022-03-18,1.610043,246917.26849315118,72321555454.38914,57806116824.4668
2022-03-19,1.601576,246939.82465753474,72307000459.08665,57810347959.85746
2022-03-20,1.601576,246962.3808219183,72292445463.78416,57814579095.24812
2022-03-21,1.598435,246984.93698630188,72277890468.48167,57818810230.63879
2022-03-22,1.600629,247007.49315068545,72263335473.17918,57823041366.02945
2022-03-23,1.584127,247030.04931506902,72248780477.8767,57827272501.42011
2022-03-24,1.579258,247052.60547945258,72234225482.5742,57831503636.810776
2022-03-25,1.580843,247075.16164383615,72219670487.27171,57835734772.20144
2022-03-26,1.572498,247097.71780821972,72205115491.96922,57839965907.5921
2022-03-27,1.575045,247120.2739726033,72190560496.66673,57844197042.982765
2022-03-28,1.593258,247142.83013698686,72176005501.36424,57848428178.37343
2022-03-29,1.600886,247165.38630137042,72161450506.06175,57852659313.76409
2022-03-30,1.598293,247187.942465754,72146895510.75926,57856890449.154755
2022-03-31,1.598866,247210.49863013756,72132340515.45677,57861121584.54542
2022-04-01,1.597138,247233.05479452113,72117785520.15428,57865352719.93608
2022-04-02,1.594179,247255.6109589047,72103230524.85179,57869583855.326744
2022-04-03,1.594183,247278.16712328827,72088675529.5493,57873814990.71741
2022-04-04,1.576424,247300.72328767183,72074120534.24681,57878046126.10807
2022-04-05,1.567056,247323.2794520554,72059565538.94432,57882277261.49873
2022-04-06,1.573848,247345.83561643897,72045010543.64183,57886508396.8894
2022-04-07,1.577094,247368.39178082254,72030455548.33934,57890739532.28006
2022-04-08,1.578459,247390.9479452061,72015900553.03685,57894970667.67072
2022-04-09,1.585831,247413.50410958967,72001345557.73436,57899201803.061386
2022-04-10,1.585831,247436.06027397324,71986790562.43187,57903432938.45205
2022-04-11,1.59323,247458.6164383568,71972235567.12938,57907664073.84271
2022-04-12,1.594858,247481.17260274038,71957680571.82689,57911895209.233376
2022-04-13,1.579399,247503.72876712395,71943125576.5244,57916126344.62404
2022-04-14,1.599421,247526.28493150751,71928570581.22191,57920357480.0147
2022-04-15,1.594976,247548.84109589108,71914015585.91942,57924588615.405365
