,Rate,Gdp,Import,Export
2021-12-17,465.510787,475013.45205479977,,68341733206.52889
2021-12-18,460.942185,475110.4219178135,,68391693077.85662
2021-12-19,460.942185,475207.3917808272,,68441652949.18435
2021-12-20,465.436178,475304.3616438409,,68491612820.51208
2021-12-21,462.816955,475401.3315068546,,68541572691.839806
2021-12-22,464.221611,475498.30136986834,,68591532563.167534
2021-12-23,466.213805,475595.27123288205,,68641492434.49526
2021-12-24,465.675264,475692.24109589576,,68691452305.82299
2021-12-25,466.0223,475789.2109589095,,68741412177.15073
2021-12-26,466.0223,475886.1808219232,,68791372048.47845
2021-12-27,465.167049,475983.1506849369,,68841331919.80618
2021-12-28,465.692724,476080.1205479506,,68891291791.13391
2021-12-29,465.801989,476177.09041096433,,68941251662.46164
2021-12-30,467.610448,476274.06027397804,,68991211533.78937
2021-12-31,465.636078,476371.03013699176,,69041171405.1171
2022-01-01,468.447486,476468.0,,69091131276.4452
2022-01-02,468.447486,476159.36438356165,,69066940285.00613
2022-01-03,468.179638,475850.7287671233,,69042749293.56706
2022-01-04,466.677909,475542.09315068496,,69018558302.12799
2022-01-05,465.886287,475233.4575342466,,68994367310.68892
2022-01-06,467.106494,474924.82191780827,,68970176319.24985
2022-01-07,466.606566,474616.1863013699,,68945985327.81078
2022-01-08,469.476999,474307.5506849316,,68921794336.3717
2022-01-09,469.476999,473998.9150684932,,68897603344.93263
2022-01-10,464.539761,473690.2794520549,,68873412353.49356
2022-01-11,468.77499,473381.64383561653,,68849221362.05449
2022-01-12,470.410839,473073.0082191782,,68825030370.61542
2022-01-13,473.612785,472764.37260273984,,68800839379.17635
2022-01-14,474.774509,472455.7369863015,,68776648387.73727
2022-01-15,472.958516,472147.10136986314,,68752457396.2982
2022-01-16,472.958516,471838.4657534248,,68728266404.85913
2022-01-17,469.331356,471529.83013698645,,68704075413.42006
2022-01-18,473.042881,471221.1945205481,,68679884421.98099
2022-01-19,469.258642,470912.55890410976,,68655693430.541916
2022-01-20,471.095048,470603.9232876714,,68631502439.102844
2022-01-21,469.028049,470295.28767123306,,68607311447.66377
2022-01-22,470.750826,469986.6520547947,,68583120456.2247
2022-01-23,470.750826,469678.01643835637,,68558929464.78563
2022-01-24,470.429916,469369.380821918,,68534738473.34656
2022-01-25,470.788477,469060.7452054797,,68510547481.907486
2022-01-26,469.165992,468752.1095890413,,68486356490.468414
2022-01-27,466.525628,468443.473972603,,68462165499.02934
2022-01-28,463.054985,468134.83835616463,,68437974507.59027
2022-01-29,463.373781,467826.2027397263,,68413783516.1512
