,Rate,Gdp,Import,Export
2021-12-17,61.590404,13959.095890411034,12940670538.115517,10085504510.074194
2021-12-18,61.619562,13958.956164383637,12945132204.751438,10088010264.408577
2021-12-19,61.619562,13958.81643835624,12949593871.38736,10090516018.74296
2021-12-20,61.648713,13958.676712328843,12954055538.023281,10093021773.077343
2021-12-21,61.629562,13958.536986301446,12958517204.659203,10095527527.411726
2021-12-22,61.667346,13958.397260274049,12962978871.295124,10098033281.746109
2021-12-23,61.598181,13958.257534246652,12967440537.931046,10100539036.080492
2021-12-24,61.610138,13958.117808219255,12971902204.566967,10103044790.414875
2021-12-25,61.67421,13957.978082191858,12976363871.202888,10105550544.749258
2021-12-26,61.67421,13957.83835616446,12980825537.83881,10108056299.083641
2021-12-27,61.561051,13957.698630137063,12985287204.474731,10110562053.418024
2021-12-28,61.606137,13957.558904109666,12989748871.110653,10113067807.752407
2021-12-29,61.617288,13957.41917808227,12994210537.746574,10115573562.08679
2021-12-30,61.618847,13957.279452054872,12998672204.382496,10118079316.421173
2021-12-31,61.604663,13957.139726027475,13003133871.018417,10120585070.755556
2022-01-01,61.922417,13957.0,13007595537.6541,10123090825.09
2022-01-02,61.922417,13961.972602739726,13006877494.839443,10124645568.180868
2022-01-03,61.88703,13966.945205479453,13006159452.024786,10126200311.271736
2022-01-04,61.624899,13971.91780821918,13005441409.210129,10127755054.362604
2022-01-05,61.619843,13976.890410958906,13004723366.395472,10129309797.453472
2022-01-06,61.643498,13981.863013698632,13004005323.580814,10130864540.54434
2022-01-07,61.616819,13986.835616438359,13003287280.766157,10132419283.635208
2022-01-08,61.932215,13991.808219178085,13002569237.9515,10133974026.726076
2022-01-09,61.623105,13996.780821917811,13001851195.136843,10135528769.816944
2022-01-10,61.529514,14001.753424657538,13001133152.322186,10137083512.907812
2022-01-11,61.644218,14006.726027397264,13000415109.507528,10138638255.99868
2022-01-12,61.633281,14011.69863013699,12999697066.692871,10140192999.089548
2022-01-13,61.618404,14016.671232876717,12998979023.878214,10141747742.180416
2022-01-14,61.61298,14021.643835616444,12998260981.063557,10143302485.271284
2022-01-15,61.404752,14026.61643835617,12997542938.2489,10144857228.362152
2022-01-16,61.404752,14031.589041095896,12996824895.434242,10146411971.45302
2022-01-17,61.363421,14036.561643835623,12996106852.619585,10147966714.543888
2022-01-18,61.670143,14041.53424657535,12995388809.804928,10149521457.634756
2022-01-19,61.578382,14046.506849315076,12994670766.99027,10151076200.725624
2022-01-20,61.714038,14051.479452054802,12993952724.175613,10152630943.816492
2022-01-21,61.568104,14056.452054794529,12993234681.360956,10154185686.90736
2022-01-22,61.711826,14061.424657534255,12992516638.546299,10155740429.998228
2022-01-23,61.711826,14066.397260273981,12991798595.731642,10157295173.089096
2022-01-24,61.669848,14071.369863013708,12991080552.916985,10158849916.179964
2022-01-25,61.596636,14076.342465753434,12990362510.102327,10160404659.270832
2022-01-26,61.606689,14081.31506849316,12989644467.28767,10161959402.3617
2022-01-27,61.587382,14086.287671232887,12988926424.473013,10163514145.452568
2022-01-28,61.62774,14091.260273972614,12988208381.658356,10165068888.543436
2022-01-29,61.673672,14096.23287671234,12987490338.843699,10166623631.634304
2022-01-30,61.673672,14101.205479452066,12986772296.029041,10168178374.725172
2022-01-31,61.608311,14106.178082191793,12986054253.214384,10169733117.81604
2022-02-01,61.720425,14111.15068493152,12985336210.399727,10171287860.906908
2022-02-02,61.647007,14116.123287671246,12984618167.58507,10172842603.997776
2022-02-03,61.748269,14121.095890410972,12983900124.770412,10174397347.088644
2022-02-04,61.703539,14126.068493150698,12983182081.955755,10175952090.179512
2022-02-05,61.493065,14131.041095890425,12982464039.141098,10177506833.27038
2022-02-06,61.493065,14136.013698630151,12981745996.32644,10179061576.361248
2022-02-07,61.511679,14140.986301369878,12981027953.511784,10180616319.452116
2022-02-08,61.646503,14145.958904109604,12980309910.697126,10182171062.542984
2022-02-09,61.620991,14150.93150684933,12979591867.88247,10183725805.633852
2022-02-10,61.620385,14155.904109589057,12978873825.067812,10185280548.72472
2022-02-11,61.48004,14160.876712328783,12978155782.253155,10186835291.815588
2022-02-12,61.386047,14165.84931506851,12977437739.438498,10188390034.906456
2022-02-13,61.630525,14170.821917808236,12976719696.62384,10189944777.997324
2022-02-14,61.653553,14175.794520547963,12976001653.809183,10191499521.088192
2022-02-15,61.643469,14180.76712328769,12975283610.994526,10193054264.17906
2022-02-16,61.659213,14185.739726027416,12974565568.179869,10194609007.269928
2022-02-17,61.631139,14190.712328767142,12973847525.365211,10196163750.360796
2022-02-18,61.602908,14195.684931506868,12973129482.550554,10197718493.451664
2022-02-19,61.508103,14200.657534246595,12972411439.735897,10199273236.542532
2022-02-20,61.508103,14205.630136986321,12971693396.92124,10200827979.6334
