,Rate,Gdp,Import,Export
2021-12-17,10.178699,592478.9589041065,160841675828.9214,319405109231.48804
2021-12-18,10.160144,592733.5616438326,160895848120.7459,319703108698.84143
2021-12-19,10.160144,592988.1643835586,160950020412.57043,320001108166.1948
2021-12-20,10.188202,593242.7671232845,161004192704.39496,320299107633.54816
2021-12-21,10.19865,593497.3698630106,161058364996.21948,320597107100.9015
2021-12-22,10.094274,593751.9726027367,161112537288.044,320895106568.2549
2021-12-23,10.062584,594006.5753424626,161166709579.86853,321193106035.6083
2021-12-24,9.997734,594261.1780821886,161220881871.69305,321491105502.9616
2021-12-25,10.032051,594515.7808219147,161275054163.51758,321789104970.31494
2021-12-26,10.032051,594770.3835616407,161329226455.3421,322087104437.66833
2021-12-27,10.013782,595024.9863013667,161383398747.16663,322385103905.0217
2021-12-28,10.016694,595279.5890410927,161437571038.99115,322683103372.37506
2021-12-29,9.967801,595534.1917808187,161491743330.81567,322981102839.7284
2021-12-30,9.965157,595788.7945205448,161545915622.6402,323279102307.0818
2021-12-31,9.991377,596043.3972602708,161600087914.46472,323577101774.4352
2022-01-01,10.027286,596298.0,161654260206.293,323875101241.784
2022-01-02,10.027286,595987.4575342466,161640757091.27573,323620324384.5801
2022-01-03,10.006571,595676.9150684932,161627253976.25845,323365547527.37616
2022-01-04,10.016012,595366.3726027398,161613750861.24118,323110770670.17224
2022-01-05,10.005476,595055.8301369864,161600247746.2239,322855993812.9683
2022-01-06,10.017873,594745.2876712331,161586744631.20663,322601216955.7644
2022-01-07,10.038416,594434.7452054797,161573241516.18936,322346440098.5605
2022-01-08,10.037432,594124.2027397263,161559738401.1721,322091663241.35657
2022-01-09,10.04513,593813.6602739729,161546235286.15482,321836886384.15265
2022-01-10,10.027228,593503.1178082195,161532732171.13754,321582109526.9487
2022-01-11,10.039944,593192.5753424661,161519229056.12027,321327332669.7448
2022-01-12,9.961952,592882.0328767127,161505725941.103,321072555812.5409
2022-01-13,9.915876,592571.4904109593,161492222826.08572,320817778955.337
