,Rate,Gdp,Import,Export
2021-12-17,0.436031,108927.15068493292,46292463081.38999,68541057900.50106
2021-12-18,0.435726,108988.87397260415,46318392504.05241,68603825743.1868
2021-12-19,0.435726,109050.59726027539,46344321926.71482,68666593585.872536
2021-12-20,0.433033,109112.32054794663,46370251349.377235,68729361428.55827
2021-12-21,0.434358,109174.04383561786,46396180772.03965,68792129271.24402
2021-12-22,0.434696,109235.7671232891,46422110194.702065,68854897113.92975
2021-12-23,0.436071,109297.49041096034,46448039617.36448,68917664956.61548
2021-12-24,0.436034,109359.21369863157,46473969040.02689,68980432799.30122
2021-12-25,0.436478,109420.93698630281,46499898462.68931,69043200641.98697
2021-12-26,0.436478,109482.66027397405,46525827885.35172,69105968484.6727
2021-12-27,0.435678,109544.38356164529,46551757308.01414,69168736327.35843
2021-12-28,0.435985,109606.10684931652,46577686730.67655,69231504170.04417
2021-12-29,0.43502,109667.83013698776,46603616153.33897,69294272012.72992
2021-12-30,0.436859,109729.553424659,46629545576.00138,69357039855.41565
2021-12-31,0.435945,109791.27671233023,46655474998.663795,69419807698.10138
2022-01-01,0.437796,109853.0,46681404421.3264,69482575540.7878
2022-01-02,0.437796,109842.15890410959,46683406665.83537,69469607078.31451
2022-01-03,0.437546,109831.31780821917,46685408910.344345,69456638615.84123
2022-01-04,0.435124,109820.47671232876,46687411154.85332,69443670153.36795
2022-01-05,0.434572,109809.63561643835,46689413399.36229,69430701690.89467
2022-01-06,0.435662,109798.79452054793,46691415643.87126,69417733228.42139
2022-01-07,0.434942,109787.95342465752,46693417888.38023,69404764765.9481
2022-01-08,0.437438,109777.1123287671,46695420132.889206,69391796303.47482
2022-01-09,0.437438,109766.2712328767,46697422377.39818,69378827841.00154
2022-01-10,0.436773,109755.43013698628,46699424621.90715,69365859378.52826
2022-01-11,0.436322,109744.58904109587,46701426866.41612,69352890916.05498
2022-01-12,0.437894,109733.74794520545,46703429110.925095,69339922453.5817
2022-01-13,0.440446,109722.90684931504,46705431355.43407,69326953991.10841
2022-01-14,0.441418,109712.06575342463,46707433599.94304,69313985528.63513
2022-01-15,0.439533,109701.22465753421,46709435844.45201,69301017066.16185
2022-01-16,0.439492,109690.3835616438,46711438088.96098,69288048603.68857
2022-01-17,0.439196,109679.54246575339,46713440333.469955,69275080141.21529
2022-01-18,0.439611,109668.70136986297,46715442577.97893,69262111678.742
2022-01-19,0.435891,109657.86027397256,46717444822.4879,69249143216.26872
2022-01-20,0.43744,109647.01917808215,46719447066.99687,69236174753.79544
2022-01-21,0.435158,109636.17808219173,46721449311.505844,69223206291.32216
2022-01-22,0.436567,109625.33698630132,46723451556.01482,69210237828.84888
2022-01-23,0.436567,109614.49589041091,46725453800.52379,69197269366.3756
2022-01-24,0.43627,109603.6547945205,46727456045.03276,69184300903.90231
2022-01-25,0.43587,109592.81369863008,46729458289.54173,69171332441.42903
2022-01-26,0.435107,109581.97260273967,46731460534.050705,69158363978.95575
2022-01-27,0.432478,109571.13150684925,46733462778.55968,69145395516.48247
2022-01-28,0.429087,109560.29041095884,46735465023.06865,69132427054.00919
