,Rate,Gdp,Import,Export
2021-12-17,201.83068,373766.3424657573,83425695277.35475,38828893972.60208
2021-12-18,201.656141,373838.5863013737,83485028170.8911,38838085041.09523
2021-12-19,201.656141,373910.8301369902,83544361064.42744,38847276109.58838
2021-12-20,201.800656,373983.0739726066,83603693957.96379,38856467178.08153
2021-12-21,200.913282,374055.3178082231,83663026851.50014,38865658246.57468
2021-12-22,201.083899,374127.5616438395,83722359745.03648,38874849315.067825
2021-12-23,201.700528,374199.805479456,83781692638.57283,38884040383.560974
2021-12-24,201.703826,374272.0493150724,83841025532.10918,38893231452.05412
2021-12-25,201.976496,374344.29315068887,83900358425.64552,38902422520.54727
2021-12-26,201.976496,374416.5369863053,83959691319.18187,38911613589.04042
2021-12-27,201.604784,374488.78082192177,84019024212.71822,38920804657.53357
2021-12-28,192.974354,374561.0246575382,84078357106.25456,38929995726.02672
2021-12-29,202.357304,374633.26849315467,84137689999.79091,38939186794.51987
2021-12-30,201.820169,374705.5123287711,84197022893.32726,38948377863.013016
2021-12-31,201.822883,374777.75616438757,84256355786.8636,38957568931.506165
2022-01-01,202.696598,374850.0,84315688680.3991,38966760000.0
2022-01-02,202.696598,374748.3671232877,84252442892.96782,38959219692.58512
2022-01-03,202.580266,374646.7342465754,84189197105.53654,38951679385.17024
2022-01-04,200.095701,374545.1013698631,84125951318.10527,38944139077.75536
2022-01-05,199.448655,374443.4684931508,84062705530.674,38936598770.340485
2022-01-06,199.887913,374341.8356164385,83999459743.24272,38929058462.925606
2022-01-07,200.05698,374240.20273972617,83936213955.81145,38921518155.51073
2022-01-08,201.102378,374138.56986301386,83872968168.38017,38913977848.09585
2022-01-09,199.66196,374036.93698630156,83809722380.9489,38906437540.68097
2022-01-10,199.358722,373935.30410958925,83746476593.51762,38898897233.26609
2022-01-11,200.309277,373833.67123287695,83683230806.08635,38891356925.85121
2022-01-12,200.913121,373732.03835616464,83619985018.65508,38883816618.43633
2022-01-13,201.657836,373630.40547945234,83556739231.2238,38876276311.021454
2022-01-14,202.138072,373528.77260274003,83493493443.79253,38868736003.606575
2022-01-15,201.095233,373427.13972602773,83430247656.36125,38861195696.191696
2022-01-16,201.095233,373325.5068493154,83367001868.92998,38853655388.77682
2022-01-17,200.959801,373223.8739726031,83303756081.4987,38846115081.36194
2022-01-18,200.942845,373122.2410958908,83240510294.06743,38838574773.94706
2022-01-19,199.358502,373020.6082191785,83177264506.63615,38831034466.53218
2022-01-20,200.232773,372918.9753424662,83114018719.20488,38823494159.1173
2022-01-21,199.445865,372817.3424657539,83050772931.7736,38815953851.70242
2022-01-22,200.093071,372715.7095890416,82987527144.34233,38808413544.287544
2022-01-23,200.093071,372614.0767123293,82924281356.91106,38800873236.872665
2022-01-24,199.956922,372512.443835617,82861035569.47978,38793332929.45779
2022-01-25,199.760444,372410.8109589047,82797789782.04851,38785792622.04291
2022-01-26,199.574413,372309.1780821924,82734543994.61723,38778252314.62803
2022-01-27,198.935363,372207.54520548007,82671298207.18596,38770712007.21315
2022-01-28,197.207492,372105.91232876776,82608052419.75468,38763171699.79827
2022-01-29,197.262402,372004.27945205546,82544806632.32341,38755631392.38339
2022-01-30,197.262402,371902.64657534315,82481560844.89214,38748091084.96851
2022-01-31,196.657968,371801.01369863085,82418315057.46086,38740550777.553635
2022-02-01,197.365011,371699.38082191854,82355069270.02959,38733010470.138756
2022-02-02,198.958389,371597.74794520624,82291823482.59831,38725470162.72388
2022-02-03,199.325542,371496.11506849393,82228577695.16704,38717929855.309
2022-02-04,201.46908,371394.48219178163,82165331907.73576,38710389547.89412
2022-02-05,199.850646,371292.8493150693,82102086120.30449,38702849240.47924
2022-02-06,199.850646,371191.216438357,82038840332.87321,38695308933.06436
2022-02-07,199.910934,371089.5835616447,81975594545.44194,38687768625.64948
2022-02-08,199.943805,370987.9506849324,81912348758.01067,38680228318.234604
2022-02-09,199.008022,370886.3178082201,81849102970.57939,38672688010.819725
2022-02-10,199.325892,370784.6849315078,81785857183.14812,38665147703.40485
2022-02-11,199.782492,370683.0520547955,81722611395.71684,38657607395.98997
2022-02-12,198.444626,370581.4191780832,81659365608.28557,38650067088.57509
2022-02-13,199.011895,370479.7863013709,81596119820.8543,38642526781.16021
2022-02-14,199.086257,370378.1534246586,81532874033.42302,38634986473.74533
2022-02-15,197.771118,370276.5205479463,81469628245.99174,38627446166.33045
2022-02-16,198.55021,370174.88767123397,81406382458.56047,38619905858.91557
2022-02-17,199.983132,370073.25479452166,81343136671.1292,38612365551.500694
2022-02-18,199.249056,369971.62191780936,81279890883.69792,38604825244.085815
2022-02-19,198.538903,369869.98904109705,81216645096.26665,38597284936.67094
2022-02-20,198.538903,369768.35616438475,81153399308.83537,38589744629.25606
2022-02-21,198.500415,369666.72328767244,81090153521.4041,38582204321.84118
2022-02-22,199.582785,369565.09041096014,81026907733.97282,38574664014.4263
2022-02-23,198.730439,369463.45753424783,80963661946.54155,38567123707.01142
2022-02-24,198.824603,369361.82465753553,80900416159.11028,38559583399.59654
2022-02-25,197.242392,369260.1917808232,80837170371.679,38552043092.18166
