,Rate,Gdp,Import,Export
2021-12-17,1.132593,76148.36986301382,34397463880.82199,35380572476.85571
2021-12-18,1.131608,76173.34520547958,34421554788.7672,35403024153.10933
2021-12-19,1.131608,76198.32054794533,34445645696.7124,35425475829.362946
2021-12-20,1.132419,76223.29589041109,34469736604.65761,35447927505.61656
2021-12-21,1.127231,76248.27123287684,34493827512.60281,35470379181.87018
2021-12-22,1.128938,76273.2465753426,34517918420.54802,35492830858.123795
2021-12-23,1.129792,76298.22191780835,34542009328.493225,35515282534.37741
2021-12-24,1.13311,76323.1972602741,34566100236.43843,35537734210.63103
2021-12-25,1.134074,76348.17260273985,34590191144.38364,35560185886.88464
2021-12-26,1.134074,76373.14794520561,34614282052.32884,35582637563.13826
2021-12-27,1.131993,76398.12328767136,34638372960.27405,35605089239.39188
2021-12-28,1.133474,76423.09863013712,34662463868.21925,35627540915.64549
2021-12-29,1.133352,76448.07397260287,34686554776.16446,35649992591.89911
2021-12-30,1.130131,76473.04931506862,34710645684.109665,35672444268.152725
2021-12-31,1.132525,76498.02465753438,34734736592.05487,35694895944.40634
2022-01-01,1.137387,76523.0,34758827500.0,35717347620.66
2022-01-02,1.137387,76541.79178082192,34761901127.945206,35723342386.964165
2022-01-03,1.136737,76560.58356164384,34764974755.89041,35729337153.268326
2022-01-04,1.135481,76579.37534246576,34768048383.83562,35735331919.57249
2022-01-05,1.128303,76598.16712328768,34771122011.78082,35741326685.87665
2022-01-06,1.131863,76616.9589041096,34774195639.72603,35747321452.18081
2022-01-07,1.129753,76635.75068493153,34777269267.671234,35753316218.48497
2022-01-08,1.13622,76654.54246575345,34780342895.61644,35759310984.78913
2022-01-09,1.130549,76673.33424657537,34783416523.561646,35765305751.09329
2022-01-10,1.128722,76692.12602739729,34786490151.50685,35771300517.39745
2022-01-11,1.133142,76710.91780821921,34789563779.45206,35777295283.701614
2022-01-12,1.134226,76729.70958904113,34792637407.39726,35783290050.005775
2022-01-13,1.143982,76748.50136986305,34795711035.34247,35789284816.30994
2022-01-14,1.146227,76767.29315068497,34798784663.287674,35795279582.6141
2022-01-15,1.141292,76786.08493150689,34801858291.23288,35801274348.91826
2022-01-16,1.141292,76804.87671232881,34804931919.178085,35807269115.22242
2022-01-17,1.140524,76823.66849315073,34808005547.12329,35813263881.52658
2022-01-18,1.141706,76842.46027397265,34811079175.0685,35819258647.83074
2022-01-19,1.132336,76861.25205479458,34814152803.0137,35825253414.1349
2022-01-20,1.136178,76880.0438356165,34817226430.95891,35831248180.439064
2022-01-21,1.130633,76898.83561643842,34820300058.90411,35837242946.743225
2022-01-22,1.13478,76917.62739726034,34823373686.84932,35843237713.047386
2022-01-23,1.13478,76936.41917808226,34826447314.794525,35849232479.35155
2022-01-24,1.134009,76955.21095890418,34829520942.73973,35855227245.65571
2022-01-25,1.132362,76974.0027397261,34832594570.68494,35861222011.95987
2022-01-26,1.130077,76992.79452054802,34835668198.63014,35867216778.26403
2022-01-27,1.123338,77011.58630136994,34838741826.57535,35873211544.56819
2022-01-28,1.113945,77030.37808219186,34841815454.52055,35879206310.87235
2022-01-29,1.114179,77049.16986301378,34844889082.46576,35885201077.17651
2022-01-30,1.114179,77067.9616438357,34847962710.410965,35891195843.480675
2022-01-31,1.113008,77086.75342465763,34851036338.35617,35897190609.784836
2022-02-01,1.117637,77105.54520547955,34854109966.30138,35903185376.089
2022-02-02,1.127711,77124.33698630147,34857183594.24658,35909180142.39316
2022-02-03,1.129453,77143.12876712339,34860257222.19179,35915174908.69732
2022-02-04,1.144259,77161.92054794531,34863330850.13699,35921169675.00148
2022-02-05,1.14534,77180.71232876723,34866404478.0822,35927164441.30564
2022-02-06,1.14534,77199.50410958915,34869478106.027405,35933159207.6098
2022-02-07,1.145686,77218.29589041107,34872551733.97261,35939153973.91396
2022-02-08,1.143956,77237.08767123299,34875625361.917816,35945148740.218124
2022-02-09,1.141503,77255.87945205491,34878698989.86302,35951143506.522285
2022-02-10,1.141822,77274.67123287683,34881772617.80823,35957138272.82645
2022-02-11,1.1399,77293.46301369875,34884846245.75343,35963133039.13061
2022-02-12,1.135104,77312.25479452068,34887919873.69864,35969127805.43477
2022-02-13,1.13951,77331.0465753426,34890993501.643845,35975122571.73893
2022-02-14,1.139935,77349.83835616452,34894067129.58905,35981117338.04309
2022-02-15,1.131548,77368.63013698644,34897140757.534256,35987112104.34725
2022-02-16,1.135414,77387.42191780836,34900214385.47946,35993106870.65141
2022-02-17,1.138133,77406.21369863028,34903288013.42467,35999101636.955574
2022-02-18,1.135313,77425.0054794522,34906361641.36987,36005096403.259735
2022-02-19,1.132381,77443.79726027412,34909435269.31508,36011091169.563896
2022-02-20,1.132381,77462.58904109604,34912508897.260284,36017085935.86806
2022-02-21,1.132162,77481.38082191796,34915582525.20549,36023080702.17222
2022-02-22,1.131547,77500.17260273988,34918656153.150696,36029075468.47638
2022-02-23,1.133137,77518.9643835618,34921729781.0959,36035070234.78054
2022-02-24,1.128012,77537.75616438373,34924803409.04111,36041065001.0847
2022-02-25,1.119357,77556.54794520565,34927877036.98631,36047059767.38886
2022-02-26,1.124704,77575.33972602757,34930950664.93152,36053054533.69302
2022-02-27,1.11896,77594.13150684949,34934024292.876724,36059049299.997185
2022-02-28,1.108605,77612.92328767141,34937097920.82193,36065044066.301346
2022-03-01,1.120903,77631.71506849333,34940171548.767136,36071038832.60551
2022-03-02,1.112219,77650.50684931525,34943245176.71234,36077033598.90967
2022-03-03,1.109853,77669.29863013717,34946318804.65755,36083028365.21383
2022-03-04,1.10446,77688.09041095909,34949392432.60275,36089023131.51799
2022-03-05,1.100071,77706.88219178101,34952466060.54796,36095017897.82215
2022-03-06,1.100071,77725.67397260293,34955539688.493164,36101012664.12631
2022-03-07,1.090383,77744.46575342485,34958613316.43837,36107007430.43047
2022-03-08,1.083412,77763.25753424678,34961686944.383575,36113002196.734634
2022-03-09,1.088978,77782.0493150687,34964760572.32878,36118996963.038795
2022-03-10,1.104663,77800.84109589062,34967834200.27399,36124991729.34296
2022-03-11,1.098231,77819.63287671254,34970907828.21919,36130986495.64712
2022-03-12,1.089372,77838.42465753446,34973981456.1644,36136981261.95128
2022-03-13,1.089372,77857.21643835638,34977055084.109604,36142976028.25544
2022-03-14,1.089693,77876.0082191783,34980128712.05481,36148970794.5596
2022-03-15,1.093391,77894.80000000022,34983202340.000015,36154965560.86376
2022-03-16,1.095205,77913.59178082214,34986275967.94522,36160960327.16792
2022-03-17,1.101199,77932.38356164406,34989349595.89043,36166955093.472084
2022-03-18,1.110837,77951.17534246598,34992423223.83563,36172949859.776245
2022-03-19,1.105949,77969.9671232879,34995496851.78084,36178944626.08041
2022-03-20,1.105949,77988.75890410983,34998570479.72604,36184939392.38457
2022-03-21,1.104429,78007.55068493175,35001644107.67125,36190934158.68873
2022-03-22,1.100199,78026.34246575367,35004717735.616455,36196928924.99289
2022-03-23,1.099471,78045.13424657559,35007791363.56166,36202923691.29705
2022-03-24,1.096943,78063.92602739751,35010864991.50687,36208918457.60121
2022-03-25,1.101882,78082.71780821943,35013938619.45207,36214913223.90537
2022-03-26,1.098966,78101.50958904135,35017012247.39728,36220907990.20953
