,Rate,Gdp,Import,Export
2021-12-17,56.596833,403931.10958905064,176878760757.30325,98378658704.08936
2021-12-18,56.056046,403959.2356164479,176959273478.84735,98408889362.46588
2021-12-19,56.056046,403987.3616438452,177039786200.39145,98439120020.8424
2021-12-20,56.164582,404015.4876712425,177120298921.93555,98469350679.21893
2021-12-21,56.261675,404043.6136986398,177200811643.47964,98499581337.59546
2021-12-22,56.404685,404071.7397260371,177281324365.02374,98529811995.97198
2021-12-23,56.835816,404099.86575343437,177361837086.56784,98560042654.34851
2021-12-24,56.64712,404127.99178083165,177442349808.11194,98590273312.72504
2021-12-25,56.718462,404156.11780822894,177522862529.65604,98620503971.10156
2021-12-26,56.718462,404184.2438356262,177603375251.20013,98650734629.47809
2021-12-27,56.67431,404212.3698630235,177683887972.74423,98680965287.85461
2021-12-28,56.828252,404240.4958904208,177764400694.28833,98711195946.23114
2021-12-29,57.281402,404268.6219178181,177844913415.83243,98741426604.60767
2021-12-30,57.87151,404296.7479452154,177925426137.37653,98771657262.98419
2021-12-31,57.705436,404324.87397261267,178005938858.92062,98801887921.36072
2022-01-01,57.994806,404353.0,178086451580.466,98832118579.7386
2022-01-02,57.994806,404442.59452054795,178086885742.70096,98845149632.5827
2022-01-03,57.880017,404532.1890410959,178087319904.9359,98858180685.4268
2022-01-04,58.084639,404621.78356164385,178087754067.17087,98871211738.2709
2022-01-05,57.804163,404711.3780821918,178088188229.40582,98884242791.115
2022-01-06,57.703865,404800.97260273976,178088622391.64078,98897273843.9591
2022-01-07,57.874029,404890.5671232877,178089056553.87573,98910304896.8032
2022-01-08,58.323671,404980.16164383566,178089490716.1107,98923335949.64731
2022-01-09,58.323671,405069.7561643836,178089924878.34564,98936367002.49141
2022-01-10,58.418445,405159.35068493156,178090359040.5806,98949398055.33551
2022-01-11,58.483565,405248.9452054795,178090793202.81555,98962429108.17961
2022-01-12,58.212539,405338.53972602746,178091227365.0505,98975460161.02371
2022-01-13,58.473339,405428.1342465754,178091661527.28546,98988491213.86781
2022-01-14,58.569699,405517.72876712336,178092095689.52042,99001522266.71191
2022-01-15,58.591422,405607.3232876713,178092529851.75537,99014553319.55602
2022-01-16,58.702074,405696.91780821927,178092964013.99033,99027584372.40012
2022-01-17,58.55038,405786.5123287672,178093398176.22528,99040615425.24422
2022-01-18,58.484194,405876.10684931517,178093832338.46024,99053646478.08832
2022-01-19,58.218884,405965.7013698631,178094266500.6952,99066677530.93242
2022-01-20,58.428029,406055.2958904111,178094700662.93015,99079708583.77652
2022-01-21,58.102078,406144.890410959,178095134825.1651,99092739636.62062
2022-01-22,58.153613,406234.484931507,178095568987.40005,99105770689.46472
2022-01-23,58.153613,406324.0794520549,178096003149.635,99118801742.30882
2022-01-24,58.140272,406413.6739726029,178096437311.86996,99131832795.15292
2022-01-25,58.170135,406503.2684931508,178096871474.10492,99144863847.99702
2022-01-26,57.933694,406592.8630136988,178097305636.33987,99157894900.84113
2022-01-27,57.759368,406682.4575342467,178097739798.57483,99170925953.68523
2022-01-28,57.103123,406772.0520547947,178098173960.80978,99183957006.52933
2022-01-29,56.976303,406861.64657534263,178098608123.04474,99196988059.37343
2022-01-30,56.976303,406951.2410958906,178099042285.2797,99210019112.21753
2022-01-31,57.019103,407040.83561643853,178099476447.51465,99223050165.06163
2022-02-01,57.399939,407130.4301369865,178099910609.7496,99236081217.90573
2022-02-02,57.618936,407220.02465753444,178100344771.98456,99249112270.74983
2022-02-03,57.69185,407309.6191780824,178100778934.2195,99262143323.59393
2022-02-04,58.428612,407399.21369863034,178101213096.45447,99275174376.43803
2022-02-05,58.622204,407488.8082191783,178101647258.68942,99288205429.28214
2022-02-06,58.622204,407578.40273972624,178102081420.92438,99301236482.12624
2022-02-07,58.707956,407667.9972602742,178102515583.15933,99314267534.97034
2022-02-08,58.817844,407757.59178082214,178102949745.3943,99327298587.81444
2022-02-09,58.763059,407847.1863013701,178103383907.62924,99340329640.65854
2022-02-10,58.718462,407936.78082191804,178103818069.8642,99353360693.50264
2022-02-11,58.515969,408026.375342466,178104252232.09915,99366391746.34674
2022-02-12,58.185496,408115.96986301395,178104686394.3341,99379422799.19084
2022-02-13,58.185496,408205.5643835619,178105120556.56906,99392453852.03494
2022-02-14,58.33783,408295.15890410985,178105554718.80402,99405484904.87904
2022-02-15,58.12206,408384.7534246578,178105988881.03897,99418515957.72314
2022-02-16,58.242382,408474.34794520575,178106423043.27393,99431547010.56725
2022-02-17,58.486616,408563.9424657537,178106857205.50888,99444578063.41135
2022-02-18,58.331005,408653.53698630165,178107291367.74384,99457609116.25545
2022-02-19,58.242907,408743.1315068496,178107725529.9788,99470640169.09955
2022-02-20,58.242907,408832.72602739756,178108159692.21375,99483671221.94365
2022-02-21,58.216508,408922.3205479455,178108593854.4487,99496702274.78775
2022-02-22,58.345936,409011.91506849346,178109028016.68365,99509733327.63185
2022-02-23,58.264397,409101.5095890414,178109462178.9186,99522764380.47595
2022-02-24,57.745385,409191.10410958936,178109896341.15356,99535795433.32005
2022-02-25,57.664247,409280.6986301373,178110330503.38852,99548826486.16415
2022-02-26,57.69113,409370.29315068526,178110764665.62347,99561857539.00826
2022-02-27,57.848947,409459.8876712332,178111198827.85843,99574888591.85236
2022-02-28,57.372202,409549.48219178116,178111632990.09338,99587919644.69646
2022-03-01,57.40469,409639.0767123291,178112067152.32834,99600950697.54056
2022-03-02,57.108507,409728.67123287707,178112501314.5633,99613981750.38466
2022-03-03,57.126725,409818.265753425,178112935476.79825,99627012803.22876
2022-03-04,56.983086,409907.86027397297,178113369639.0332,99640043856.07286
2022-03-05,56.873642,409997.4547945209,178113803801.26816,99653074908.91696
2022-03-06,56.873642,410087.04931506887,178114237963.5031,99666105961.76106
2022-03-07,56.389233,410176.6438356168,178114672125.73807,99679137014.60516
2022-03-08,56.722565,410266.2383561648,178115106287.97302,99692168067.44926
2022-03-09,57.05226,410355.8328767127,178115540450.20798,99705199120.29337
2022-03-10,57.614955,410445.4273972607,178115974612.44293,99718230173.13747
2022-03-11,57.46204,410535.0219178086,178116408774.6779,99731261225.98157
2022-03-12,57.16427,410624.6164383566,178116842936.91284,99744292278.82567
2022-03-13,57.16427,410714.2109589045,178117277099.1478,99757323331.66977
2022-03-14,57.271731,410803.8054794525,178117711261.38275,99770354384.51387
2022-03-15,57.400627,410893.40000000043,178118145423.6177,99783385437.35797
2022-03-16,57.319422,410982.9945205484,178118579585.85266,99796416490.20207
2022-03-17,57.573585,411072.58904109633,178119013748.08762,99809447543.04617
2022-03-18,58.026678,411162.1835616443,178119447910.32257,99822478595.89027
2022-03-19,58.141506,411251.77808219224,178119882072.55753,99835509648.73438
2022-03-20,58.141506,411341.3726027402,178120316234.79248,99848540701.57848
2022-03-21,57.805226,411430.96712328814,178120750397.02744,99861571754.42258
2022-03-22,57.927557,411520.5616438361,178121184559.2624,99874602807.26668
2022-03-23,57.727137,411610.15616438404,178121618721.49734,99887633860.11078
2022-03-24,57.624499,411699.750684932,178122052883.7323,99900664912.95488
2022-03-25,57.556901,411789.34520547994,178122487045.96725,99913695965.79898
2022-03-26,57.422681,411878.9397260279,178122921208.2022,99926727018.64308
2022-03-27,57.235818,411968.53424657584,178123355370.43716,99939758071.48718
2022-03-28,57.244121,412058.1287671238,178123789532.67212,99952789124.33128
2022-03-29,57.586345,412147.72328767175,178124223694.90707,99965820177.17538
2022-03-30,57.948958,412237.3178082197,178124657857.14203,99978851230.01949
2022-03-31,57.396601,412326.91232876765,178125092019.37698,99991882282.86359
2022-04-01,56.949139,412416.5068493156,178125526181.61194,100004913335.70769
2022-04-02,56.933092,412506.10136986355,178125960343.8469,100017944388.55179
2022-04-03,56.932536,412595.6958904115,178126394506.08185,100030975441.39589
2022-04-04,56.335531,412685.29041095945,178126828668.3168,100044006494.23999
2022-04-05,56.097756,412774.8849315074,178127262830.55176,100057037547.08409
2022-04-06,56.063205,412864.47945205536,178127696992.7867,100070068599.92819
2022-04-07,56.161987,412954.0739726033,178128131155.02167,100083099652.7723
2022-04-08,55.905516,413043.66849315126,178128565317.25662,100096130705.6164
2022-04-09,56.092113,413133.2630136992,178128999479.49158,100109161758.4605
2022-04-10,56.092113,413222.85753424716,178129433641.72653,100122192811.3046
2022-04-11,56.176011,413312.4520547951,178129867803.9615,100135223864.1487
2022-04-12,56.667148,413402.04657534306,178130301966.19644,100148254916.9928
2022-04-13,56.563408,413491.641095891,178130736128.4314,100161285969.8369
2022-04-14,56.746147,413581.23561643896,178131170290.66635,100174317022.681
2022-04-15,56.619532,413670.8301369869,178131604452.9013,100187348075.5251
2022-04-16,56.419148,413760.42465753487,178132038615.13626,100200379128.3692
2022-04-17,56.419148,413850.0191780828,178132472777.37122,100213410181.2133
2022-04-18,56.405936,413939.61369863077,178132906939.60617,100226441234.0574
2022-04-20,56.884616,414118.80273972667,178133775264.07608,100252503339.7456
2022-04-21,56.884876,414208.3972602746,178134209426.31104,100265534392.5897
2022-04-22,56.772724,414297.9917808226,178134643588.546,100278565445.4338
2022-04-23,56.740266,414387.5863013705,178135077750.78094,100291596498.27791
2022-04-24,56.524278,414477.1808219185,178135511913.0159,100304627551.12201
2022-04-25,56.636874,414566.7753424664,178135946075.25085,100317658603.96611
2022-04-26,56.311051,414656.3698630144,178136380237.4858,100330689656.81021
2022-04-27,55.844623,414745.9643835623,178136814399.72076,100343720709.65431
2022-04-28,55.177261,414835.5589041103,178137248561.95572,100356751762.49841
