,Rate,Gdp,Import,Export
2021-12-17,4.633029,695467.6575342631,419921246240.25287,434592684931.4972
2021-12-18,4.631399,695485.4136986467,420060953318.75183,434712372602.73004
2021-12-19,4.631399,695503.1698630303,420200660397.2508,434832060273.9629
2021-12-20,4.631535,695520.9260274139,420340367475.74976,434951747945.19574
2021-12-21,4.62395,695538.6821917975,420480074554.2487,435071435616.4286
2021-12-22,4.622401,695556.4383561811,420619781632.7477,435191123287.66144
2021-12-23,4.634262,695574.1945205647,420759488711.24664,435310810958.8943
2021-12-24,4.631335,695591.9506849484,420899195789.7456,435430498630.12714
2021-12-25,4.627727,695609.706849332,421038902868.24457,435550186301.36
2021-12-26,4.627727,695627.4630137156,421178609946.7435,435669873972.59283
2021-12-27,4.627388,695645.2191780992,421318317025.2425,435789561643.8257
2021-12-28,4.603693,695662.9753424828,421458024103.74146,435909249315.05853
2021-12-29,4.600213,695680.7315068664,421597731182.2404,436028936986.2914
2021-12-30,4.595243,695698.48767125,421737438260.7394,436148624657.52423
2021-12-31,4.590285,695716.2438356336,421877145339.23834,436268312328.7571
2022-01-01,4.588727,695734.0,422016852417.74,436388000000.0
2022-01-02,4.588727,696046.2520547946,422021304293.4167,436484391780.8219
2022-01-03,4.590339,696358.5041095892,422025756169.0934,436580783561.6438
2022-01-04,4.576681,696670.7561643837,422030208044.7701,436677175342.4657
2022-01-05,4.564552,696983.0082191783,422034659920.4468,436773567123.2876
2022-01-06,4.575607,697295.2602739729,422039111796.1235,436869958904.1095
2022-01-07,4.555251,697607.5123287675,422043563671.8002,436966350684.9314
2022-01-08,4.545742,697919.764383562,422048015547.47687,437062742465.7533
2022-01-09,4.545373,698232.0164383566,422052467423.15356,437159134246.5752
2022-01-10,4.546867,698544.2684931512,422056919298.83026,437255526027.3971
2022-01-11,4.541211,698856.5205479458,422061371174.50696,437351917808.219
2022-01-12,4.538124,699168.7726027403,422065823050.18365,437448309589.0409
2022-01-13,4.526702,699481.0246575349,422070274925.86035,437544701369.8628
2022-01-14,4.539756,699793.2767123295,422074726801.53705,437641093150.6847
2022-01-15,4.538989,700105.528767124,422079178677.21375,437737484931.5066
2022-01-16,4.538989,700417.7808219186,422083630552.89044,437833876712.3285
2022-01-17,4.540041,700730.0328767132,422088082428.56714,437930268493.1504
2022-01-18,4.52285,701042.2849315078,422092534304.24384,438026660273.9723
2022-01-19,4.538602,701354.5369863024,422096986179.92053,438123052054.7942
2022-01-20,4.525098,701666.7890410969,422101438055.5972,438219443835.6161
2022-01-21,4.528267,701979.0410958915,422105889931.2739,438315835616.438
2022-01-22,4.531184,702291.2931506861,422110341806.9506,438412227397.2599
2022-01-23,4.531184,702603.5452054807,422114793682.6273,438508619178.0818
2022-01-24,4.528974,702915.7972602752,422119245558.304,438605010958.9037
2022-01-25,4.565184,703228.0493150698,422123697433.9807,438701402739.7256
2022-01-26,4.580897,703540.3013698644,422128149309.6574,438797794520.5475
2022-01-27,4.585845,703852.553424659,422132601185.3341,438894186301.3694
2022-01-28,4.56104,704164.8054794535,422137053061.0108,438990578082.1913
2022-01-29,4.582193,704477.0575342481,422141504936.6875,439086969863.0132
2022-01-30,4.582193,704789.3095890427,422145956812.3642,439183361643.8351
2022-01-31,4.582061,705101.5616438373,422150408688.0409,439279753424.657
2022-02-01,4.582732,705413.8136986318,422154860563.7176,439376145205.4789
2022-02-02,4.571904,705726.0657534264,422159312439.3943,439472536986.3008
2022-02-03,4.540675,706038.317808221,422163764315.071,439568928767.1227
2022-02-04,4.543018,706350.5698630156,422168216190.7477,439665320547.9446
2022-02-05,4.56536,706662.8219178101,422172668066.4244,439761712328.7665
2022-02-06,4.56536,706975.0739726047,422177119942.1011,439858104109.5884
2022-02-07,4.564054,707287.3260273993,422181571817.7778,439954495890.4103
2022-02-08,4.53521,707599.5780821939,422186023693.45447,440050887671.2322
2022-02-09,4.528725,707911.8301369884,422190475569.13116,440147279452.0541
2022-02-10,4.493193,708224.082191783,422194927444.80786,440243671232.876
2022-02-11,4.505586,708536.3342465776,422199379320.48456,440340063013.6979
2022-02-12,4.570387,708848.5863013722,422203831196.16125,440436454794.5198
2022-02-13,4.572613,709160.8383561667,422208283071.83795,440532846575.3417
2022-02-14,4.566909,709473.0904109613,422212734947.51465,440629238356.1636
2022-02-15,4.547582,709785.3424657559,422217186823.19135,440725630136.9855
2022-02-16,4.501155,710097.5945205505,422221638698.86804,440822021917.8074
2022-02-17,4.505908,710409.846575345,422226090574.54474,440918413698.6293
2022-02-18,4.524589,710722.0986301396,422230542450.22144,441014805479.4512
2022-02-19,4.529618,711034.3506849342,422234994325.89813,441111197260.2731
2022-02-20,4.529618,711346.6027397288,422239446201.5748,441207589041.095
2022-02-21,4.530988,711658.8547945233,422243898077.2515,441303980821.9169
2022-02-22,4.544609,711971.1068493179,422248349952.9282,441400372602.7388
2022-02-23,4.548609,712283.3589041125,422252801828.6049,441496764383.56067
2022-02-24,4.587131,712595.610958907,422257253704.2816,441593156164.38257
2022-02-25,4.623261,712907.8630137016,422261705579.9583,441689547945.20447
2022-02-26,4.637388,713220.1150684962,422266157455.635,441785939726.02637
2022-02-27,4.633313,713532.3671232908,422270609331.3117,441882331506.84827
2022-02-28,4.696616,713844.6191780854,422275061206.9884,441978723287.67017
2022-03-01,4.703516,714156.8712328799,422279513082.6651,442075115068.49207
2022-03-02,4.742446,714469.1232876745,422283964958.3418,442171506849.31396
2022-03-03,4.743825,714781.3753424691,422288416834.0185,442267898630.13586
2022-03-04,4.838693,715093.6273972637,422292868709.6952,442364290410.95776
2022-03-05,4.916169,715405.8794520582,422297320585.3719,442460682191.77966
2022-03-06,4.90809,715718.1315068528,422301772461.0486,442557073972.60156
2022-03-07,4.937537,716030.3835616474,422306224336.7253,442653465753.42346
2022-03-08,4.980914,716342.635616442,422310676212.402,442749857534.24536
2022-03-09,4.880612,716654.8876712365,422315128088.0787,442846249315.06726
2022-03-10,4.776035,716967.1397260311,422319579963.7554,442942641095.88916
2022-03-11,4.793607,717279.3917808257,422324031839.43207,443039032876.71106
2022-03-12,4.786504,717591.6438356203,422328483715.10876,443135424657.53296
2022-03-13,4.786504,717903.8958904148,422332935590.78546,443231816438.35486
2022-03-14,4.780302,718216.1479452094,422337387466.46216,443328208219.17676
2022-03-15,4.745032,718528.400000004,422341839342.13885,443424599999.99866
2022-03-16,4.708967,718840.6520547986,422346291217.81555,443520991780.82056
2022-03-17,4.664522,719152.9041095931,422350743093.49225,443617383561.64246
2022-03-18,4.689642,719465.1561643877,422355194969.16895,443713775342.46436
2022-03-19,4.720358,719777.4082191823,422359646844.84564,443810167123.28625
2022-03-20,4.720358,720089.6602739769,422364098720.52234,443906558904.10815
2022-03-21,4.713101,720401.9123287714,422368550596.19904,444002950684.93005
2022-03-22,4.695571,720714.164383566,422373002471.87573,444099342465.75195
2022-03-23,4.680838,721026.4164383606,422377454347.5524,444195734246.57385
2022-03-24,4.722077,721338.6684931552,422381906223.2291,444292126027.39575
2022-03-25,4.775612,721650.9205479497,422386358098.9058,444388517808.21765
2022-03-26,4.679717,721963.1726027443,422390809974.5825,444484909589.03955
2022-03-27,4.680538,722275.4246575389,422395261850.2592,444581301369.86145
2022-03-28,4.708638,722587.6767123335,422399713725.9359,444677693150.68335
2022-03-29,4.665145,722899.928767128,422404165601.6126,444774084931.50525
2022-03-30,4.639025,723212.1808219226,422408617477.2893,444870476712.32715
2022-03-31,4.654693,723524.4328767172,422413069352.966,444966868493.14905
2022-04-01,4.639493,723836.6849315118,422417521228.6427,445063260273.97095
2022-04-02,4.63995,724148.9369863063,422421973104.3194,445159652054.79285
2022-04-03,4.639964,724461.1890411009,422426424979.9961,445256043835.61475
2022-04-04,4.619151,724773.4410958955,422430876855.6728,445352435616.43665
2022-04-05,4.650447,725085.6931506901,422435328731.3495,445448827397.25854
2022-04-06,4.649383,725397.9452054846,422439780607.0262,445545219178.08044
2022-04-07,4.659429,725710.1972602792,422444232482.7029,445641610958.90234
2022-04-08,4.637045,726022.4493150738,422448684358.3796,445738002739.72424
2022-04-09,4.633889,726334.7013698684,422453136234.0563,445834394520.54614
2022-04-10,4.633889,726646.9534246629,422457588109.733,445930786301.36804
2022-04-11,4.635117,726959.2054794575,422462039985.40967,446027178082.18994
2022-04-12,4.659065,727271.4575342521,422466491861.08636,446123569863.01184
2022-04-13,4.635931,727583.7095890467,422470943736.76306,446219961643.83374
2022-04-14,4.64159,727895.9616438412,422475395612.43976,446316353424.65564
2022-04-15,4.641653,728208.2136986358,422479847488.11646,446412745205.47754
2022-04-16,4.631447,728520.4657534304,422484299363.79315,446509136986.29944
