,Rate,Gdp,Import,Export
2021-12-17,4.123653,233408.5753424639,73972836068.04153,159385593858.1958
2021-12-18,4.091834,233561.93698629952,74009317326.5091,159539411410.50653
2021-12-19,4.091834,233715.29863013513,74045798584.97665,159693228962.8172
2021-12-20,4.093937,233868.66027397075,74082279843.44421,159847046515.12793
2021-12-21,4.108445,234022.02191780636,74118761101.91177,160000864067.4386
2021-12-22,4.11085,234175.38356164197,74155242360.37933,160154681619.74933
2021-12-23,4.128413,234328.74520547758,74191723618.8469,160308499172.06
2021-12-24,4.123569,234482.1068493132,74228204877.31445,160462316724.37073
2021-12-25,4.129079,234635.4684931488,74264686135.78201,160616134276.6814
2021-12-26,4.129079,234788.8301369844,74301167394.24957,160769951828.99213
2021-12-27,4.121437,234942.19178082002,74337648652.71713,160923769381.3028
2021-12-28,4.123501,235095.55342465563,74374129911.1847,161077586933.61353
2021-12-29,4.114616,235248.91506849125,74410611169.65225,161231404485.9242
2021-12-30,4.131046,235402.27671232686,74447092428.11981,161385222038.23492
2021-12-31,4.122543,235555.63835616247,74483573686.58737,161539039590.5456
2022-01-01,4.14039,235709.0,,161692857142.857
2022-01-02,4.14039,235646.79178082192,,161602491030.37766
2022-01-03,4.137983,235584.58356164384,,161512124917.89832
2022-01-04,4.116502,235522.37534246576,,161421758805.41898
2022-01-05,4.109772,235460.16712328768,,161331392692.93964
2022-01-06,4.119937,235397.9589041096,,161241026580.4603
2022-01-07,4.113205,235335.75068493153,,161150660467.98096
2022-01-08,4.136837,235273.54246575345,,161060294355.50162
2022-01-09,4.136837,235211.33424657537,,160969928243.02228
2022-01-10,4.126924,235149.1260273973,,160879562130.54294
2022-01-11,4.126276,235086.9178082192,,160789196018.0636
2022-01-12,4.141072,235024.70958904113,,160698829905.58426
2022-01-13,4.165901,234962.50136986305,,160608463793.10492
2022-01-14,4.17454,234900.29315068497,,160518097680.62558
2022-01-15,4.15665,234838.0849315069,,160427731568.14624
2022-01-16,4.15665,234775.8767123288,,160337365455.6669
2022-01-17,4.153789,234713.66849315073,,160246999343.18756
2022-01-18,4.157387,234651.46027397265,,160156633230.70822
2022-01-19,4.12204,234589.25205479458,,160066267118.22888
2022-01-20,4.136406,234527.0438356165,,159975901005.74954
2022-01-21,4.115534,234464.83561643842,,159885534893.2702
2022-01-22,4.130667,234402.62739726034,,159795168780.79086
2022-01-23,4.130667,234340.41917808226,,159704802668.31152
2022-01-24,4.127826,234278.21095890418,,159614436555.83218
2022-01-25,4.122033,234216.0027397261,,159524070443.35284
2022-01-26,4.114995,234153.79452054802,,159433704330.8735
2022-01-27,4.089901,234091.58630136994,,159343338218.39417
2022-01-28,4.057834,234029.37808219186,,159252972105.91483
2022-01-29,4.058991,233967.16986301378,,159162605993.4355
2022-01-30,4.058991,233904.9616438357,,159072239880.95615
2022-01-31,4.058052,233842.75342465763,,158981873768.4768
2022-02-01,4.093444,233780.54520547955,,158891507655.99747
2022-02-02,4.105458,233718.33698630147,,158801141543.51813
2022-02-03,4.113564,233656.1287671234,,158710775431.0388
2022-02-04,4.17033,233593.9205479453,,158620409318.55945
2022-02-05,4.16879,233531.71232876723,,158530043206.0801
2022-02-06,4.16879,233469.50410958915,,158439677093.60077
2022-02-07,4.169985,233407.29589041107,,158349310981.12143
2022-02-08,4.165943,233345.087671233,,158258944868.6421
2022-02-09,4.155903,233282.8794520549,,158168578756.16275
2022-02-10,4.157807,233220.67123287683,,158078212643.6834
2022-02-11,4.150674,233158.46301369875,,157987846531.20407
2022-02-12,4.132359,233096.25479452068,,157897480418.72473
2022-02-13,4.132359,233034.0465753426,,157807114306.2454
2022-02-14,4.133839,232971.83835616452,,157716748193.76605
2022-02-15,4.118275,232909.63013698644,,157626382081.2867
2022-02-16,4.13455,232847.42191780836,,157536015968.80737
